id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2711906395,8,61,1,0,13,aqtkb4mgrz8c6iqfufj6qjbv9,1,37.5,77.0,2024-08-23T17:00:47.541Z,2024-08-23T17:00:47Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,5164961431,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906409,9,1,1,0,14,aqtkb4mgrz8c6iqfufj6qjbv9,0,38.3,82.9,2024-08-23T17:00:49.040Z,2024-08-23T19:04:04Z,bpldj4qdzfdm1n739atcadbmc,B. Kücükylidiz,,5164961511,157,,5164961523,1,,5164961515,140,73.0,5164961517,141,89.0,5164961521,213,0.11,5164961519,212,36.7,5164961513,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906421,4,1,1,0,15,ajtb177oqwawkdwbqhldmq6mx,0,20.4,9.4,2024-08-23T17:00:50.438Z,2024-08-23T17:00:52Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5164961567,141,0.0,5164961573,1,,5164961561,157,,5164961571,213,6.06,5164961563,56,Right,5164961569,212,33.7,5164961565,140,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906423,5,5,1,0,17,ajtb177oqwawkdwbqhldmq6mx,0,50.4,-1.8,2024-08-23T17:00:52.128Z,2024-08-23T18:58:54Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5164961577,56,Right,5164961689,233,10,5164961579,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906439,10,5,1,0,17,aqtkb4mgrz8c6iqfufj6qjbv9,1,49.6,101.8,2024-08-23T17:00:52.128Z,2024-08-23T18:58:54Z,bpldj4qdzfdm1n739atcadbmc,B. Kücükylidiz,,5164961659,347,,5164961685,233,5,5164961657,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906487,11,1,1,0,30,aqtkb4mgrz8c6iqfufj6qjbv9,1,66.6,100.0,2024-08-23T17:01:04.921Z,2024-08-23T17:01:09Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,5164961881,107,,5164961891,213,3.43,5164961885,140,46.5,5164961887,141,92.7,5164961889,212,22.0,5164961883,56,Back,5164961893,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906517,12,1,1,0,34,aqtkb4mgrz8c6iqfufj6qjbv9,1,33.2,80.2,2024-08-23T17:01:09.208Z,2024-08-23T17:01:14Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,5164962013,141,56.0,5164962021,213,3.80,5164962017,212,27.0,5164962009,140,12.8,5164962005,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906541,13,1,1,0,39,aqtkb4mgrz8c6iqfufj6qjbv9,0,14.3,52.8,2024-08-23T17:01:14.344Z,2024-08-23T17:01:19Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,5164962133,140,65.9,5164962139,213,0.07,5164962141,1,,5164962137,212,54.3,5164962135,141,58.7,5164962129,157,,5164962131,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906537,6,44,1,0,43,ajtb177oqwawkdwbqhldmq6mx,1,33.8,41.8,2024-08-23T17:01:17.567Z,2024-08-23T18:58:30Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,5164962119,56,Back,5164962199,233,14,5164962123,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906547,14,44,1,0,43,aqtkb4mgrz8c6iqfufj6qjbv9,0,66.2,58.2,2024-08-23T17:01:17.568Z,2024-08-23T18:58:31Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5164962159,286,,5164962155,56,Center,5164962231,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906563,7,1,1,0,43,ajtb177oqwawkdwbqhldmq6mx,0,33.2,42.5,2024-08-23T17:01:18.022Z,2024-08-23T17:01:20Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,5164962261,213,0.15,5164962251,3,,5164962255,140,55.9,5164962257,141,47.9,5164962253,56,Center,5164962259,212,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906569,15,1,1,0,45,aqtkb4mgrz8c6iqfufj6qjbv9,1,51.1,54.0,2024-08-23T17:01:19.906Z,2024-08-23T17:02:55Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,5164962279,56,Center,5164962281,140,59.6,5164962277,3,,5164962285,212,8.9,5164962287,213,0.02,5164962283,141,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906589,16,1,1,0,46,aqtkb4mgrz8c6iqfufj6qjbv9,1,59.6,54.3,2024-08-23T17:01:21.144Z,2024-08-23T17:02:53Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,5164962357,56,Center,5164962359,140,62.6,5164962353,3,,5164962363,212,3.2,5164962361,141,54.0,5164962355,168,,5164962365,213,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906593,17,44,1,0,47,aqtkb4mgrz8c6iqfufj6qjbv9,1,64.1,52.9,2024-08-23T17:01:22.078Z,2024-08-23T19:04:06Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5164962381,56,Center,5164962399,233,8,5164962383,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906573,8,44,1,0,47,ajtb177oqwawkdwbqhldmq6mx,0,35.9,47.1,2024-08-23T17:01:22.079Z,2024-08-23T18:58:31Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5164962295,56,Back,5164962405,233,17,5164962297,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906599,18,61,1,0,48,aqtkb4mgrz8c6iqfufj6qjbv9,1,62.6,54.0,2024-08-23T17:01:22.648Z,2024-08-23T17:03:41Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5164962425,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906605,19,1,1,0,51,aqtkb4mgrz8c6iqfufj6qjbv9,0,62.9,44.2,2024-08-23T17:01:25.593Z,2024-08-23T17:04:18Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,5164962455,140,77.6,5164962459,212,15.5,5164962453,56,Center,5164968923,155,,5164962457,141,46.1,5164962461,213,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906615,9,12,1,0,53,ajtb177oqwawkdwbqhldmq6mx,1,20.0,47.2,2024-08-23T17:01:27.551Z,2024-08-23T17:01:30Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5164962509,140,20.5,5164962511,141,90.3,5164962513,212,29.3,5164962515,213,1.55,5164962507,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906641,11,1,1,0,57,ajtb177oqwawkdwbqhldmq6mx,0,19.6,94.5,2024-08-23T17:01:32.079Z,2024-08-23T17:01:34Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,5164962603,141,97.1,5164962609,1,,5164962607,213,0.04,5164962599,56,Left,5164962605,212,46.3,5164962601,140,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906657,20,1,1,1,1,aqtkb4mgrz8c6iqfufj6qjbv9,0,40.3,2.3,2024-08-23T17:01:35.664Z,2024-08-23T19:04:08Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5164962683,157,,5164962689,141,6.2,5164962693,213,0.09,5164962687,140,68.8,5164962685,56,Right,5164962695,1,,5164962691,212,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906661,21,43,1,1,3,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-23T17:01:37.857Z,2024-08-23T17:06:00Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,5164972481,144,61,5164962701,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906667,12,1,1,1,3,ajtb177oqwawkdwbqhldmq6mx,1,35.9,90.3,2024-08-23T17:01:38.103Z,2024-08-23T17:01:39Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5164962733,141,96.3,5164962737,213,2.83,5164962735,212,13.3,5164962727,56,Back,5164962731,140,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906703,13,1,1,1,5,ajtb177oqwawkdwbqhldmq6mx,1,23.8,96.3,2024-08-23T17:01:39.759Z,2024-08-23T17:01:44Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,5164962923,56,Back,5164962929,212,14.4,5164962925,140,13.5,5164962927,141,82.3,5164962931,213,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906733,14,1,1,1,9,ajtb177oqwawkdwbqhldmq6mx,1,13.5,82.3,2024-08-23T17:01:43.871Z,2024-08-23T17:06:18Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,5164963053,56,Back,5164963059,212,19.1,5164963055,140,9.6,5164963061,213,4.50,5164963057,141,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906751,15,1,1,1,12,ajtb177oqwawkdwbqhldmq6mx,1,9.6,54.9,2024-08-23T17:01:46.632Z,2024-08-23T17:03:40Z,b2gkyjq8emj9pywryc3rycogl,M. Falkesgaard,,5164963133,141,34.8,5164963135,212,17.2,5164963129,56,Back,5164963131,140,19.5,5164963137,213,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906761,16,1,1,1,16,ajtb177oqwawkdwbqhldmq6mx,1,19.5,34.8,2024-08-23T17:01:50.567Z,2024-08-23T17:01:51Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,5164963193,213,4.97,5164963189,212,19.8,5164963179,56,Back,5164963181,140,24.3,5164963185,141,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906783,17,1,1,1,17,ajtb177oqwawkdwbqhldmq6mx,1,24.3,6.7,2024-08-23T17:01:51.583Z,2024-08-23T17:01:53Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5164963285,140,21.3,5164963291,212,18.2,5164963281,56,Back,5164963293,213,1.75,5164963289,141,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906791,18,1,1,1,19,ajtb177oqwawkdwbqhldmq6mx,1,21.3,33.0,2024-08-23T17:01:53.743Z,2024-08-23T17:01:55Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,5164963369,213,1.47,5164963363,140,23.7,5164963365,141,71.4,5164963367,212,26.2,5164963361,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906843,19,1,1,1,21,ajtb177oqwawkdwbqhldmq6mx,1,23.7,71.4,2024-08-23T17:01:55.615Z,2024-08-23T17:06:57Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,5164963587,213,3.87,5164963583,141,50.0,5164963579,56,Back,5164963581,140,8.2,5164963585,212,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906879,20,1,1,1,29,ajtb177oqwawkdwbqhldmq6mx,1,20.5,44.9,2024-08-23T17:02:03.530Z,2024-08-23T17:02:07Z,b2gkyjq8emj9pywryc3rycogl,M. Falkesgaard,,5164963787,1,,5164963775,155,,5164963783,212,41.9,5164963779,140,46.3,5164963781,141,92.0,5164963777,56,Back,5164963785,213,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906919,21,1,1,1,32,ajtb177oqwawkdwbqhldmq6mx,0,46.3,92.0,2024-08-23T17:02:07.264Z,2024-08-23T17:02:11Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,5164963951,140,82.3,5164963955,212,37.8,5164963957,213,6.26,5164963949,56,Left,5164963959,1,,5164963953,141,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906937,22,1,1,1,36,aqtkb4mgrz8c6iqfufj6qjbv9,1,20.6,14.7,2024-08-23T17:02:10.997Z,2024-08-23T17:02:13Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5164964025,140,7.7,5164964029,212,21.6,5164964023,56,Back,5164964027,141,39.4,5164964031,213,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906969,23,1,1,1,39,aqtkb4mgrz8c6iqfufj6qjbv9,1,7.7,39.4,2024-08-23T17:02:13.832Z,2024-08-23T17:02:17Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,5164964187,141,36.0,5164964193,1,,5164964189,212,38.1,5164964183,56,Back,5164964191,213,6.22,5164964181,157,,5164964185,140,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906983,24,44,1,1,41,aqtkb4mgrz8c6iqfufj6qjbv9,1,51.0,30.2,2024-08-23T17:02:16.367Z,2024-08-23T18:58:32Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5164964249,286,,5164964235,233,22,5164964223,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906967,22,44,1,1,41,ajtb177oqwawkdwbqhldmq6mx,0,49.0,69.8,2024-08-23T17:02:16.368Z,2024-08-23T18:58:32Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5165398211,285,,5164964243,233,24,5164964175,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906997,25,1,1,1,42,aqtkb4mgrz8c6iqfufj6qjbv9,1,43.9,36.0,2024-08-23T17:02:16.569Z,2024-08-23T17:02:23Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5164964287,212,12.3,5164964289,213,1.00,5164964283,140,50.2,5164964279,168,,5164964281,56,Center,5164964277,3,,5164964285,141,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907001,26,1,1,1,43,aqtkb4mgrz8c6iqfufj6qjbv9,0,50.2,51.2,2024-08-23T17:02:18.152Z,2024-08-23T17:02:24Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5164964311,212,0.7,5164964305,56,Back,5164964309,141,50.7,5164964313,213,3.64,5164964307,140,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907041,23,1,1,1,46,ajtb177oqwawkdwbqhldmq6mx,1,47.8,54.6,2024-08-23T17:02:21.392Z,2024-08-23T17:02:25Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5164964509,56,Back,5164964517,141,67.6,5164964525,213,2.60,5164964521,212,17.2,5164964513,140,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907055,24,1,1,1,51,ajtb177oqwawkdwbqhldmq6mx,1,33.3,64.6,2024-08-23T17:02:25.664Z,2024-08-23T17:09:16Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,5164964587,140,33.7,5164964589,141,40.0,5164964593,213,4.74,5164964591,212,16.7,5164964585,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907095,25,1,1,1,52,ajtb177oqwawkdwbqhldmq6mx,1,33.7,40.0,2024-08-23T17:02:27.360Z,2024-08-23T17:02:31Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,5164964777,212,22.0,5164964771,56,Back,5164964779,213,4.95,5164964775,141,8.6,5164964773,140,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907109,26,1,1,1,57,ajtb177oqwawkdwbqhldmq6mx,0,38.6,8.6,2024-08-23T17:02:31.800Z,2024-08-23T17:02:34Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5164964875,141,14.1,5164964871,56,Right,5164964873,140,82.7,5164964879,213,0.08,5164964881,1,,5164964869,155,,5164964877,212,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907133,28,1,1,2,2,aqtkb4mgrz8c6iqfufj6qjbv9,0,13.6,87.4,2024-08-23T17:02:36.537Z,2024-08-23T17:02:37Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,5164965017,141,74.5,5164965013,56,Back,5164965019,212,28.0,5164965021,213,5.96,5164965023,1,,5164965011,157,,5164965015,140,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907161,27,1,1,2,2,ajtb177oqwawkdwbqhldmq6mx,1,58.8,27.7,2024-08-23T17:02:37.272Z,2024-08-23T17:10:29Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5164965139,140,68.0,5164965141,141,32.2,5164965137,56,Center,5164965145,213,0.31,5164965143,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907177,29,1,1,2,6,ajtb177oqwawkdwbqhldmq6mx,0,68.0,32.2,2024-08-23T17:02:40.496Z,2024-08-23T17:02:41Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,5164965197,212,7.8,5164965211,286,,5164965199,213,5.49,5164965193,140,73.2,5164965207,233,29,5164965205,236,,5164965191,56,Center,5164965195,141,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907173,29,74,1,2,6,aqtkb4mgrz8c6iqfufj6qjbv9,1,35.1,67.3,2024-08-23T17:02:40.497Z,2024-08-23T17:02:42Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,5164965229,233,29,5164965183,56,Back,5164965185,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907183,30,1,1,2,7,aqtkb4mgrz8c6iqfufj6qjbv9,0,31.9,75.1,2024-08-23T17:02:42.057Z,2024-08-23T17:10:41Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,5164965231,3,,5164965237,141,67.2,5164965239,212,5.7,5164965235,140,33.8,5164965233,56,Back,5164965241,213,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907205,30,61,1,2,9,ajtb177oqwawkdwbqhldmq6mx,0,66.8,29.8,2024-08-23T17:02:44.416Z,2024-08-23T17:02:44Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,5164965331,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
