id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2807062651,8,1,1,0,15,f1h34qp5zbfl489q8vnkhiq9s,1,69.0,66.9,2025-04-27T13:01:42.156Z,2025-04-27T13:01:43Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,5684613479,212,15.2,5684613481,213,3.57,5684613477,141,57.6,5684613475,140,55.8,5684613473,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062687,9,1,1,0,16,f1h34qp5zbfl489q8vnkhiq9s,1,55.8,57.6,2025-04-27T13:01:43.644Z,2025-04-27T13:08:01Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,5684613653,56,Right,5684613655,140,64.4,5684613661,213,5.00,5684613657,141,12.6,5684613659,212,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062767,10,1,1,0,18,f1h34qp5zbfl489q8vnkhiq9s,1,64.4,12.6,2025-04-27T13:01:45.583Z,2025-04-27T13:01:47Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,5684614043,141,32.8,5684614045,212,13.7,5684614041,140,64.6,5684614039,56,Center,5684614047,213,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062785,11,50,1,0,20,f1h34qp5zbfl489q8vnkhiq9s,1,63.0,33.4,2025-04-27T13:01:47.234Z,2025-04-27T20:24:13Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,5684614557,233,4,5684614115,56,Center,5684614117,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062857,4,7,1,0,20,6wwwud48qahpwrfxs20334qk5,1,37.0,66.6,2025-04-27T13:01:47.235Z,2025-04-27T20:24:13Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,5684614469,285,,5684614513,233,11,5684614467,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062901,6,1,1,0,23,6wwwud48qahpwrfxs20334qk5,0,28.5,67.3,2025-04-27T13:01:50.499Z,2025-04-27T13:01:52Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,5684614665,140,26.9,5684614671,213,1.64,5684614669,212,23.7,5684614663,56,Back,5684614667,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062911,7,5,1,0,24,6wwwud48qahpwrfxs20334qk5,0,25.9,101.6,2025-04-27T13:01:51.182Z,2025-04-27T21:02:33Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,5684614721,56,Back,5684615987,233,12,5684614723,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063103,12,5,1,0,24,f1h34qp5zbfl489q8vnkhiq9s,1,74.1,-1.6,2025-04-27T13:01:51.182Z,2025-04-27T21:02:33Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,5684615933,233,7,5684615867,56,Right,5684615869,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063149,13,1,1,0,33,f1h34qp5zbfl489q8vnkhiq9s,1,75.3,0.0,2025-04-27T13:02:00.629Z,2025-04-27T13:02:02Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,5684616075,107,,5684616089,212,12.8,5684616085,141,13.7,5684616079,56,Right,5684616097,213,0.97,5684616083,140,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063175,14,1,1,0,35,f1h34qp5zbfl489q8vnkhiq9s,1,82.2,13.7,2025-04-27T13:02:02.236Z,2025-04-27T13:02:03Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,5684616231,56,Right,5684616235,141,6.4,5684616239,213,4.01,5684616233,140,78.2,5684616237,212,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063209,15,1,1,0,36,f1h34qp5zbfl489q8vnkhiq9s,1,78.2,6.4,2025-04-27T13:02:03.252Z,2025-04-27T13:02:04Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,5684616403,141,14.3,5684616407,212,5.7,5684616411,213,1.93,5684616401,140,76.3,5684616399,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063223,16,1,1,0,37,f1h34qp5zbfl489q8vnkhiq9s,1,76.3,14.3,2025-04-27T13:02:04.037Z,2025-04-27T13:12:20Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,5684616483,141,7.1,5684616481,140,80.0,5684616479,56,Right,5684616485,212,6.3,5684616487,213,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063245,17,1,1,0,38,f1h34qp5zbfl489q8vnkhiq9s,1,80.0,7.1,2025-04-27T13:02:04.964Z,2025-04-27T13:17:57Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,5684616585,140,57.8,5684616589,212,23.3,5684616587,141,7.1,5684616591,213,3.14,5684616583,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063405,18,1,1,0,41,f1h34qp5zbfl489q8vnkhiq9s,1,55.2,7.7,2025-04-27T13:02:08.044Z,2025-04-27T13:02:12Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,5684617465,56,Back,5684617471,141,35.7,5684617479,213,2.30,5684617475,212,25.6,5684617467,140,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063465,19,1,1,0,45,f1h34qp5zbfl489q8vnkhiq9s,1,40.5,32.5,2025-04-27T13:02:12.261Z,2025-04-27T13:02:14Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,5684617755,56,Center,5684617759,140,66.7,5684617769,212,27.7,5684617771,213,6.18,5684617763,141,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063529,20,1,1,0,47,f1h34qp5zbfl489q8vnkhiq9s,1,66.7,28.3,2025-04-27T13:02:14.069Z,2025-04-27T13:02:17Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,5684618093,141,29.4,5684618087,140,63.8,5684618083,56,Center,5684618095,212,3.1,5684618099,213,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063605,21,1,1,0,49,f1h34qp5zbfl489q8vnkhiq9s,1,68.5,22.2,2025-04-27T13:02:16.901Z,2025-04-27T13:02:19Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,5684618469,140,75.1,5684618467,56,Right,5684618477,212,14.5,5684618483,213,5.21,5684618473,141,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063713,22,1,1,0,52,f1h34qp5zbfl489q8vnkhiq9s,1,76.3,4.4,2025-04-27T13:02:19.508Z,2025-04-27T13:02:23Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,5684619003,140,87.0,5684619007,212,11.5,5684619001,56,Right,5684619009,213,0.21,5684619005,141,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063727,23,3,1,0,56,f1h34qp5zbfl489q8vnkhiq9s,0,83.2,12.0,2025-04-27T13:02:23.365Z,2025-04-27T20:24:14Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,5684619073,56,Right,5684619077,286,,5684619483,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063765,8,7,1,0,56,6wwwud48qahpwrfxs20334qk5,1,16.8,88.0,2025-04-27T13:02:23.366Z,2025-04-27T20:24:14Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,5684619419,233,23,5684619293,285,,5684619291,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063829,10,1,1,0,59,6wwwud48qahpwrfxs20334qk5,1,19.8,81.8,2025-04-27T13:02:26.084Z,2025-04-27T13:02:28Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,5684619571,212,13.0,5684619569,141,63.7,5684619565,56,Back,5684619567,140,15.9,5684619573,213,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063841,11,1,1,1,0,6wwwud48qahpwrfxs20334qk5,1,16.2,63.7,2025-04-27T13:02:27.411Z,2025-04-27T13:02:28Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,5684619623,212,16.5,5684619617,56,Back,5684619625,213,1.28,5684619621,141,86.9,5684619619,140,20.7,5684619615,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063863,12,1,1,1,1,6wwwud48qahpwrfxs20334qk5,1,20.7,86.9,2025-04-27T13:02:28.539Z,2025-04-27T13:02:29Z,1ai0gvdx68lxclbj6m255w72t,S. Crone,,5684619755,213,0.08,5684619741,56,Back,5684619753,212,9.8,5684619745,140,30.0,5684619749,141,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063869,13,1,1,1,2,6wwwud48qahpwrfxs20334qk5,0,30.0,88.1,2025-04-27T13:02:29.307Z,2025-04-27T13:05:15Z,45ssaw51hm80y1tfalyesap9m,E. Simonsen,,5684619819,141,74.4,5684619815,56,Back,5684619827,213,5.45,5684619823,212,12.6,5684619817,140,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063921,24,8,1,1,4,f1h34qp5zbfl489q8vnkhiq9s,1,63.2,14.9,2025-04-27T13:02:31.805Z,2025-04-27T13:02:32Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,5684620133,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807063987,25,1,1,1,5,f1h34qp5zbfl489q8vnkhiq9s,1,63.2,14.9,2025-04-27T13:02:32.181Z,2025-04-27T13:02:34Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,5684620425,213,0.27,5684620415,56,Right,5684620423,212,7.6,5684620419,141,17.9,5684620417,140,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807064007,27,1,1,1,7,f1h34qp5zbfl489q8vnkhiq9s,1,70.2,17.9,2025-04-27T13:02:34.421Z,2025-04-27T13:02:35Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,5684620527,56,Right,5684620529,140,63.3,5684620533,212,7.5,5684620535,213,2.88,5684620531,141,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807064089,28,1,1,1,8,f1h34qp5zbfl489q8vnkhiq9s,1,63.3,20.7,2025-04-27T13:02:35.125Z,2025-04-27T13:02:39Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,5684620915,213,1.55,5684620903,56,Center,5684620905,140,63.7,5684620913,212,16.5,5684620909,141,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807064123,29,1,1,1,11,f1h34qp5zbfl489q8vnkhiq9s,1,63.9,44.9,2025-04-27T13:02:38.813Z,2025-04-27T13:21:26Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,5684621103,140,46.5,5684621107,212,19.0,5684621105,141,37.0,5684621109,213,3.43,5684621101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807064213,30,1,1,1,14,f1h34qp5zbfl489q8vnkhiq9s,1,46.5,37.0,2025-04-27T13:02:40.965Z,2025-04-27T13:02:43Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,5684621567,56,Right,5684621573,212,13.6,5684621569,140,50.2,5684621571,141,17.9,5684621575,213,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807064247,31,1,1,1,16,f1h34qp5zbfl489q8vnkhiq9s,1,50.2,17.9,2025-04-27T13:02:42.941Z,2025-04-27T13:02:44Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,5684621693,56,Right,5684621701,213,5.48,5684621697,141,4.1,5684621699,212,13.1,5684621695,140,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807064311,32,1,1,1,17,f1h34qp5zbfl489q8vnkhiq9s,1,58.9,4.1,2025-04-27T13:02:43.949Z,2025-04-27T13:02:46Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,5684622003,56,Right,5684622011,213,0.87,5684622005,140,64.8,5684622007,141,14.9,5684622009,212,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807064341,33,1,1,1,19,f1h34qp5zbfl489q8vnkhiq9s,1,64.8,14.9,2025-04-27T13:02:46.037Z,2025-04-27T13:21:24Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,5684622149,140,41.5,5684622157,213,3.23,5684622147,56,Back,5684622153,212,24.6,5684622199,156,,5684622151,141,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807064469,34,1,1,1,21,f1h34qp5zbfl489q8vnkhiq9s,1,41.5,11.7,2025-04-27T13:02:48.573Z,2025-04-27T13:02:52Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,5684622795,212,25.0,5684622791,140,22.0,5684622793,141,32.8,5684622789,56,Back,5684622797,213,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807064849,35,1,1,1,37,f1h34qp5zbfl489q8vnkhiq9s,1,25.7,34.9,2025-04-27T13:03:04.589Z,2025-04-27T13:03:07Z,45bcgucg627rhrdgt8tn9hd9m,K. Kristensen,,5684624767,213,1.44,5684624759,56,Back,5684624769,1,,5684624763,141,87.7,5684624765,212,36.2,5684624761,140,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807064951,36,1,1,1,40,f1h34qp5zbfl489q8vnkhiq9s,1,32.6,88.9,2025-04-27T13:03:07.494Z,2025-04-27T13:03:10Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,5684625223,213,3.90,5684625217,140,25.4,5684625221,212,10.4,5684625219,141,78.4,5684625215,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807065397,37,1,1,1,42,f1h34qp5zbfl489q8vnkhiq9s,1,25.4,78.4,2025-04-27T13:03:09.894Z,2025-04-27T13:03:27Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,5684627669,213,4.02,5684627667,212,18.9,5684627665,141,57.0,5684627661,56,Back,5684627663,140,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807065459,38,1,1,2,0,f1h34qp5zbfl489q8vnkhiq9s,1,23.7,50.0,2025-04-27T13:03:27.046Z,2025-04-27T13:03:29Z,45bcgucg627rhrdgt8tn9hd9m,K. Kristensen,,5684627959,56,Center,5684627981,1,,5684627963,140,57.9,5684627953,155,,5684627967,141,45.4,5684627977,213,6.20,5684627973,212,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807065715,39,1,1,2,2,f1h34qp5zbfl489q8vnkhiq9s,1,57.9,45.4,2025-04-27T13:03:29.517Z,2025-04-27T13:03:37Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,5684629243,212,14.6,5684629235,140,58.0,5684629233,56,Center,5684629239,141,23.9,5684629247,213,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807065747,40,1,1,2,9,f1h34qp5zbfl489q8vnkhiq9s,0,71.5,32.2,2025-04-27T13:03:36.821Z,2025-04-27T13:03:38Z,6hmsrr08cllpl4iumu92zskbt,L. From,,5684629387,141,24.0,5684629383,56,Center,5684629389,212,5.6,5684629385,140,72.2,5684629393,213,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807065761,14,8,1,2,11,6wwwud48qahpwrfxs20334qk5,1,34.3,77.5,2025-04-27T13:03:38.516Z,2025-04-27T13:03:38Z,45ssaw51hm80y1tfalyesap9m,E. Simonsen,,5684629427,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807065819,15,1,1,2,13,6wwwud48qahpwrfxs20334qk5,0,32.7,69.9,2025-04-27T13:03:40.044Z,2025-04-27T13:44:30Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,5684629739,141,67.9,5684629837,236,,5684629849,286,,5684629737,140,35.9,5684629841,233,41,5684629743,213,5.90,5684629735,56,Back,5684629741,212,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807065825,41,74,1,2,13,f1h34qp5zbfl489q8vnkhiq9s,1,73.1,30.9,2025-04-27T13:03:40.045Z,2025-04-27T15:08:21Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,5684629763,285,,5684629913,233,15,5684629761,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807065865,16,1,1,2,14,6wwwud48qahpwrfxs20334qk5,0,33.5,66.3,2025-04-27T13:03:41.501Z,2025-04-27T20:38:03Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,5684827517,286,,5684629949,56,Back,5684629957,213,3.83,5684629951,140,30.2,5684629955,212,4.5,5684827513,233,252,5684827511,236,,5684629953,141,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807103017,252,74,1,2,14,f1h34qp5zbfl489q8vnkhiq9s,1,76.1,42.7,2025-04-27T13:03:41.502Z,2025-04-27T15:08:22Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,1.0,5684827091,285,,5684827089,56,Center,5684827579,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
