id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2714944303,7,4,1,0,8,bd4qakf7j0wwie8wke9km7uj8,0,74.4,65.6,2024-08-30T17:29:52.129Z,2024-08-30T18:30:32Z,7pnxa8wzxx5qxevcckxdd62tx,E. Nielsen,,,5181627951,56,Center,5181627955,265,,5181627973,233,4,5181627953,152,,5181627949,13,,5181627957,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944333,5,1,1,0,15,f1h34qp5zbfl489q8vnkhiq9s,1,24.5,57.0,2024-08-30T17:29:59.432Z,2024-08-30T17:30:02Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5181628067,140,30.4,5181628073,213,5.13,5181628071,212,15.3,5181628063,152,,5181628065,56,Back,5181628069,141,36.5,5181628061,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944339,6,1,1,0,18,f1h34qp5zbfl489q8vnkhiq9s,1,30.4,36.5,2024-08-30T17:30:02.600Z,2024-08-30T17:31:39Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,,5181628097,213,0.90,5181628089,56,Back,5181628093,141,50.1,5181628095,212,11.8,5181628091,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944361,7,1,1,0,20,f1h34qp5zbfl489q8vnkhiq9s,1,36.4,51.3,2024-08-30T17:30:04.560Z,2024-08-30T17:30:08Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5181628219,140,22.2,5181628221,141,63.2,5181628225,213,2.64,5181628217,56,Back,5181628223,212,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944371,8,1,1,0,24,f1h34qp5zbfl489q8vnkhiq9s,1,23.0,59.0,2024-08-30T17:30:08.224Z,2024-08-30T17:30:11Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5181628279,140,36.3,5181628283,212,16.0,5181628285,213,5.77,5181628281,141,47.5,5181628277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944373,9,1,1,0,27,f1h34qp5zbfl489q8vnkhiq9s,1,36.3,47.5,2024-08-30T17:30:10.904Z,2024-08-30T17:30:12Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5181628297,212,19.7,5181628327,156,,5181628293,140,27.2,5181628299,213,2.08,5181628295,141,72.9,5181628291,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944389,10,1,1,0,28,f1h34qp5zbfl489q8vnkhiq9s,1,27.2,72.9,2024-08-30T17:30:12.608Z,2024-08-30T17:30:13Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5181628401,212,9.4,5181628399,141,62.0,5181628395,56,Back,5181628397,140,32.7,5181628403,213,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944399,11,1,1,0,29,f1h34qp5zbfl489q8vnkhiq9s,0,32.7,62.0,2024-08-30T17:30:13.496Z,2024-08-30T17:30:15Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5181628429,141,94.5,5181628431,212,25.3,5181628425,56,Back,5181628427,140,44.5,5181628433,213,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944405,8,8,1,0,32,bd4qakf7j0wwie8wke9km7uj8,1,52.2,4.9,2024-08-30T17:30:16.320Z,2024-08-30T17:30:16Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5181628463,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944423,9,5,1,0,32,bd4qakf7j0wwie8wke9km7uj8,0,53.5,-1.6,2024-08-30T17:30:16.400Z,2024-08-30T18:30:57Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5181628529,347,,5181628525,56,Right,5181628985,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944507,12,5,1,0,32,f1h34qp5zbfl489q8vnkhiq9s,1,46.5,101.6,2024-08-30T17:30:16.400Z,2024-08-30T18:30:57Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5181628981,233,9,5181628967,347,,5181628965,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944525,13,1,1,0,46,f1h34qp5zbfl489q8vnkhiq9s,0,45.3,100.0,2024-08-30T17:30:30.400Z,2024-08-30T17:30:32Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5181629077,212,30.7,5181629063,107,,5181629081,1,,5181629071,140,73.6,5181629075,141,89.6,5181629079,213,6.03,5181629067,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944545,10,1,1,0,49,bd4qakf7j0wwie8wke9km7uj8,0,29.9,27.5,2024-08-30T17:30:33.752Z,2024-08-30T17:30:38Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5181629219,212,55.4,5181629215,140,77.6,5181629211,157,,5181629213,56,Center,5181629221,213,0.44,5181629223,1,,5181629217,141,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944565,14,1,1,0,55,f1h34qp5zbfl489q8vnkhiq9s,0,28.9,47.8,2024-08-30T17:30:38.808Z,2024-08-30T17:30:40Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,,5181629301,3,,5181629311,213,0.95,5181629305,140,32.3,5181629309,212,6.2,5181629307,141,55.2,5181629303,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944589,12,1,1,0,56,bd4qakf7j0wwie8wke9km7uj8,1,71.9,57.3,2024-08-30T17:30:40.154Z,2024-08-30T17:30:45Z,7pnxa8wzxx5qxevcckxdd62tx,E. Nielsen,,,5181629435,56,Right,5181629439,141,7.1,5181629445,1,,5181629437,140,69.2,5181629441,212,34.3,5181629443,213,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944605,13,1,1,1,1,bd4qakf7j0wwie8wke9km7uj8,1,80.9,5.6,2024-08-30T17:30:45.432Z,2024-08-30T17:30:48Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5181629543,212,26.2,5181629545,213,3.02,5181629537,56,Right,5181629541,141,10.1,5181629539,140,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944621,14,1,1,1,5,bd4qakf7j0wwie8wke9km7uj8,1,54.7,10.6,2024-08-30T17:30:48.809Z,2024-08-30T17:30:51Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5181629633,141,45.5,5181629635,212,30.4,5181629631,140,36.6,5181629629,56,Back,5181629637,213,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944667,15,1,1,1,7,bd4qakf7j0wwie8wke9km7uj8,1,36.0,42.5,2024-08-30T17:30:51.177Z,2024-08-30T17:30:57Z,4brcvdxviy9f03iwcavxll80l,H. Askham,,,5181629869,141,15.5,5181629865,56,Back,5181629871,212,18.8,5181629873,213,4.94,5181629867,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944677,16,1,1,1,13,bd4qakf7j0wwie8wke9km7uj8,1,44.2,18.1,2024-08-30T17:30:56.928Z,2024-08-30T17:30:59Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5181629911,141,28.3,5181629909,140,57.3,5181629915,213,0.47,5181629907,56,Center,5181629913,212,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944683,17,1,1,1,15,bd4qakf7j0wwie8wke9km7uj8,1,57.3,28.3,2024-08-30T17:30:59.280Z,2024-08-30T17:40:31Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5181629963,140,40.3,5181629967,212,19.2,5181629969,213,3.52,5181629965,141,17.9,5181629961,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944699,18,1,1,1,16,bd4qakf7j0wwie8wke9km7uj8,1,40.3,17.9,2024-08-30T17:31:00.232Z,2024-08-30T17:31:02Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5181630043,213,0.66,5181630041,212,11.0,5181630037,140,48.6,5181630035,56,Back,5181630039,141,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944713,19,1,1,1,18,bd4qakf7j0wwie8wke9km7uj8,1,45.0,30.5,2024-08-30T17:31:01.920Z,2024-08-30T17:40:34Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5181630107,141,48.7,5181630103,56,Back,5181630105,140,29.9,5181630109,212,20.1,5181630111,213,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944725,20,1,1,1,20,bd4qakf7j0wwie8wke9km7uj8,1,31.4,48.7,2024-08-30T17:31:04.073Z,2024-08-30T17:31:06Z,4brcvdxviy9f03iwcavxll80l,H. Askham,,,5181630173,56,Back,5181630175,140,33.9,5181630179,212,22.7,5181630181,213,1.45,5181630177,141,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944745,21,1,1,1,22,bd4qakf7j0wwie8wke9km7uj8,1,33.2,84.8,2024-08-30T17:31:06.593Z,2024-08-30T17:31:09Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5181630263,140,42.5,5181630267,212,11.1,5181630265,141,92.7,5181630269,213,0.50,5181630261,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944763,22,1,1,1,25,bd4qakf7j0wwie8wke9km7uj8,0,42.5,92.7,2024-08-30T17:31:09.362Z,2024-08-30T17:31:12Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5181630399,155,,5181630407,212,34.9,5181630411,1,,5181630409,213,6.01,5181630405,141,78.6,5181630401,56,Center,5181630403,140,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944795,15,1,1,1,29,f1h34qp5zbfl489q8vnkhiq9s,1,26.4,17.6,2024-08-30T17:31:12.993Z,2024-08-30T17:31:16Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5181630549,141,17.6,5181630545,56,Back,5181630553,213,0.00,5181630551,212,16.1,5181630547,140,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944801,16,61,1,1,32,f1h34qp5zbfl489q8vnkhiq9s,0,41.7,17.6,2024-08-30T17:31:16.072Z,2024-08-30T17:31:16Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5181630573,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944823,23,1,1,1,34,bd4qakf7j0wwie8wke9km7uj8,1,67.8,69.8,2024-08-30T17:31:18.096Z,2024-08-30T19:36:38Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5181630777,1,,5181630683,212,36.2,5181630681,141,20.6,5181630677,56,Right,5181630685,213,5.11,5181630679,140,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944901,24,1,1,1,36,bd4qakf7j0wwie8wke9km7uj8,1,81.2,20.6,2024-08-30T17:31:20.320Z,2024-08-30T17:31:42Z,duvhbifjh37mvlm46akiy431m,M. Juhl,1.0,,5181631159,213,1.21,5181631155,141,54.3,5181631151,56,Center,5181631421,210,13,5181631153,140,89.5,5181631157,212,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944913,26,13,1,1,40,bd4qakf7j0wwie8wke9km7uj8,1,89.2,51.6,2024-08-30T17:31:23.944Z,2024-08-30T17:43:19Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5181631447,103,59.7,5181631449,215,,5181631453,231,49.3,5181631331,20,,5181631225,56,Center,5181631221,22,,5181631223,17,,5181631439,29,,5181631451,230,99.3,5181665281,328,5181665279,108,5181631441,55,24,5181631437,85,5181631445,102,47.9,,,,,,,,,,,,,,,,,
2714944929,17,5,1,1,40,f1h34qp5zbfl489q8vnkhiq9s,1,-1.1,48.5,2024-08-30T17:31:24.120Z,2024-08-30T18:30:58Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5181631335,56,Back,5181665477,233,25,5181631337,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944903,25,5,1,1,40,bd4qakf7j0wwie8wke9km7uj8,0,101.1,51.5,2024-08-30T17:31:24.120Z,2024-08-30T18:30:58Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5181631181,56,Center,5181665497,233,17,5181631183,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944941,18,1,1,1,56,f1h34qp5zbfl489q8vnkhiq9s,1,4.4,51.8,2024-08-30T17:31:40.403Z,2024-08-30T17:31:41Z,7fkc01xxyl1trj3uav134ehyi,D. Gadegaard,,,5181631399,124,,5181631407,212,12.3,5181631401,56,Back,5181631409,213,1.16,5181631405,141,68.3,5181631413,237,,5181631403,140,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944943,19,1,1,1,57,f1h34qp5zbfl489q8vnkhiq9s,1,9.1,68.3,2024-08-30T17:31:41.152Z,2024-08-30T17:31:43Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5181631425,56,Back,5181631431,212,10.9,5181631429,141,52.4,5181631427,140,7.8,5181631433,213,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944955,20,1,1,1,59,f1h34qp5zbfl489q8vnkhiq9s,0,7.8,52.4,2024-08-30T17:31:42.879Z,2024-08-30T17:31:46Z,7fkc01xxyl1trj3uav134ehyi,D. Gadegaard,,,5181631511,56,Right,5181631509,157,,5181631515,141,20.8,5181631519,213,5.95,5181631513,140,66.5,5181631521,1,,5181631517,212,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944951,27,44,1,2,1,bd4qakf7j0wwie8wke9km7uj8,1,33.6,81.4,2024-08-30T17:31:45.384Z,2024-08-30T18:30:46Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5181631503,285,,5181631501,56,Back,5181631555,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944959,21,44,1,2,1,f1h34qp5zbfl489q8vnkhiq9s,0,66.4,18.6,2024-08-30T17:31:45.385Z,2024-08-30T18:30:46Z,6hmsrr08cllpl4iumu92zskbt,L. From,,,5181631537,56,Right,5181631539,286,,5181631559,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944961,28,1,1,2,1,bd4qakf7j0wwie8wke9km7uj8,0,33.7,84.9,2024-08-30T17:31:45.472Z,2024-08-30T17:31:46Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5181631547,141,76.7,5181631551,213,6.01,5181631543,56,Center,5181631541,3,,5181631545,140,52.6,5181631549,212,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944997,22,1,1,2,4,f1h34qp5zbfl489q8vnkhiq9s,1,49.9,36.4,2024-08-30T17:31:48.103Z,2024-08-30T17:31:52Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5181631783,140,50.3,5181631787,212,11.9,5181631785,141,53.9,5181631789,213,1.54,5181631781,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945021,23,1,1,2,8,f1h34qp5zbfl489q8vnkhiq9s,1,61.8,64.2,2024-08-30T17:31:52.471Z,2024-08-30T17:31:55Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5181631877,140,80.2,5181631881,212,25.8,5181631883,213,0.73,5181631875,56,Left,5181631879,141,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945023,24,1,1,2,11,f1h34qp5zbfl489q8vnkhiq9s,0,93.1,92.7,2024-08-30T17:31:55.648Z,2024-08-30T17:34:35Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5181631907,213,4.52,5181631903,141,56.1,5181631899,56,Center,5181631895,2,,5181631901,140,88.5,5181631905,212,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945027,29,12,1,2,13,bd4qakf7j0wwie8wke9km7uj8,1,10.1,48.2,2024-08-30T17:31:57.199Z,2024-08-30T17:45:47Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5181631919,56,Back,5181631927,213,5.76,5181631941,15,,5181631921,140,16.6,5181631925,212,7.9,5181631923,141,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945033,30,44,1,2,14,bd4qakf7j0wwie8wke9km7uj8,1,17.4,37.4,2024-08-30T17:31:58.177Z,2024-08-30T18:30:47Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5181674079,56,Back,5181674107,233,25,5181674081,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945049,25,44,1,2,14,f1h34qp5zbfl489q8vnkhiq9s,0,82.6,62.6,2024-08-30T17:31:58.178Z,2024-08-30T18:30:47Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5181632045,56,Center,5181674123,233,30,5181638825,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945035,31,12,1,2,14,bd4qakf7j0wwie8wke9km7uj8,1,15.0,40.5,2024-08-30T17:31:58.327Z,2024-08-30T17:46:21Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5181675005,140,23.8,5181675009,212,13.9,5181675011,213,0.84,5181675003,56,Back,5181675087,15,,5181675007,141,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945061,26,1,1,2,18,f1h34qp5zbfl489q8vnkhiq9s,1,70.0,38.9,2024-08-30T17:32:02.168Z,2024-08-30T17:32:04Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5181632135,140,74.3,5181632139,212,11.3,5181632137,141,23.6,5181632133,56,Center,5181632141,213,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
