id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2799111605,98,1,1,0,9,ajtb177oqwawkdwbqhldmq6mx,1,26.2,86.3,2025-04-11T16:30:29.766Z,2025-04-11T16:42:56Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,5641020389,212,11.5,5641020387,141,90.6,5641020385,140,36.8,5641020393,213,0.26,5641020383,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799106227,29,61,1,0,10,ajtb177oqwawkdwbqhldmq6mx,0,36.2,94.4,2025-04-11T16:30:30.527Z,2025-04-11T16:35:31Z,kqj7nh6pqmqbt0abyyu0fcpg,O. Addo,,5640989143,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103581,7,43,1,0,13,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-04-11T16:30:33.465Z,2025-04-11T16:30:40Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5640975285,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103625,8,1,1,0,14,b2vft81kyjurzbmekvgrqwr64,0,70.1,10.6,2025-04-11T16:30:33.881Z,2025-04-11T16:30:37Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5640975161,213,0.01,5640975159,212,23.7,5640975151,155,,5640975157,141,10.9,5640975155,140,92.7,5640975153,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103639,6,1,1,0,17,ajtb177oqwawkdwbqhldmq6mx,1,7.2,89.4,2025-04-11T16:30:37.375Z,2025-04-11T16:30:38Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5640975207,56,Back,5640975211,141,78.5,5640975213,212,11.8,5640975215,213,5.61,5640975209,140,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103659,7,1,1,0,18,ajtb177oqwawkdwbqhldmq6mx,1,16.0,78.5,2025-04-11T16:30:38.759Z,2025-04-11T16:30:40Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,5640975303,140,12.2,5640975305,141,95.7,5640975309,213,1.90,5640975301,56,Back,5640975307,212,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103735,8,1,1,0,20,ajtb177oqwawkdwbqhldmq6mx,1,12.2,95.7,2025-04-11T16:30:40.591Z,2025-04-11T16:30:46Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,5640975721,212,53.7,5640975719,141,18.0,5640975715,56,Back,5640975713,157,,5640975725,1,,5640975723,213,4.89,5640975717,140,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103759,9,1,1,0,26,ajtb177oqwawkdwbqhldmq6mx,1,23.5,8.6,2025-04-11T16:30:46.384Z,2025-04-11T16:30:48Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5640975867,213,6.17,5640975861,140,40.4,5640975859,56,Back,5640975863,141,5.6,5640975865,212,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103799,10,1,1,0,28,ajtb177oqwawkdwbqhldmq6mx,0,40.5,5.6,2025-04-11T16:30:48.111Z,2025-04-11T16:30:50Z,8viazilbghyogmhd7w3lg2six,S. Koch,,5640976075,212,26.4,5640976073,141,38.6,5640976069,56,Center,5640976077,213,1.02,5640976071,140,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103819,9,8,1,0,32,b2vft81kyjurzbmekvgrqwr64,1,43.7,67.8,2025-04-11T16:30:52.681Z,2025-04-11T16:30:52Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,5640976195,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103871,11,1,1,0,34,ajtb177oqwawkdwbqhldmq6mx,1,40.2,34.0,2025-04-11T16:30:54.264Z,2025-04-11T18:54:59Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5640976441,141,13.5,5640976445,213,5.72,5640976443,212,26.0,5640976439,140,61.1,5640976435,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103909,12,1,1,0,40,ajtb177oqwawkdwbqhldmq6mx,1,79.9,6.1,2025-04-11T16:31:00.360Z,2025-04-11T16:31:02Z,e3n8xatusmgu7ttqpfdjanp3p,V. Hammershøy-Mistrati,,5640976645,213,2.39,5640976643,212,19.3,5640976637,56,Center,5640976641,141,25.5,5640976639,140,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103921,13,1,1,0,42,ajtb177oqwawkdwbqhldmq6mx,1,66.5,25.5,2025-04-11T16:31:02.272Z,2025-04-11T16:31:03Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5640976717,141,33.4,5640976719,212,12.5,5640976721,213,0.45,5640976713,56,Center,5640976715,140,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103957,14,1,1,0,43,ajtb177oqwawkdwbqhldmq6mx,1,77.2,33.4,2025-04-11T16:31:03.343Z,2025-04-11T16:39:28Z,8viazilbghyogmhd7w3lg2six,S. Koch,,5641007603,156,,5640976935,140,74.6,5640976933,56,Center,5640976939,212,5.0,5640976941,213,4.13,5640976937,141,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103975,15,1,1,0,45,ajtb177oqwawkdwbqhldmq6mx,1,74.6,27.3,2025-04-11T16:31:05.407Z,2025-04-11T16:31:07Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5640977083,56,Center,5640977085,140,62.6,5640977089,212,19.4,5640977087,141,49.0,5640977091,213,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103983,16,1,1,0,47,ajtb177oqwawkdwbqhldmq6mx,1,62.6,49.0,2025-04-11T16:31:07.711Z,2025-04-11T16:31:08Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,5640977143,213,0.74,5640977135,56,Center,5640977141,212,11.3,5640977139,141,60.2,5640977137,140,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104003,17,1,1,0,48,ajtb177oqwawkdwbqhldmq6mx,1,71.2,60.6,2025-04-11T16:31:08.575Z,2025-04-11T16:31:10Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,5640977263,56,Left,5640977265,140,67.8,5640977295,156,,5640977271,213,1.84,5640977267,141,79.3,5640977269,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104015,18,1,1,0,51,ajtb177oqwawkdwbqhldmq6mx,0,68.5,79.4,2025-04-11T16:31:10.879Z,2025-04-11T16:31:12Z,kqj7nh6pqmqbt0abyyu0fcpg,O. Addo,,5640977365,212,23.2,5640977363,141,70.3,5640977359,56,Center,5640977361,140,89.8,5640977367,213,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104059,11,1,1,0,53,b2vft81kyjurzbmekvgrqwr64,0,22.5,30.0,2025-04-11T16:31:13.388Z,2025-04-11T16:31:15Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5640977579,140,36.3,5640977585,213,5.50,5640977577,56,Back,5640977583,212,20.5,5640977581,141,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104065,19,1,1,0,55,ajtb177oqwawkdwbqhldmq6mx,0,57.1,90.8,2025-04-11T16:31:15.847Z,2025-04-11T16:31:17Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,5640977607,212,11.8,5640977673,236,,5640977609,213,0.00,5640977601,56,Left,5640977685,286,,5640977677,233,12,5640977603,140,68.3,5640977605,141,90.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104079,12,74,1,0,55,b2vft81kyjurzbmekvgrqwr64,1,33.2,5.5,2025-04-11T16:31:15.848Z,2025-04-11T19:59:26Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,5640977665,285,,5640977663,56,Back,5640977699,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104161,20,5,1,0,58,ajtb177oqwawkdwbqhldmq6mx,1,64.8,101.5,2025-04-11T16:31:18.063Z,2025-04-11T16:35:37Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,5640978103,56,Left,5640978105,347,,5640978173,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104099,13,5,1,0,58,b2vft81kyjurzbmekvgrqwr64,0,35.2,-1.5,2025-04-11T16:31:18.714Z,2025-04-11T16:35:38Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5640977781,56,Back,5640978205,233,20,5640977783,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104187,21,1,1,1,3,ajtb177oqwawkdwbqhldmq6mx,1,62.5,100.0,2025-04-11T16:31:23.735Z,2025-04-11T16:31:25Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,5640978251,1,,5640978247,212,23.6,5640978239,107,,5640978243,140,42.0,5640978245,141,87.1,5640978241,56,Back,5640978249,213,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104245,22,1,1,1,5,ajtb177oqwawkdwbqhldmq6mx,1,42.0,87.1,2025-04-11T16:31:24.999Z,2025-04-11T16:31:30Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,5640978559,140,36.9,5640978561,141,46.6,5640978565,213,4.52,5640978563,212,28.1,5640978557,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104299,23,1,1,1,10,ajtb177oqwawkdwbqhldmq6mx,1,37.0,39.1,2025-04-11T16:31:29.912Z,2025-04-11T16:31:34Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,5640978821,141,70.3,5640978819,140,37.5,5640978823,212,21.2,5640978827,213,1.55,5640978817,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104311,24,1,1,1,14,ajtb177oqwawkdwbqhldmq6mx,0,42.4,84.1,2025-04-11T16:31:34.769Z,2025-04-11T16:31:36Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,5640978881,213,0.05,5640978883,1,,5640978877,141,86.6,5640978875,140,74.6,5640978873,56,Left,5640978871,155,,5640978879,212,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104335,14,1,1,1,17,b2vft81kyjurzbmekvgrqwr64,0,32.1,10.6,2025-04-11T16:31:37.458Z,2025-04-11T16:31:38Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5640979021,212,12.5,5640979019,141,15.5,5640979017,140,43.6,5640979013,3,,5640979015,56,Back,5640979023,213,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104385,15,1,1,1,20,b2vft81kyjurzbmekvgrqwr64,1,43.7,15.6,2025-04-11T16:31:40.242Z,2025-04-11T16:34:55Z,8gqvlydur0v4cpmz1ozqkejh0,M. Bruhn,,5640979277,212,7.1,5640990185,156,,5640979271,56,Back,5640979279,213,3.70,5640979275,141,10.1,5640979273,140,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104399,16,1,1,1,22,b2vft81kyjurzbmekvgrqwr64,1,38.1,10.3,2025-04-11T16:31:42.034Z,2025-04-11T16:31:43Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,5640979341,212,5.8,5640979337,140,34.8,5640979339,141,3.4,5640979335,56,Back,5640979343,213,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104417,17,1,1,1,23,b2vft81kyjurzbmekvgrqwr64,1,34.8,3.4,2025-04-11T16:31:43.738Z,2025-04-11T16:31:45Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,5640979435,56,Back,5640979443,213,2.52,5640979441,212,18.1,5640979439,141,18.9,5640979437,140,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104437,18,1,1,1,25,b2vft81kyjurzbmekvgrqwr64,1,21.4,20.7,2025-04-11T16:31:45.218Z,2025-04-11T16:31:47Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5640979533,140,9.7,5640979535,141,38.2,5640979539,213,2.37,5640979537,212,17.1,5640979531,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799106823,41,1,1,1,26,b2vft81kyjurzbmekvgrqwr64,1,24.6,21.3,2025-04-11T16:31:46.302Z,2025-04-11T16:35:43Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,5640992819,56,Back,5640992821,140,8.7,5640992825,212,18.7,5640992823,141,33.6,5640992827,213,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104457,19,1,1,1,27,b2vft81kyjurzbmekvgrqwr64,0,9.7,38.2,2025-04-11T16:31:47.210Z,2025-04-11T16:31:49Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,5640979611,141,0.0,5640979607,56,Back,5640979615,213,5.48,5640979613,212,38.0,5640979617,1,,5640979609,140,34.9,5640979605,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104465,20,5,1,1,29,b2vft81kyjurzbmekvgrqwr64,0,35.2,-2.0,2025-04-11T16:31:49.222Z,2025-04-11T16:32:07Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,5640979651,347,,5640980517,233,25,5640979649,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104591,25,5,1,1,29,ajtb177oqwawkdwbqhldmq6mx,1,64.9,102.0,2025-04-11T16:31:49.672Z,2025-04-11T16:32:08Z,9y3vs6l0mjj38z0kw062jlh3p,A. Vaporakis,,5640980447,56,Left,5640980449,347,,5640980501,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104615,26,1,1,1,46,ajtb177oqwawkdwbqhldmq6mx,1,68.0,100.0,2025-04-11T16:32:06.791Z,2025-04-11T16:32:08Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,5640980637,141,92.6,5640980641,213,5.44,5640980633,56,Left,5640980635,140,73.3,5640980631,107,,5640980639,212,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104621,27,1,1,1,48,ajtb177oqwawkdwbqhldmq6mx,0,73.3,92.6,2025-04-11T16:32:08.823Z,2025-04-11T16:32:17Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,5640980677,212,6.9,5640980679,213,5.35,5640980671,56,Left,5640981131,168,,5640980673,140,77.2,5640980675,141,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104735,23,1,1,1,56,b2vft81kyjurzbmekvgrqwr64,1,28.0,47.3,2025-04-11T16:32:16.316Z,2025-04-11T16:32:19Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,5640981277,213,1.54,5640981269,56,Back,5640981271,140,28.7,5640981275,212,24.8,5640981273,141,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104773,24,1,1,1,59,b2vft81kyjurzbmekvgrqwr64,1,27.0,85.9,2025-04-11T16:32:19.490Z,2025-04-11T16:32:21Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5640981471,212,28.1,5640981465,56,Back,5640981469,141,53.9,5640981467,140,10.0,5640981473,213,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104835,25,1,1,2,1,b2vft81kyjurzbmekvgrqwr64,1,10.0,53.9,2025-04-11T16:32:21.330Z,2025-04-11T16:32:25Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,5640981781,213,5.87,5640981765,56,Back,5640981767,140,34.1,5640981775,212,27.6,5640981771,141,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104875,26,1,1,2,5,b2vft81kyjurzbmekvgrqwr64,1,36.3,40.7,2025-04-11T16:32:25.602Z,2025-04-11T16:32:27Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,5640981947,212,28.0,5640981949,213,1.55,5640981941,56,Back,5640981945,141,81.8,5640981943,140,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799104953,27,1,1,2,7,b2vft81kyjurzbmekvgrqwr64,1,36.8,81.8,2025-04-11T16:32:27.346Z,2025-04-11T16:32:34Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5640982401,213,3.91,5640982399,212,11.9,5640982395,140,28.7,5640982393,56,Back,5640982397,141,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799105045,28,1,1,2,14,b2vft81kyjurzbmekvgrqwr64,1,41.9,78.8,2025-04-11T16:32:34.571Z,2025-04-11T16:32:40Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,5640982823,140,46.5,5640982825,141,56.0,5640982827,212,16.2,5640982829,213,5.01,5640982821,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799105061,29,1,1,2,20,b2vft81kyjurzbmekvgrqwr64,1,46.5,56.0,2025-04-11T16:32:40.547Z,2025-04-11T19:59:29Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,5640982939,140,42.1,5640982943,212,23.8,5640982945,213,1.77,5640982941,141,90.3,5640982937,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
