id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2726883485,7,1,1,0,23,b2vft81kyjurzbmekvgrqwr64,1,65.6,20.0,2024-09-28T13:01:49.003Z,2024-09-28T13:01:53Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5246974525,213,2.65,5246974521,141,39.7,5246974519,140,41.6,5246974517,56,Back,5246974523,212,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883509,8,1,1,0,27,b2vft81kyjurzbmekvgrqwr64,1,41.6,39.7,2024-09-28T13:01:53.692Z,2024-09-28T13:01:55Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5246974703,212,26.3,5246974693,140,18.7,5246974709,213,2.72,5246974689,56,Back,5246974697,141,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883533,9,1,1,0,29,b2vft81kyjurzbmekvgrqwr64,1,18.7,55.4,2024-09-28T13:01:55.388Z,2024-09-28T13:01:56Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5246974813,56,Back,5246974819,212,26.8,5246974817,141,28.9,5246974815,140,37.6,5246974821,213,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883675,10,1,1,0,30,b2vft81kyjurzbmekvgrqwr64,1,37.6,28.9,2024-09-28T13:01:56.299Z,2024-09-28T13:02:03Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5246975525,56,Back,5246975537,141,47.5,5246975531,140,17.7,5246975543,212,24.4,5246975549,213,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883755,11,1,1,0,37,b2vft81kyjurzbmekvgrqwr64,1,11.1,41.2,2024-09-28T13:02:03.379Z,2024-09-28T13:49:39Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5246976027,140,73.1,5246976035,1,,5246976025,56,Center,5246976023,157,,5246976029,141,31.8,5246976033,213,6.19,5246976031,212,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883841,12,1,1,0,38,b2vft81kyjurzbmekvgrqwr64,0,60.6,46.7,2024-09-28T13:02:04.644Z,2024-09-28T20:04:31Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5246976543,140,51.8,5246976549,213,3.46,5246976547,212,9.7,5246976545,141,42.2,5246976541,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883851,5,1,1,0,45,a9vw7ikerpr4cuweeeka5aneg,1,41.9,64.9,2024-09-28T13:02:11.145Z,2024-09-28T13:02:12Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5246976581,212,11.7,5246976579,141,73.5,5246976583,213,0.52,5246976577,140,51.6,5246976575,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726938923,424,83,1,0,46,b2vft81kyjurzbmekvgrqwr64,0,39.7,59.0,2024-09-28T13:02:11.979Z,2024-09-28T13:50:45Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5247276253,399,9dh7cnu4uzbraeck0t5iqlj4k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883863,6,43,1,0,46,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-28T13:02:12.449Z,2024-09-28T13:02:48Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5246976627,286,0,5246976625,56,Center,5246980307,144,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883909,8,1,1,0,48,a9vw7ikerpr4cuweeeka5aneg,1,62.4,78.5,2024-09-28T13:02:14.536Z,2024-09-28T13:02:16Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5246976937,141,88.3,5246976935,140,73.4,5246976933,56,Left,5246976939,212,13.3,5246976941,213,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884015,9,1,1,0,49,a9vw7ikerpr4cuweeeka5aneg,1,74.5,88.7,2024-09-28T13:02:15.921Z,2024-09-28T13:02:21Z,cqsc3mj8klukkgutdrpegybdg,K. Karikari,,,5246977523,140,87.3,5246977529,213,5.68,5246977527,212,16.3,5246977525,141,75.1,5246977521,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883987,13,83,1,0,54,b2vft81kyjurzbmekvgrqwr64,0,27.1,29.2,2024-09-28T13:02:19.980Z,2024-09-28T13:02:23Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5246977763,399,cl4xl80n4gew1ox03r3ooshrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884045,10,1,1,0,55,a9vw7ikerpr4cuweeeka5aneg,1,91.3,92.6,2024-09-28T13:02:21.315Z,2024-09-28T13:02:24Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5246977705,141,93.8,5246977701,56,Left,5246977703,140,74.9,5246977709,213,3.09,5246977707,212,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884101,11,1,1,0,58,a9vw7ikerpr4cuweeeka5aneg,1,70.6,88.3,2024-09-28T13:02:24.337Z,2024-09-28T13:02:25Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5246977955,212,6.9,5246977949,56,Left,5246977957,213,0.25,5246977951,140,77.0,5246977953,141,90.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884139,12,1,1,0,59,a9vw7ikerpr4cuweeeka5aneg,1,78.1,90.2,2024-09-28T13:02:25.656Z,2024-09-28T13:02:28Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5246978187,212,12.1,5246978185,141,89.3,5246978183,140,89.6,5246978189,213,6.23,5246978181,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884229,13,1,1,1,2,a9vw7ikerpr4cuweeeka5aneg,1,92.3,91.2,2024-09-28T13:02:27.985Z,2024-09-28T13:02:34Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5246978657,213,4.84,5246978655,212,9.1,5246978649,56,Center,5246978653,141,77.9,5246978651,140,93.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884235,14,1,1,1,7,a9vw7ikerpr4cuweeeka5aneg,0,94.7,72.2,2024-09-28T13:02:33.800Z,2024-09-28T13:51:43Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5247279867,140,94.7,5246978683,56,Center,5247279921,286,,5247279917,233,14,5247279869,141,68.7,5247279873,213,4.71,5247279863,2,,5247279915,236,,5247279871,212,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884281,14,12,1,1,7,b2vft81kyjurzbmekvgrqwr64,1,8.6,27.6,2024-09-28T13:02:33.900Z,2024-09-28T13:51:42Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5247279963,233,14,5247279895,185,,5246978923,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884291,15,61,1,1,10,a9vw7ikerpr4cuweeeka5aneg,1,93.0,74.7,2024-09-28T13:02:36.482Z,2024-09-28T13:02:36Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5246978969,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884643,15,5,1,1,11,b2vft81kyjurzbmekvgrqwr64,1,-1.2,39.0,2024-09-28T13:02:37.730Z,2024-09-28T15:12:56Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5246980721,346,,5246980775,233,16,5246980719,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884315,16,5,1,1,11,a9vw7ikerpr4cuweeeka5aneg,0,101.2,61.0,2024-09-28T13:02:37.730Z,2024-09-28T15:12:57Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5246980803,233,15,5246979101,346,,5246979099,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884683,16,1,1,1,25,b2vft81kyjurzbmekvgrqwr64,0,4.4,50.0,2024-09-28T13:02:51.220Z,2024-09-28T13:02:55Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5246980957,74,,5246980955,1,,5246980943,124,,5246980949,141,47.3,5246980953,213,6.25,5246980945,56,Center,5246980951,212,64.9,5246980947,140,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884715,17,1,1,1,29,a9vw7ikerpr4cuweeeka5aneg,0,37.3,55.7,2024-09-28T13:02:55.944Z,2024-09-28T13:03:57Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5246981127,56,Back,5246981129,140,49.7,5246981133,212,13.2,5246981125,3,,5246981131,141,58.7,5246981135,213,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884741,18,43,1,1,31,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-28T13:02:57.377Z,2024-09-28T13:03:08Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5246981241,56,Back,5246982449,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884809,17,1,1,1,34,b2vft81kyjurzbmekvgrqwr64,0,55.5,57.9,2024-09-28T13:03:00.236Z,2024-09-28T13:52:10Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5246981665,56,Center,5246981671,212,30.9,5246981669,141,57.9,5246981673,213,0.00,5246981667,140,84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884855,20,1,1,1,35,a9vw7ikerpr4cuweeeka5aneg,1,30.3,45.7,2024-09-28T13:03:01.088Z,2024-09-28T13:03:03Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5246981903,141,34.5,5246981901,140,30.5,5246981899,56,Back,5246981907,213,4.74,5246981905,212,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884883,21,1,1,1,37,a9vw7ikerpr4cuweeeka5aneg,0,27.4,23.1,2024-09-28T13:03:03.600Z,2024-09-28T13:03:05Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5246982055,140,45.6,5246982057,141,0.0,5246982051,157,,5246982061,213,5.58,5246982063,1,,5246982059,212,25.1,5246982053,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885125,18,5,1,1,39,b2vft81kyjurzbmekvgrqwr64,1,55.9,101.0,2024-09-28T13:03:05.010Z,2024-09-28T15:12:57Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5246983363,233,22,5246983309,347,,5246983307,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726884889,22,5,1,1,39,a9vw7ikerpr4cuweeeka5aneg,0,44.1,-1.0,2024-09-28T13:03:05.010Z,2024-09-28T15:12:58Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5246983411,233,18,5246982121,56,Back,5246982123,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885205,19,1,1,1,51,b2vft81kyjurzbmekvgrqwr64,1,60.4,100.0,2024-09-28T13:03:16.980Z,2024-09-28T13:03:20Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5246983811,213,4.68,5246983807,141,74.4,5246983805,140,59.8,5246983803,56,Center,5246983809,212,18.5,5246983801,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885223,20,1,1,1,54,b2vft81kyjurzbmekvgrqwr64,0,61.2,76.9,2024-09-28T13:03:20.412Z,2024-09-28T13:03:23Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5246983903,213,6.04,5246983899,141,71.5,5246983897,140,75.5,5246983895,56,Center,5246983901,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885411,24,1,1,1,56,a9vw7ikerpr4cuweeeka5aneg,1,27.7,15.8,2024-09-28T13:03:22.537Z,2024-09-28T13:03:30Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5246984823,1,,5246984813,140,89.0,5246984819,213,6.20,5246984811,56,Right,5246984817,212,64.6,5246984809,157,,5246984815,141,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885437,25,1,1,2,4,a9vw7ikerpr4cuweeeka5aneg,0,93.0,7.6,2024-09-28T13:03:30.280Z,2024-09-28T13:03:31Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5246984999,140,91.2,5246985005,213,1.69,5246984993,2,,5246984997,56,Center,5246985001,141,31.2,5246985003,212,16.2,5246984995,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885485,21,12,1,2,4,b2vft81kyjurzbmekvgrqwr64,1,12.5,64.5,2024-09-28T13:03:30.805Z,2024-09-28T13:03:36Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5246985293,212,23.0,5246985287,56,Back,5246985289,140,33.8,5246985295,213,0.24,5246985291,141,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885479,26,61,1,2,9,a9vw7ikerpr4cuweeeka5aneg,0,79.6,25.5,2024-09-28T13:03:35.104Z,2024-09-28T13:08:12Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5246985257,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885621,22,5,1,2,9,b2vft81kyjurzbmekvgrqwr64,1,-1.2,71.7,2024-09-28T13:03:35.940Z,2024-09-28T15:12:58Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5246985983,233,27,5246985933,346,,5246985931,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885503,27,5,1,2,9,a9vw7ikerpr4cuweeeka5aneg,0,101.2,28.3,2024-09-28T13:03:35.940Z,2024-09-28T15:12:58Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5246985379,56,Center,5246985381,346,,5246986041,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885983,23,1,1,2,31,b2vft81kyjurzbmekvgrqwr64,1,4.4,49.4,2024-09-28T13:03:57.294Z,2024-09-28T13:04:01Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5246987951,141,29.2,5246987947,56,Back,5246987959,237,,5246987953,212,18.2,5246987945,124,,5246987955,213,5.43,5246987949,140,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726886027,24,1,1,2,35,b2vft81kyjurzbmekvgrqwr64,1,21.6,21.2,2024-09-28T13:04:01.076Z,2024-09-28T13:04:04Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5246988199,141,11.4,5246988189,56,Back,5246988207,213,5.90,5246988191,140,37.2,5246988203,212,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726886053,25,1,1,2,38,b2vft81kyjurzbmekvgrqwr64,0,34.8,10.9,2024-09-28T13:04:04.252Z,2024-09-28T13:53:09Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5246988305,56,Back,5246988313,213,0.77,5246988311,212,17.9,5246988307,140,47.1,5246988309,141,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726886059,26,43,1,2,39,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-28T13:04:05.403Z,2024-09-28T13:10:03Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5246988349,141,40.7,5246988353,213,1.70,5246988345,56,Back,5246988351,212,7.9,5247026101,144,1,5246988347,140,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726891887,99,8,1,2,40,a9vw7ikerpr4cuweeeka5aneg,1,47.3,78.5,2024-09-28T13:04:06.071Z,2024-09-28T13:10:26Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5247020733,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726886097,29,1,1,2,40,a9vw7ikerpr4cuweeeka5aneg,1,62.3,71.8,2024-09-28T13:04:06.344Z,2024-09-28T13:04:07Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5246988503,141,78.4,5246988501,140,67.7,5246988507,213,0.67,5246988505,212,7.2,5246988499,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726886115,30,1,1,2,41,a9vw7ikerpr4cuweeeka5aneg,1,71.0,80.0,2024-09-28T13:04:07.768Z,2024-09-28T13:04:08Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5246988583,212,8.7,5246988585,213,5.87,5246988579,140,78.6,5246988577,56,Center,5246988581,141,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726886131,31,1,1,2,42,a9vw7ikerpr4cuweeeka5aneg,1,78.6,74.8,2024-09-28T13:04:08.768Z,2024-09-28T14:06:26Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5246988671,140,73.1,5246988669,56,Center,5246988673,141,73.5,5246988675,212,5.8,5247024259,156,,5246988677,213,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726886145,32,1,1,2,43,a9vw7ikerpr4cuweeeka5aneg,0,73.1,73.5,2024-09-28T13:04:09.760Z,2024-09-28T13:04:10Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5246988735,140,82.0,5246988741,213,0.72,5246988739,212,12.5,5246988737,141,85.6,5246988733,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726886175,27,1,1,2,45,b2vft81kyjurzbmekvgrqwr64,0,30.5,29.5,2024-09-28T13:04:11.612Z,2024-09-28T13:04:13Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5246988913,3,,5246988923,213,0.95,5246988919,141,36.0,5246988917,140,33.5,5246988915,56,Back,5246988921,212,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
