id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2707196187,4,7,1,0,9,7gkglopz9cjsysn2u6sbhuvc5,1,19.4,87.6,2024-08-10T11:59:56.292Z,2024-08-10T12:00:04Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5138870563,285,,5138870561,56,Back,5138870559,167,,5138870603,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196231,5,5,1,0,11,7gkglopz9cjsysn2u6sbhuvc5,0,16.0,101.6,2024-08-10T11:59:57.401Z,2024-08-10T14:24:15Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5138870797,233,8,5138870769,347,,5138870767,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196219,8,5,1,0,11,b8oqgvx1ijeyn6y1cn6929ix4,1,84.0,-1.6,2024-08-10T11:59:57.401Z,2024-08-10T14:24:14Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5138870725,56,Right,5138870727,347,,5138870771,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196343,9,1,1,0,31,b8oqgvx1ijeyn6y1cn6929ix4,0,86.7,0.0,2024-08-10T12:00:18.192Z,2024-08-10T12:00:20Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5138871341,107,,5138871349,212,33.9,5138871345,140,87.0,5138871347,141,48.8,5138871353,1,,5138871351,213,1.56,5138871343,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196363,6,12,1,0,35,7gkglopz9cjsysn2u6sbhuvc5,1,11.8,55.5,2024-08-10T12:00:21.682Z,2024-08-10T15:41:30Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5138871439,56,Back,5138871493,15,,5138871443,141,48.5,5138871441,140,38.6,5138871445,212,28.5,5138871447,213,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196409,10,1,1,0,43,b8oqgvx1ijeyn6y1cn6929ix4,1,57.4,64.2,2024-08-10T12:00:29.767Z,2024-08-10T15:41:32Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5138871729,213,3.61,5138871727,212,45.3,5138871723,140,18.9,5138871725,141,34.2,5138871721,56,Back,5138871731,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196431,11,1,1,0,45,b8oqgvx1ijeyn6y1cn6929ix4,1,18.9,34.2,2024-08-10T12:00:31.455Z,2024-08-10T12:00:35Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5138871855,212,25.4,5138871851,140,25.9,5138871857,213,1.28,5138871853,141,70.0,5138871849,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196489,12,1,1,0,48,b8oqgvx1ijeyn6y1cn6929ix4,1,25.9,82.3,2024-08-10T12:00:34.897Z,2024-08-10T12:00:39Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5138872141,1,,5138872131,56,Left,5138872135,141,94.5,5138872133,140,71.2,5138872139,213,0.17,5138872137,212,48.3,5138872129,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196497,13,61,1,0,53,b8oqgvx1ijeyn6y1cn6929ix4,1,71.2,94.5,2024-08-10T12:00:39.567Z,2024-08-10T15:41:34Z,f1ba9g771s0zeel0titcj3omi,A. Njai,,,5138872165,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196609,7,5,1,0,54,7gkglopz9cjsysn2u6sbhuvc5,1,23.7,-1.6,2024-08-10T12:00:40.554Z,2024-08-10T14:24:15Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5138872605,56,Back,5138872607,347,,5138872623,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196507,14,5,1,0,54,b8oqgvx1ijeyn6y1cn6929ix4,0,76.3,101.6,2024-08-10T12:00:40.554Z,2024-08-10T14:24:15Z,f1ba9g771s0zeel0titcj3omi,A. Njai,,,5138872641,233,7,5138872207,347,,5138872205,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196615,8,1,1,1,4,7gkglopz9cjsysn2u6sbhuvc5,0,28.6,0.0,2024-08-10T12:00:51.337Z,2024-08-10T12:00:53Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5138872671,140,31.5,5138872675,212,5.4,5138872669,56,Back,5138872667,107,,5138872673,141,4.9,5138872677,213,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196629,15,8,1,1,7,b8oqgvx1ijeyn6y1cn6929ix4,1,61.2,82.6,2024-08-10T12:00:54.064Z,2024-08-10T12:00:54Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5138872737,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196647,16,1,1,1,9,b8oqgvx1ijeyn6y1cn6929ix4,1,64.2,72.0,2024-08-10T12:00:55.497Z,2024-08-10T15:41:35Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5138872827,141,56.7,5138872829,212,10.6,5138872823,56,Center,5138872831,213,4.88,5138872825,140,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196653,18,43,1,1,11,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-10T12:00:57.831Z,2024-08-10T12:01:05Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5138873197,144,50,5138872849,286,0,5138872847,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196667,19,4,1,1,13,b8oqgvx1ijeyn6y1cn6929ix4,1,70.1,62.0,2024-08-10T12:00:59.583Z,2024-08-10T12:01:08Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5138872973,56,Center,5138873101,233,9,5138872975,152,,5138872979,286,,5138873473,295,,5138872971,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196671,9,4,1,1,13,7gkglopz9cjsysn2u6sbhuvc5,0,29.9,38.0,2024-08-10T12:00:59.584Z,2024-08-10T12:01:08Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5138873123,233,19,5138873073,152,,5138873067,13,,5138873069,295,,5138873075,285,,5138873071,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197013,20,1,1,1,44,b8oqgvx1ijeyn6y1cn6929ix4,1,68.8,64.5,2024-08-10T12:01:30.822Z,2024-08-10T12:01:58Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,1.0,,5138874887,213,5.78,5138874857,140,94.6,5138874883,141,42.4,5138874853,152,,5138876121,154,,5138874849,5,,5138874851,155,,5138874885,212,31.0,5138874855,56,Center,5138876119,210,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2707201721,89,44,1,1,46,b8oqgvx1ijeyn6y1cn6929ix4,1,90.9,49.0,2024-08-10T12:01:32.408Z,2024-08-10T14:20:32Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5138901629,233,10,5138901591,286,,5138901587,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197033,10,44,1,1,46,7gkglopz9cjsysn2u6sbhuvc5,0,9.1,51.0,2024-08-10T12:01:32.409Z,2024-08-10T15:41:39Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5138874977,285,,5138874975,56,Back,5138901679,233,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197019,21,13,1,1,46,b8oqgvx1ijeyn6y1cn6929ix4,1,94.6,42.4,2024-08-10T12:01:32.527Z,2024-08-10T14:30:36Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5138875583,15,,5138876127,75,,5138876129,29,,5138876143,102,32.6,5138876159,231,48.9,5138876157,230,99.7,5138875581,24,,5138876133,55,20,5138875587,328,,5138875589,153,,5138876147,103,8.3,5138876153,146,98.4,5138874895,56,Center,5138874893,60,5138876131,154,5138876155,147,37.9,,,,,,,,,,
2707197093,23,61,1,1,48,b8oqgvx1ijeyn6y1cn6929ix4,1,93.7,31.6,2024-08-10T12:01:34.354Z,2024-08-10T12:01:45Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5138875293,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197069,11,5,1,1,51,7gkglopz9cjsysn2u6sbhuvc5,1,-1.4,61.0,2024-08-10T12:01:37.623Z,2024-08-10T14:24:16Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5138875191,233,22,5138875127,346,,5138875125,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197047,22,5,1,1,51,b8oqgvx1ijeyn6y1cn6929ix4,0,101.4,39.0,2024-08-10T12:01:37.623Z,2024-08-10T14:24:16Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5138875209,233,11,5138875037,346,,5138875035,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197261,12,1,1,2,11,7gkglopz9cjsysn2u6sbhuvc5,0,3.8,54.9,2024-08-10T12:01:57.961Z,2024-08-10T12:02:00Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5138876253,56,Center,5138876249,124,,5138876263,1,,5138876255,140,58.7,5138876259,212,57.7,5138876257,141,58.8,5138876261,213,0.05,5138876265,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197293,24,1,1,2,14,b8oqgvx1ijeyn6y1cn6929ix4,1,33.4,44.0,2024-08-10T12:02:01.310Z,2024-08-10T12:02:06Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5138876453,213,6.13,5138876447,140,57.2,5138876449,141,38.5,5138876445,56,Center,5138876443,3,,5138876451,212,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197307,25,1,1,2,20,b8oqgvx1ijeyn6y1cn6929ix4,1,57.2,38.5,2024-08-10T12:02:06.606Z,2024-08-10T12:02:07Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5138876517,213,2.04,5138876519,1,,5138876513,141,94.5,5138876507,155,,5138876509,56,Back,5138876511,140,38.9,5138876515,212,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197313,26,43,1,2,21,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-10T12:02:07.517Z,2024-08-10T12:02:54Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5138878845,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197321,27,43,1,2,21,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-10T12:02:07.725Z,2024-08-10T12:02:49Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5138878563,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197347,29,43,1,2,25,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-10T12:02:12.326Z,2024-08-10T12:02:52Z,f1ba9g771s0zeel0titcj3omi,A. Njai,,,5138878787,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197361,30,1,1,2,26,b8oqgvx1ijeyn6y1cn6929ix4,1,38.5,94.5,2024-08-10T12:02:12.416Z,2024-08-10T12:02:13Z,f1ba9g771s0zeel0titcj3omi,A. Njai,,,5138876757,141,82.0,5138876759,212,8.6,5138876755,140,37.0,5138876761,213,4.53,5138876753,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197369,31,1,1,2,26,b8oqgvx1ijeyn6y1cn6929ix4,1,37.0,82.0,2024-08-10T12:02:13.229Z,2024-08-10T12:02:14Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5138876805,56,Left,5138876813,213,0.51,5138876809,141,96.2,5138876807,140,53.3,5138876811,212,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197389,32,1,1,2,27,b8oqgvx1ijeyn6y1cn6929ix4,1,53.3,96.2,2024-08-10T12:02:14.078Z,2024-08-10T12:10:03Z,f1ba9g771s0zeel0titcj3omi,A. Njai,,,5138876923,213,3.61,5138876919,141,82.7,5138876917,140,36.1,5138876915,56,Back,5138876921,212,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197411,33,1,1,2,28,b8oqgvx1ijeyn6y1cn6929ix4,1,36.1,82.7,2024-08-10T12:02:15.239Z,2024-08-10T12:02:17Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5138877019,1,,5138877017,213,6.28,5138877013,141,82.6,5138877007,155,,5138877009,56,Left,5138877015,212,32.9,5138877011,140,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197403,13,83,1,2,30,7gkglopz9cjsysn2u6sbhuvc5,0,43.2,25.8,2024-08-10T12:02:16.584Z,2024-08-10T12:02:21Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5138877221,399,9ircna8pbskreztmy1wiqwx9m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197429,34,43,1,2,30,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-10T12:02:17.279Z,2024-08-10T12:54:17Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5138877193,56,Left,5138877195,286,0,5139063393,144,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197433,35,1,1,2,34,b8oqgvx1ijeyn6y1cn6929ix4,1,65.8,75.9,2024-08-10T12:02:20.798Z,2024-08-10T12:02:22Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5138877213,141,53.1,5138877209,56,Center,5138877217,213,4.77,5138877215,212,15.5,5138877211,140,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197461,36,1,1,2,35,b8oqgvx1ijeyn6y1cn6929ix4,1,66.4,52.1,2024-08-10T12:02:21.941Z,2024-08-10T12:02:24Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5138877327,56,Right,5138877329,140,75.8,5138877333,212,29.2,5138877335,213,5.06,5138877331,141,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197495,37,1,1,2,38,b8oqgvx1ijeyn6y1cn6929ix4,1,79.6,9.7,2024-08-10T12:02:24.654Z,2024-08-10T12:02:30Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5138877519,56,Center,5138877523,141,27.1,5138877527,213,2.18,5138877521,140,71.7,5138877525,212,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197491,14,45,1,2,42,7gkglopz9cjsysn2u6sbhuvc5,0,23.6,66.8,2024-08-10T12:02:28.810Z,2024-08-10T15:41:40Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5138877501,285,,5138877585,233,38,5138877499,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197501,38,3,1,2,42,b8oqgvx1ijeyn6y1cn6929ix4,1,76.4,33.2,2024-08-10T12:02:28.810Z,2024-08-10T14:02:48Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5138877559,233,14,5138877555,56,Center,5138877557,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197515,39,1,1,2,44,b8oqgvx1ijeyn6y1cn6929ix4,1,76.3,28.9,2024-08-10T12:02:30.429Z,2024-08-10T12:02:33Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5138877663,213,5.57,5138877661,212,18.8,5138877659,141,10.7,5138877657,140,89.8,5138877655,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197527,40,1,1,2,46,b8oqgvx1ijeyn6y1cn6929ix4,0,90.3,11.5,2024-08-10T12:02:32.934Z,2024-08-10T12:02:46Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5138878403,1,,5138877723,212,61.4,5138877719,140,86.9,5138877715,155,,5138877717,56,Left,5138877725,213,1.63,5138877713,2,,5138877721,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197553,15,43,1,2,49,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-10T12:02:36.080Z,2024-08-10T12:02:39Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5138877893,212,0,5138877889,140,9.8,5138877887,56,Back,5138877897,15,0,5138877989,144,12,5138877895,213,3.14,5138877891,141,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197713,16,5,1,2,52,7gkglopz9cjsysn2u6sbhuvc5,1,23.2,-1.0,2024-08-10T12:02:38.805Z,2024-08-10T14:24:16Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5138878841,233,41,5138878803,347,,5138878801,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197599,41,5,1,2,52,b8oqgvx1ijeyn6y1cn6929ix4,0,76.8,101.0,2024-08-10T12:02:38.805Z,2024-08-10T14:24:17Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5138878869,233,16,5138878153,56,Left,5138878155,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197741,17,1,1,3,7,7gkglopz9cjsysn2u6sbhuvc5,0,26.4,0.0,2024-08-10T12:02:53.369Z,2024-08-10T15:41:42Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5138878963,56,Back,5138878969,212,16.4,5138878967,141,10.7,5138878971,213,0.51,5138878965,140,40.1,5138878961,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
