id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId
2734789497,5,1,1,0,30,aqtkb4mgrz8c6iqfufj6qjbv9,0,36.8,81.7,2024-10-18T17:01:13.364Z,2024-10-18T17:01:15Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5290221869,1,,5290221865,212,41.5,5290221857,157,,5290221861,140,70.3,5290221863,141,49.4,5290221867,213,5.73,5290221859,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789547,7,1,1,0,32,b8oqgvx1ijeyn6y1cn6929ix4,0,34.3,46.0,2024-10-18T17:01:15.568Z,2024-10-18T17:01:20Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290222087,141,49.4,5290222083,56,Back,5290222085,140,48.4,5290222089,212,15.0,5290222081,3,,5290222091,213,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789527,6,44,1,0,34,aqtkb4mgrz8c6iqfufj6qjbv9,1,51.0,53.2,2024-10-18T17:01:17.498Z,2024-10-18T19:13:36Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5290221981,56,Center,5290222189,233,8,5290222193,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789549,8,44,1,0,34,b8oqgvx1ijeyn6y1cn6929ix4,0,49.0,46.8,2024-10-18T17:01:17.499Z,2024-10-18T19:13:37Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5290222095,56,Back,5290222097,285,,5290222201,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789541,7,1,1,0,34,aqtkb4mgrz8c6iqfufj6qjbv9,0,49.8,57.5,2024-10-18T17:01:17.730Z,2024-10-18T17:01:18Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5290222065,212,9.9,5290222057,3,,5290222061,140,46.2,5290222067,213,4.32,5290222059,56,Back,5290222063,141,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789573,9,1,1,0,36,b8oqgvx1ijeyn6y1cn6929ix4,0,54.0,49.3,2024-10-18T17:01:20.144Z,2024-10-18T17:01:21Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5290222169,140,60.4,5290222165,3,,5290222171,141,37.9,5290222175,213,5.43,5290222167,56,Center,5290222173,212,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789579,8,1,1,0,37,aqtkb4mgrz8c6iqfufj6qjbv9,0,43.3,63.0,2024-10-18T17:01:20.419Z,2024-10-18T17:01:22Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5290222219,1,,5290222215,212,35.0,5290222211,140,75.4,5290222217,213,6.02,5290222213,141,49.4,5290222209,56,Center,5290222207,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789595,10,1,1,0,39,b8oqgvx1ijeyn6y1cn6929ix4,1,28.1,52.4,2024-10-18T17:01:22.896Z,2024-10-18T17:01:24Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5290222287,56,Back,5290222293,212,9.0,5290222295,213,6.01,5290222291,141,48.8,5290222285,3,,5290222289,140,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789613,11,1,1,0,41,b8oqgvx1ijeyn6y1cn6929ix4,1,36.3,48.8,2024-10-18T17:01:24.400Z,2024-10-18T17:01:25Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5290222335,140,33.7,5290222339,212,11.7,5290222333,56,Back,5290222341,213,1.81,5290222337,141,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789659,13,1,1,0,43,b8oqgvx1ijeyn6y1cn6929ix4,0,34.0,75.6,2024-10-18T17:01:27.152Z,2024-10-18T17:01:29Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290222563,155,,5290222573,213,0.15,5290222567,140,69.7,5290222571,212,37.9,5290222575,1,,5290222565,56,Left,5290222569,141,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789695,9,1,1,0,46,aqtkb4mgrz8c6iqfufj6qjbv9,0,32.5,15.9,2024-10-18T17:01:29.947Z,2024-10-18T17:01:31Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,,5290222747,1,,5290222743,212,22.7,5290222735,157,,5290222739,140,50.8,5290222741,141,0.0,5290222745,213,5.72,5290222737,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789701,10,5,1,0,48,aqtkb4mgrz8c6iqfufj6qjbv9,0,50.2,-1.8,2024-10-18T17:01:31.726Z,2024-10-18T19:14:18Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,,5290222767,347,,5290223201,233,14,5290222765,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789783,14,5,1,0,48,b8oqgvx1ijeyn6y1cn6929ix4,1,49.8,101.8,2024-10-18T17:01:31.726Z,2024-10-18T19:14:17Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290223159,233,10,5290223135,56,Back,5290223137,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789847,15,1,1,0,53,b8oqgvx1ijeyn6y1cn6929ix4,1,51.1,100.0,2024-10-18T17:01:37.080Z,2024-10-18T17:01:43Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290223431,141,89.6,5290223439,1,,5290223435,213,3.53,5290223433,212,22.0,5290223427,56,Back,5290223429,140,31.7,5290223425,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789873,16,1,1,1,0,b8oqgvx1ijeyn6y1cn6929ix4,1,30.1,81.1,2024-10-18T17:01:43.464Z,2024-10-18T17:01:45Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5290223529,213,4.67,5290223525,141,30.7,5290223521,56,Back,5290223527,212,34.3,5290223531,1,,5290223523,140,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789903,17,1,1,1,2,b8oqgvx1ijeyn6y1cn6929ix4,1,28.8,30.7,2024-10-18T17:01:45.584Z,2024-10-18T17:01:48Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5290223665,140,24.9,5290223669,212,13.1,5290223671,213,1.89,5290223667,141,49.0,5290223663,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789959,18,1,1,1,5,b8oqgvx1ijeyn6y1cn6929ix4,1,24.1,49.6,2024-10-18T17:01:48.168Z,2024-10-18T17:01:55Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5290223969,213,1.67,5290223965,141,75.7,5290223961,56,Back,5290223967,212,17.8,5290223963,140,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790029,19,1,1,1,11,b8oqgvx1ijeyn6y1cn6929ix4,1,22.9,75.1,2024-10-18T17:01:54.776Z,2024-10-18T17:02:02Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5290224357,213,4.79,5290224341,56,Back,5290224349,141,43.7,5290224353,212,21.4,5290224343,140,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790045,20,1,1,1,18,b8oqgvx1ijeyn6y1cn6929ix4,0,25.9,40.9,2024-10-18T17:02:01.921Z,2024-10-18T17:02:03Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5290224415,213,0.56,5290224411,141,82.0,5290224417,1,,5290224413,212,52.3,5290224409,140,68.0,5290224405,155,,5290224407,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790079,11,1,1,1,21,aqtkb4mgrz8c6iqfufj6qjbv9,0,33.7,24.3,2024-10-18T17:02:05.147Z,2024-10-18T17:02:06Z,9lsylzgf7e3i5zb0fshnxo6xg,S. Sharif,,,5290224541,140,45.4,5290224545,212,13.8,5290224543,141,14.9,5290224539,56,Back,5290224547,213,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790089,12,45,1,1,23,aqtkb4mgrz8c6iqfufj6qjbv9,0,39.8,7.7,2024-10-18T17:02:06.856Z,2024-10-18T19:10:09Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,,5290224725,233,21,5290224589,285,,5290224587,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790109,21,3,1,1,23,b8oqgvx1ijeyn6y1cn6929ix4,1,60.2,92.3,2024-10-18T17:02:06.856Z,2024-10-18T19:10:08Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290224691,233,12,5290224667,56,Left,5290224669,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790143,22,1,1,1,25,b8oqgvx1ijeyn6y1cn6929ix4,0,68.9,95.7,2024-10-18T17:02:08.681Z,2024-10-18T17:02:11Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290224819,140,72.2,5290224845,233,13,5290224849,286,,5290224817,56,Left,5290224843,236,,5290224825,213,5.74,5290224821,141,92.6,5290224823,212,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790123,13,74,1,1,25,aqtkb4mgrz8c6iqfufj6qjbv9,1,40.4,4.1,2024-10-18T17:02:08.682Z,2024-10-18T17:02:12Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,,5290224701,56,Back,5290224873,233,22,5290224703,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790133,14,5,1,1,26,aqtkb4mgrz8c6iqfufj6qjbv9,0,32.8,-1.4,2024-10-18T17:02:09.849Z,2024-10-18T19:14:19Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,,5290224755,56,Back,5290225533,233,23,5290224757,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790259,23,5,1,1,26,b8oqgvx1ijeyn6y1cn6929ix4,1,67.2,101.4,2024-10-18T17:02:09.849Z,2024-10-18T19:14:18Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290225415,56,Left,5290225483,233,14,5290225417,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790301,24,1,1,1,38,b8oqgvx1ijeyn6y1cn6929ix4,1,68.7,100.0,2024-10-18T17:02:21.193Z,2024-10-18T17:02:23Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290225651,107,,5290225667,213,5.34,5290225659,140,81.2,5290225655,56,Center,5290225663,141,75.6,5290225669,1,,5290225665,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790309,25,1,1,1,40,b8oqgvx1ijeyn6y1cn6929ix4,0,81.2,75.6,2024-10-18T17:02:23.625Z,2024-10-18T17:02:24Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5290225713,56,Center,5290225717,141,62.1,5290225719,212,11.7,5290225711,168,,5290225715,140,88.1,5290225721,213,5.38,5290225709,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790351,15,1,1,1,43,aqtkb4mgrz8c6iqfufj6qjbv9,0,11.4,49.4,2024-10-18T17:02:26.627Z,2024-10-18T17:02:29Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5290225925,157,,5290225929,140,34.5,5290225927,56,Back,5290225937,1,,5290225933,212,36.0,5290225935,213,0.83,5290225931,141,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790367,26,1,1,1,47,b8oqgvx1ijeyn6y1cn6929ix4,0,62.3,9.8,2024-10-18T17:02:30.288Z,2024-10-18T17:02:31Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5290226037,140,82.1,5290226041,212,20.9,5290226039,141,7.4,5290226043,213,6.20,5290226035,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790387,17,1,1,1,49,aqtkb4mgrz8c6iqfufj6qjbv9,1,24.3,92.4,2024-10-18T17:02:32.483Z,2024-10-18T17:02:34Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,,5290226111,140,32.5,5290226115,212,9.1,5290226117,213,5.97,5290226113,141,88.3,5290226109,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790391,18,50,1,1,50,aqtkb4mgrz8c6iqfufj6qjbv9,1,31.4,86.4,2024-10-18T17:02:33.859Z,2024-10-18T17:02:39Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5290226135,285,,5290226173,233,27,5290226133,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790393,27,7,1,1,50,b8oqgvx1ijeyn6y1cn6929ix4,0,68.6,13.6,2024-10-18T17:02:33.860Z,2024-10-18T17:02:38Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5290226141,286,,5290226139,56,Right,5290226143,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790439,19,1,1,1,52,aqtkb4mgrz8c6iqfufj6qjbv9,1,22.2,94.4,2024-10-18T17:02:36.149Z,2024-10-18T17:02:38Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5290226355,213,4.17,5290226347,56,Back,5290226351,141,81.5,5290226349,140,17.2,5290226353,212,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790463,20,1,1,1,54,aqtkb4mgrz8c6iqfufj6qjbv9,1,10.9,84.8,2024-10-18T17:02:37.748Z,2024-10-18T17:02:40Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5290226483,212,23.1,5290226479,140,3.1,5290226485,213,4.35,5290226481,141,53.1,5290226477,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790513,21,1,1,1,57,aqtkb4mgrz8c6iqfufj6qjbv9,0,3.2,54.9,2024-10-18T17:02:40.643Z,2024-10-18T17:02:43Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,,5290226715,1,,5290226711,212,47.1,5290226713,213,0.19,5290226709,141,68.2,5290226705,56,Back,5290226703,157,,5290226707,140,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790525,28,1,1,2,0,b8oqgvx1ijeyn6y1cn6929ix4,0,45.5,30.1,2024-10-18T17:02:43.889Z,2024-10-18T17:02:45Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5290226849,189,,5290226759,3,,5290226767,212,28.3,5290226763,140,63.2,5290226761,56,Center,5290226769,213,0.85,5290226765,141,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790559,29,61,1,2,4,b8oqgvx1ijeyn6y1cn6929ix4,1,62.8,71.2,2024-10-18T17:02:47.540Z,2024-10-18T17:02:47Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5290226935,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790611,31,1,1,2,6,b8oqgvx1ijeyn6y1cn6929ix4,1,59.6,60.8,2024-10-18T17:02:49.489Z,2024-10-18T17:02:52Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5290227165,213,2.16,5290227157,140,52.6,5290227161,141,77.0,5290227155,56,Center,5290227163,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790635,32,1,1,2,8,b8oqgvx1ijeyn6y1cn6929ix4,0,55.4,78.1,2024-10-18T17:02:51.968Z,2024-10-18T17:04:00Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290227299,1,,5290227295,212,42.9,5290227291,140,82.9,5290227289,56,Center,5290227293,141,31.5,5290227287,155,,5290227297,213,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790653,22,1,1,2,10,aqtkb4mgrz8c6iqfufj6qjbv9,1,16.6,62.4,2024-10-18T17:02:53.499Z,2024-10-18T17:02:54Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,,5290227383,140,9.9,5290227387,212,9.5,5290227385,141,53.1,5290227389,213,3.87,5290227381,56,Back,5290227379,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790763,24,1,1,2,19,aqtkb4mgrz8c6iqfufj6qjbv9,1,11.9,48.8,2024-10-18T17:03:02.556Z,2024-10-18T17:03:04Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,,5290227973,140,22.3,5290227977,212,26.4,5290227969,123,,5290227979,213,5.14,5290227975,141,13.4,5290227971,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790781,25,1,1,2,21,aqtkb4mgrz8c6iqfufj6qjbv9,0,24.0,9.7,2024-10-18T17:03:04.611Z,2024-10-18T17:03:06Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,,5290228067,56,Back,5290228077,212,19.9,5290228079,213,0.24,5290228071,140,42.4,5290228075,141,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790793,33,8,1,2,24,b8oqgvx1ijeyn6y1cn6929ix4,1,65.1,76.4,2024-10-18T17:03:07.313Z,2024-10-18T17:03:07Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5290228161,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790817,34,3,1,2,25,b8oqgvx1ijeyn6y1cn6929ix4,0,65.9,84.0,2024-10-18T17:03:08.538Z,2024-10-18T19:09:55Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5290228507,233,26,5290228307,286,,5290228305,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790841,26,7,1,2,25,aqtkb4mgrz8c6iqfufj6qjbv9,1,34.1,16.0,2024-10-18T17:03:08.539Z,2024-10-18T19:09:54Z,9lsylzgf7e3i5zb0fshnxo6xg,S. Sharif,,,5290228457,285,,5290228455,56,Back,5290228467,233,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
