id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value
2711316133,8,1,1,0,16,a9vw7ikerpr4cuweeeka5aneg,1,52.0,52.4,2024-08-20T16:00:21.978Z,2024-08-20T18:07:39Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5161615967,213,0.64,5161615959,56,Center,5161615963,141,65.4,5161615965,212,14.8,5161615961,140,63.3,5161615969,1,,5161615957,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316139,4,45,1,0,23,bd4qakf7j0wwie8wke9km7uj8,0,19.0,18.2,2024-08-20T16:00:28.841Z,2024-08-20T18:51:31Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5161615989,285,,5161615987,56,Back,5161616023,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316141,9,3,1,0,23,a9vw7ikerpr4cuweeeka5aneg,1,81.0,81.8,2024-08-20T16:00:28.841Z,2024-08-20T18:07:29Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5161615991,56,Left,5161616007,233,4,5161615993,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316149,10,1,1,0,27,a9vw7ikerpr4cuweeeka5aneg,1,93.4,70.6,2024-08-20T16:00:32.914Z,2024-08-20T16:00:38Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5161616053,56,Center,5161616059,212,15.8,5161616057,141,47.9,5161616055,140,96.7,5161616061,213,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316151,11,61,1,0,32,a9vw7ikerpr4cuweeeka5aneg,1,95.4,71.4,2024-08-20T16:00:37.465Z,2024-08-20T18:41:35Z,a48bpdpt0siemxqtr3rubwbu,M. Hyseni,,,5161616071,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316191,5,5,1,0,33,bd4qakf7j0wwie8wke9km7uj8,1,-1.4,61.0,2024-08-20T16:00:38.648Z,2024-08-20T18:03:17Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5161616407,56,Back,5161616409,346,,5161616413,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316153,12,5,1,0,33,a9vw7ikerpr4cuweeeka5aneg,0,101.4,39.0,2024-08-20T16:00:38.648Z,2024-08-20T16:02:58Z,a48bpdpt0siemxqtr3rubwbu,M. Hyseni,,,5161616083,346,,5161616417,233,5,5161616081,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316197,6,1,1,1,0,bd4qakf7j0wwie8wke9km7uj8,1,4.2,60.8,2024-08-20T16:01:06.310Z,2024-08-20T16:01:10Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5161616463,213,0.18,5161616449,56,Center,5161616451,140,67.8,5161616455,141,78.3,5161616473,74,,5161616459,212,67.8,5161616467,1,,5161616447,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316201,7,61,1,1,4,bd4qakf7j0wwie8wke9km7uj8,0,67.9,78.3,2024-08-20T16:01:09.887Z,2024-08-20T16:05:04Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5161616475,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316209,14,1,1,1,5,a9vw7ikerpr4cuweeeka5aneg,0,37.8,27.4,2024-08-20T16:01:11.025Z,2024-08-20T19:30:08Z,61vr9xr91fr4g6ayzga5vn9w5,A. Ludwig,,,5161616547,233,8,5161616501,212,2.4,5161616551,286,,5161616497,140,40.0,5161616503,213,0.31,5161616545,236,,5161616499,141,28.5,5161616495,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316219,8,74,1,1,5,bd4qakf7j0wwie8wke9km7uj8,1,62.3,67.2,2024-08-20T16:01:11.026Z,2024-08-20T17:00:29Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5161616553,233,14,5161616539,56,Center,5161616541,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316225,9,1,1,1,11,bd4qakf7j0wwie8wke9km7uj8,1,64.1,65.7,2024-08-20T16:01:16.384Z,2024-08-20T16:07:31Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5161616599,212,35.2,5161616595,140,72.0,5161616593,56,Right,5161616597,141,15.4,5161616603,1,,5161616601,213,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316237,10,1,1,1,13,bd4qakf7j0wwie8wke9km7uj8,1,85.1,11.6,2024-08-20T16:01:18.471Z,2024-08-20T16:01:22Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5161616663,212,11.2,5161616657,56,Right,5161616659,140,95.4,5161616661,141,16.0,5161616665,213,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316241,11,1,1,1,16,bd4qakf7j0wwie8wke9km7uj8,0,93.3,14.3,2024-08-20T16:01:22.223Z,2024-08-20T16:01:23Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5161616687,212,11.9,5161616689,213,3.21,5161616685,141,13.1,5161616681,56,Right,5161616683,140,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316257,16,3,1,1,19,a9vw7ikerpr4cuweeeka5aneg,0,22.5,82.8,2024-08-20T16:01:25.065Z,2024-08-20T17:00:30Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5161616745,285,,5161616743,56,Back,5161621631,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316253,12,7,1,1,19,bd4qakf7j0wwie8wke9km7uj8,0,77.5,17.2,2024-08-20T16:01:25.066Z,2024-08-20T19:30:10Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5161616731,286,,5161616729,56,Right,5161621627,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316259,17,61,1,1,21,a9vw7ikerpr4cuweeeka5aneg,0,28.6,77.9,2024-08-20T16:01:26.713Z,2024-08-20T19:30:12Z,a48bpdpt0siemxqtr3rubwbu,M. Hyseni,,,5161616747,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316263,13,1,1,1,22,bd4qakf7j0wwie8wke9km7uj8,0,66.9,38.3,2024-08-20T16:01:28.063Z,2024-08-20T16:08:56Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5161616769,141,30.2,5161616765,56,Center,5161622753,157,,5161616771,212,5.7,5161616773,213,4.43,5161616767,140,65.4,5161622755,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316271,18,61,1,1,25,a9vw7ikerpr4cuweeeka5aneg,1,36.9,74.6,2024-08-20T16:01:31.139Z,2024-08-20T16:08:19Z,a48bpdpt0siemxqtr3rubwbu,M. Hyseni,,,5161622475,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316289,14,1,1,1,26,bd4qakf7j0wwie8wke9km7uj8,1,77.6,7.1,2024-08-20T16:01:31.527Z,2024-08-20T16:01:35Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5161616907,140,67.0,5161616911,212,13.2,5161616913,213,2.58,5161616909,141,17.5,5161616905,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316297,15,1,1,1,30,bd4qakf7j0wwie8wke9km7uj8,1,65.7,18.2,2024-08-20T16:01:35.471Z,2024-08-20T16:01:38Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5161616961,140,31.6,5161616965,141,8.6,5161616969,213,3.32,5161616957,56,Back,5161616971,1,,5161616967,212,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316303,16,1,1,1,32,bd4qakf7j0wwie8wke9km7uj8,1,29.9,16.9,2024-08-20T16:01:38.311Z,2024-08-20T16:01:40Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5161617011,1,,5161617003,140,27.1,5161617005,141,64.4,5161617001,56,Back,5161617007,212,32.4,5161617009,213,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316321,17,1,1,1,35,bd4qakf7j0wwie8wke9km7uj8,1,26.2,65.0,2024-08-20T16:01:40.751Z,2024-08-20T16:01:43Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5161617099,212,13.1,5161617095,140,32.6,5161617093,56,Back,5161617101,213,1.03,5161617097,141,81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316333,18,1,1,1,38,bd4qakf7j0wwie8wke9km7uj8,0,31.6,79.2,2024-08-20T16:01:43.792Z,2024-08-20T16:01:48Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5161617187,212,83.2,5161617177,155,,5161617181,56,Right,5161617185,141,0.0,5161617189,213,5.57,5161617191,1,,5161617183,140,91.4,5161617179,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316361,19,5,1,1,42,a9vw7ikerpr4cuweeeka5aneg,1,8.9,100.9,2024-08-20T16:01:47.922Z,2024-08-20T18:03:17Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5161617373,347,,5161617375,233,19,5161617371,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316337,19,5,1,1,42,bd4qakf7j0wwie8wke9km7uj8,0,91.1,-0.9,2024-08-20T16:01:47.922Z,2024-08-20T18:03:17Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5161617203,56,Right,5161617379,233,19,5161617207,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316363,20,1,1,1,57,a9vw7ikerpr4cuweeeka5aneg,0,9.9,100.0,2024-08-20T16:02:02.617Z,2024-08-20T16:02:04Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5161617399,107,,5161617407,212,20.5,5161617403,140,28.1,5161617401,56,Back,5161617405,141,89.7,5161617409,213,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316367,20,1,1,1,59,bd4qakf7j0wwie8wke9km7uj8,0,65.0,11.5,2024-08-20T16:02:04.600Z,2024-08-20T16:02:05Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5161617425,157,,5161617437,1,,5161617429,140,69.3,5161617431,141,25.1,5161617435,213,1.12,5161617427,56,Center,5161617433,212,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316371,21,1,1,2,1,a9vw7ikerpr4cuweeeka5aneg,1,27.2,76.1,2024-08-20T16:02:06.714Z,2024-08-20T16:09:58Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5161623987,213,5.73,5161623977,3,,5161623985,212,29.8,5161623981,140,51.4,5161623979,56,Center,5161623983,141,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316377,22,1,1,2,4,a9vw7ikerpr4cuweeeka5aneg,1,40.8,55.1,2024-08-20T16:02:09.937Z,2024-08-20T16:02:12Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5161617487,213,5.28,5161617481,140,54.4,5161617485,212,26.4,5161617479,56,Center,5161617483,141,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316379,23,1,1,2,7,a9vw7ikerpr4cuweeeka5aneg,0,58.2,21.2,2024-08-20T16:02:12.393Z,2024-08-20T19:30:13Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5161617497,141,29.1,5161617499,212,18.6,5161617495,140,75.2,5161617501,213,0.29,5161617493,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316385,21,8,1,2,10,bd4qakf7j0wwie8wke9km7uj8,1,30.5,72.2,2024-08-20T16:02:16.220Z,2024-08-20T16:10:20Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5161617529,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316399,23,1,1,2,12,bd4qakf7j0wwie8wke9km7uj8,1,29.1,90.6,2024-08-20T16:02:17.888Z,2024-08-20T16:02:21Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5161617603,56,Back,5161617611,213,0.09,5161617609,212,18.1,5161617607,141,92.9,5161617605,140,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316403,24,61,1,2,16,bd4qakf7j0wwie8wke9km7uj8,0,52.7,93.9,2024-08-20T16:02:21.664Z,2024-08-20T16:02:22Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5161617631,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316411,25,1,1,2,18,a9vw7ikerpr4cuweeeka5aneg,1,37.6,11.1,2024-08-20T16:02:24.210Z,2024-08-20T19:30:18Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5161617669,141,33.1,5161617665,56,Back,5161617671,212,28.7,5161617673,213,2.59,5161617667,140,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316431,26,1,1,2,22,a9vw7ikerpr4cuweeeka5aneg,1,15.2,33.9,2024-08-20T16:02:27.785Z,2024-08-20T16:02:35Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5161617787,212,18.3,5161617789,213,5.50,5161617781,56,Back,5161617785,141,15.0,5161617783,140,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316445,27,1,1,2,29,a9vw7ikerpr4cuweeeka5aneg,1,36.6,25.6,2024-08-20T16:02:35.033Z,2024-08-20T16:02:40Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5161617849,56,Back,5161617857,213,1.68,5161617853,141,53.4,5161617851,140,34.7,5161617855,212,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316453,28,1,1,2,34,a9vw7ikerpr4cuweeeka5aneg,0,36.5,59.9,2024-08-20T16:02:40.305Z,2024-08-20T16:02:45Z,61vr9xr91fr4g6ayzga5vn9w5,A. Ludwig,,,5161617887,212,50.1,5161617879,155,,5161617883,140,84.2,5161617891,1,,5161617889,213,0.02,5161617881,56,Center,5161617885,141,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316455,25,44,1,2,38,bd4qakf7j0wwie8wke9km7uj8,1,19.9,32.6,2024-08-20T16:02:44.279Z,2024-08-20T16:11:55Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5161617921,233,29,5161617897,56,Back,5161617899,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316457,29,44,1,2,38,a9vw7ikerpr4cuweeeka5aneg,0,80.1,67.4,2024-08-20T16:02:44.280Z,2024-08-20T16:02:46Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5161617903,286,,5161617901,56,Center,5161617925,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316459,26,61,1,2,39,bd4qakf7j0wwie8wke9km7uj8,1,23.9,26.6,2024-08-20T16:02:44.721Z,2024-08-20T19:30:35Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5161617905,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316465,27,1,1,2,40,bd4qakf7j0wwie8wke9km7uj8,0,26.1,22.6,2024-08-20T16:02:45.952Z,2024-08-20T16:02:48Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5161617959,212,14.8,5161617957,141,33.8,5161617951,157,,5161617955,140,38.2,5161617961,213,0.54,5161617963,1,,5161617953,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316467,30,1,1,2,43,a9vw7ikerpr4cuweeeka5aneg,0,67.5,58.2,2024-08-20T16:02:48.609Z,2024-08-20T19:30:37Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5161617965,3,,5161617969,140,73.9,5161617975,213,5.58,5161617971,141,49.9,5161617967,56,Center,5161617973,212,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316475,28,1,1,2,44,bd4qakf7j0wwie8wke9km7uj8,0,32.6,38.3,2024-08-20T16:02:49.768Z,2024-08-20T16:02:53Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5161618031,1,,5161618027,212,48.8,5161618019,157,,5161618021,56,Center,5161618025,141,27.7,5161618029,213,6.14,5161618023,140,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316477,31,12,1,2,49,a9vw7ikerpr4cuweeeka5aneg,1,17.4,74.1,2024-08-20T16:02:54.427Z,2024-08-20T16:02:56Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5161618043,141,100.0,5161618071,167,,5161618045,212,18.3,5161618039,56,Back,5161618041,140,14.9,5161618047,213,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
