id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/16/value
2743639843,9,1,1,0,12,6wwwud48qahpwrfxs20334qk5,1,34.8,54.0,2024-11-03T14:00:37.816Z,2024-11-03T14:53:55Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5338413553,56,Back,5338413565,212,16.1,5338413557,140,23.3,5338413567,213,2.42,5338413561,141,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639871,10,1,1,0,13,6wwwud48qahpwrfxs20334qk5,1,23.3,69.7,2024-11-03T14:00:38.590Z,2024-11-03T14:54:07Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5338413699,140,32.5,5338413705,213,0.88,5338413757,189,,5338413703,212,15.2,5338413697,56,Back,5338413701,141,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640139,11,1,1,0,17,6wwwud48qahpwrfxs20334qk5,1,27.9,77.6,2024-11-03T14:00:42.128Z,2024-11-03T14:00:56Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5338415039,212,29.2,5338415043,213,4.04,5338415031,56,Back,5338415037,141,44.0,5338415035,140,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640161,12,1,1,0,31,6wwwud48qahpwrfxs20334qk5,1,13.5,54.6,2024-11-03T14:00:56.456Z,2024-11-03T14:00:57Z,eiy7fhqxdx3ypg4dq4454hpbe,V. Birksø,,,5338415155,140,13.0,5338415167,213,1.62,5338415151,56,Back,5338415159,141,70.5,5338415163,212,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640207,13,1,1,0,32,6wwwud48qahpwrfxs20334qk5,1,12.7,70.3,2024-11-03T14:00:57.624Z,2024-11-03T14:01:00Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5338415383,212,26.2,5338415379,141,73.9,5338415375,140,37.5,5338415387,213,0.09,5338415371,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640235,14,1,1,0,35,6wwwud48qahpwrfxs20334qk5,1,38.1,80.5,2024-11-03T14:01:00.312Z,2024-11-03T14:54:21Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5338415523,213,5.22,5338415515,56,Back,5338415519,141,51.8,5338415521,212,22.4,5338415517,140,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640293,15,1,1,0,37,6wwwud48qahpwrfxs20334qk5,1,49.3,49.6,2024-11-03T14:01:02.417Z,2024-11-03T14:01:06Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5338415805,56,Center,5338415813,213,5.20,5338415811,212,15.2,5338415807,140,56.1,5338415809,141,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640377,16,1,1,0,41,6wwwud48qahpwrfxs20334qk5,1,56.3,29.1,2024-11-03T14:01:06.231Z,2024-11-03T14:01:11Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5338416293,140,77.1,5338416299,212,24.7,5338416297,141,12.0,5338416303,213,5.79,5338416291,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640429,17,1,1,0,46,6wwwud48qahpwrfxs20334qk5,1,72.8,23.7,2024-11-03T14:01:11.080Z,2024-11-03T14:01:13Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5338416565,56,Right,5338416567,140,79.4,5338416571,212,12.8,5338416569,141,7.9,5338416573,213,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640449,18,1,1,0,48,6wwwud48qahpwrfxs20334qk5,1,79.4,7.9,2024-11-03T14:01:13.767Z,2024-11-03T14:01:14Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5338416651,141,17.4,5338416649,140,70.8,5338416647,56,Right,5338416655,213,2.52,5338416653,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640463,19,1,1,0,49,6wwwud48qahpwrfxs20334qk5,1,68.6,20.3,2024-11-03T14:01:14.552Z,2024-11-03T14:54:46Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5338416725,213,0.05,5338416723,212,8.8,5338416717,56,Right,5338416721,141,20.9,5338416719,140,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640483,20,1,1,0,51,6wwwud48qahpwrfxs20334qk5,1,75.9,34.5,2024-11-03T14:01:16.496Z,2024-11-03T14:54:44Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5338416813,140,74.5,5338416815,141,44.0,5338416819,213,1.79,5338416811,56,Center,5338416817,212,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640507,21,1,1,0,52,6wwwud48qahpwrfxs20334qk5,1,74.5,44.0,2024-11-03T14:01:17.128Z,2024-11-03T14:55:56Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5338416963,56,Center,5338416971,212,14.7,5338416969,141,24.7,5338416967,140,68.1,5338416975,213,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640557,22,1,1,0,53,6wwwud48qahpwrfxs20334qk5,1,68.1,24.7,2024-11-03T14:01:18.624Z,2024-11-03T14:01:21Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5338417209,212,10.6,5338417211,213,4.10,5338417207,141,11.9,5338417203,56,Right,5338417205,140,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640585,23,1,1,0,55,6wwwud48qahpwrfxs20334qk5,1,62.3,11.7,2024-11-03T14:01:20.983Z,2024-11-03T14:55:59Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5338417393,141,27.0,5338417387,56,Center,5338417397,213,1.95,5338417391,140,58.3,5338417395,212,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640637,24,1,1,0,58,6wwwud48qahpwrfxs20334qk5,1,57.8,26.5,2024-11-03T14:01:23.024Z,2024-11-03T14:01:25Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5338417651,213,5.22,5338417649,212,12.8,5338417647,141,10.1,5338417643,56,Right,5338417645,140,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640683,25,1,1,1,0,6wwwud48qahpwrfxs20334qk5,0,64.2,10.7,2024-11-03T14:01:25.297Z,2024-11-03T14:01:29Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5338417815,56,Right,5338417825,213,0.24,5338417821,212,22.2,5338417811,155,,5338417817,140,84.7,5338417819,141,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640747,4,1,1,1,4,dbl7ir1qugqz8nvp1vzn8im50,1,17.8,86.5,2024-11-03T14:01:29.531Z,2024-11-03T14:01:32Z,eq15hjcxpdrl5vca2q7s4tr3e,M. Ivančević,,,5338418167,141,96.3,5338418169,212,6.8,5338418171,213,1.40,5338418165,140,18.9,5338418163,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640757,5,1,1,1,6,dbl7ir1qugqz8nvp1vzn8im50,0,16.4,96.9,2024-11-03T14:01:31.923Z,2024-11-03T14:01:34Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5338418215,140,17.6,5338418225,212,1.3,5338418397,286,,5338418391,236,,5338418227,213,0.26,5338418211,56,Back,5338418393,233,26,5338418219,141,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640785,26,74,1,1,6,6wwwud48qahpwrfxs20334qk5,1,79.1,6.8,2024-11-03T14:01:31.924Z,2024-11-03T16:06:49Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5338418351,56,Right,5338418353,285,,5338418443,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641039,6,5,1,1,7,dbl7ir1qugqz8nvp1vzn8im50,1,23.6,101.0,2024-11-03T14:01:32.835Z,2024-11-03T16:06:54Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5338419649,347,,5338419697,233,27,5338419647,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640835,27,5,1,1,7,6wwwud48qahpwrfxs20334qk5,0,76.4,-1.0,2024-11-03T14:01:32.835Z,2024-11-03T16:06:54Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5338419731,233,6,5338418585,56,Right,5338418589,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641073,7,1,1,1,20,dbl7ir1qugqz8nvp1vzn8im50,1,20.1,100.0,2024-11-03T14:01:45.427Z,2024-11-03T14:01:47Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5338419847,107,,5338419857,213,5.85,5338419851,140,29.0,5338419849,56,Back,5338419853,141,95.6,5338419855,212,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641093,8,1,1,1,21,dbl7ir1qugqz8nvp1vzn8im50,1,27.6,96.3,2024-11-03T14:01:46.948Z,2024-11-03T14:01:48Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5338419959,213,3.10,5338419957,212,5.4,5338419951,56,Back,5338419953,140,22.5,5338419955,141,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641109,9,1,1,1,22,dbl7ir1qugqz8nvp1vzn8im50,0,22.3,96.3,2024-11-03T14:01:47.979Z,2024-11-03T14:01:48Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5338420055,213,6.27,5338420051,141,96.2,5338420049,140,26.4,5338420053,212,4.3,5338420045,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641139,28,61,1,1,24,6wwwud48qahpwrfxs20334qk5,1,80.5,6.8,2024-11-03T14:01:49.563Z,2024-11-03T14:01:49Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5338420193,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641201,30,1,1,1,25,6wwwud48qahpwrfxs20334qk5,1,76.4,21.6,2024-11-03T14:01:50.994Z,2024-11-03T14:01:52Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5338420473,213,4.16,5338420469,212,5.0,5338420463,56,Right,5338420467,141,15.3,5338420465,140,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641243,31,1,1,1,26,6wwwud48qahpwrfxs20334qk5,1,72.0,7.9,2024-11-03T14:01:51.935Z,2024-11-03T14:01:54Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5338420739,213,2.37,5338420729,56,Center,5338420733,141,23.9,5338420731,140,61.4,5338420735,212,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641281,32,1,1,1,28,6wwwud48qahpwrfxs20334qk5,1,61.4,23.9,2024-11-03T14:01:53.943Z,2024-11-03T14:01:55Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5338420939,213,1.61,5338420933,140,60.6,5338420935,141,58.4,5338420931,56,Center,5338420937,212,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641327,33,1,1,1,30,6wwwud48qahpwrfxs20334qk5,1,61.1,61.5,2024-11-03T14:01:55.727Z,2024-11-03T14:01:57Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5338421171,213,3.58,5338421165,140,42.2,5338421163,56,Back,5338421167,141,47.8,5338421169,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641349,34,1,1,1,32,6wwwud48qahpwrfxs20334qk5,1,41.0,47.8,2024-11-03T14:01:57.687Z,2024-11-03T14:01:59Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5338421303,141,68.7,5338421307,213,0.91,5338421301,140,51.5,5338421305,212,18.0,5338421299,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641411,35,1,1,1,34,6wwwud48qahpwrfxs20334qk5,1,53.7,70.3,2024-11-03T14:01:59.191Z,2024-11-03T14:02:03Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5338421655,140,69.0,5338421653,56,Center,5338421657,141,72.7,5338421661,213,0.10,5338421659,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641453,36,1,1,1,38,6wwwud48qahpwrfxs20334qk5,1,68.6,83.9,2024-11-03T14:02:03.327Z,2024-11-03T14:02:05Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5338421925,213,3.74,5338421923,212,8.8,5338421917,56,Center,5338421921,141,76.6,5338421919,140,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641483,37,1,1,1,40,6wwwud48qahpwrfxs20334qk5,1,61.7,76.6,2024-11-03T14:02:05.567Z,2024-11-03T14:02:08Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5338422089,56,Back,5338422101,213,3.25,5338422091,140,41.9,5338422097,141,73.3,5338422099,212,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641571,38,1,1,1,42,6wwwud48qahpwrfxs20334qk5,0,41.4,74.5,2024-11-03T14:02:07.823Z,2024-11-03T14:03:07Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5338422597,1,,5338422591,141,56.9,5338422585,56,Center,5338422595,213,5.91,5338422589,140,70.5,5338422593,212,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641519,10,8,1,1,44,dbl7ir1qugqz8nvp1vzn8im50,1,34.2,43.0,2024-11-03T14:02:09.587Z,2024-11-03T14:03:02Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5338422273,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641643,39,4,1,1,48,6wwwud48qahpwrfxs20334qk5,1,62.0,37.6,2024-11-03T14:02:13.889Z,2024-11-03T14:02:19Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5338423011,13,,5338423017,265,,5338423019,286,,5338423051,233,11,5338423015,152,,5338423013,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743641621,11,4,1,1,48,dbl7ir1qugqz8nvp1vzn8im50,0,38.0,62.4,2024-11-03T14:02:13.890Z,2024-11-03T14:02:19Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5338422905,285,,5338422903,265,,5338423095,233,39,5338422901,152,,5338422899,56,Back,5338422897,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743642085,40,1,1,2,5,6wwwud48qahpwrfxs20334qk5,1,68.7,41.3,2024-11-03T14:02:30.793Z,2024-11-03T14:56:24Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5338425101,212,16.5,5338425095,56,Center,5338853585,189,,5338425093,152,,5338425091,5,,5338425097,140,57.0,5338425099,141,57.6,5338425103,213,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743642127,41,1,1,2,8,6wwwud48qahpwrfxs20334qk5,1,57.0,58.4,2024-11-03T14:02:33.150Z,2024-11-03T14:56:30Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5338425241,56,Left,5338425247,212,27.7,5338425249,213,0.80,5338425245,141,87.7,5338425243,140,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743642225,42,1,1,2,11,6wwwud48qahpwrfxs20334qk5,1,72.1,82.9,2024-11-03T14:02:36.942Z,2024-11-03T14:02:39Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5338425801,141,71.4,5338425797,56,Center,5338425805,213,3.64,5338425799,140,58.5,5338425803,212,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743642301,43,1,1,2,14,6wwwud48qahpwrfxs20334qk5,1,58.3,71.4,2024-11-03T14:02:39.231Z,2024-11-03T14:02:44Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5338426259,213,0.98,5338426257,212,21.5,5338426251,56,Left,5338426253,140,69.7,5338426255,141,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743642331,44,1,1,2,18,6wwwud48qahpwrfxs20334qk5,1,68.2,96.3,2024-11-03T14:02:44.007Z,2024-11-03T14:02:45Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5338426365,141,80.8,5338426361,56,Left,5338426367,212,11.6,5338426369,213,4.28,5338426363,140,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743642359,45,1,1,2,20,6wwwud48qahpwrfxs20334qk5,1,63.6,80.8,2024-11-03T14:02:45.159Z,2024-11-03T14:02:46Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5338426503,141,90.8,5338426499,56,Left,5338426505,212,8.6,5338426501,140,58.6,5338426507,213,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743642421,46,1,1,2,20,6wwwud48qahpwrfxs20334qk5,1,59.1,90.8,2024-11-03T14:02:45.918Z,2024-11-03T14:02:49Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5338426797,212,31.1,5338426789,56,Back,5338426795,141,77.0,5338426799,213,3.45,5338426793,140,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743642773,47,1,1,2,24,6wwwud48qahpwrfxs20334qk5,1,28.8,75.7,2024-11-03T14:02:49.086Z,2024-11-03T14:03:03Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5338428513,213,4.09,5338428505,56,Back,5338428509,141,40.7,5338428507,140,12.5,5338428511,212,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743642941,48,1,1,2,43,6wwwud48qahpwrfxs20334qk5,1,11.2,51.5,2024-11-03T14:03:08.575Z,2024-11-03T14:03:10Z,eiy7fhqxdx3ypg4dq4454hpbe,V. Birksø,,,5338429453,141,81.5,5338429457,213,1.40,5338429451,140,14.6,5338429455,212,20.7,5338429449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743642957,49,1,1,2,45,6wwwud48qahpwrfxs20334qk5,0,14.2,85.7,2024-11-03T14:03:10.806Z,2024-11-03T14:03:12Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5338429599,236,,5338429535,212,2.5,5338429605,286,,5338429527,140,16.6,5338429523,56,Back,5338429539,213,6.20,5338429531,141,85.4,5338429601,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
