id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2742617113,8,1,1,0,34,8cfkisxf1fkxdqtt6tx1tup48,1,8.7,53.0,2024-11-02T14:00:31.013Z,2024-11-02T14:00:35Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5332985867,56,Back,5332985871,141,30.4,5332985863,123,,5332985875,213,4.73,5332985873,212,15.4,5332985869,140,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617137,9,1,1,0,38,8cfkisxf1fkxdqtt6tx1tup48,0,11.8,34.0,2024-11-02T14:00:35.438Z,2024-11-02T14:00:38Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5332986049,1,,5332986041,141,22.1,5332986047,213,6.15,5332986045,212,62.6,5332986035,56,Center,5332986033,155,,5332986037,140,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617153,11,1,1,0,42,7gkglopz9cjsysn2u6sbhuvc5,1,34.0,71.5,2024-11-02T14:00:38.690Z,2024-11-02T14:00:41Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5332986137,212,11.3,5332986133,141,79.7,5332986141,213,0.51,5332986127,56,Back,5332986123,3,,5332986131,140,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617159,12,1,1,0,44,7gkglopz9cjsysn2u6sbhuvc5,1,43.4,79.7,2024-11-02T14:00:40.812Z,2024-11-02T14:00:42Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,,5332986157,3,,5332986159,168,,5332986167,212,5.3,5332986163,140,47.2,5332986165,141,84.8,5332986169,213,0.72,5332986161,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617189,14,1,1,0,46,7gkglopz9cjsysn2u6sbhuvc5,1,51.7,88.0,2024-11-02T14:00:42.843Z,2024-11-02T14:00:45Z,7ar33yy0wd5ah5o8om1l12pgq,M. Hannesbo,,,5332986369,141,93.3,5332986373,213,0.19,5332986367,140,69.6,5332986371,212,19.1,5332986365,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617203,15,1,1,0,48,7gkglopz9cjsysn2u6sbhuvc5,0,69.5,92.6,2024-11-02T14:00:45.107Z,2024-11-02T14:00:46Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5332986487,213,4.99,5332986483,212,10.9,5332986473,56,Center,5332986477,140,72.3,5332986481,141,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617239,11,1,1,0,51,8cfkisxf1fkxdqtt6tx1tup48,0,14.8,5.6,2024-11-02T14:00:47.666Z,2024-11-02T14:00:52Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5332986717,236,,5332986677,56,Back,5332986675,157,,5332986679,140,23.2,5332986719,233,16,5332986693,1,,5332986689,213,6.23,5332986681,141,4.9,5332986685,212,8.8,5332986723,286,,,,,,,,,,,,,,,,,,,
2742617221,16,74,1,0,51,7gkglopz9cjsysn2u6sbhuvc5,1,72.3,77.2,2024-11-02T14:00:47.667Z,2024-11-02T14:54:41Z,7ar33yy0wd5ah5o8om1l12pgq,M. Hannesbo,,,5332986563,285,,5332986729,233,11,5332986561,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617237,10,12,1,0,51,8cfkisxf1fkxdqtt6tx1tup48,1,12.6,17.9,2024-11-02T14:00:48.645Z,2024-11-02T14:00:50Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5332986667,140,15.6,5332986671,212,4.3,5332986665,56,Back,5332986673,213,5.52,5332986669,141,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617273,17,1,1,0,56,7gkglopz9cjsysn2u6sbhuvc5,1,83.6,86.2,2024-11-02T14:00:53.259Z,2024-11-02T14:00:55Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5332986859,140,77.4,5332986865,212,12.3,5332986863,141,70.9,5332986853,56,Center,5332986867,213,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617287,18,1,1,0,59,7gkglopz9cjsysn2u6sbhuvc5,1,76.5,68.2,2024-11-02T14:00:55.676Z,2024-11-02T14:00:57Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5332986935,213,6.25,5332986933,212,12.2,5332986929,140,88.1,5332986931,141,67.6,5332986927,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617315,19,1,1,1,0,7gkglopz9cjsysn2u6sbhuvc5,1,87.8,66.7,2024-11-02T14:00:56.970Z,2024-11-02T14:01:01Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5332987109,56,Center,5332987115,212,23.2,5332987117,213,4.24,5332987113,141,36.3,5332987111,140,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617331,20,1,1,1,5,7gkglopz9cjsysn2u6sbhuvc5,0,77.7,37.1,2024-11-02T14:01:01.715Z,2024-11-02T14:01:36Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5332987221,141,40.9,5332987217,56,Center,5332987225,213,0.29,5332987223,212,8.9,5332987219,140,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617335,12,61,1,1,5,8cfkisxf1fkxdqtt6tx1tup48,1,16.3,43.1,2024-11-02T14:01:02.645Z,2024-11-02T16:18:49Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5332987237,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617353,21,1,1,1,6,7gkglopz9cjsysn2u6sbhuvc5,1,85.9,40.1,2024-11-02T14:01:03.419Z,2024-11-02T16:18:52Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5332987331,213,5.16,5332987329,212,13.5,5332987327,141,22.2,5332987323,56,Center,5332987325,140,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617363,22,1,1,1,7,7gkglopz9cjsysn2u6sbhuvc5,0,94.7,23.3,2024-11-02T14:01:03.882Z,2024-11-02T17:20:07Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5332987371,56,Center,5332987379,213,1.52,5332987373,140,95.4,5332987377,212,15.1,5332987375,141,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617393,13,8,1,1,11,8cfkisxf1fkxdqtt6tx1tup48,1,2.4,39.7,2024-11-02T14:01:08.325Z,2024-11-02T14:01:24Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5332987541,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617391,23,13,1,1,14,7gkglopz9cjsysn2u6sbhuvc5,1,76.8,38.9,2024-11-02T14:01:10.891Z,2024-11-02T17:06:57Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,,5333001109,103,13.9,5333001115,458,,5332987531,18,,5334507247,328,,5333001119,230,98.0,5333001107,102,66.4,5332987529,22,,5333001123,231,48.0,5333000981,20,,5334507243,73,5332987533,56,Center,,,,,,,,,,,,,,,,
2742617411,14,5,1,1,14,8cfkisxf1fkxdqtt6tx1tup48,1,-1.2,41.4,2024-11-02T14:01:11.278Z,2024-11-02T16:20:52Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5332987639,346,,5332987637,56,Back,5332987669,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617405,24,5,1,1,14,7gkglopz9cjsysn2u6sbhuvc5,0,101.2,58.6,2024-11-02T14:01:11.278Z,2024-11-02T16:20:52Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,,5332987675,233,14,5332987607,56,Center,5332987609,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617665,15,1,1,1,42,8cfkisxf1fkxdqtt6tx1tup48,0,4.1,43.3,2024-11-02T14:01:39.278Z,2024-11-02T14:01:43Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5332989035,74,,5332989033,1,,5332989031,213,6.14,5332989029,212,60.1,5332989021,124,,5332989027,141,30.4,5332989023,56,Center,5332989025,140,60.7,,,,,,,,,,,,,,,,,,,,,,,,
2742617675,25,1,1,1,45,7gkglopz9cjsysn2u6sbhuvc5,1,43.4,72.4,2024-11-02T14:01:42.355Z,2024-11-02T14:01:44Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,,5332989095,213,0.17,5332989089,140,54.4,5332989093,212,11.7,5332989091,141,75.3,5332989085,3,,5332989087,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617711,26,1,1,1,47,7gkglopz9cjsysn2u6sbhuvc5,0,54.4,75.3,2024-11-02T14:01:44.554Z,2024-11-02T14:01:46Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5332989259,56,Center,5332989257,157,,5332989269,212,22.2,5332989261,140,75.5,5332989273,213,6.21,5332989275,1,,5332989265,141,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617757,16,1,1,1,50,8cfkisxf1fkxdqtt6tx1tup48,1,26.2,27.7,2024-11-02T14:01:46.717Z,2024-11-02T14:01:48Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5332989435,141,34.6,5332989437,212,15.6,5332989433,140,12.0,5332989431,56,Back,5332989439,213,2.84,5332989429,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617815,18,1,1,1,53,8cfkisxf1fkxdqtt6tx1tup48,1,13.5,40.6,2024-11-02T14:01:50.301Z,2024-11-02T14:01:53Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5332989775,56,Back,5332989781,212,8.9,5332989773,123,,5332989777,140,21.7,5332989779,141,44.0,5332989783,213,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617849,19,1,1,1,56,8cfkisxf1fkxdqtt6tx1tup48,0,20.8,49.1,2024-11-02T14:01:53.125Z,2024-11-02T14:01:56Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5332989955,56,Center,5332989957,140,60.0,5332989953,155,,5332989959,141,74.1,5332989965,1,,5332989963,213,0.39,5332989961,212,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617873,27,12,1,2,1,7gkglopz9cjsysn2u6sbhuvc5,1,33.2,16.8,2024-11-02T14:01:57.713Z,2024-11-02T14:01:59Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5332990183,167,,5332990105,212,14.8,5332990147,15,,5332990103,141,0.0,5332990107,213,5.25,5332990101,140,40.4,5332990099,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617917,20,5,1,2,2,8cfkisxf1fkxdqtt6tx1tup48,1,57.4,101.7,2024-11-02T14:01:58.821Z,2024-11-02T16:20:53Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5332990319,233,28,5332990317,347,,5332990315,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617887,28,5,1,2,2,7gkglopz9cjsysn2u6sbhuvc5,0,42.6,-1.7000000000000002,2024-11-02T14:01:58.821Z,2024-11-02T16:20:53Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5332990161,56,Back,5332990163,347,,5332990331,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617961,21,1,1,2,4,8cfkisxf1fkxdqtt6tx1tup48,1,53.8,100.0,2024-11-02T14:02:01.557Z,2024-11-02T14:02:06Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5332990551,1,,5332990539,107,,5332990547,212,23.0,5332990543,140,35.3,5332990545,141,83.2,5332990549,213,3.71,5332990541,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618005,22,1,1,2,9,8cfkisxf1fkxdqtt6tx1tup48,1,34.7,78.7,2024-11-02T14:02:05.989Z,2024-11-02T14:02:09Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5332990755,140,22.0,5332990753,56,Back,5332990757,141,50.9,5332990759,212,23.1,5332990761,213,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618047,23,1,1,2,12,8cfkisxf1fkxdqtt6tx1tup48,1,22.0,50.9,2024-11-02T14:02:09.389Z,2024-11-02T14:02:13Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5332990951,141,25.2,5332990947,56,Back,5332990949,140,26.1,5332990955,213,4.95,5332990953,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618081,24,1,1,2,17,8cfkisxf1fkxdqtt6tx1tup48,1,26.6,22.8,2024-11-02T14:02:13.677Z,2024-11-02T14:02:17Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5332991115,212,55.1,5332991117,213,0.86,5332991113,141,84.4,5332991111,140,60.7,5332991119,1,,5332991097,155,,5332991105,56,Left,5332991101,196,,,,,,,,,,,,,,,,,,,,,,,,,
2742618087,25,44,1,2,20,8cfkisxf1fkxdqtt6tx1tup48,1,61.2,78.0,2024-11-02T14:02:16.893Z,2024-11-02T14:02:21Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5332991135,233,29,5332991129,286,,5332991127,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618083,29,44,1,2,20,7gkglopz9cjsysn2u6sbhuvc5,0,38.8,22.0,2024-11-02T14:02:16.894Z,2024-11-02T14:02:21Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5332991125,285,,5332991123,56,Back,5332991171,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618155,26,1,1,2,20,8cfkisxf1fkxdqtt6tx1tup48,0,60.7,84.4,2024-11-02T14:02:17.349Z,2024-11-02T14:02:21Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5332991469,212,15.0,5332991461,3,,5332991465,140,70.1,5332991471,213,0.86,5332991467,141,100.0,5332991463,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618169,27,5,1,2,22,8cfkisxf1fkxdqtt6tx1tup48,0,68.8,101.5,2024-11-02T14:02:19.355Z,2024-11-02T16:20:54Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5332991479,56,Left,5332992233,233,30,5332991481,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618291,30,5,1,2,22,7gkglopz9cjsysn2u6sbhuvc5,1,31.2,-1.5,2024-11-02T14:02:19.355Z,2024-11-02T16:20:54Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5332992189,233,27,5332992129,347,,5332992127,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618349,31,1,1,2,34,7gkglopz9cjsysn2u6sbhuvc5,1,39.8,0.0,2024-11-02T14:02:30.925Z,2024-11-02T14:02:36Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5332992535,107,,5332992537,56,Right,5332992539,140,51.4,5332992543,212,14.8,5332992545,213,0.60,5332992541,141,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618351,32,50,1,2,40,7gkglopz9cjsysn2u6sbhuvc5,1,56.0,6.3,2024-11-02T14:02:36.777Z,2024-11-02T17:20:21Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5332992551,56,Right,5332992611,233,28,5332992553,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618355,28,7,1,2,40,8cfkisxf1fkxdqtt6tx1tup48,1,44.2,93.6,2024-11-02T14:02:36.778Z,2024-11-02T14:07:56Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5332992575,167,,5332992577,56,Back,5332992593,233,32,5332992579,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618387,29,5,1,2,40,8cfkisxf1fkxdqtt6tx1tup48,0,42.9,102.0,2024-11-02T14:02:37.638Z,2024-11-02T16:20:55Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5332992699,347,,5332992697,56,Back,5332992735,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618373,33,5,1,2,40,7gkglopz9cjsysn2u6sbhuvc5,1,57.1,-2.0,2024-11-02T14:02:37.638Z,2024-11-02T16:20:54Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5332992707,233,29,5332992661,56,Right,5332992663,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618417,34,1,1,2,46,7gkglopz9cjsysn2u6sbhuvc5,1,54.1,0.0,2024-11-02T14:02:42.883Z,2024-11-02T14:02:44Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5332992893,212,12.3,5332992889,140,60.5,5332992895,213,0.99,5332992887,56,Right,5332992885,107,,5332992891,141,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618431,35,1,1,2,47,7gkglopz9cjsysn2u6sbhuvc5,1,60.5,13.5,2024-11-02T14:02:44.170Z,2024-11-02T14:02:45Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5332992949,56,Right,5332992953,141,7.7,5332992957,213,5.71,5332992955,212,7.3,5332992951,140,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742618439,36,1,1,2,48,7gkglopz9cjsysn2u6sbhuvc5,1,66.3,7.7,2024-11-02T14:02:45.466Z,2024-11-02T14:02:46Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5332992993,56,Right,5332992997,140,63.7,5332993005,212,5.6,5332993009,213,2.08,5332993001,141,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
