id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2726362071,19,1,1,1,1,b8oqgvx1ijeyn6y1cn6929ix4,0,58.7,11.7,2024-09-27T17:01:55.632Z,2024-09-27T17:01:56Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5244155397,212,12.9,5244155389,3,,5244155393,140,69.8,5244155399,213,0.44,5244155395,141,19.7,5244155391,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362093,14,1,1,1,2,dbl7ir1qugqz8nvp1vzn8im50,1,25.9,63.7,2024-09-27T17:01:57.059Z,2024-09-27T17:01:58Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5244155561,141,60.6,5244155555,3,,5244155559,140,32.1,5244155565,213,5.97,5244155557,56,Back,5244155563,212,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362101,15,1,1,1,4,dbl7ir1qugqz8nvp1vzn8im50,0,32.1,60.6,2024-09-27T17:01:58.683Z,2024-09-27T17:01:59Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5244155613,140,38.7,5244155617,212,6.9,5244155619,213,6.22,5244155611,56,Back,5244155615,141,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362109,20,61,1,1,5,b8oqgvx1ijeyn6y1cn6929ix4,1,64.1,25.2,2024-09-27T17:02:00.144Z,2024-09-27T17:02:00Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5244155643,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362155,21,1,1,1,6,b8oqgvx1ijeyn6y1cn6929ix4,0,58.9,23.1,2024-09-27T17:02:00.985Z,2024-09-27T19:06:32Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5244155861,140,68.2,5244155859,56,Center,5244155871,213,0.63,5244155863,141,33.6,5244155867,212,12.1,5244155857,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362137,16,44,1,1,7,dbl7ir1qugqz8nvp1vzn8im50,1,32.2,62.0,2024-09-27T17:02:01.868Z,2024-09-27T19:17:50Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5244155769,285,,5244155907,233,22,5244155767,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362159,22,44,1,1,7,b8oqgvx1ijeyn6y1cn6929ix4,0,67.8,38.0,2024-09-27T17:02:01.869Z,2024-09-27T19:17:50Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5244155879,56,Center,5244155881,286,,5244155927,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362177,17,1,1,1,7,dbl7ir1qugqz8nvp1vzn8im50,1,33.0,54.8,2024-09-27T17:02:02.075Z,2024-09-27T17:02:06Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5244155977,140,31.5,5244155983,213,4.42,5244155973,3,,5244155981,212,5.5,5244155975,56,Back,5244155979,141,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362165,23,83,1,1,9,b8oqgvx1ijeyn6y1cn6929ix4,0,66.4,34.8,2024-09-27T17:02:04.376Z,2024-09-27T19:06:40Z,dyzzo6n83rg4fpvmqqa69moes,A. Beck,,,5244156137,399,2z8u8kyv91shp0la8alkn6kus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362187,18,1,1,1,11,dbl7ir1qugqz8nvp1vzn8im50,1,32.1,45.5,2024-09-27T17:02:06.043Z,2024-09-27T17:02:07Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5244156029,212,3.7,5244156025,140,32.0,5244156027,141,40.1,5244156031,213,4.68,5244156023,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362211,19,1,1,1,12,dbl7ir1qugqz8nvp1vzn8im50,1,32.0,40.1,2024-09-27T17:02:07.132Z,2024-09-27T17:02:09Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5244156143,56,Back,5244156147,141,13.2,5244156151,213,4.71,5244156145,140,32.0,5244156149,212,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362267,20,1,1,1,14,dbl7ir1qugqz8nvp1vzn8im50,1,32.0,13.2,2024-09-27T17:02:09.364Z,2024-09-27T17:02:16Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5244156487,141,10.4,5244156491,213,6.24,5244156483,56,Right,5244156493,1,,5244156489,212,43.3,5244156485,140,73.2,5244156481,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362271,24,4,1,1,21,b8oqgvx1ijeyn6y1cn6929ix4,1,23.6,89.6,2024-09-27T17:02:16.458Z,2024-09-27T17:02:21Z,3ywgt5v070xudujs9f7cuqm7d,J. Vetter,,,5244156541,13,,5244156549,285,,5244156545,56,Back,5244156547,152,,5244156543,294,,5244156585,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362269,21,4,1,1,21,dbl7ir1qugqz8nvp1vzn8im50,0,76.4,10.4,2024-09-27T17:02:16.459Z,2024-09-27T19:06:27Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5244156603,233,24,5244156503,56,Right,5244156505,152,,5244156501,13,,5244156509,286,,5244782515,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362447,25,1,1,1,36,b8oqgvx1ijeyn6y1cn6929ix4,1,24.4,89.0,2024-09-27T17:02:30.833Z,2024-09-27T17:02:34Z,2qedb8t85t1ieeed9613c9crt,C. Enemark,,,5244157403,213,5.54,5244157389,155,,5244157387,5,,5244157405,1,,5244157401,212,71.9,5244157393,152,,5244157397,140,74.8,5244157391,196,,5244157395,56,Right,5244157399,141,17.4,,,,,,,,,,,,,,,,,,,,,,,,
2726362451,26,1,1,1,39,b8oqgvx1ijeyn6y1cn6929ix4,0,98.2,11.1,2024-09-27T17:02:34.153Z,2024-09-27T17:02:34Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5244157427,140,97.9,5244157431,212,3.0,5244157435,213,1.68,5244157425,56,Right,5244157429,141,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362465,22,61,1,1,41,dbl7ir1qugqz8nvp1vzn8im50,1,7.9,70.6,2024-09-27T17:02:35.839Z,2024-09-27T17:02:36Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5244157481,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362501,24,43,1,1,43,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-09-27T17:02:38.467Z,2024-09-27T17:02:40Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5244157731,144,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362671,26,1,1,1,56,dbl7ir1qugqz8nvp1vzn8im50,1,13.0,50.0,2024-09-27T17:02:50.699Z,2024-09-27T17:02:52Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5244158323,56,Back,5244158331,213,5.46,5244158327,141,31.9,5244158329,212,16.7,5244158325,140,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362709,27,1,1,1,58,dbl7ir1qugqz8nvp1vzn8im50,1,23.8,31.9,2024-09-27T17:02:52.627Z,2024-09-27T17:02:55Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5244158587,140,19.2,5244158591,212,15.3,5244158589,141,10.6,5244158585,56,Back,5244158593,213,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362763,28,1,1,2,0,dbl7ir1qugqz8nvp1vzn8im50,0,19.2,10.6,2024-09-27T17:02:55.387Z,2024-09-27T17:02:59Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5244158837,213,0.25,5244158833,141,37.6,5244158829,56,Center,5244158827,155,,5244158839,1,,5244158831,140,87.5,5244158835,212,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362883,29,1,1,2,16,b8oqgvx1ijeyn6y1cn6929ix4,0,11.7,59.6,2024-09-27T17:03:10.552Z,2024-09-27T17:03:12Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5244159519,1,,5244159515,212,59.0,5244159511,140,67.9,5244159507,198,,5244159505,157,,5244159509,56,Center,5244159513,141,61.1,5244159517,213,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362931,30,1,1,2,19,dbl7ir1qugqz8nvp1vzn8im50,1,30.4,56.0,2024-09-27T17:03:13.989Z,2024-09-27T17:03:16Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5244159743,140,12.6,5244159747,212,20.1,5244159741,56,Back,5244159749,213,3.52,5244159745,141,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362953,31,1,1,2,22,dbl7ir1qugqz8nvp1vzn8im50,1,12.4,43.6,2024-09-27T17:03:16.763Z,2024-09-27T17:03:19Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5244159855,56,Back,5244159865,213,5.45,5244159861,212,16.0,5244159859,141,26.1,5244159857,140,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362981,32,1,1,2,24,dbl7ir1qugqz8nvp1vzn8im50,1,22.6,26.1,2024-09-27T17:03:19.275Z,2024-09-27T17:03:21Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5244159999,141,63.3,5244160003,213,1.85,5244159995,56,Back,5244160001,212,26.3,5244159997,140,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726363009,33,1,1,2,27,dbl7ir1qugqz8nvp1vzn8im50,1,15.7,63.3,2024-09-27T17:03:21.555Z,2024-09-27T17:03:24Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5244160119,213,3.96,5244160115,141,51.3,5244160111,56,Back,5244160113,140,8.4,5244160117,212,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726363069,34,1,1,2,29,dbl7ir1qugqz8nvp1vzn8im50,1,8.4,51.3,2024-09-27T17:03:24.379Z,2024-09-27T17:03:30Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5244160429,141,51.8,5244160433,213,0.01,5244160425,56,Back,5244160427,140,41.1,5244160435,1,,5244160423,155,,5244160431,212,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726363073,35,4,1,2,33,dbl7ir1qugqz8nvp1vzn8im50,1,43.8,52.6,2024-09-27T17:03:27.630Z,2024-09-27T19:30:59Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5244160715,294,,5244160953,233,30,5244160471,152,,5244160475,286,,5244160469,56,Back,5244160467,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726363049,30,4,1,2,33,b8oqgvx1ijeyn6y1cn6929ix4,0,56.2,47.4,2024-09-27T17:03:27.631Z,2024-09-27T19:31:00Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5244160917,152,,5244160339,56,Center,5244160913,13,,5244160969,233,35,5244160915,294,,5244160919,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
