id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2719377097,5,43,1,0,9,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-09-13T17:02:23.879Z,2024-09-13T17:04:46Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5205955507,140,37.0,5205955505,56,Back,5205962097,144,1,5205955509,141,24.7,5205955513,213,5.08,5205955511,212,6.5,5205955503,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377129,6,1,1,0,12,8gxd9ry2580pu1b1dd5ny9ymy,0,34.3,33.0,2024-09-13T17:02:26.341Z,2024-09-13T17:02:30Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5205955711,212,37.1,5205955713,213,5.91,5205955703,157,,5205955715,1,,5205955707,140,67.1,5205955705,56,Right,5205955709,141,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377163,8,1,1,0,17,bd4qakf7j0wwie8wke9km7uj8,0,27.9,93.8,2024-09-13T17:02:31.481Z,2024-09-13T19:25:25Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5205955869,157,,5205955873,140,52.0,5205955871,56,Left,5205955877,212,25.3,5205955881,1,,5205955875,141,93.5,5205955879,213,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377181,7,1,1,0,20,8gxd9ry2580pu1b1dd5ny9ymy,0,56.8,14.0,2024-09-13T17:02:33.942Z,2024-09-13T17:02:35Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5205955969,212,7.2,5205955965,140,63.6,5205955967,141,13.4,5205955961,3,,5205955963,56,Right,5205955971,213,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377221,9,1,1,0,24,bd4qakf7j0wwie8wke9km7uj8,1,41.1,94.7,2024-09-13T17:02:38.240Z,2024-09-13T17:02:39Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5205956157,213,0.17,5205956155,212,3.5,5205956153,141,95.6,5205956151,140,44.4,5205956147,3,,5205956149,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377253,10,1,1,0,25,bd4qakf7j0wwie8wke9km7uj8,1,44.4,95.6,2024-09-13T17:02:39.424Z,2024-09-13T17:02:41Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5205956295,3,,5205956299,140,38.0,5205956297,56,Back,5205956303,212,6.9,5205956301,141,98.1,5205956305,213,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377263,11,3,1,0,26,bd4qakf7j0wwie8wke9km7uj8,0,36.8,96.7,2024-09-13T17:02:40.196Z,2024-09-13T19:02:51Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5205956357,286,,5205956391,233,8,5205956355,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377247,8,7,1,0,26,8gxd9ry2580pu1b1dd5ny9ymy,1,63.2,3.3,2024-09-13T17:02:40.197Z,2024-09-13T19:02:50Z,dncrhma6gwcn6pxiu7hfc6qz8,A. Smed,,,5205956365,233,11,5205956283,56,Right,5205956281,167,,5205956285,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377257,9,5,1,0,27,8gxd9ry2580pu1b1dd5ny9ymy,0,64.8,-1.8,2024-09-13T17:02:41.310Z,2024-09-13T19:10:12Z,dncrhma6gwcn6pxiu7hfc6qz8,A. Smed,,,5205956327,347,,5205956325,56,Right,5205956579,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377301,12,5,1,0,27,bd4qakf7j0wwie8wke9km7uj8,1,35.2,101.8,2024-09-13T17:02:41.310Z,2024-09-13T19:10:12Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5205956521,347,,5205956519,56,Back,5205956545,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377325,13,1,1,0,32,bd4qakf7j0wwie8wke9km7uj8,0,37.1,100.0,2024-09-13T17:02:46.344Z,2024-09-13T17:02:48Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5205956653,107,,5205956663,213,6.07,5205956661,212,30.6,5205956657,140,65.6,5205956665,1,,5205956659,141,92.4,5205956655,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377367,10,1,1,0,36,8gxd9ry2580pu1b1dd5ny9ymy,0,25.9,12.8,2024-09-13T17:02:49.974Z,2024-09-13T17:02:51Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5205956869,213,6.14,5205956859,157,,5205956865,141,6.1,5205956867,212,31.0,5205956861,56,Right,5205956863,140,55.1,5205956871,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377377,14,1,1,0,37,bd4qakf7j0wwie8wke9km7uj8,0,50.8,91.5,2024-09-13T17:02:51.769Z,2024-09-13T17:02:52Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5205956921,140,55.0,5205956923,141,90.0,5205956919,56,Left,5205956925,212,4.5,5205956927,213,6.06,5205956917,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377409,12,1,1,0,39,8gxd9ry2580pu1b1dd5ny9ymy,1,41.9,12.0,2024-09-13T17:02:53.649Z,2024-09-13T19:12:47Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5205957059,213,1.85,5205957055,141,21.2,5205957057,212,6.5,5205957053,140,40.2,5205957051,56,Back,5205967631,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719379887,55,1,1,0,39,8gxd9ry2580pu1b1dd5ny9ymy,0,34.9,16.6,2024-09-13T17:02:53.816Z,2024-09-13T17:08:28Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5205972241,233,15,5205972235,236,,5205971869,141,18.2,5205971865,56,Back,5205972237,286,,5205971867,140,38.2,5205971873,212,3.6,5205971877,213,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377417,15,74,1,0,39,bd4qakf7j0wwie8wke9km7uj8,1,56.4,88.1,2024-09-13T17:02:53.817Z,2024-09-13T19:25:23Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5205957091,56,Left,5205967609,285,,5205967637,233,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377095,7,43,1,0,40,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-09-13T17:02:54.297Z,2024-09-13T17:07:12Z,4brcvdxviy9f03iwcavxll80l,H. Askham,,,5205967871,213,3.32,5205968549,286,0,5205967861,140,63.5,5205968547,236,0,5205967857,56,Left,5205969251,144,1,5205967867,212,2.3,5205967865,141,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377433,16,1,1,0,42,bd4qakf7j0wwie8wke9km7uj8,0,57.1,93.6,2024-09-13T17:02:56.744Z,2024-09-13T17:08:57Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5205957185,213,3.22,5205957183,212,5.2,5205957181,141,93.0,5205957177,56,Left,5205957179,140,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719380981,83,61,1,0,43,8gxd9ry2580pu1b1dd5ny9ymy,1,41.2,13.3,2024-09-13T17:02:57.368Z,2024-09-13T17:09:51Z,dncrhma6gwcn6pxiu7hfc6qz8,A. Smed,,,5205975885,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377439,17,61,1,0,44,bd4qakf7j0wwie8wke9km7uj8,0,52.2,93.0,2024-09-13T17:02:58.137Z,2024-09-13T17:02:58Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5205957197,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377515,13,5,1,0,44,8gxd9ry2580pu1b1dd5ny9ymy,1,41.6,-0.7000000000000001,2024-09-13T17:02:58.509Z,2024-09-13T19:10:12Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5205957641,233,18,5205957591,56,Back,5205957593,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377447,18,5,1,0,44,bd4qakf7j0wwie8wke9km7uj8,0,58.4,100.7,2024-09-13T17:02:58.509Z,2024-09-13T19:10:13Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5205957219,56,Left,5205957667,233,13,5205957221,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377577,14,1,1,0,54,8gxd9ry2580pu1b1dd5ny9ymy,1,38.4,0.0,2024-09-13T17:03:08.173Z,2024-09-13T17:03:16Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5205957905,140,51.6,5205957909,212,15.2,5205957907,141,7.3,5205957903,56,Right,5205957901,107,,5205957911,213,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377585,15,50,1,1,0,8gxd9ry2580pu1b1dd5ny9ymy,1,48.4,4.2,2024-09-13T17:03:14.528Z,2024-09-13T19:02:51Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5205957999,233,19,5205957945,56,Back,5205957947,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377575,19,7,1,1,0,bd4qakf7j0wwie8wke9km7uj8,1,51.6,95.8,2024-09-13T17:03:14.529Z,2024-09-13T19:02:51Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5205957991,233,15,5205957897,56,Left,5205957899,285,,5205957895,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377615,16,5,1,1,1,8gxd9ry2580pu1b1dd5ny9ymy,1,50.3,-1.0,2024-09-13T17:03:15.761Z,2024-09-13T19:10:13Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5205958103,233,20,5205958093,347,,5205958091,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377583,20,5,1,1,1,bd4qakf7j0wwie8wke9km7uj8,0,49.7,101.0,2024-09-13T17:03:15.761Z,2024-09-13T19:10:14Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5205958119,233,16,5205957941,56,Back,5205957943,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377627,17,1,1,1,6,8gxd9ry2580pu1b1dd5ny9ymy,1,53.2,0.0,2024-09-13T17:03:19.934Z,2024-09-13T17:03:21Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5205958169,213,1.31,5205958165,141,10.9,5205958159,107,,5205958167,212,8.9,5205958161,56,Right,5205958163,140,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377649,18,1,1,1,7,8gxd9ry2580pu1b1dd5ny9ymy,1,56.5,10.6,2024-09-13T17:03:21.446Z,2024-09-13T17:03:23Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5205958287,212,4.8,5205958289,213,4.54,5205958285,141,3.7,5205958281,56,Right,5205958283,140,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377659,19,3,1,1,9,8gxd9ry2580pu1b1dd5ny9ymy,1,62.0,9.0,2024-09-13T17:03:23.670Z,2024-09-13T19:03:01Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5205958357,56,Right,5205958365,233,21,5205958359,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377653,21,45,1,1,9,bd4qakf7j0wwie8wke9km7uj8,0,38.0,91.0,2024-09-13T17:03:23.670Z,2024-09-13T19:03:01Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5205958401,233,19,5205958299,285,,5205958297,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377689,20,1,1,1,10,8gxd9ry2580pu1b1dd5ny9ymy,1,57.1,7.1,2024-09-13T17:03:24.613Z,2024-09-13T17:03:28Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5205958501,141,54.3,5205958503,212,33.8,5205958499,140,47.0,5205958497,56,Back,5205958505,213,1.89,5205958507,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377743,21,1,1,1,13,8gxd9ry2580pu1b1dd5ny9ymy,1,48.7,58.5,2024-09-13T17:03:27.830Z,2024-09-13T17:03:33Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,,5205958733,56,Left,5205958741,213,0.80,5205958739,212,25.4,5205958735,140,65.5,5205958737,141,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377763,22,1,1,1,19,8gxd9ry2580pu1b1dd5ny9ymy,1,70.7,63.4,2024-09-13T17:03:33.486Z,2024-09-13T17:03:35Z,2cup1vjw8n43kbzzxfflnmplg,J. Singh,,,5205958841,56,Center,5205958843,140,80.9,5205958847,212,10.8,5205958845,141,64.9,5205958849,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377765,23,1,1,1,21,8gxd9ry2580pu1b1dd5ny9ymy,0,81.5,64.9,2024-09-13T17:03:35.599Z,2024-09-13T17:03:36Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5205958861,212,11.7,5205958863,213,4.81,5205958859,141,47.8,5205958855,56,Center,5205958857,140,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377783,22,12,1,1,24,bd4qakf7j0wwie8wke9km7uj8,1,21.8,55.2,2024-09-13T17:03:38.258Z,2024-09-13T19:25:20Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5205958969,56,Back,5205959007,167,,5205958977,213,5.05,5205958975,212,40.1,5205958971,140,34.4,5205958973,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377789,23,5,1,1,25,bd4qakf7j0wwie8wke9km7uj8,0,33.4,-0.6000000000000001,2024-09-13T17:03:39.153Z,2024-09-13T17:12:37Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5205958999,56,Back,5205959001,347,,5205959309,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377841,24,5,1,1,25,8gxd9ry2580pu1b1dd5ny9ymy,1,66.6,100.6,2024-09-13T17:03:39.153Z,2024-09-13T19:10:14Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5205959229,56,Left,5205959231,347,,5205959289,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377947,25,1,1,1,42,8gxd9ry2580pu1b1dd5ny9ymy,1,65.6,100.0,2024-09-13T17:03:56.095Z,2024-09-13T17:03:58Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,,5205959749,56,Center,5205959747,107,,5205959755,212,15.6,5205959757,213,4.68,5205959751,140,65.1,5205959753,141,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377979,26,1,1,1,44,8gxd9ry2580pu1b1dd5ny9ymy,1,65.2,77.9,2024-09-13T17:03:58.079Z,2024-09-13T17:04:00Z,2cup1vjw8n43kbzzxfflnmplg,J. Singh,,,5205959897,212,28.5,5205959895,141,46.3,5205959899,213,4.00,5205959893,140,47.4,5205959891,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378013,27,1,1,1,46,8gxd9ry2580pu1b1dd5ny9ymy,1,47.0,46.3,2024-09-13T17:04:00.583Z,2024-09-13T17:04:03Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5205960023,213,0.65,5205960021,212,13.7,5205960017,140,57.4,5205960015,56,Center,5205960019,141,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378037,28,1,1,1,49,8gxd9ry2580pu1b1dd5ny9ymy,1,45.9,52.2,2024-09-13T17:04:03.335Z,2024-09-13T17:04:05Z,2cup1vjw8n43kbzzxfflnmplg,J. Singh,,,5205960131,213,3.30,5205960123,56,Back,5205960127,141,49.0,5205960125,140,33.3,5205960129,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378085,29,1,1,1,51,8gxd9ry2580pu1b1dd5ny9ymy,1,32.6,47.9,2024-09-13T17:04:05.295Z,2024-09-13T17:04:11Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5205960409,1,,5205960399,56,Center,5205960405,212,33.3,5205960397,155,,5205960407,213,5.82,5205960403,141,26.1,5205960401,140,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378059,24,83,1,1,55,bd4qakf7j0wwie8wke9km7uj8,0,36.2,84.6,2024-09-13T17:04:09.242Z,2024-09-13T17:04:14Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5205960575,399,9tt9eo9bsff7dp7aqjal1obo4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378115,30,1,1,1,57,8gxd9ry2580pu1b1dd5ny9ymy,1,64.4,10.9,2024-09-13T17:04:11.383Z,2024-09-13T17:04:13Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5205960563,56,Right,5205960567,141,9.5,5205960569,212,5.1,5205960565,140,59.6,5205960571,213,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378119,31,50,1,1,59,8gxd9ry2580pu1b1dd5ny9ymy,1,65.2,6.0,2024-09-13T17:04:13.657Z,2024-09-13T17:04:17Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5205960595,286,,5205960671,233,25,5205960593,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378125,25,7,1,1,59,bd4qakf7j0wwie8wke9km7uj8,1,34.8,94.0,2024-09-13T17:04:13.658Z,2024-09-13T17:04:17Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5205960641,233,31,5205960621,167,,5205960623,56,Back,5205960625,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
