id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2714961521,9,1,1,0,11,aqtkb4mgrz8c6iqfufj6qjbv9,1,31.1,35.7,2024-08-30T18:01:58.184Z,2024-08-30T18:02:02Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,,5181718283,56,Back,5181718285,140,40.5,5181718293,1,,5181718287,141,81.4,5181718291,213,1.26,5181718289,212,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961573,10,1,1,0,15,aqtkb4mgrz8c6iqfufj6qjbv9,1,39.4,80.8,2024-08-30T18:02:01.936Z,2024-08-30T18:02:04Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,,5181718501,140,33.5,5181718503,141,63.4,5181718499,56,Back,5181718505,212,13.4,5181718507,213,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961645,11,1,1,0,17,aqtkb4mgrz8c6iqfufj6qjbv9,1,32.3,64.0,2024-08-30T18:02:04.072Z,2024-08-30T18:02:08Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5181718865,213,4.97,5181718859,141,29.2,5181718847,56,Back,5181718853,140,38.2,5181718861,212,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961703,12,1,1,0,21,aqtkb4mgrz8c6iqfufj6qjbv9,1,41.9,25.6,2024-08-30T18:02:08.272Z,2024-08-30T18:02:11Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,,5181719145,140,35.0,5181719149,212,20.4,5181719151,213,1.93,5181719147,141,53.7,5181719141,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961753,13,1,1,0,24,aqtkb4mgrz8c6iqfufj6qjbv9,1,35.0,53.7,2024-08-30T18:02:11.184Z,2024-08-30T18:02:13Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5181719383,140,44.9,5181719385,141,86.9,5181719389,213,1.14,5181719381,56,Back,5181719387,212,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961799,14,1,1,0,27,aqtkb4mgrz8c6iqfufj6qjbv9,1,44.8,86.8,2024-08-30T18:02:13.344Z,2024-08-30T18:02:15Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,,5181719613,140,58.8,5181719625,213,0.35,5181719609,56,Left,5181719617,141,94.7,5181719621,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961835,15,1,1,0,29,aqtkb4mgrz8c6iqfufj6qjbv9,1,55.7,93.2,2024-08-30T18:02:15.680Z,2024-08-30T18:02:17Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5181719781,140,65.1,5181719779,56,Left,5181719787,213,5.62,5181719783,141,81.8,5181719785,212,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961873,16,1,1,0,30,aqtkb4mgrz8c6iqfufj6qjbv9,0,65.1,81.8,2024-08-30T18:02:17.264Z,2024-08-30T18:02:24Z,3rok7i8nrt4yzx2melj4qiuqc,S. Opoku,,,5181720031,141,100.0,5181720027,56,Left,5181720035,213,0.88,5181720033,212,17.4,5181720029,140,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962105,3,5,1,0,32,b8oqgvx1ijeyn6y1cn6929ix4,1,26.6,-1.8,2024-08-30T18:02:18.994Z,2024-08-30T20:23:37Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5181721111,233,17,5181721091,56,Back,5181721093,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961883,17,5,1,0,32,aqtkb4mgrz8c6iqfufj6qjbv9,0,73.4,101.8,2024-08-30T18:02:18.994Z,2024-08-30T21:14:06Z,3rok7i8nrt4yzx2melj4qiuqc,S. Opoku,,,5181721173,233,3,5181720063,347,,5181720061,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962165,4,1,1,0,43,b8oqgvx1ijeyn6y1cn6929ix4,1,33.7,0.0,2024-08-30T18:02:29.462Z,2024-08-30T18:02:32Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5181721401,107,,5181721409,212,8.5,5181721411,213,1.76,5181721407,141,10.9,5181721405,140,32.2,5181721403,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962199,5,3,1,0,46,b8oqgvx1ijeyn6y1cn6929ix4,1,31.4,16.6,2024-08-30T18:02:32.415Z,2024-08-30T20:05:42Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5181721559,285,,5181721655,233,18,5181721555,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962209,18,45,1,0,46,aqtkb4mgrz8c6iqfufj6qjbv9,0,68.6,83.4,2024-08-30T18:02:32.415Z,2024-08-30T21:15:14Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5181721607,286,,5181721663,233,5,5181721605,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962237,6,1,1,0,47,b8oqgvx1ijeyn6y1cn6929ix4,1,29.6,16.1,2024-08-30T18:02:33.663Z,2024-08-30T18:02:36Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5181721789,140,15.0,5181721791,141,12.2,5181721787,56,Back,5181721793,212,15.6,5181721795,213,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962341,7,1,1,0,49,b8oqgvx1ijeyn6y1cn6929ix4,1,14.8,11.7,2024-08-30T18:02:36.064Z,2024-08-30T18:02:40Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5181722371,212,27.5,5181722365,56,Back,5181722369,141,47.6,5181722367,140,2.8,5181722373,213,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962413,8,1,1,0,53,b8oqgvx1ijeyn6y1cn6929ix4,1,2.9,49.9,2024-08-30T18:02:39.590Z,2024-08-30T18:02:43Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5181722787,140,2.9,5181722793,213,1.57,5181722789,141,81.5,5181722785,56,Back,5181722791,212,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962477,9,1,1,0,56,b8oqgvx1ijeyn6y1cn6929ix4,0,5.5,89.9,2024-08-30T18:02:43.160Z,2024-08-30T18:02:46Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5181723131,56,Center,5181723139,213,6.12,5181723141,1,,5181723137,212,60.8,5181723135,141,75.3,5181723133,140,62.6,5181723129,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962529,10,83,1,1,2,b8oqgvx1ijeyn6y1cn6929ix4,0,64.3,79.9,2024-08-30T18:02:48.559Z,2024-08-30T18:02:54Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5181724025,399,9350utk4onh2hv5jznxqpkd7t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962631,20,1,1,1,3,aqtkb4mgrz8c6iqfufj6qjbv9,1,27.4,10.3,2024-08-30T18:02:50.152Z,2024-08-30T18:02:53Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5181723921,140,11.9,5181723919,56,Back,5181723927,213,2.32,5181723925,212,23.8,5181723923,141,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962641,21,1,1,1,6,aqtkb4mgrz8c6iqfufj6qjbv9,1,11.9,35.8,2024-08-30T18:02:53.192Z,2024-08-30T18:02:57Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,,5181723999,141,44.5,5181724001,212,48.3,5181723995,56,Center,5181723993,157,,5181723997,140,57.6,5181724005,1,,5181724003,213,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962707,22,44,1,1,10,aqtkb4mgrz8c6iqfufj6qjbv9,1,58.4,44.3,2024-08-30T18:02:56.840Z,2024-08-30T21:09:39Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5181724423,233,11,5181724357,56,Center,5181724361,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962719,11,44,1,1,10,b8oqgvx1ijeyn6y1cn6929ix4,0,41.6,55.7,2024-08-30T18:02:56.841Z,2024-08-30T21:09:40Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5181724435,233,22,5181724409,285,,5181724407,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962751,23,1,1,1,10,aqtkb4mgrz8c6iqfufj6qjbv9,0,57.7,44.5,2024-08-30T18:02:57.081Z,2024-08-30T18:03:00Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5181724551,56,Center,5181724547,3,,5181724559,213,1.07,5181724557,212,25.0,5181724555,141,76.7,5181724553,140,69.1,5181724549,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962817,13,1,1,1,15,b8oqgvx1ijeyn6y1cn6929ix4,0,32.5,19.2,2024-08-30T18:03:02.231Z,2024-08-30T18:03:04Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5181724849,213,5.94,5181725015,236,,5181724841,56,Back,5181725017,233,24,5181724845,141,17.0,5181724843,140,36.5,5181724847,212,4.5,5181725021,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962831,24,74,1,1,15,aqtkb4mgrz8c6iqfufj6qjbv9,1,65.8,87.2,2024-08-30T18:03:02.232Z,2024-08-30T20:05:49Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5181724919,285,,5181725055,233,13,5181724917,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962827,14,43,1,1,16,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-30T18:03:02.618Z,2024-08-30T18:03:03Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5181724895,56,Back,5181724899,141,17.0,5181724903,213,3.14,5181724901,212,0,5181724897,140,36.5,5181724963,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963091,15,5,1,1,18,b8oqgvx1ijeyn6y1cn6929ix4,1,30.3,-0.8,2024-08-30T18:03:04.759Z,2024-08-30T20:23:38Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5181726355,347,,5181726393,233,25,5181726353,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714962865,25,5,1,1,18,aqtkb4mgrz8c6iqfufj6qjbv9,0,69.7,100.8,2024-08-30T18:03:04.759Z,2024-08-30T20:23:38Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5181725167,56,Left,5181726429,233,15,5181725169,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963169,16,1,1,1,30,b8oqgvx1ijeyn6y1cn6929ix4,0,36.4,0.0,2024-08-30T18:03:16.855Z,2024-08-30T18:03:22Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5181726839,213,0.18,5181726841,1,,5181726831,56,Right,5181726827,107,,5181726835,141,8.2,5181726833,140,70.9,5181726837,212,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963145,26,44,1,1,33,aqtkb4mgrz8c6iqfufj6qjbv9,1,30.4,91.2,2024-08-30T18:03:20.313Z,2024-08-30T21:09:40Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5181726905,233,17,5181726703,285,,5181726699,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963179,17,44,1,1,33,b8oqgvx1ijeyn6y1cn6929ix4,0,69.6,8.8,2024-08-30T18:03:20.314Z,2024-08-30T21:09:40Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5181726941,233,26,5181726873,56,Right,5181726875,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963157,27,1,1,1,34,aqtkb4mgrz8c6iqfufj6qjbv9,0,32.5,90.0,2024-08-30T18:03:20.521Z,2024-08-30T18:03:21Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5181726765,56,Back,5181726763,3,,5181726773,213,5.83,5181726767,140,42.3,5181726769,141,82.6,5181726771,212,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714964985,28,61,1,1,34,b8oqgvx1ijeyn6y1cn6929ix4,1,63.9,16.4,2024-08-30T18:03:20.835Z,2024-08-30T20:21:16Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5181736299,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963327,18,2,1,1,36,b8oqgvx1ijeyn6y1cn6929ix4,1,58.4,24.3,2024-08-30T18:03:23.295Z,2024-08-30T18:05:04Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5181727553,140,86.0,5181727637,7,9618hk1lq7i6see347k7plkyy,5181727555,141,11.4,5181727639,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963663,29,1,1,1,54,aqtkb4mgrz8c6iqfufj6qjbv9,1,28.0,86.3,2024-08-30T18:03:40.563Z,2024-08-30T18:03:43Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5181729403,5,,5181729405,241,,5181729407,56,Back,5181729411,141,71.5,5181729413,212,13.5,5181729415,213,3.98,5181729409,140,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963763,30,1,1,1,56,aqtkb4mgrz8c6iqfufj6qjbv9,1,19.4,71.5,2024-08-30T18:03:43.265Z,2024-08-30T18:03:47Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5181729951,140,27.9,5181729957,213,0.89,5181729955,212,14.2,5181729949,56,Back,5181729953,141,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963799,19,83,1,1,59,b8oqgvx1ijeyn6y1cn6929ix4,0,96.6,67.9,2024-08-30T18:03:45.655Z,2024-08-30T18:28:39Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5181730443,399,9350utk4onh2hv5jznxqpkd7t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963813,31,1,1,2,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,26.4,91.8,2024-08-30T18:03:47.297Z,2024-08-30T18:03:49Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5181730199,213,5.57,5181730191,56,Back,5181730193,140,33.5,5181730195,141,82.4,5181730197,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963821,32,61,1,2,2,aqtkb4mgrz8c6iqfufj6qjbv9,0,33.4,82.4,2024-08-30T18:03:49.113Z,2024-08-30T18:03:49Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5181730257,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963905,20,1,1,2,5,b8oqgvx1ijeyn6y1cn6929ix4,1,56.3,13.1,2024-08-30T18:03:51.607Z,2024-08-30T20:21:18Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5181730725,56,Back,5181730733,213,2.70,5181730729,141,19.7,5181730731,212,10.6,5181730727,140,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963911,21,1,1,2,6,b8oqgvx1ijeyn6y1cn6929ix4,0,43.9,11.9,2024-08-30T18:03:53.280Z,2024-08-30T20:34:56Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5181767819,140,45.9,5181774251,236,,5181767821,141,17.0,5181774263,286,,5181767825,213,1.03,5181767823,212,4.1,5181730771,56,Back,5181774255,233,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714971539,101,74,1,2,6,aqtkb4mgrz8c6iqfufj6qjbv9,1,44.3,88.9,2024-08-30T18:03:53.281Z,2024-08-30T20:05:49Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5181774221,56,Back,5181774303,233,21,5181774223,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963963,22,83,1,2,7,b8oqgvx1ijeyn6y1cn6929ix4,0,42.2,19.7,2024-08-30T18:03:54.175Z,2024-08-30T20:34:58Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5181731571,399,3rok7i8nrt4yzx2melj4qiuqc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714963973,33,1,1,2,7,aqtkb4mgrz8c6iqfufj6qjbv9,1,58.2,89.3,2024-08-30T18:03:54.297Z,2024-08-30T18:04:31Z,3rok7i8nrt4yzx2melj4qiuqc,S. Opoku,,,5181731067,140,62.5,5181731073,213,5.22,5181731071,212,9.2,5181731065,56,Center,5181731069,141,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714964061,34,1,1,2,9,aqtkb4mgrz8c6iqfufj6qjbv9,1,61.7,80.5,2024-08-30T18:03:55.801Z,2024-08-30T18:12:10Z,uiyol728wan4mxco2foplknp,A. Justinussen,1.0,,5181798767,210,15,5181731531,56,Center,5181731539,213,5.57,5181731537,212,10.4,5181731533,140,69.2,5181731535,141,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714975845,93,45,1,2,12,b8oqgvx1ijeyn6y1cn6929ix4,0,26.0,44.2,2024-08-30T18:03:58.363Z,2024-08-30T20:05:43Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5181795531,285,,5181795529,56,Back,5181922517,233,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714998701,303,3,1,2,12,aqtkb4mgrz8c6iqfufj6qjbv9,1,74.0,55.8,2024-08-30T18:03:58.363Z,2024-08-30T20:05:43Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5181922465,286,,5181922503,233,93,5181922463,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
