id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId
2709526211,7,1,1,0,28,b2vft81kyjurzbmekvgrqwr64,0,71.9,89.7,2024-08-17T11:00:47.282Z,2024-08-17T13:18:35Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,5151710961,213,3.68,5151724399,286,,5151710953,56,Left,5151710957,141,87.5,5151710955,140,69.5,5151724393,236,,5151710959,212,2.9,5151724395,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526249,14,74,1,0,28,8gxd9ry2580pu1b1dd5ny9ymy,1,25.5,4.4,2024-08-17T11:00:47.283Z,2024-08-17T11:09:44Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5151729801,285,,5151730309,233,7,5151711131,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526239,13,1,1,0,35,8gxd9ry2580pu1b1dd5ny9ymy,0,25.9,8.6,2024-08-17T11:00:54.410Z,2024-08-17T11:09:43Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5151726491,236,,5151711099,56,Back,5151726493,286,,5151725767,140,28.1,5151725769,141,8.6,5151725773,213,0.00,5151729821,233,8,5151725771,212,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526223,8,74,1,0,35,b2vft81kyjurzbmekvgrqwr64,1,75.6,93.8,2024-08-17T11:00:54.411Z,2024-08-17T13:18:36Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5151727485,285,,5151727491,233,13,5151711023,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526335,9,5,1,0,36,b2vft81kyjurzbmekvgrqwr64,0,70.3,101.5,2024-08-17T11:00:55.451Z,2024-08-17T13:25:01Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5151711615,56,Left,5151728435,233,15,5151711617,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526273,15,5,1,0,36,8gxd9ry2580pu1b1dd5ny9ymy,1,29.7,-1.5,2024-08-17T11:00:55.451Z,2024-08-17T13:25:00Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5151711273,347,,5151728411,233,9,5151711271,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526313,16,1,1,0,45,8gxd9ry2580pu1b1dd5ny9ymy,1,27.7,0.0,2024-08-17T11:01:04.922Z,2024-08-17T11:01:08Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5151711483,141,14.0,5151711479,56,Back,5151711481,140,47.1,5151711487,213,0.47,5151711485,212,22.9,5151711489,1,,5151711477,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526321,17,1,1,0,49,8gxd9ry2580pu1b1dd5ny9ymy,1,47.0,14.4,2024-08-17T11:01:08.554Z,2024-08-17T11:01:12Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5151711549,213,4.88,5151711543,140,48.3,5151711547,212,8.3,5151711545,141,2.3,5151711541,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526323,18,50,1,0,50,8gxd9ry2580pu1b1dd5ny9ymy,1,66.1,8.0,2024-08-17T11:01:09.866Z,2024-08-17T13:31:17Z,1cumsropo1r0msfzxxteml1w,J. Adjei-Broni,,5151711553,56,Right,5151735293,233,100,5151711555,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709530583,100,7,1,0,50,b2vft81kyjurzbmekvgrqwr64,1,33.9,92.0,2024-08-17T11:01:09.867Z,2024-08-17T13:31:17Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5151735253,285,,5151735269,233,18,5151735251,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526359,11,1,1,0,55,b2vft81kyjurzbmekvgrqwr64,0,16.4,83.5,2024-08-17T11:01:15.067Z,2024-08-17T11:01:19Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,5151711739,140,60.1,5151711743,212,45.9,5151711747,1,,5151711741,141,86.6,5151711745,213,0.05,5151711735,157,,5151711737,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526351,19,44,1,0,57,8gxd9ry2580pu1b1dd5ny9ymy,1,41.6,13.6,2024-08-17T11:01:16.394Z,2024-08-17T13:26:46Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5151711805,233,12,5151711703,285,,5151711701,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526363,12,44,1,0,57,b2vft81kyjurzbmekvgrqwr64,0,58.4,86.4,2024-08-17T11:01:16.395Z,2024-08-17T13:26:46Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,5151711761,56,Left,5151711763,286,,5151711823,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526369,20,1,1,0,57,8gxd9ry2580pu1b1dd5ny9ymy,1,44.5,13.7,2024-08-17T11:01:16.738Z,2024-08-17T11:01:19Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5151711791,212,18.1,5151711793,213,6.27,5151711789,141,13.4,5151711787,140,61.7,5151711785,56,Right,5151711783,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526371,21,61,1,0,59,8gxd9ry2580pu1b1dd5ny9ymy,0,61.2,12.8,2024-08-17T11:01:19.123Z,2024-08-17T11:13:26Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5151711799,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526387,13,4,1,1,2,b2vft81kyjurzbmekvgrqwr64,1,43.8,89.8,2024-08-17T11:01:21.298Z,2024-08-17T14:20:45Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,5151711911,13,,5151711915,152,,5151712001,233,22,5152597821,294,,5151711913,56,Back,5151711987,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526383,22,4,1,1,2,8gxd9ry2580pu1b1dd5ny9ymy,0,56.2,10.2,2024-08-17T11:01:21.299Z,2024-08-17T14:20:41Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5151711881,56,Right,5151711887,285,,5151711879,13,,5151711883,152,,5152597203,294,,5151712005,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526469,14,1,1,1,16,b2vft81kyjurzbmekvgrqwr64,1,42.4,86.2,2024-08-17T11:01:35.595Z,2024-08-17T11:01:37Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,5151712359,141,32.8,5151712377,189,,5151712351,155,,5151712355,56,Center,5151712357,140,58.4,5151712363,213,5.15,5151712349,5,,5151712353,152,,5151712365,1,5151712361,212,40.0,,,,,,,,,,,,,,,,,,,,,,,,
2709526493,15,1,1,1,18,b2vft81kyjurzbmekvgrqwr64,1,58.4,32.8,2024-08-17T11:01:37.770Z,2024-08-17T11:15:04Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5151712475,56,Center,5151712477,140,61.2,5151712481,212,6.5,5151712479,141,24.3,5151712483,213,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526507,16,1,1,1,21,b2vft81kyjurzbmekvgrqwr64,1,73.1,19.5,2024-08-17T11:01:41.010Z,2024-08-17T11:15:03Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,5151712565,56,Center,5151712567,140,65.0,5151712569,141,25.9,5151712573,213,2.67,5151712571,212,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526513,17,1,1,1,24,b2vft81kyjurzbmekvgrqwr64,0,59.4,13.2,2024-08-17T11:01:43.786Z,2024-08-17T11:14:52Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,5151712589,212,10.9,5151712583,56,Center,5151712587,141,24.7,5151712585,140,66.6,5151712591,213,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526505,23,61,1,1,25,8gxd9ry2580pu1b1dd5ny9ymy,1,28.0,86.5,2024-08-17T11:01:45.201Z,2024-08-17T11:01:45Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,5151712561,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526543,18,5,1,1,26,b2vft81kyjurzbmekvgrqwr64,1,69.8,-1.4,2024-08-17T11:01:46.067Z,2024-08-17T13:25:01Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,5151712711,233,24,5151712703,347,,5151712701,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526511,24,5,1,1,26,8gxd9ry2580pu1b1dd5ny9ymy,0,30.2,101.4,2024-08-17T11:01:46.067Z,2024-08-17T13:25:01Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,5151712581,347,,5151712577,56,Back,5151712715,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526567,19,1,1,1,34,b2vft81kyjurzbmekvgrqwr64,1,73.8,0.0,2024-08-17T11:01:53.970Z,2024-08-17T11:01:58Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5151712869,213,2.47,5151712871,1,,5151712859,107,,5151712863,140,45.8,5151712865,141,32.7,5151712867,212,37.7,5151712861,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526587,20,1,1,1,39,b2vft81kyjurzbmekvgrqwr64,1,47.8,31.5,2024-08-17T11:01:58.282Z,2024-08-17T11:02:02Z,lu9bber07etravimh00k745x,J. Bøge,,5151712991,140,14.7,5151712997,213,2.76,5151712995,212,37.4,5151712999,1,,5151712993,141,51.8,5151712989,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526639,21,1,1,1,42,b2vft81kyjurzbmekvgrqwr64,1,14.7,63.3,2024-08-17T11:02:02.234Z,2024-08-17T11:02:08Z,dxv40hh07gxq4hn0i6dwb2l4a,A. Søndergaard,,5151713251,141,72.3,5151713257,1,,5151713255,213,0.11,5151713249,140,67.8,5151713253,212,56.1,5151713247,56,Center,5151713245,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526671,22,1,1,1,48,b2vft81kyjurzbmekvgrqwr64,1,72.5,73.6,2024-08-17T11:02:07.930Z,2024-08-17T11:15:57Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,5151713413,56,Left,5151713419,212,11.0,5151713415,140,64.8,5151713417,141,84.5,5151713421,213,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526679,23,1,1,1,49,b2vft81kyjurzbmekvgrqwr64,0,65.0,87.2,2024-08-17T11:02:09.218Z,2024-08-17T11:15:48Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5151713469,56,Left,5151713473,141,80.6,5151713477,213,4.90,5151713475,212,4.6,5151713471,140,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526649,25,61,1,1,50,8gxd9ry2580pu1b1dd5ny9ymy,1,32.6,21.0,2024-08-17T11:02:10.137Z,2024-08-17T11:15:54Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5151713305,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526703,24,5,1,1,52,b2vft81kyjurzbmekvgrqwr64,1,70.6,102.0,2024-08-17T11:02:11.409Z,2024-08-17T13:25:02Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5151713573,347,,5151713571,56,Left,5151713623,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526667,26,5,1,1,52,8gxd9ry2580pu1b1dd5ny9ymy,0,29.4,-2.0,2024-08-17T11:02:11.409Z,2024-08-17T13:25:02Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5151713627,233,24,5151713397,347,,5151713395,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526771,25,1,1,2,7,b2vft81kyjurzbmekvgrqwr64,1,74.7,100.0,2024-08-17T11:02:26.529Z,2024-08-17T11:02:28Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5151713971,213,4.79,5151713969,212,17.1,5151713967,141,76.9,5151713961,107,,5151713965,140,76.0,5151713963,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526773,26,1,1,2,9,b2vft81kyjurzbmekvgrqwr64,0,79.6,74.8,2024-08-17T11:02:28.427Z,2024-08-17T11:02:28Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,5151713979,140,71.7,5151713983,212,9.0,5151713977,56,Left,5151713981,141,79.9,5151713985,213,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526793,28,50,1,2,10,8gxd9ry2580pu1b1dd5ny9ymy,1,32.7,26.0,2024-08-17T11:02:30.225Z,2024-08-17T11:07:43Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5151714169,285,,5151714035,56,Back,5151714171,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526795,27,7,1,2,10,b2vft81kyjurzbmekvgrqwr64,1,67.3,74.0,2024-08-17T11:02:30.226Z,2024-08-17T11:02:40Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,5151714047,233,28,5151714041,286,,5151714039,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526863,29,1,1,2,12,b2vft81kyjurzbmekvgrqwr64,1,71.7,79.9,2024-08-17T11:02:32.178Z,2024-08-17T11:02:41Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,5151714403,140,70.0,5151714401,56,Center,5151714407,212,4.1,5151714405,141,74.4,5151714409,213,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526871,30,1,1,2,15,b2vft81kyjurzbmekvgrqwr64,1,70.0,74.4,2024-08-17T11:02:35.033Z,2024-08-17T11:02:41Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,5151714437,140,58.8,5151714435,56,Center,5151714443,213,4.25,5151714439,141,40.0,5151714441,212,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526875,31,1,1,2,19,b2vft81kyjurzbmekvgrqwr64,1,58.6,39.7,2024-08-17T11:02:39.121Z,2024-08-17T11:02:41Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,5151714467,212,16.2,5151714465,141,16.5,5151714461,56,Right,5151714469,213,4.48,5151714463,140,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
