id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2799124433,7,1,1,0,8,dbl7ir1qugqz8nvp1vzn8im50,1,69.2,79.9,2025-04-11T17:01:37.343Z,2025-04-11T18:00:24Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5641087821,213,0.94,5641087811,3,,5641087817,141,86.2,5641087819,212,5.3,5641087815,140,72.2,5641087813,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124439,8,3,1,0,10,dbl7ir1qugqz8nvp1vzn8im50,0,69.0,86.6,2025-04-11T17:01:39.360Z,2025-04-11T18:00:29Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5641087851,286,,5641087917,233,5,5641087849,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124443,5,7,1,0,10,f1h34qp5zbfl489q8vnkhiq9s,1,31.0,13.4,2025-04-11T17:01:39.361Z,2025-04-11T17:01:46Z,37mo55lynu3blqnb8k9ln8k16,P. Tjørnelund,,,5641087875,56,Back,5641087877,285,,5641087883,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124489,7,1,1,0,13,f1h34qp5zbfl489q8vnkhiq9s,1,34.2,20.1,2025-04-11T17:01:42.458Z,2025-04-11T17:01:47Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5641088131,157,,5641088143,1,,5641088137,141,21.9,5641088135,140,65.7,5641088141,213,0.04,5641088133,56,Center,5641088139,212,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124509,9,4,1,0,17,dbl7ir1qugqz8nvp1vzn8im50,1,36.0,78.8,2025-04-11T17:01:46.840Z,2025-04-11T18:00:42Z,,,,,5641376033,10,,5641088593,233,8,5641088563,56,Back,5641088569,286,,5641088565,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124499,8,4,1,0,17,f1h34qp5zbfl489q8vnkhiq9s,0,64.0,21.2,2025-04-11T17:01:46.841Z,2025-04-11T18:00:42Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5641115777,10,,5641088627,233,9,5641088549,285,,5641088545,56,Center,5641088547,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124615,10,1,1,0,24,dbl7ir1qugqz8nvp1vzn8im50,1,44.0,83.8,2025-04-11T17:01:53.544Z,2025-04-11T17:01:55Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5641088831,140,34.2,5641088835,212,27.1,5641088829,56,Back,5641088837,213,4.32,5641088833,141,46.9,5641088825,5,,5641088827,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124627,11,1,1,0,25,dbl7ir1qugqz8nvp1vzn8im50,1,34.2,46.9,2025-04-11T17:01:54.855Z,2025-04-11T17:01:56Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5641088891,56,Back,5641088897,212,18.6,5641088899,213,5.05,5641088895,141,21.0,5641088893,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124669,12,1,1,0,27,dbl7ir1qugqz8nvp1vzn8im50,1,40.0,21.0,2025-04-11T17:01:56.679Z,2025-04-11T17:02:00Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5641089165,213,5.96,5641089157,56,Right,5641089161,141,10.7,5641089159,140,60.0,5641089163,212,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124691,13,1,1,0,31,dbl7ir1qugqz8nvp1vzn8im50,1,68.4,10.9,2025-04-11T17:02:00.663Z,2025-04-11T17:02:02Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5641089259,140,62.3,5641089265,212,11.6,5641089269,213,2.15,5641089257,56,Center,5641089261,141,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124697,14,1,1,0,32,dbl7ir1qugqz8nvp1vzn8im50,1,62.3,25.2,2025-04-11T17:02:02.064Z,2025-04-11T17:02:03Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5641089311,140,58.7,5641089315,212,10.4,5641089317,213,4.34,5641089309,56,Right,5641089313,141,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124749,15,1,1,0,34,dbl7ir1qugqz8nvp1vzn8im50,1,58.7,10.9,2025-04-11T17:02:03.168Z,2025-04-11T17:02:07Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5641089587,141,28.5,5641089585,140,35.9,5641089589,212,26.8,5641089583,56,Back,5641089591,213,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124787,16,1,1,0,37,dbl7ir1qugqz8nvp1vzn8im50,1,32.3,20.9,2025-04-11T17:02:06.999Z,2025-04-11T17:02:09Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5641089741,212,26.4,5641089739,141,51.8,5641089743,213,2.22,5641089737,140,17.1,5641089735,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124811,17,1,1,0,40,dbl7ir1qugqz8nvp1vzn8im50,1,18.0,52.1,2025-04-11T17:02:09.160Z,2025-04-11T17:02:11Z,2g019dl7zougqjo7usig0rf11,M. Hansen,,,5641089861,212,29.0,5641089857,140,26.5,5641089855,56,Back,5641089863,213,1.26,5641089859,141,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124833,18,1,1,0,42,dbl7ir1qugqz8nvp1vzn8im50,1,26.5,92.6,2025-04-11T17:02:11.736Z,2025-04-11T17:02:13Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5641089981,56,Back,5641089987,212,4.9,5641089989,213,4.29,5641089985,141,86.0,5641089983,140,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124849,19,1,1,0,44,dbl7ir1qugqz8nvp1vzn8im50,1,24.6,86.0,2025-04-11T17:02:13.247Z,2025-04-11T17:02:15Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5641090081,212,5.0,5641090079,141,92.6,5641090077,140,22.5,5641090075,56,Back,5641090083,213,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124887,20,1,1,0,46,dbl7ir1qugqz8nvp1vzn8im50,0,22.5,92.6,2025-04-11T17:02:15.144Z,2025-04-11T17:02:17Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5641090231,140,25.2,5641090233,141,91.7,5641090235,212,2.9,5641090229,56,Back,5641090237,213,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124897,9,8,1,0,49,f1h34qp5zbfl489q8vnkhiq9s,1,71.6,10.3,2025-04-11T17:02:18.586Z,2025-04-11T17:02:18Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5641090295,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124921,21,83,1,0,51,dbl7ir1qugqz8nvp1vzn8im50,0,21.4,95.9,2025-04-11T17:02:20.808Z,2025-04-11T17:02:23Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5641090551,399,4mxciw9jsj9l437fd7bv78p91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124951,11,1,1,0,52,f1h34qp5zbfl489q8vnkhiq9s,0,78.0,6.1,2025-04-11T17:02:22.050Z,2025-04-11T17:02:22Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5641090527,141,9.8,5641090529,212,4.6,5641090523,56,Right,5641090525,140,81.7,5641090531,213,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124969,22,1,1,0,55,dbl7ir1qugqz8nvp1vzn8im50,0,12.4,92.3,2025-04-11T17:02:24.287Z,2025-04-11T17:02:25Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5641090643,212,8.1,5641090649,1,,5641090635,140,20.1,5641090637,141,92.1,5641090699,286,,5641090693,236,,5641090647,213,6.27,5641090695,233,12,5641090629,56,Back,5641090625,157,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124973,12,74,1,0,55,f1h34qp5zbfl489q8vnkhiq9s,1,80.5,7.1,2025-04-11T17:02:24.288Z,2025-04-11T19:04:31Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5641090651,56,Right,5641090703,233,22,5641090653,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124989,13,5,1,0,56,f1h34qp5zbfl489q8vnkhiq9s,0,84.7,-2.0,2025-04-11T17:02:25.857Z,2025-04-11T19:05:23Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5641090755,56,Right,5641091175,233,23,5641090757,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125057,23,5,1,0,56,dbl7ir1qugqz8nvp1vzn8im50,1,15.3,102.0,2025-04-11T17:02:25.857Z,2025-04-11T19:05:23Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5641091101,56,Back,5641091159,233,13,5641091103,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125095,24,1,1,1,3,dbl7ir1qugqz8nvp1vzn8im50,1,17.8,100.0,2025-04-11T17:02:32.905Z,2025-04-11T17:02:36Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5641091285,212,8.5,5641091279,56,Back,5641091281,140,24.9,5641091289,213,5.78,5641091283,141,95.9,5641091277,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125107,25,1,1,1,5,dbl7ir1qugqz8nvp1vzn8im50,0,24.9,95.9,2025-04-11T17:02:34.936Z,2025-04-11T19:10:15Z,5vwzliaibdlhfm38g8v5z0r8p,J. Grot,,,5641091349,56,Back,5641091353,141,96.0,5641091345,3,,5641091347,168,,5641091351,140,25.9,5641091357,213,0.06,5641091355,212,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125129,15,1,1,1,7,f1h34qp5zbfl489q8vnkhiq9s,1,57.1,17.3,2025-04-11T17:02:36.377Z,2025-04-11T17:02:37Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5641091459,56,Center,5641091475,212,9.3,5641091465,140,63.7,5641091477,213,0.73,5641091471,141,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125145,16,1,1,1,8,f1h34qp5zbfl489q8vnkhiq9s,0,63.7,26.5,2025-04-11T17:02:37.680Z,2025-04-11T17:10:55Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5641091565,213,3.95,5641091557,141,21.3,5641091561,212,4.9,5641118815,156,,5641091553,140,60.5,5641091549,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125163,17,43,1,1,9,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-04-11T17:02:38.488Z,2025-04-11T17:08:21Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5641091685,56,Right,5641091687,140,66.0,5641120899,144,1,5641091693,213,5.60,5641091691,212,7.4,5641091689,141,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799132727,137,8,1,1,9,dbl7ir1qugqz8nvp1vzn8im50,1,36.2,80.1,2025-04-11T17:02:38.790Z,2025-04-11T18:01:14Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5641133135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125179,18,1,1,1,11,f1h34qp5zbfl489q8vnkhiq9s,1,68.1,6.7,2025-04-11T17:02:40.240Z,2025-04-11T17:02:42Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5641091787,155,,5641091793,141,8.8,5641091789,56,Right,5641091791,140,88.9,5641091797,213,0.07,5641091795,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125187,19,1,1,1,12,f1h34qp5zbfl489q8vnkhiq9s,0,93.2,8.9,2025-04-11T17:02:42.088Z,2025-04-11T17:02:44Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5641091829,2,,5641091835,140,92.9,5641091837,141,12.6,5641091893,233,26,5641091839,212,2.5,5641091833,56,Right,5641091891,236,,5641091841,213,1.70,5641091897,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125195,26,12,1,1,13,dbl7ir1qugqz8nvp1vzn8im50,1,9.1,90.5,2025-04-11T17:02:42.188Z,2025-04-11T17:02:44Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5641091853,185,,5641091855,56,Back,5641091939,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125253,20,1,1,1,14,f1h34qp5zbfl489q8vnkhiq9s,1,92.1,11.1,2025-04-11T17:02:43.968Z,2025-04-11T17:02:46Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5641092181,212,13.0,5641092179,141,6.7,5641092177,140,80.1,5641092175,56,Right,5641092183,213,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125269,21,1,1,1,17,f1h34qp5zbfl489q8vnkhiq9s,0,84.1,7.6,2025-04-11T17:02:46.816Z,2025-04-11T17:02:48Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5641092267,155,,5641092275,212,22.3,5641092277,213,1.42,5641092265,2,,5641092271,140,87.2,5641092273,141,40.1,5641092269,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125281,27,12,1,1,19,dbl7ir1qugqz8nvp1vzn8im50,1,9.7,59.1,2025-04-11T17:02:48.343Z,2025-04-11T17:02:50Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5641092343,213,0.57,5641092339,141,73.5,5641092335,56,Back,5641092337,140,24.4,5641092341,212,18.3,5641092409,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125311,22,44,1,1,21,f1h34qp5zbfl489q8vnkhiq9s,1,72.4,28.1,2025-04-11T17:02:50.378Z,2025-04-11T19:04:52Z,37mo55lynu3blqnb8k9ln8k16,P. Tjørnelund,,,5641092473,286,,5641092471,56,Center,5641092525,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125315,28,44,1,1,21,dbl7ir1qugqz8nvp1vzn8im50,0,27.6,71.9,2025-04-11T17:02:50.379Z,2025-04-11T19:04:52Z,5vwzliaibdlhfm38g8v5z0r8p,J. Grot,,,5641092493,285,,5641092559,233,22,5641092491,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125335,23,1,1,1,21,f1h34qp5zbfl489q8vnkhiq9s,0,67.1,30.7,2025-04-11T17:02:50.728Z,2025-04-11T17:02:52Z,37mo55lynu3blqnb8k9ln8k16,P. Tjørnelund,,,5641092599,213,5.08,5641092593,140,70.1,5641092595,141,18.5,5641092597,212,8.9,5641092591,56,Right,5641092589,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125359,29,61,1,1,24,dbl7ir1qugqz8nvp1vzn8im50,0,27.3,76.9,2025-04-11T17:02:53.455Z,2025-04-11T17:02:53Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5641092741,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125397,24,1,1,1,26,f1h34qp5zbfl489q8vnkhiq9s,0,61.8,16.8,2025-04-11T17:02:55.464Z,2025-04-11T17:02:56Z,37mo55lynu3blqnb8k9ln8k16,P. Tjørnelund,,,5641092881,140,66.6,5641092879,56,Right,5641092887,213,5.83,5641092883,141,13.2,5641092885,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125369,30,61,1,1,27,dbl7ir1qugqz8nvp1vzn8im50,1,27.6,76.9,2025-04-11T17:02:56.386Z,2025-04-11T17:11:43Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5641092785,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125423,25,1,1,1,28,f1h34qp5zbfl489q8vnkhiq9s,1,69.0,19.2,2025-04-11T17:02:57.896Z,2025-04-11T17:02:59Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5641093051,212,18.2,5641093047,140,85.2,5641093045,56,Right,5641093053,213,5.92,5641093049,141,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125451,26,1,1,1,29,f1h34qp5zbfl489q8vnkhiq9s,0,88.9,10.7,2025-04-11T17:02:59.040Z,2025-04-11T17:58:58Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5641093201,212,13.1,5641093197,140,100.0,5641093199,141,16.2,5641093195,56,Right,5641093203,213,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125461,27,43,1,1,31,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-04-11T17:03:00.744Z,2025-04-11T17:12:06Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5641139813,144,61,5641093245,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125563,28,5,1,1,35,f1h34qp5zbfl489q8vnkhiq9s,0,100.8,23.8,2025-04-11T17:03:04.887Z,2025-04-11T19:05:24Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5641094171,233,31,5641093779,56,Center,5641093781,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799125635,31,5,1,1,35,dbl7ir1qugqz8nvp1vzn8im50,1,-0.8,76.2,2025-04-11T17:03:04.887Z,2025-04-11T19:05:24Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5641094125,233,28,5641094113,56,Back,5641094115,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
