id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value
2793541511,4,1,1,0,14,b2vft81kyjurzbmekvgrqwr64,1,46.9,52.2,2025-03-30T12:02:53.612Z,2025-03-30T12:02:55Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5610185275,212,19.7,5610185273,141,60.3,5610185271,140,64.9,5610185277,213,0.28,5610185269,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541519,5,1,1,0,16,b2vft81kyjurzbmekvgrqwr64,0,64.9,60.3,2025-03-30T12:02:55.269Z,2025-03-30T12:02:56Z,4qyfoq5fjiochtj89w426lm21,S. Andreasen,,,5610185389,286,,5610185309,141,56.6,5610185311,212,2.6,5610185385,233,9,5610185313,213,4.43,5610185305,56,Center,5610185307,140,64.2,5610185383,236,,,,,,,,,,,,,,,,,,,,,,,,,
2793541527,9,74,1,0,16,bd4qakf7j0wwie8wke9km7uj8,1,34.7,40.3,2025-03-30T12:02:55.270Z,2025-03-30T13:22:06Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5610185465,233,5,5610185363,285,,5610185361,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541559,6,1,1,0,18,b2vft81kyjurzbmekvgrqwr64,1,62.7,56.9,2025-03-30T12:02:57.340Z,2025-03-30T12:02:58Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5610185569,140,54.0,5610185571,141,35.1,5610185573,212,17.4,5610185567,56,Center,5610185575,213,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541589,7,1,1,0,19,b2vft81kyjurzbmekvgrqwr64,1,54.0,35.1,2025-03-30T12:02:58.773Z,2025-03-30T12:03:01Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5610185747,56,Right,5610185753,212,23.6,5610185751,141,8.5,5610185749,140,68.4,5610185755,213,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541665,8,1,1,0,22,b2vft81kyjurzbmekvgrqwr64,1,64.4,10.6,2025-03-30T12:03:00.885Z,2025-03-30T12:03:05Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5610186117,141,21.3,5610186107,56,Back,5610186125,213,2.83,5610186121,212,23.4,5610186113,140,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541739,9,1,1,0,26,b2vft81kyjurzbmekvgrqwr64,1,46.6,23.9,2025-03-30T12:03:05.085Z,2025-03-30T12:03:10Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5610186533,213,1.70,5610186525,140,44.5,5610186523,56,Back,5610186527,141,48.8,5610186529,212,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541821,10,1,1,0,31,b2vft81kyjurzbmekvgrqwr64,1,43.6,50.6,2025-03-30T12:03:10.564Z,2025-03-30T12:03:14Z,ayhdul772mr22qoly04psb3f8,O. Dorph,,,5610186823,141,77.5,5610186825,212,18.3,5610186819,56,Back,5610186821,140,42.3,5610186827,213,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541873,11,1,1,0,35,b2vft81kyjurzbmekvgrqwr64,0,41.6,77.0,2025-03-30T12:03:14.789Z,2025-03-30T12:03:19Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5610187171,1,,5610187163,140,75.3,5610187165,141,78.7,5610187161,56,Center,5610187159,155,,5610187167,212,35.4,5610187169,213,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541881,10,44,1,0,39,bd4qakf7j0wwie8wke9km7uj8,1,27.3,16.4,2025-03-30T12:03:18.036Z,2025-03-30T14:14:18Z,em0yawcqyqwf53hbj0zlz4duc,A. Halsgaard,,,5610187201,285,,5610187283,233,12,5610187199,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541877,12,44,1,0,39,b2vft81kyjurzbmekvgrqwr64,0,72.7,83.6,2025-03-30T12:03:18.037Z,2025-03-30T14:14:19Z,4qyfoq5fjiochtj89w426lm21,S. Andreasen,,,5610187195,286,,5610187193,56,Left,5610187323,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541915,11,1,1,0,39,bd4qakf7j0wwie8wke9km7uj8,1,31.6,8.2,2025-03-30T12:03:18.502Z,2025-03-30T12:11:56Z,em0yawcqyqwf53hbj0zlz4duc,A. Halsgaard,,,5610187407,140,39.6,5610187403,3,,5610187409,141,7.6,5610187411,212,8.4,5610187405,56,Back,5610187413,213,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541945,12,1,1,0,41,bd4qakf7j0wwie8wke9km7uj8,1,39.6,7.6,2025-03-30T12:03:20.014Z,2025-03-30T12:11:55Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5610187567,212,23.2,5610187569,213,0.20,5610187561,56,Right,5610187565,141,14.4,5610187563,140,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541967,14,1,1,0,44,bd4qakf7j0wwie8wke9km7uj8,1,61.3,14.4,2025-03-30T12:03:23.069Z,2025-03-30T12:12:38Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5610187663,56,Right,5610187667,141,8.3,5610187673,213,3.78,5610187665,140,56.0,5610187669,212,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541973,15,1,1,0,45,bd4qakf7j0wwie8wke9km7uj8,1,56.0,8.3,2025-03-30T12:03:24.085Z,2025-03-30T12:03:24Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5610187699,140,58.2,5610187697,56,Center,5610187703,212,9.7,5610187705,213,1.33,5610187701,141,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542007,16,1,1,0,45,bd4qakf7j0wwie8wke9km7uj8,1,58.2,22.2,2025-03-30T12:03:24.765Z,2025-03-30T12:03:26Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5610187859,141,56.4,5610187855,56,Center,5610187857,140,54.7,5610187861,212,23.5,5610187863,213,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542085,17,1,1,0,47,bd4qakf7j0wwie8wke9km7uj8,1,54.1,58.2,2025-03-30T12:03:26.741Z,2025-03-30T12:03:32Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5610188333,140,65.0,5610188341,213,1.14,5610188329,56,Left,5610188335,141,94.4,5610188339,212,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542101,18,1,1,0,53,bd4qakf7j0wwie8wke9km7uj8,1,56.7,97.1,2025-03-30T12:03:32.413Z,2025-03-30T12:03:34Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5610188429,140,42.4,5610188427,56,Back,5610188431,141,82.4,5610188433,212,18.0,5610188435,213,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542115,19,1,1,0,55,bd4qakf7j0wwie8wke9km7uj8,1,42.2,83.8,2025-03-30T12:03:33.941Z,2025-03-30T12:03:35Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5610188485,140,40.9,5610188483,56,Back,5610188487,141,95.9,5610188489,212,8.3,5610188491,213,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542199,20,1,1,0,56,bd4qakf7j0wwie8wke9km7uj8,1,40.9,95.9,2025-03-30T12:03:35.198Z,2025-03-30T12:03:42Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5610188989,140,31.1,5610188995,212,25.2,5610188993,141,62.0,5610188987,56,Back,5610188997,213,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542249,21,1,1,1,3,bd4qakf7j0wwie8wke9km7uj8,1,33.8,60.8,2025-03-30T12:03:42.087Z,2025-03-30T12:12:22Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5610189219,1,,5610189201,56,Back,5610189215,213,4.99,5610189203,140,42.9,5610189209,141,10.6,5610189213,212,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542283,22,1,1,1,6,bd4qakf7j0wwie8wke9km7uj8,1,46.4,5.0,2025-03-30T12:03:45.758Z,2025-03-30T12:03:48Z,em0yawcqyqwf53hbj0zlz4duc,A. Halsgaard,,,5610189409,212,14.5,5610189397,56,Back,5610189405,141,24.7,5610189411,213,1.96,5610189401,140,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542359,23,1,1,1,9,bd4qakf7j0wwie8wke9km7uj8,1,43.1,29.5,2025-03-30T12:03:48.527Z,2025-03-30T12:14:20Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5610189823,140,39.0,5610189825,141,60.2,5610189821,56,Back,5610189829,213,1.77,5610189827,212,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542375,24,1,1,1,15,bd4qakf7j0wwie8wke9km7uj8,1,57.0,68.5,2025-03-30T12:03:54.517Z,2025-03-30T12:03:55Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5610189915,212,11.8,5610189917,213,0.55,5610189909,56,Center,5610189913,141,77.5,5610189911,140,66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542405,25,1,1,1,16,bd4qakf7j0wwie8wke9km7uj8,1,66.6,77.5,2025-03-30T12:03:55.677Z,2025-03-30T12:03:58Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5610190037,141,95.1,5610190041,213,1.84,5610190039,212,12.4,5610190035,140,63.4,5610190033,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542411,26,1,1,1,19,bd4qakf7j0wwie8wke9km7uj8,0,63.4,95.1,2025-03-30T12:03:57.958Z,2025-03-30T12:03:59Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5610190069,141,93.2,5610190065,56,Left,5610190081,233,13,5610190073,213,5.10,5610190071,212,1.4,5610190067,140,63.9,5610190079,236,,5610190085,286,,,,,,,,,,,,,,,,,,,,,,,,,
2793542413,13,74,1,1,19,b2vft81kyjurzbmekvgrqwr64,1,28.3,14.9,2025-03-30T12:03:57.959Z,2025-03-30T13:22:07Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,,5610190077,285,,5610190113,233,26,5610190075,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542531,14,5,1,1,20,b2vft81kyjurzbmekvgrqwr64,0,33.2,-1.8,2025-03-30T12:03:58.934Z,2025-03-30T14:08:25Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,,5610190781,233,27,5610190687,347,,5610190685,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542441,27,5,1,1,20,bd4qakf7j0wwie8wke9km7uj8,1,66.8,101.8,2025-03-30T12:03:58.934Z,2025-03-30T14:08:24Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5610190229,56,Left,5610190767,233,14,5610190231,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542997,28,1,1,1,50,bd4qakf7j0wwie8wke9km7uj8,1,65.9,100.0,2025-03-30T12:04:29.326Z,2025-03-30T12:04:35Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5610193129,212,30.5,5610193125,140,40.0,5610193131,213,3.61,5610193133,1,,5610193127,141,81.8,5610193123,56,Back,5610193121,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543039,29,1,1,1,56,bd4qakf7j0wwie8wke9km7uj8,1,34.1,75.6,2025-03-30T12:04:34.959Z,2025-03-30T12:04:37Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5610193355,141,29.2,5610193351,140,39.1,5610193359,213,4.88,5610193347,56,Back,5610193357,212,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543095,30,1,1,1,58,bd4qakf7j0wwie8wke9km7uj8,1,39.3,29.4,2025-03-30T12:04:37.430Z,2025-03-30T12:14:38Z,em0yawcqyqwf53hbj0zlz4duc,A. Halsgaard,,,5610193669,213,1.72,5610193659,56,Back,5610193663,141,77.3,5610193665,212,33.0,5610193661,140,34.5,5610193671,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543109,31,1,1,2,3,bd4qakf7j0wwie8wke9km7uj8,0,32.5,87.5,2025-03-30T12:04:42.167Z,2025-03-30T12:17:41Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5610193729,141,88.4,5610193733,213,0.02,5610193731,212,38.1,5610193725,56,Left,5610193727,140,68.8,5610193735,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543113,15,8,1,2,3,b2vft81kyjurzbmekvgrqwr64,1,33.2,21.2,2025-03-30T12:04:42.740Z,2025-03-30T12:04:43Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5610193743,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543145,17,1,1,2,4,b2vft81kyjurzbmekvgrqwr64,1,33.2,21.2,2025-03-30T12:04:43.500Z,2025-03-30T12:04:45Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5610193925,56,Back,5610193933,213,0.36,5610193931,212,9.1,5610193929,141,25.9,5610193927,140,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543281,18,1,1,2,6,b2vft81kyjurzbmekvgrqwr64,1,45.4,26.2,2025-03-30T12:04:45.331Z,2025-03-30T12:04:54Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5610194651,212,22.7,5610194653,213,5.78,5610194647,140,64.3,5610194645,56,Right,5610194649,141,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793556349,154,83,1,2,14,bd4qakf7j0wwie8wke9km7uj8,0,19.2,94.8,2025-03-30T12:04:53.497Z,2025-03-30T12:17:12Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5610262743,399,9xub4z9b3bog8wqhn5yfihecp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543287,19,3,1,2,15,b2vft81kyjurzbmekvgrqwr64,0,81.0,5.8,2025-03-30T12:04:54.052Z,2025-03-30T12:04:58Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,,5610194675,56,Right,5610194677,286,,5610194811,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543299,32,7,1,2,15,bd4qakf7j0wwie8wke9km7uj8,1,19.0,94.2,2025-03-30T12:04:54.053Z,2025-03-30T12:17:43Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5610194783,233,19,5610194753,285,,5610194751,56,Back,5610194749,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543343,20,5,1,2,16,b2vft81kyjurzbmekvgrqwr64,1,81.1,-1.8,2025-03-30T12:04:55.143Z,2025-03-30T14:08:25Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,,5610195069,233,33,5610195015,347,,5610195011,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543349,33,5,1,2,16,bd4qakf7j0wwie8wke9km7uj8,0,18.9,101.8,2025-03-30T12:04:55.143Z,2025-03-30T14:08:25Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5610195043,56,Back,5610195045,347,,5610195189,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543397,21,1,1,2,19,b2vft81kyjurzbmekvgrqwr64,1,79.1,0.0,2025-03-30T12:04:58.060Z,2025-03-30T12:05:00Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5610195327,213,2.78,5610195325,212,16.6,5610195323,141,7.1,5610195319,56,Right,5610195321,140,64.3,5610195317,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543423,22,1,1,2,21,b2vft81kyjurzbmekvgrqwr64,1,65.5,10.4,2025-03-30T12:05:00.269Z,2025-03-30T12:05:01Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5610195465,213,1.08,5610195459,140,72.1,5610195461,141,29.5,5610195463,212,14.7,5610195457,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543485,23,1,1,2,22,b2vft81kyjurzbmekvgrqwr64,1,72.1,29.5,2025-03-30T12:05:01.092Z,2025-03-30T12:05:04Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5610195771,56,Right,5610195773,140,87.4,5610195775,141,4.6,5610195779,213,5.47,5610195777,212,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543493,24,1,1,2,25,b2vft81kyjurzbmekvgrqwr64,0,80.2,10.3,2025-03-30T12:05:04.532Z,2025-03-30T12:05:05Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5610195827,213,0.92,5610195821,140,86.5,5610195823,141,23.1,5610195825,212,10.9,5610195819,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543525,34,1,1,2,27,bd4qakf7j0wwie8wke9km7uj8,0,17.4,85.3,2025-03-30T12:05:06.054Z,2025-03-30T12:05:06Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5610195977,56,Back,5610195979,140,28.9,5610195981,141,81.2,5610195983,212,12.4,5610195985,213,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543697,25,1,1,2,28,b2vft81kyjurzbmekvgrqwr64,0,66.2,20.7,2025-03-30T12:05:07.756Z,2025-03-30T13:04:47Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5610196799,140,82.0,5610196805,212,17.6,5610196801,141,12.2,5610196807,213,5.95,5610196795,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543619,35,61,1,2,32,bd4qakf7j0wwie8wke9km7uj8,1,20.9,96.9,2025-03-30T12:05:11.339Z,2025-03-30T12:18:35Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5610196435,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543743,27,5,1,2,33,b2vft81kyjurzbmekvgrqwr64,1,82.2,-1.7,2025-03-30T12:05:12.054Z,2025-03-30T14:08:26Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,,5610197017,347,,5610197015,56,Right,5610197113,233,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793543649,36,5,1,2,33,bd4qakf7j0wwie8wke9km7uj8,0,17.8,101.7,2025-03-30T12:05:12.054Z,2025-03-30T14:08:26Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5610196569,347,,5610196567,56,Back,5610197163,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
