id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value
2786054309,14,43,1,0,43,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-03-09T13:00:56.814Z,2025-03-09T13:00:59Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5569142089,144,56,5569142051,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054407,11,5,1,0,50,bd4qakf7j0wwie8wke9km7uj8,0,90.0,102.0,2025-03-09T13:01:04.486Z,2025-03-09T15:02:33Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5569142541,347,,5569143577,233,15,5569142539,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054575,15,5,1,0,50,7gkglopz9cjsysn2u6sbhuvc5,1,10.0,-2.0,2025-03-09T13:01:04.486Z,2025-03-09T13:01:16Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5569143529,233,11,5569143451,347,,5569143449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054701,16,1,1,1,4,7gkglopz9cjsysn2u6sbhuvc5,1,16.2,0.0,2025-03-09T13:01:18.341Z,2025-03-09T13:01:21Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5569144071,107,,5569144077,141,5.3,5569144073,56,Back,5569144081,213,0.20,5569144075,140,39.1,5569144083,1,,5569144079,212,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786055153,19,44,1,1,6,7gkglopz9cjsysn2u6sbhuvc5,1,37.8,5.8,2025-03-09T13:01:20.646Z,2025-03-09T13:01:58Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5569146435,233,12,5569146407,56,Back,5569146409,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054715,12,44,1,1,6,bd4qakf7j0wwie8wke9km7uj8,0,62.2,94.2,2025-03-09T13:01:20.647Z,2025-03-09T13:01:57Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569144149,286,,5569146515,233,19,5569144147,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054711,17,1,1,1,7,7gkglopz9cjsysn2u6sbhuvc5,0,39.1,5.3,2025-03-09T13:01:21.070Z,2025-03-09T13:06:05Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5569144143,213,5.37,5569144133,168,,5569144137,140,39.4,5569144141,212,0.5,5569144131,3,,5569144139,141,4.7,5569144135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054745,13,1,1,1,9,bd4qakf7j0wwie8wke9km7uj8,1,62.9,92.6,2025-03-09T13:01:23.049Z,2025-03-09T15:10:38Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5569144321,141,94.4,5569144325,213,0.36,5569144315,56,Left,5569144323,212,3.5,5569144317,140,66.0,5569144311,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054755,14,61,1,1,11,bd4qakf7j0wwie8wke9km7uj8,0,65.6,95.0,2025-03-09T13:01:24.841Z,2025-03-09T13:01:25Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569144341,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054761,15,5,1,1,11,bd4qakf7j0wwie8wke9km7uj8,0,65.2,101.6,2025-03-09T13:01:25.441Z,2025-03-09T15:02:34Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569144847,233,18,5569144381,347,,5569144379,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054835,18,5,1,1,11,7gkglopz9cjsysn2u6sbhuvc5,1,34.8,-1.6,2025-03-09T13:01:25.441Z,2025-03-09T15:02:33Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5569144767,56,Back,5569144817,233,15,5569144769,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786055437,20,1,1,1,54,7gkglopz9cjsysn2u6sbhuvc5,1,41.0,0.0,2025-03-09T13:02:08.063Z,2025-03-09T13:02:17Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5569147959,213,0.30,5569147949,140,60.9,5569147953,141,7.6,5569147947,56,Right,5569147943,107,,5569147961,1,,5569147957,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786055451,21,1,1,2,3,7gkglopz9cjsysn2u6sbhuvc5,1,62.9,9.7,2025-03-09T13:02:17.220Z,2025-03-09T13:02:18Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,,5569148025,56,Right,5569148033,141,5.8,5569148039,213,4.24,5569148029,140,61.6,5569148037,212,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786055479,22,2,1,2,4,7gkglopz9cjsysn2u6sbhuvc5,1,61.6,5.8,2025-03-09T13:02:18.252Z,2025-03-09T13:02:22Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5569148171,141,6.4,5569148421,56,Right,5569148419,7,9nafz0c0x2qvmo5ldm0djmcq1,5569148169,140,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786055971,17,1,1,2,28,bd4qakf7j0wwie8wke9km7uj8,1,20.3,91.4,2025-03-09T13:02:42.704Z,2025-03-09T13:02:51Z,c4esrbgbv6v715768v2cb676d,F. Schram,,,5569150645,241,,5569150655,213,6.07,5569150649,140,74.9,5569150641,5,,5569150653,212,58.7,5569150647,56,Center,5569150651,141,73.2,5569150643,157,,5569150657,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056005,18,1,1,2,37,bd4qakf7j0wwie8wke9km7uj8,1,73.9,71.4,2025-03-09T13:02:50.904Z,2025-03-09T15:10:40Z,7pnxa8wzxx5qxevcckxdd62tx,E. Nielsen,,,5569150877,3,,5569150885,141,94.2,5569150889,212,19.6,5569150881,140,85.3,5569150891,213,0.91,5569150879,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056023,19,3,1,2,39,bd4qakf7j0wwie8wke9km7uj8,0,84.4,93.0,2025-03-09T13:02:53.272Z,2025-03-09T13:03:01Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5569151201,233,23,5569151033,286,,5569151031,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056049,23,7,1,2,39,7gkglopz9cjsysn2u6sbhuvc5,1,15.6,7.0,2025-03-09T13:02:53.273Z,2025-03-09T13:07:40Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5569151181,233,19,5569151127,167,,5569151129,56,Back,5569151131,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056071,20,5,1,2,42,bd4qakf7j0wwie8wke9km7uj8,1,84.1,101.8,2025-03-09T13:02:56.272Z,2025-03-09T15:02:34Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5569151571,233,24,5569151273,56,Left,5569151275,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056111,24,5,1,2,42,7gkglopz9cjsysn2u6sbhuvc5,0,15.9,-1.8,2025-03-09T13:02:56.272Z,2025-03-09T15:02:34Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5569151601,233,20,5569151515,56,Back,5569151517,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056507,21,1,1,3,9,bd4qakf7j0wwie8wke9km7uj8,0,84.6,100.0,2025-03-09T13:03:23.688Z,2025-03-09T13:03:26Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569153585,56,Center,5569153595,1,,5569153589,141,59.7,5569153593,213,4.95,5569153587,140,91.3,5569153591,212,29.3,5569153583,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056521,25,12,1,3,12,7gkglopz9cjsysn2u6sbhuvc5,1,9.0,42.5,2025-03-09T13:03:26.580Z,2025-03-09T13:03:33Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5569153653,213,5.88,5569153647,140,16.8,5569153651,212,8.9,5569153645,56,Back,5569153765,15,,5569153649,141,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056627,22,1,1,3,15,bd4qakf7j0wwie8wke9km7uj8,1,84.6,60.8,2025-03-09T13:03:29.583Z,2025-03-09T13:03:33Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5569154231,56,Left,5569154237,212,26.3,5569154241,213,0.99,5569154233,140,98.3,5569154235,141,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056635,23,61,1,3,19,bd4qakf7j0wwie8wke9km7uj8,0,98.3,93.2,2025-03-09T13:03:32.927Z,2025-03-09T13:03:33Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569154271,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056647,24,5,1,3,19,bd4qakf7j0wwie8wke9km7uj8,0,95.3,102.0,2025-03-09T13:03:33.171Z,2025-03-09T15:02:35Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569154331,347,,5569154329,56,Left,5569154547,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056673,26,5,1,3,19,7gkglopz9cjsysn2u6sbhuvc5,1,4.7,-2.0,2025-03-09T13:03:33.171Z,2025-03-09T15:02:35Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5569154529,233,24,5569154495,347,,5569154493,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056977,28,1,1,3,39,7gkglopz9cjsysn2u6sbhuvc5,0,15.0,0.0,2025-03-09T13:03:53.291Z,2025-03-09T13:59:25Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5569155921,56,Back,5569155919,107,,5569155927,212,18.7,5569155925,141,1.4,5569155923,140,32.7,5569155929,213,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056983,26,1,1,3,41,bd4qakf7j0wwie8wke9km7uj8,0,66.3,94.4,2025-03-09T13:03:55.199Z,2025-03-09T13:03:56Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569155999,56,Left,5569156005,212,6.9,5569156003,141,92.9,5569156001,140,72.8,5569156007,213,6.13,5569155997,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786057005,29,1,1,3,43,7gkglopz9cjsysn2u6sbhuvc5,0,30.5,7.9,2025-03-09T13:03:56.971Z,2025-03-09T13:03:57Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5569156093,140,37.6,5569156099,213,0.14,5569156091,56,Back,5569156089,3,,5569156095,141,9.4,5569156097,212,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786057065,27,1,1,3,44,bd4qakf7j0wwie8wke9km7uj8,1,64.8,87.8,2025-03-09T13:03:58.704Z,2025-03-09T13:04:00Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5569156439,140,76.1,5569156443,212,15.2,5569156435,3,,5569156441,141,73.8,5569156437,56,Center,5569156445,213,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786057071,28,1,1,3,46,bd4qakf7j0wwie8wke9km7uj8,0,76.1,73.8,2025-03-09T13:03:59.937Z,2025-03-09T13:04:00Z,7pnxa8wzxx5qxevcckxdd62tx,E. Nielsen,,,5569156475,141,86.2,5569156477,212,9.7,5569156471,56,Left,5569156479,213,2.08,5569156473,140,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786057101,30,1,1,3,47,7gkglopz9cjsysn2u6sbhuvc5,0,34.3,9.4,2025-03-09T13:04:01.348Z,2025-03-09T15:08:46Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5569156639,140,38.5,5569156643,212,4.5,5569156647,1,,5569156645,213,0.18,5569156635,157,,5569156641,141,10.6,5569156637,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786057111,29,1,1,3,47,bd4qakf7j0wwie8wke9km7uj8,1,67.3,82.6,2025-03-09T13:04:01.440Z,2025-03-09T13:04:03Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5569156709,3,,5569156713,140,70.8,5569156717,212,8.6,5569156711,56,Center,5569156719,213,5.15,5569156715,141,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
