id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2792089599,7,1,1,0,24,7gkglopz9cjsysn2u6sbhuvc5,1,28.9,22.5,2025-03-28T18:00:42.246Z,2025-03-28T18:00:43Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,5602392313,213,5.18,5602392305,56,Back,5602392311,212,8.8,5602392309,141,10.9,5602392307,140,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089613,8,1,1,0,25,7gkglopz9cjsysn2u6sbhuvc5,0,32.7,10.9,2025-03-28T18:00:43.360Z,2025-03-28T20:06:10Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,5602392369,140,59.9,5602392375,213,0.17,5602392365,157,,5602392367,56,Right,5602392373,212,29.0,5602392377,1,,5602392371,141,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089609,5,44,1,0,27,aqtkb4mgrz8c6iqfufj6qjbv9,1,27.8,72.9,2025-03-28T18:00:44.586Z,2025-03-28T18:14:20Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5602392349,56,Back,5602428089,233,9,5602392351,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089617,9,44,1,0,27,7gkglopz9cjsysn2u6sbhuvc5,0,72.2,27.1,2025-03-28T18:00:44.587Z,2025-03-28T18:10:09Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,5602428067,56,Center,5602428101,233,5,5602428069,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089629,6,1,1,0,27,aqtkb4mgrz8c6iqfufj6qjbv9,1,29.1,67.3,2025-03-28T18:00:44.866Z,2025-03-28T18:11:16Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5602392433,56,Back,5602392437,141,85.1,5602392431,3,,5602392439,212,12.4,5602392441,213,1.36,5602392435,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089631,7,1,1,0,28,aqtkb4mgrz8c6iqfufj6qjbv9,0,31.1,84.7,2025-03-28T18:00:46.371Z,2025-03-28T18:00:47Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,5602392465,212,10.2,5602392457,3,,5602392461,140,40.4,5602392459,56,Back,5602392467,213,0.29,5602392463,141,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089685,11,1,1,0,30,7gkglopz9cjsysn2u6sbhuvc5,0,61.8,11.0,2025-03-28T18:00:47.782Z,2025-03-28T18:10:51Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,5602392721,140,87.8,5602392717,3,,5602392727,213,0.49,5602392723,141,32.4,5602392719,56,Center,5602392725,212,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089815,10,1,1,0,50,aqtkb4mgrz8c6iqfufj6qjbv9,1,18.8,48.7,2025-03-28T18:01:07.754Z,2025-03-28T18:01:10Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,5602393377,56,Back,5602393395,213,5.06,5602393381,140,23.8,5602393389,212,15.2,5602393385,141,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089845,11,1,1,0,53,aqtkb4mgrz8c6iqfufj6qjbv9,1,23.9,26.4,2025-03-28T18:01:10.801Z,2025-03-28T18:01:15Z,559w0q3q2smb3aeotyi724s9g,W. Glindtvad,,5602393539,140,12.4,5602393541,141,50.0,5602393543,212,20.1,5602393545,213,2.22,5602393537,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089885,12,1,1,0,57,aqtkb4mgrz8c6iqfufj6qjbv9,1,13.8,50.7,2025-03-28T18:01:15.418Z,2025-03-28T18:01:19Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,5602393781,56,Back,5602393787,212,17.9,5602393783,140,16.6,5602393785,141,76.7,5602393789,213,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089893,13,1,1,1,2,aqtkb4mgrz8c6iqfufj6qjbv9,0,17.7,87.2,2025-03-28T18:01:19.737Z,2025-03-28T18:01:23Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,5602393833,1,,5602393821,157,,5602393825,140,66.4,5602393823,56,Center,5602393827,141,60.3,5602393831,213,5.94,5602393829,212,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089913,12,44,1,1,4,7gkglopz9cjsysn2u6sbhuvc5,1,34.2,39.6,2025-03-28T18:01:22.145Z,2025-03-28T19:00:01Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,5602393903,56,Back,5602393907,233,14,5602393905,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089903,14,44,1,1,4,aqtkb4mgrz8c6iqfufj6qjbv9,0,65.8,60.4,2025-03-28T18:01:22.146Z,2025-03-28T19:00:02Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5602393911,233,12,5602393871,286,,5602393869,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089935,13,1,1,1,4,7gkglopz9cjsysn2u6sbhuvc5,0,35.3,39.5,2025-03-28T18:01:22.230Z,2025-03-28T18:12:30Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,5602394003,212,20.2,5602393995,3,,5602393999,140,54.1,5602394001,141,33.3,5602393997,56,Center,5602394005,213,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089949,15,1,1,1,9,aqtkb4mgrz8c6iqfufj6qjbv9,0,44.8,57.5,2025-03-28T18:01:26.633Z,2025-03-28T20:00:29Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,5602394053,213,0.22,5602394045,56,Center,5602394049,141,61.5,5602394043,3,,5602394047,140,56.4,5602394051,212,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089967,14,1,1,1,10,7gkglopz9cjsysn2u6sbhuvc5,0,37.5,32.2,2025-03-28T18:01:28.078Z,2025-03-28T18:01:29Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,5602394133,213,6.05,5602394131,212,25.8,5602394123,157,,5602394127,140,61.4,5602394125,56,Center,5602394135,1,,5602394129,141,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089997,16,1,1,1,11,aqtkb4mgrz8c6iqfufj6qjbv9,1,31.1,78.4,2025-03-28T18:01:29.073Z,2025-03-28T18:01:32Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,5602394373,213,0.75,5602394367,140,41.6,5602394363,3,,5602394371,212,15.1,5602394369,141,93.6,5602394365,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089999,17,50,1,1,15,aqtkb4mgrz8c6iqfufj6qjbv9,1,41.0,92.2,2025-03-28T18:01:32.561Z,2025-03-28T18:54:12Z,akiwokthm1z7rbifshqhs24t1,P. Larsen,,5602394763,233,15,5602394395,56,Back,5602394397,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090061,15,7,1,1,15,7gkglopz9cjsysn2u6sbhuvc5,1,59.0,7.8,2025-03-28T18:01:32.562Z,2025-03-28T18:54:11Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,5602394727,56,Right,5602394729,285,,5602394755,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090319,20,83,1,1,17,aqtkb4mgrz8c6iqfufj6qjbv9,0,31.5,94.2,2025-03-28T18:01:34.744Z,2025-03-28T18:02:05Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5602396203,399,egwhlgopjtjkop7ozy7ltk1cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090067,16,50,1,1,18,7gkglopz9cjsysn2u6sbhuvc5,1,66.4,7.8,2025-03-28T18:01:35.520Z,2025-03-28T20:07:53Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,5602394935,286,,5602394749,56,Right,5602395027,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090017,18,7,1,1,18,aqtkb4mgrz8c6iqfufj6qjbv9,1,33.6,92.2,2025-03-28T18:01:35.521Z,2025-03-28T20:01:55Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5602395017,285,,5602395015,56,Back,5602395023,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090075,17,5,1,1,24,7gkglopz9cjsysn2u6sbhuvc5,1,71.8,-1.1,2025-03-28T18:01:42.285Z,2025-03-28T18:13:08Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,5602394787,347,,5602439493,233,19,5602394785,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090133,19,5,1,1,24,aqtkb4mgrz8c6iqfufj6qjbv9,0,28.2,101.1,2025-03-28T18:01:42.285Z,2025-03-28T18:53:58Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5602394997,56,Back,5602395043,233,17,5602394999,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090379,19,1,1,1,45,7gkglopz9cjsysn2u6sbhuvc5,0,72.4,0.0,2025-03-28T18:02:03.191Z,2025-03-28T18:02:07Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,5602396333,213,0.96,5602396323,107,,5602396327,140,89.8,5602396331,212,31.8,5602396325,56,Center,5602396335,1,,5602396329,141,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090377,21,12,1,1,49,aqtkb4mgrz8c6iqfufj6qjbv9,1,9.8,69.1,2025-03-28T18:02:06.569Z,2025-03-28T18:02:08Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5602396339,15,,5602396319,213,4.82,5602396315,141,51.2,5602396313,140,11.0,5602396317,212,12.2,5602396311,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090389,20,61,1,1,49,7gkglopz9cjsysn2u6sbhuvc5,1,89.8,39.5,2025-03-28T18:02:07.458Z,2025-03-28T20:08:30Z,ag1psg17osvgbq5fz9xo7kmj8,Z. Dalügge,,5602396375,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090391,22,61,1,1,50,aqtkb4mgrz8c6iqfufj6qjbv9,1,11.0,50.6,2025-03-28T18:02:08.121Z,2025-03-28T20:02:53Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,5602396377,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090397,23,12,1,1,51,aqtkb4mgrz8c6iqfufj6qjbv9,1,16.8,54.8,2025-03-28T18:02:09.033Z,2025-03-28T18:15:28Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,5602396413,56,Back,5602396417,141,68.4,5602396421,213,2.41,5602396419,212,13.8,5602396415,140,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090413,24,61,1,1,52,aqtkb4mgrz8c6iqfufj6qjbv9,1,7.0,68.4,2025-03-28T18:02:10.033Z,2025-03-28T20:02:52Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5602396491,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090505,25,12,1,1,58,aqtkb4mgrz8c6iqfufj6qjbv9,1,13.4,52.4,2025-03-28T18:02:15.786Z,2025-03-28T18:16:14Z,559w0q3q2smb3aeotyi724s9g,W. Glindtvad,,5602396925,141,0.0,5602396951,167,,5602396929,213,4.88,5602396921,56,Back,5602396927,212,36.8,5602396923,140,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090465,21,1,1,1,59,7gkglopz9cjsysn2u6sbhuvc5,0,70.5,31.9,2025-03-28T18:02:16.781Z,2025-03-28T20:08:31Z,bh06w40pwo6dy3cjrw3r2i0ru,I. Nikolov,,5602396719,212,17.8,5602396723,213,0.21,5602396715,141,37.3,5602396711,140,87.1,5602396709,56,Center,5602396707,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792101337,179,12,1,2,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,8.4,42.1,2025-03-28T18:02:17.873Z,2025-03-28T18:18:08Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5602458045,141,3.3,5602458041,56,Back,5602458049,213,5.33,5602458047,212,32.3,5602458043,140,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090529,22,5,1,2,0,7gkglopz9cjsysn2u6sbhuvc5,1,80.4,101.2,2025-03-28T18:02:18.401Z,2025-03-28T18:53:58Z,bh06w40pwo6dy3cjrw3r2i0ru,I. Nikolov,,5602397037,233,26,5602397013,347,,5602397011,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090513,26,5,1,2,0,aqtkb4mgrz8c6iqfufj6qjbv9,0,19.6,-1.2,2025-03-28T18:02:18.401Z,2025-03-28T18:02:22Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5602397047,233,22,5602396943,56,Back,5602396945,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090817,23,1,1,2,23,7gkglopz9cjsysn2u6sbhuvc5,1,87.9,100.0,2025-03-28T18:02:40.988Z,2025-03-28T18:19:30Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,5602398431,141,67.0,5602398427,56,Center,5602398433,212,24.9,5602398437,1,,5602398435,213,5.06,5602398429,140,95.9,5602398425,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090809,27,43,1,2,25,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-03-28T18:02:43.456Z,2025-03-28T18:19:25Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,5602398405,285,0,5602398403,56,Back,5602462201,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090839,24,61,1,2,25,7gkglopz9cjsysn2u6sbhuvc5,1,91.2,72.6,2025-03-28T18:02:43.457Z,2025-03-28T18:19:10Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,5602399411,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091307,29,61,1,2,26,7gkglopz9cjsysn2u6sbhuvc5,0,78.5,66.4,2025-03-28T18:02:43.779Z,2025-03-28T18:20:05Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,5602464285,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090811,28,12,1,2,26,aqtkb4mgrz8c6iqfufj6qjbv9,1,13.7,45.6,2025-03-28T18:02:44.370Z,2025-03-28T20:04:45Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5602398415,56,Back,5602467035,141,35.4,5602467033,140,25.6,5602467037,212,14.3,5602467039,213,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090833,29,43,1,2,27,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-03-28T18:02:45.121Z,2025-03-28T18:21:37Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,5602398521,140,30.4,5602398527,213,0.17,5602398523,141,29.8,5602468151,144,12,5602398519,56,Back,5602398525,212,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090933,25,4,1,2,36,7gkglopz9cjsysn2u6sbhuvc5,1,60.6,85.3,2025-03-28T18:02:54.236Z,2025-03-28T18:53:50Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,5602399115,265,,5602399113,152,,5602399117,286,,5602399777,233,30,5602399109,13,,5602399111,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792090993,30,4,1,2,36,aqtkb4mgrz8c6iqfufj6qjbv9,0,39.4,14.7,2025-03-28T18:02:54.237Z,2025-03-28T18:53:50Z,e0u730to91qqtvvx16uhajz10,S. Jalaei,,5602399405,152,,5602399837,233,25,5602399409,285,,5602399401,13,,5602399407,265,,5602399403,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091215,26,1,1,3,3,7gkglopz9cjsysn2u6sbhuvc5,0,64.9,85.1,2025-03-28T18:03:21.188Z,2025-03-28T18:03:23Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,5602400695,56,Center,5602400699,141,47.8,5602400705,1,,5602400691,157,,5602400703,213,5.52,5602400689,5,,5602400701,212,36.7,5602400697,140,90.1,5602400693,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091211,31,12,1,3,5,aqtkb4mgrz8c6iqfufj6qjbv9,1,7.3,54.8,2025-03-28T18:03:23Z,2025-03-28T18:03:26Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5602400681,213,0.55,5602400677,141,64.8,5602400673,56,Back,5602400675,140,17.8,5602400679,212,13.0,5602400707,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091233,27,44,1,3,7,7gkglopz9cjsysn2u6sbhuvc5,1,80.1,35.5,2025-03-28T18:03:25.492Z,2025-03-28T19:00:02Z,bh06w40pwo6dy3cjrw3r2i0ru,I. Nikolov,,5602400799,56,Center,5602400801,286,,5602400917,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091253,32,44,1,3,7,aqtkb4mgrz8c6iqfufj6qjbv9,0,19.9,64.5,2025-03-28T18:03:25.493Z,2025-03-28T19:00:02Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5602400895,285,,5602400929,233,27,5602400893,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
