id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/16/value
2817977093,4,44,1,0,8,8gxd9ry2580pu1b1dd5ny9ymy,0,27.2,76.6,2025-05-23T17:02:05.904Z,2025-05-23T17:02:15Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5745027519,285,,5745027595,233,7,5745027517,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977105,8,1,1,0,8,a9vw7ikerpr4cuweeeka5aneg,0,74.7,17.4,2025-05-23T17:02:06.168Z,2025-05-23T17:02:09Z,7hso2bszmf4qal560jhrg2904,Y. Ouorou,,5745027561,56,Right,5745027567,212,8.4,5745027569,213,6.23,5745027559,168,,5745027557,3,,5745027565,141,16.8,5745027563,140,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977111,6,1,1,0,10,8gxd9ry2580pu1b1dd5ny9ymy,1,22.0,84.2,2025-05-23T17:02:08.430Z,2025-05-23T17:02:11Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5745027603,141,77.1,5745027599,56,Back,5745027607,213,6.00,5745027605,212,17.5,5745027601,140,38.0,5745027609,1,,5745027597,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977113,7,1,1,0,13,8gxd9ry2580pu1b1dd5ny9ymy,0,39.0,76.7,2025-05-23T17:02:11.174Z,2025-05-23T17:02:23Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5745027619,141,71.9,5745027803,156,,5745027615,56,Back,5745027623,213,3.78,5745027621,212,5.5,5745027617,140,34.8,5745027613,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977129,9,1,1,0,15,a9vw7ikerpr4cuweeeka5aneg,0,69.8,28.9,2025-05-23T17:02:13.559Z,2025-05-23T17:02:19Z,c2x3pewqx6d9q3c5dup0udxw,G. Guðmundsson,,5745027681,141,9.5,5745027677,56,Right,5745027685,213,5.90,5745027731,155,,5745027687,1,,5745027683,212,35.7,5745027679,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977141,8,5,1,0,19,8gxd9ry2580pu1b1dd5ny9ymy,1,-1.1,88.8,2025-05-23T17:02:16.649Z,2025-05-23T19:09:29Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5745027813,233,10,5745027763,56,Back,5745027765,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977133,10,5,1,0,19,a9vw7ikerpr4cuweeeka5aneg,0,101.1,11.2,2025-05-23T17:02:16.649Z,2025-05-23T19:09:29Z,c2x3pewqx6d9q3c5dup0udxw,G. Guðmundsson,,5745027709,56,Right,5745027817,233,8,5745027711,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977177,9,1,1,0,34,8gxd9ry2580pu1b1dd5ny9ymy,1,4.6,59.9,2025-05-23T17:02:32.462Z,2025-05-23T17:02:35Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5745027997,212,7.0,5745028003,237,,5745027993,140,3.6,5745027999,213,4.56,5745027991,56,Back,5745027989,124,,5745027995,141,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977191,10,1,1,0,37,8gxd9ry2580pu1b1dd5ny9ymy,1,3.6,49.3,2025-05-23T17:02:35.366Z,2025-05-23T17:02:39Z,4qz1pnlx3d0m5wkhpocl0euj8,A. Ravn,,5745028087,212,50.6,5745028083,140,51.8,5745028079,157,,5745028089,213,0.04,5745028091,1,,5745028081,56,Center,5745028085,141,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977195,11,1,1,0,42,8gxd9ry2580pu1b1dd5ny9ymy,1,44.5,49.9,2025-05-23T17:02:39.606Z,2025-05-23T17:02:41Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5745028107,56,Back,5745028113,212,3.7,5745028109,140,44.6,5745028111,141,44.5,5745028115,213,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977197,12,1,1,0,43,8gxd9ry2580pu1b1dd5ny9ymy,1,44.6,44.5,2025-05-23T17:02:41.166Z,2025-05-23T17:02:42Z,dncrhma6gwcn6pxiu7hfc6qz8,A. Smed,,5745028129,213,0.32,5745028121,56,Center,5745028125,141,49.0,5745028127,212,9.6,5745028119,3,,5745028123,140,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977199,13,1,1,0,44,8gxd9ry2580pu1b1dd5ny9ymy,0,55.1,45.4,2025-05-23T17:02:42.541Z,2025-05-23T19:33:23Z,7ymn0ytcqi6l43nqraxt9s1zo,A. Johansen,,5745032769,3,,5745032777,213,1.45,5745032771,140,55.4,5745032773,141,49.1,5745032775,212,2.5,5745028133,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977221,12,1,1,0,46,a9vw7ikerpr4cuweeeka5aneg,1,41.9,51.5,2025-05-23T17:02:43.887Z,2025-05-23T17:02:46Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,5745028239,212,24.8,5745028235,140,33.5,5745028241,213,4.35,5745028237,141,17.4,5745028233,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977225,13,1,1,0,48,a9vw7ikerpr4cuweeeka5aneg,0,31.6,17.0,2025-05-23T17:02:45.928Z,2025-05-23T17:49:23Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,5745028269,213,6.26,5745028261,56,Back,5745028267,212,7.5,5745028265,141,16.7,5745028263,140,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977229,14,61,1,0,50,8gxd9ry2580pu1b1dd5ny9ymy,1,57.7,78.3,2025-05-23T17:02:47.729Z,2025-05-23T17:02:47Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5745028277,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977247,14,1,1,0,54,a9vw7ikerpr4cuweeeka5aneg,1,26.1,9.2,2025-05-23T17:02:51.784Z,2025-05-23T17:49:37Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,5745028357,212,11.3,5745028351,56,Back,5745028359,213,0.08,5745028355,141,10.6,5745028353,140,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977239,15,83,1,0,54,8gxd9ry2580pu1b1dd5ny9ymy,0,68.3,92.7,2025-05-23T17:02:52.574Z,2025-05-23T17:02:56Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5745028413,399,7hso2bszmf4qal560jhrg2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977255,15,1,1,0,56,a9vw7ikerpr4cuweeeka5aneg,1,36.7,12.6,2025-05-23T17:02:54.032Z,2025-05-23T17:02:56Z,7hso2bszmf4qal560jhrg2904,Y. Ouorou,,5745028401,56,Back,5745028409,213,1.34,5745028405,141,28.0,5745028407,212,10.7,5745028403,140,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977259,16,1,1,0,58,a9vw7ikerpr4cuweeeka5aneg,0,56.7,31.0,2025-05-23T17:02:56.223Z,2025-05-23T17:49:45Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,5745028431,141,13.5,5745028433,212,21.7,5745028435,213,5.70,5745028427,56,Right,5745028429,140,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977265,16,61,1,1,5,8gxd9ry2580pu1b1dd5ny9ymy,1,30.6,64.4,2025-05-23T17:03:02.781Z,2025-05-23T17:03:02Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,5745028463,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977269,17,1,1,1,6,8gxd9ry2580pu1b1dd5ny9ymy,1,38.9,69.3,2025-05-23T17:03:03.838Z,2025-05-23T17:03:17Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5745028705,140,41.3,5745028701,168,,5745028711,213,0.56,5745028709,212,3.0,5745028703,56,Back,5745028707,141,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977281,18,4,1,1,7,8gxd9ry2580pu1b1dd5ny9ymy,1,36.8,73.8,2025-05-23T17:03:05.174Z,2025-05-23T17:03:15Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,5745028545,56,Back,5745028553,233,17,5745028549,265,,5745028543,13,,5745028551,286,,5745028547,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977275,17,4,1,1,7,a9vw7ikerpr4cuweeeka5aneg,0,63.2,26.2,2025-05-23T17:03:05.175Z,2025-05-23T20:06:22Z,7hso2bszmf4qal560jhrg2904,Y. Ouorou,,5745028535,56,Center,5745028541,285,,5745028539,265,,5745028533,13,,5745028577,233,18,5745028537,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977331,19,1,1,1,21,8gxd9ry2580pu1b1dd5ny9ymy,1,41.2,69.2,2025-05-23T17:03:18.733Z,2025-05-23T17:03:21Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,5745028763,5,,5745028773,212,14.4,5745028767,56,Back,5745028775,213,4.08,5745028765,152,,5745028771,141,52.1,5745028769,140,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977335,20,1,1,1,23,8gxd9ry2580pu1b1dd5ny9ymy,1,32.9,51.8,2025-05-23T17:03:21.117Z,2025-05-23T17:03:23Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,5745028793,141,34.6,5745028795,212,11.7,5745028789,56,Back,5745028791,140,33.2,5745028797,213,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977339,21,1,1,1,25,8gxd9ry2580pu1b1dd5ny9ymy,1,32.9,33.8,2025-05-23T17:03:23.037Z,2025-05-23T17:03:24Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,5745028827,213,1.65,5745028821,140,31.9,5745028819,56,Back,5745028823,141,53.4,5745028825,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977345,22,1,1,1,26,8gxd9ry2580pu1b1dd5ny9ymy,1,31.9,53.4,2025-05-23T17:03:24.389Z,2025-05-23T17:03:27Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,5745028857,212,17.1,5745028851,56,Back,5745028859,213,4.75,5745028855,141,28.3,5745028853,140,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977359,23,1,1,1,29,8gxd9ry2580pu1b1dd5ny9ymy,0,30.9,21.7,2025-05-23T17:03:27.069Z,2025-05-23T17:03:30Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,5745028921,140,77.9,5745028919,56,Right,5745028927,213,6.24,5745028917,157,,5745028929,1,,5745028925,212,49.4,5745028923,141,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977385,19,1,1,1,34,a9vw7ikerpr4cuweeeka5aneg,1,27.5,85.7,2025-05-23T17:03:31.824Z,2025-05-23T17:03:36Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,5745029045,213,3.58,5745029043,212,21.2,5745029039,140,9.2,5745029037,56,Back,5745029041,141,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977407,20,1,1,1,38,a9vw7ikerpr4cuweeeka5aneg,0,11.6,63.9,2025-05-23T17:03:35.895Z,2025-05-23T17:03:38Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,5745029163,213,6.09,5745029159,141,52.4,5745029155,56,Center,5745029157,140,50.6,5745029165,1,,5745029153,157,,5745029161,212,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977413,24,1,1,1,41,8gxd9ry2580pu1b1dd5ny9ymy,0,54.8,49.9,2025-05-23T17:03:39.581Z,2025-05-23T17:03:40Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,5745029221,212,14.1,5745029219,141,48.1,5745029217,140,68.2,5745029215,56,Center,5745029213,3,,5745029223,213,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977429,21,1,1,1,44,a9vw7ikerpr4cuweeeka5aneg,1,30.4,41.5,2025-05-23T17:03:41.592Z,2025-05-23T17:03:42Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,5745029281,141,45.7,5745029279,140,33.6,5745029283,212,4.4,5745029285,213,0.70,5745029277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977441,22,1,1,1,45,a9vw7ikerpr4cuweeeka5aneg,1,33.6,45.7,2025-05-23T17:03:42.759Z,2025-05-23T17:03:44Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,5745029333,56,Back,5745029337,141,22.5,5745029341,213,4.48,5745029335,140,30.1,5745029339,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977445,23,1,1,1,46,a9vw7ikerpr4cuweeeka5aneg,0,30.1,22.5,2025-05-23T17:03:44.263Z,2025-05-23T17:50:27Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,5745029355,141,22.1,5745029353,140,37.8,5745029357,212,8.1,5745029351,56,Back,5745029359,213,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977447,25,8,1,1,48,8gxd9ry2580pu1b1dd5ny9ymy,1,64.5,81.5,2025-05-23T17:03:45.821Z,2025-05-23T17:03:46Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5745029363,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977457,24,3,1,1,50,a9vw7ikerpr4cuweeeka5aneg,1,33.0,23.1,2025-05-23T17:03:48.168Z,2025-05-23T19:36:32Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,5745029419,233,26,5745029409,56,Back,5745029411,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977455,26,45,1,1,50,8gxd9ry2580pu1b1dd5ny9ymy,0,67.0,76.9,2025-05-23T17:03:48.168Z,2025-05-23T19:36:37Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5745029401,56,Center,5745029445,233,24,5745029403,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977487,25,1,1,1,51,a9vw7ikerpr4cuweeeka5aneg,1,32.6,22.5,2025-05-23T17:03:48.879Z,2025-05-23T17:50:53Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,5745029575,213,6.12,5745029571,141,18.5,5745029569,140,48.5,5745029573,212,16.9,5745029567,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977493,26,1,1,1,57,a9vw7ikerpr4cuweeeka5aneg,1,63.0,17.1,2025-05-23T17:03:54.703Z,2025-05-23T17:03:57Z,7hso2bszmf4qal560jhrg2904,Y. Ouorou,,5745029617,212,9.9,5745029613,140,59.1,5745029619,213,2.00,5745029611,56,Center,5745029615,141,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977505,27,1,1,2,0,a9vw7ikerpr4cuweeeka5aneg,1,60.0,32.4,2025-05-23T17:03:57.712Z,2025-05-23T17:04:00Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,5745029663,56,Center,5745029667,141,71.8,5745029665,140,52.8,5745029669,212,27.8,5745029671,213,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977519,28,1,1,2,2,a9vw7ikerpr4cuweeeka5aneg,1,54.7,78.4,2025-05-23T17:04:00.255Z,2025-05-23T17:04:03Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,5745029731,141,72.7,5745029729,140,72.4,5745029733,212,19.0,5745029735,213,6.08,5745029727,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977529,29,1,1,2,5,a9vw7ikerpr4cuweeeka5aneg,1,71.1,64.3,2025-05-23T17:04:03.176Z,2025-05-23T17:04:06Z,c2x3pewqx6d9q3c5dup0udxw,G. Guðmundsson,,5745029779,56,Center,5745029785,141,53.4,5745029791,213,4.54,5745029781,140,69.9,5745029787,212,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977541,30,1,1,2,8,a9vw7ikerpr4cuweeeka5aneg,1,71.0,47.6,2025-05-23T17:04:05.992Z,2025-05-23T17:04:08Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,5745029887,140,73.5,5745029893,213,5.17,5745029889,141,39.8,5745029891,212,5.9,5745029885,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977557,31,1,1,2,11,a9vw7ikerpr4cuweeeka5aneg,1,73.3,55.1,2025-05-23T17:04:08.768Z,2025-05-23T17:04:13Z,7hso2bszmf4qal560jhrg2904,Y. Ouorou,,5745029977,140,83.0,5745029981,212,14.7,5745029979,141,70.6,5745029983,213,0.80,5745029975,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977559,32,1,1,2,14,a9vw7ikerpr4cuweeeka5aneg,0,97.2,70.1,2025-05-23T17:04:12.456Z,2025-05-23T20:00:25Z,c2x3pewqx6d9q3c5dup0udxw,G. Guðmundsson,,5745030739,212,7.5,5745030735,140,97.3,5745030741,213,4.73,5745030737,141,59.1,5745029991,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
