id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2754011879,5,1,1,0,7,7gkglopz9cjsysn2u6sbhuvc5,0,38.2,30.3,2024-12-01T13:01:42.860Z,2024-12-01T13:01:44Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,5394995177,141,41.0,5394995185,213,0.61,5394995173,140,48.1,5394995183,212,12.7,5394995169,56,Back,5394995165,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011891,7,1,1,0,10,f1h34qp5zbfl489q8vnkhiq9s,0,58.6,52.2,2024-12-01T13:01:45.257Z,2024-12-01T13:01:46Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,5394995275,213,5.37,5394995277,1,,5394995267,56,Center,5394995265,157,,5394995271,141,36.5,5394995269,140,66.4,5394995273,212,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011909,6,1,1,0,11,7gkglopz9cjsysn2u6sbhuvc5,0,38.9,65.2,2024-12-01T13:01:46.550Z,2024-12-01T13:01:47Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,5394995369,141,52.1,5394995373,213,5.87,5394995363,3,,5394995365,56,Center,5394995367,140,58.2,5394995371,212,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011923,8,1,1,0,12,f1h34qp5zbfl489q8vnkhiq9s,0,37.7,38.9,2024-12-01T13:01:48.041Z,2024-12-01T13:01:49Z,aqc0qritba195wf770gyd1149,A. Skipper,,5394995445,140,59.7,5394995447,141,53.6,5394995451,213,0.41,5394995449,212,25.2,5394995443,56,Center,5394995441,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011961,7,1,1,0,14,7gkglopz9cjsysn2u6sbhuvc5,0,47.0,40.4,2024-12-01T13:01:50.037Z,2024-12-01T13:01:52Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,5394995641,140,62.2,5394995643,141,37.3,5394995639,56,Center,5394995647,213,6.15,5394995645,212,16.1,5394995635,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011957,9,44,1,0,16,f1h34qp5zbfl489q8vnkhiq9s,1,37.0,56.2,2024-12-01T13:01:51.281Z,2024-12-01T15:12:03Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,5394995613,56,Back,5394995615,285,,5394995699,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011963,8,44,1,0,16,7gkglopz9cjsysn2u6sbhuvc5,0,63.0,43.8,2024-12-01T13:01:51.282Z,2024-12-01T15:12:03Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,5394995661,286,,5394995737,233,9,5394995659,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011985,10,1,1,0,16,f1h34qp5zbfl489q8vnkhiq9s,1,35.7,45.2,2024-12-01T13:01:51.593Z,2024-12-01T13:01:54Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,5394995789,3,,5394995791,56,Center,5394995799,213,0.30,5394995795,141,54.8,5394995797,212,21.9,5394995793,140,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011993,11,1,1,0,18,f1h34qp5zbfl489q8vnkhiq9s,1,55.6,54.8,2024-12-01T13:01:53.673Z,2024-12-01T13:01:54Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,5394995831,140,50.2,5394995829,56,Center,5394995833,141,65.7,5394995837,213,2.22,5394995835,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012011,12,1,1,0,19,f1h34qp5zbfl489q8vnkhiq9s,1,50.2,65.7,2024-12-01T13:01:54.281Z,2024-12-01T13:01:56Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,5394995923,56,Back,5394995931,213,2.29,5394995929,212,19.9,5394995925,140,37.7,5394995927,141,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012027,13,1,1,0,21,f1h34qp5zbfl489q8vnkhiq9s,1,37.7,87.6,2024-12-01T13:01:56.681Z,2024-12-01T13:01:59Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,5394996031,140,55.9,5394996029,56,Center,5394996037,213,5.86,5394996035,212,20.9,5394996033,141,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012039,14,1,1,0,23,f1h34qp5zbfl489q8vnkhiq9s,0,55.9,75.0,2024-12-01T13:01:59.088Z,2024-12-01T14:02:40Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,5394996091,213,5.59,5394996089,212,7.1,5394996087,141,68.3,5394996085,140,61.1,5394996083,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012043,9,1,1,0,24,7gkglopz9cjsysn2u6sbhuvc5,0,40.9,26.7,2024-12-01T13:01:59.285Z,2024-12-01T13:01:59Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,5394996097,157,,5394996109,1,,5394996099,56,Center,5394996107,213,6.13,5394996105,212,11.8,5394996101,140,52.0,5394996103,141,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012061,10,43,1,0,26,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-12-01T13:02:01.429Z,2024-12-01T13:59:39Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,5395255277,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012071,11,43,1,0,26,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-12-01T13:02:01.435Z,2024-12-01T13:02:08Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,5394996229,155,0,5394996239,213,3.14,5394996231,56,Back,5394996237,212,0,5394996235,141,40.7,5394996233,140,47.3,5394996479,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012067,15,61,1,0,26,f1h34qp5zbfl489q8vnkhiq9s,1,49.8,74.3,2024-12-01T13:02:01.609Z,2024-12-01T13:02:01Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,5394996215,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012087,13,1,1,0,27,7gkglopz9cjsysn2u6sbhuvc5,1,47.3,40.7,2024-12-01T13:02:02.523Z,2024-12-01T13:02:04Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,5394996301,213,1.89,5394996299,212,14.9,5394996297,141,61.5,5394996295,140,42.8,5394996293,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012135,14,1,1,0,28,7gkglopz9cjsysn2u6sbhuvc5,1,42.8,61.5,2024-12-01T13:02:03.821Z,2024-12-01T13:02:09Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,5394996533,141,51.3,5394996535,212,7.9,5394996537,213,5.22,5394996531,140,46.5,5394996529,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012153,15,1,1,0,34,7gkglopz9cjsysn2u6sbhuvc5,1,45.3,69.4,2024-12-01T13:02:09.606Z,2024-12-01T13:02:11Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,5394996625,213,3.15,5394996613,56,Back,5394996617,141,69.3,5394996615,140,36.6,5394996621,212,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012209,16,1,1,0,35,7gkglopz9cjsysn2u6sbhuvc5,1,36.6,69.3,2024-12-01T13:02:11.141Z,2024-12-01T13:02:15Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,5394996831,140,32.8,5394996829,56,Back,5394996833,141,51.0,5394996835,212,13.1,5394996837,213,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012219,17,1,1,0,38,7gkglopz9cjsysn2u6sbhuvc5,1,31.6,59.7,2024-12-01T13:02:13.462Z,2024-12-01T15:08:17Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,5394996883,141,80.3,5394996881,140,55.0,5394996887,213,0.52,5394996885,212,28.3,5394996879,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754061451,370,1,1,0,39,7gkglopz9cjsysn2u6sbhuvc5,0,47.0,72.9,2024-12-01T13:02:14.192Z,2024-12-01T15:08:18Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,5395257359,213,0.54,5395257545,3,,5395257355,141,80.9,5395257357,212,10.6,5395257351,56,Left,5395257353,140,55.7,5395257349,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012213,16,8,1,0,40,f1h34qp5zbfl489q8vnkhiq9s,1,41.5,28.9,2024-12-01T13:02:16.113Z,2024-12-01T13:02:16Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,5394996853,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012235,17,3,1,0,42,f1h34qp5zbfl489q8vnkhiq9s,0,42.8,25.2,2024-12-01T13:02:17.578Z,2024-12-01T13:02:22Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,5394996969,56,Back,5394997065,233,18,5394996971,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012247,18,7,1,0,42,7gkglopz9cjsysn2u6sbhuvc5,0,57.2,74.8,2024-12-01T13:02:17.579Z,2024-12-01T13:02:22Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,5394997013,285,,5394997011,56,Center,5394997031,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012317,19,1,1,0,44,f1h34qp5zbfl489q8vnkhiq9s,1,49.0,36.7,2024-12-01T13:02:19.641Z,2024-12-01T13:02:23Z,6hmsrr08cllpl4iumu92zskbt,L. From,,5394997343,56,Center,5394997347,141,21.5,5394997345,140,66.9,5394997353,213,5.78,5394997349,212,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012339,20,1,1,0,47,f1h34qp5zbfl489q8vnkhiq9s,1,68.3,17.5,2024-12-01T13:02:22.897Z,2024-12-01T13:02:25Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,5394997471,212,15.3,5394997465,56,Center,5394997467,140,54.1,5394997469,141,22.3,5394997473,213,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012391,21,1,1,0,49,f1h34qp5zbfl489q8vnkhiq9s,1,56.0,22.1,2024-12-01T13:02:24.833Z,2024-12-01T13:07:03Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,5394997721,212,18.3,5394997719,141,14.0,5394997715,56,Right,5394997717,140,72.6,5394997723,213,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012385,19,43,1,0,52,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-12-01T13:02:27.845Z,2024-12-01T13:06:55Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,5395014825,144,8,5394997665,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012401,22,1,1,0,53,f1h34qp5zbfl489q8vnkhiq9s,1,71.2,10.9,2024-12-01T13:02:28.770Z,2024-12-01T14:03:33Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,5394997767,56,Right,5395015815,140,88.2,5395015823,212,18.6,5395015819,141,18.6,5395015827,213,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012429,23,1,1,0,54,f1h34qp5zbfl489q8vnkhiq9s,1,75.2,16.0,2024-12-01T13:02:29.809Z,2024-12-01T13:02:30Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,5394997901,140,65.7,5394997903,141,24.4,5394997899,56,Center,5394997905,212,11.5,5394997907,213,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012447,24,1,1,0,55,f1h34qp5zbfl489q8vnkhiq9s,1,65.7,24.4,2024-12-01T13:02:30.705Z,2024-12-01T13:02:31Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,5394997971,56,Center,5394997973,140,68.8,5394997979,213,1.18,5394997977,212,8.6,5394997975,141,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012475,25,1,1,0,56,f1h34qp5zbfl489q8vnkhiq9s,0,68.8,36.1,2024-12-01T13:02:31.529Z,2024-12-01T13:02:34Z,6hmsrr08cllpl4iumu92zskbt,L. From,,5394998099,212,22.3,5394998101,213,0.19,5394998093,56,Center,5394998095,140,89.7,5394998097,141,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012505,20,1,1,0,59,7gkglopz9cjsysn2u6sbhuvc5,1,10.7,70.9,2024-12-01T13:02:34.365Z,2024-12-01T13:02:36Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,5394998245,213,4.48,5394998237,141,54.0,5394998229,56,Back,5394998231,140,8.1,5394998241,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012521,21,1,1,1,1,7gkglopz9cjsysn2u6sbhuvc5,0,8.1,54.0,2024-12-01T13:02:36.277Z,2024-12-01T13:02:37Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,5394998329,140,48.3,5394998331,141,54.3,5394998327,56,Back,5394998333,212,42.2,5394998335,213,0.00,5394998337,1,,5394998323,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012537,26,1,1,1,2,f1h34qp5zbfl489q8vnkhiq9s,0,51.9,49.6,2024-12-01T13:02:38.121Z,2024-12-01T13:02:39Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,5394998453,212,18.9,5394998455,213,0.90,5394998449,140,63.1,5394998451,141,71.4,5394998447,56,Center,5394998445,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012623,23,1,1,1,6,7gkglopz9cjsysn2u6sbhuvc5,1,37.1,25.5,2024-12-01T13:02:41.405Z,2024-12-01T13:02:46Z,139g7ilwvcpl519v3scnweg2d,L. Jensen,,5394998953,212,9.6,5394998949,140,40.2,5394998947,56,Back,5394998951,141,12.2,5394998955,213,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012655,24,1,1,1,10,7gkglopz9cjsysn2u6sbhuvc5,0,62.6,7.3,2024-12-01T13:02:46.126Z,2024-12-01T13:02:48Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,5394999101,141,36.4,5394999097,56,Center,5394999103,212,25.2,5394999105,213,0.90,5394999099,140,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012761,28,1,1,1,13,f1h34qp5zbfl489q8vnkhiq9s,1,28.5,48.8,2024-12-01T13:02:48.841Z,2024-12-01T13:02:58Z,aqc0qritba195wf770gyd1149,A. Skipper,,5394999657,141,61.1,5394999655,140,39.4,5394999659,212,14.2,5394999653,56,Back,5394999661,213,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012765,29,61,1,1,14,f1h34qp5zbfl489q8vnkhiq9s,0,39.0,59.6,2024-12-01T13:02:49.937Z,2024-12-01T13:03:00Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,5394999681,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012721,26,1,1,1,18,7gkglopz9cjsysn2u6sbhuvc5,1,58.3,22.5,2024-12-01T13:02:53.741Z,2024-12-01T13:02:54Z,139g7ilwvcpl519v3scnweg2d,L. Jensen,,5394999445,140,46.1,5394999447,141,30.1,5394999451,213,2.76,5394999443,56,Back,5394999449,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012749,27,1,1,1,19,7gkglopz9cjsysn2u6sbhuvc5,1,46.1,30.1,2024-12-01T13:02:54.670Z,2024-12-01T13:02:57Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,5394999567,140,54.9,5394999565,56,Center,5394999571,212,9.7,5394999573,213,0.29,5394999569,141,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012813,28,1,1,1,21,7gkglopz9cjsysn2u6sbhuvc5,1,54.0,34.0,2024-12-01T13:02:57.030Z,2024-12-01T13:03:03Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,5394999905,141,84.1,5394999907,212,37.7,5394999909,213,1.13,5394999899,155,,5394999903,140,69.4,5394999901,56,Left,5394999911,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012841,29,1,1,1,27,7gkglopz9cjsysn2u6sbhuvc5,0,78.3,87.2,2024-12-01T13:03:02.886Z,2024-12-01T13:03:05Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,5395000071,140,86.1,5395000081,212,27.0,5395000067,56,Center,5395000065,155,,5395000085,213,5.02,5395000075,141,49.4,5395000063,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012849,30,12,1,1,29,f1h34qp5zbfl489q8vnkhiq9s,1,13.3,39.2,2024-12-01T13:03:04.826Z,2024-12-01T13:03:07Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,5395000123,56,Back,5395000125,140,25.7,5395000127,141,42.4,5395000165,15,,5395000131,213,0.17,5395000129,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012911,31,1,1,1,31,f1h34qp5zbfl489q8vnkhiq9s,1,25.7,42.4,2024-12-01T13:03:06.970Z,2024-12-01T13:03:08Z,6hmsrr08cllpl4iumu92zskbt,L. From,,5395000449,212,12.7,5395000445,140,37.8,5395000447,141,41.5,5395000451,213,6.24,5395000441,3,,5395000443,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012985,33,1,1,1,34,f1h34qp5zbfl489q8vnkhiq9s,1,36.5,44.2,2024-12-01T13:03:09.298Z,2024-12-01T13:03:12Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,5395000791,141,75.6,5395000793,212,28.4,5395000789,140,54.4,5395000795,213,0.85,5395000787,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
