id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2812036639,5,1,1,0,11,dbl7ir1qugqz8nvp1vzn8im50,1,27.9,80.5,2025-05-09T16:31:54.337Z,2025-05-09T16:38:42Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5712275751,213,0.29,5712275747,141,92.0,5712291039,155,,5712275749,212,27.8,5712275743,56,Left,5712275745,140,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812062627,380,83,1,0,14,a9vw7ikerpr4cuweeeka5aneg,0,43.8,5.6,2025-05-09T16:31:56.474Z,2025-05-09T17:29:57Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5712414565,399,1mml4inucvyomv1dcog3c1pt5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036645,6,61,1,0,15,dbl7ir1qugqz8nvp1vzn8im50,0,53.8,92.1,2025-05-09T16:31:57.722Z,2025-05-09T17:29:54Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5712275783,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036653,7,1,1,0,16,a9vw7ikerpr4cuweeeka5aneg,0,33.3,8.5,2025-05-09T16:31:58.544Z,2025-05-09T17:26:26Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5712275815,1,,5712275805,56,Back,5712275811,212,8.6,5712275831,236,,5712275833,233,7,5712275813,213,6.24,5712275809,141,7.9,5712275803,157,,5712275837,286,5712275807,140,41.5,,,,,,,,,,,,,,,,,,,,,,,,,
2812036649,7,74,1,0,16,dbl7ir1qugqz8nvp1vzn8im50,1,55.7,92.4,2025-05-09T16:31:58.545Z,2025-05-09T17:30:03Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5712275789,285,,5712275857,233,7,5712275787,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036663,8,43,1,0,18,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-05-09T16:32:00.958Z,2025-05-09T17:26:56Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5712416549,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036697,9,1,1,0,18,a9vw7ikerpr4cuweeeka5aneg,1,25.4,8.9,2025-05-09T16:32:01.134Z,2025-05-09T17:26:37Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5712276083,213,2.48,5712276075,56,Back,5712276081,212,22.8,5712276077,140,8.3,5712276079,141,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036699,10,1,1,0,22,a9vw7ikerpr4cuweeeka5aneg,0,8.3,29.2,2025-05-09T16:32:05.295Z,2025-05-09T16:32:06Z,2h94np282g0qtzal1czznequi,A. Hoff,,,5712276089,56,Back,5712276095,212,42.0,5712276087,157,,5712276091,140,48.3,5712276093,141,31.6,5712276099,1,,5712276097,213,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036707,8,1,1,0,25,dbl7ir1qugqz8nvp1vzn8im50,0,57.1,73.5,2025-05-09T16:32:08.329Z,2025-05-09T16:42:03Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5712276139,140,54.9,5712276141,141,65.4,5712276145,213,4.32,5712276137,56,Center,5712276135,3,,5712276143,212,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036711,11,1,1,0,26,a9vw7ikerpr4cuweeeka5aneg,0,44.3,29.7,2025-05-09T16:32:08.934Z,2025-05-09T16:32:09Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5712276167,141,45.8,5712276169,212,15.2,5712276163,56,Center,5712276161,3,,5712276171,213,0.80,5712276165,140,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036721,9,1,1,0,28,dbl7ir1qugqz8nvp1vzn8im50,1,52.1,53.6,2025-05-09T16:32:11.361Z,2025-05-09T17:31:09Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5712276293,141,74.4,5712276299,213,1.13,5712276297,212,15.7,5712276289,56,Center,5712276291,140,58.5,5712276287,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812041763,137,44,1,0,30,dbl7ir1qugqz8nvp1vzn8im50,1,58.5,61.2,2025-05-09T16:32:12.625Z,2025-05-09T18:45:57Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5712304409,286,,5712304405,56,Center,5712307223,233,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812041957,91,44,1,0,30,a9vw7ikerpr4cuweeeka5aneg,0,41.5,38.8,2025-05-09T16:32:12.626Z,2025-05-09T18:45:58Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5712307193,56,Back,5712307195,285,,5712307271,233,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812041755,136,1,1,0,30,dbl7ir1qugqz8nvp1vzn8im50,0,56.4,66.7,2025-05-09T16:32:13.433Z,2025-05-09T16:43:53Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5712304881,141,70.5,5712304877,56,Center,5712304879,140,66.0,5712304885,213,0.25,5712304875,3,,5712304883,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036733,12,1,1,0,32,a9vw7ikerpr4cuweeeka5aneg,1,35.0,24.4,2025-05-09T16:32:14.734Z,2025-05-09T16:32:18Z,6qko3f8w2ap9ynbuq2g55i5n8,S. Doua,,,5712276407,56,Back,5712276411,141,37.6,5712276415,213,2.79,5712276413,212,26.3,5712276409,140,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036755,13,1,1,0,35,a9vw7ikerpr4cuweeeka5aneg,1,11.7,37.6,2025-05-09T16:32:18.182Z,2025-05-09T16:32:23Z,2h94np282g0qtzal1czznequi,A. Hoff,,,5712276531,213,1.22,5712276527,141,67.6,5712276525,140,18.7,5712276529,212,21.7,5712276523,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036769,14,1,1,0,40,a9vw7ikerpr4cuweeeka5aneg,1,20.5,64.8,2025-05-09T16:32:23.006Z,2025-05-09T16:32:27Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5712276623,141,90.5,5712276627,213,1.25,5712276625,212,18.4,5712276619,56,Back,5712276621,140,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036775,15,1,1,0,44,a9vw7ikerpr4cuweeeka5aneg,0,30.3,83.9,2025-05-09T16:32:27.222Z,2025-05-09T16:32:28Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5712276661,141,70.5,5712276657,56,Center,5712276667,1,,5712276659,140,60.0,5712276663,212,32.5,5712276665,213,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036785,10,8,1,0,47,dbl7ir1qugqz8nvp1vzn8im50,1,29.5,32.7,2025-05-09T16:32:29.786Z,2025-05-09T16:32:29Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5712276703,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036815,12,1,1,0,49,dbl7ir1qugqz8nvp1vzn8im50,1,39.0,25.9,2025-05-09T16:32:32.363Z,2025-05-09T16:32:36Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5712276863,56,Right,5712276869,212,26.1,5712276867,141,9.7,5712276865,140,61.5,5712276861,155,,5712276871,213,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036819,13,3,1,0,52,dbl7ir1qugqz8nvp1vzn8im50,0,62.0,12.7,2025-05-09T16:32:34.709Z,2025-05-09T18:42:43Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5712276879,56,Right,5712276903,233,16,5712276881,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036811,16,7,1,0,52,a9vw7ikerpr4cuweeeka5aneg,1,38.0,87.3,2025-05-09T16:32:34.710Z,2025-05-09T18:42:43Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5712276849,56,Back,5712276883,233,13,5712276851,285,,5712276847,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036833,14,5,1,0,53,dbl7ir1qugqz8nvp1vzn8im50,1,64.0,-1.6,2025-05-09T16:32:35.710Z,2025-05-09T18:45:13Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5712276951,233,17,5712276945,347,,5712276943,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036813,17,5,1,0,53,a9vw7ikerpr4cuweeeka5aneg,0,36.0,101.6,2025-05-09T16:32:35.710Z,2025-05-09T18:45:13Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5712276969,233,14,5712276857,56,Back,5712276859,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036843,15,1,1,0,57,dbl7ir1qugqz8nvp1vzn8im50,0,65.2,0.0,2025-05-09T16:32:39.498Z,2025-05-09T16:32:41Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5712276983,212,15.0,5712276975,107,,5712276985,213,0.43,5712276979,140,78.2,5712276977,56,Right,5712276981,141,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036849,18,8,1,0,59,a9vw7ikerpr4cuweeeka5aneg,1,29.5,90.2,2025-05-09T16:32:41.783Z,2025-05-09T16:32:41Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5712276999,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036905,16,5,1,0,59,dbl7ir1qugqz8nvp1vzn8im50,1,74.6,-2.0,2025-05-09T16:32:42.322Z,2025-05-09T18:45:13Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5712277287,347,,5712277315,233,19,5712277285,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036859,19,5,1,0,59,a9vw7ikerpr4cuweeeka5aneg,0,25.4,102.0,2025-05-09T16:32:42.322Z,2025-05-09T18:45:14Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5712277031,56,Back,5712277331,233,16,5712277033,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036925,17,1,1,1,8,dbl7ir1qugqz8nvp1vzn8im50,1,80.7,0.0,2025-05-09T16:32:51.186Z,2025-05-09T16:32:55Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5712277427,56,Right,5712277431,141,20.9,5712277435,213,1.02,5712277429,140,89.9,5712277433,212,18.3,5712277425,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036927,18,50,1,1,12,dbl7ir1qugqz8nvp1vzn8im50,1,88.7,17.2,2025-05-09T16:32:55.058Z,2025-05-09T18:42:44Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5712277605,233,20,5712277441,286,,5712277439,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036947,20,7,1,1,12,a9vw7ikerpr4cuweeeka5aneg,1,11.3,82.8,2025-05-09T16:32:55.059Z,2025-05-09T18:42:43Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5712277587,233,18,5712277567,285,,5712277565,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812063429,381,1,1,1,13,a9vw7ikerpr4cuweeeka5aneg,1,14.8,86.9,2025-05-09T16:32:55.474Z,2025-05-09T17:28:04Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5712419017,212,9.1,5712419019,213,3.40,5712419013,140,6.4,5712419011,56,Back,5712419015,141,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036961,21,1,1,1,18,a9vw7ikerpr4cuweeeka5aneg,0,7.3,84.7,2025-05-09T16:33:00.607Z,2025-05-09T16:33:02Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5712277645,140,36.1,5712277653,1,,5712277641,157,,5712277649,212,33.0,5712277643,56,Back,5712277647,141,65.2,5712277651,213,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036967,19,1,1,1,20,dbl7ir1qugqz8nvp1vzn8im50,1,58.1,27.9,2025-05-09T16:33:02.882Z,2025-05-09T16:33:04Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5712277685,3,,5712277693,212,7.1,5712277689,140,63.4,5712277695,213,5.60,5712277691,141,21.3,5712277687,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037017,20,1,1,1,21,dbl7ir1qugqz8nvp1vzn8im50,0,63.4,21.3,2025-05-09T16:33:04.099Z,2025-05-09T16:33:11Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5712277937,141,42.4,5712277943,1,,5712277931,157,,5712277933,56,Center,5712277939,212,19.2,5712277935,140,75.5,5712277941,213,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037001,22,44,1,1,24,a9vw7ikerpr4cuweeeka5aneg,1,23.2,58.3,2025-05-09T16:33:06.613Z,2025-05-09T18:45:58Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5712277813,56,Back,5712277817,285,,5712278053,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037019,21,44,1,1,24,dbl7ir1qugqz8nvp1vzn8im50,0,76.8,41.7,2025-05-09T16:33:06.614Z,2025-05-09T16:50:38Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5712277949,286,,5712278031,233,22,5712277947,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812045305,164,61,1,1,24,a9vw7ikerpr4cuweeeka5aneg,1,21.1,42.1,2025-05-09T16:33:06.619Z,2025-05-09T16:51:16Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5712322375,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037033,24,1,1,1,28,a9vw7ikerpr4cuweeeka5aneg,1,27.0,46.1,2025-05-09T16:33:11.023Z,2025-05-09T16:33:12Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5712278007,56,Back,5712278011,141,21.3,5712278009,140,28.8,5712278013,212,17.0,5712278015,213,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037029,22,43,1,1,28,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-05-09T16:33:11.266Z,2025-05-09T16:51:04Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5712277991,56,Center,5712322809,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037041,25,1,1,1,29,a9vw7ikerpr4cuweeeka5aneg,1,28.8,21.3,2025-05-09T16:33:12.094Z,2025-05-09T16:33:13Z,6qko3f8w2ap9ynbuq2g55i5n8,S. Doua,,,5712278043,141,35.2,5712278047,213,1.42,5712278045,212,9.6,5712278041,140,30.2,5712278039,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037047,26,1,1,1,31,a9vw7ikerpr4cuweeeka5aneg,1,30.2,35.2,2025-05-09T16:33:13.575Z,2025-05-09T16:33:15Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5712278089,213,4.13,5712278085,141,23.1,5712278083,140,25.0,5712278087,212,9.9,5712278081,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037065,27,1,1,1,32,a9vw7ikerpr4cuweeeka5aneg,1,25.0,23.1,2025-05-09T16:33:15.079Z,2025-05-09T16:33:18Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5712278165,56,Back,5712278171,212,16.2,5712278169,141,44.6,5712278173,213,2.02,5712278167,140,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037083,28,1,1,1,36,a9vw7ikerpr4cuweeeka5aneg,1,20.5,57.0,2025-05-09T16:33:18.511Z,2025-05-09T16:33:20Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5712278229,140,23.1,5712278235,213,1.42,5712278233,212,17.7,5712278227,56,Back,5712278231,141,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037103,29,1,1,1,38,a9vw7ikerpr4cuweeeka5aneg,1,23.3,83.8,2025-05-09T16:33:20.583Z,2025-05-09T16:33:22Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5712278311,56,Back,5712278315,141,92.6,5712278317,212,10.5,5712278319,213,0.61,5712278313,140,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037133,30,1,1,1,40,a9vw7ikerpr4cuweeeka5aneg,1,32.0,92.6,2025-05-09T16:33:22.512Z,2025-05-09T16:33:26Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5712278475,212,14.4,5712278471,140,28.6,5712278469,56,Back,5712278473,141,72.1,5712278477,213,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037137,31,4,1,1,43,a9vw7ikerpr4cuweeeka5aneg,1,34.6,75.1,2025-05-09T16:33:26.447Z,2025-05-09T18:37:54Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5712278497,265,,5712278493,56,Back,5712278531,286,,5712278491,13,,5712278527,233,23,5712278495,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812037135,23,4,1,1,43,dbl7ir1qugqz8nvp1vzn8im50,0,65.4,24.9,2025-05-09T16:33:26.448Z,2025-05-09T18:37:55Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5712278533,233,31,5712278519,152,,5712278521,265,,5712278517,56,Center,5712278523,285,,5712278515,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
