id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2707196371,3,74,1,0,16,bd4qakf7j0wwie8wke9km7uj8,1,44.2,2.6,2024-08-10T12:00:21.805Z,2024-08-10T14:02:22Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5138871515,56,Back,5138871543,233,8,5138871517,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196441,4,5,1,0,17,bd4qakf7j0wwie8wke9km7uj8,0,45.2,-1.7000000000000002,2024-08-10T12:00:23.324Z,2024-08-10T14:07:01Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5138871895,347,,5138871893,56,Back,5138871957,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196383,9,5,1,0,17,b2vft81kyjurzbmekvgrqwr64,1,54.8,101.7,2024-08-10T12:00:23.324Z,2024-08-10T14:07:01Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5138871571,56,Left,5138871935,233,4,5138871573,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196477,10,1,1,0,32,b2vft81kyjurzbmekvgrqwr64,1,59.4,100.0,2024-08-10T12:00:37.437Z,2024-08-10T12:00:38Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5138872083,212,13.4,5138872081,141,85.1,5138872077,56,Left,5138872079,140,66.1,5138872085,213,5.26,5138872075,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196485,11,1,1,0,33,b2vft81kyjurzbmekvgrqwr64,1,66.1,85.1,2024-08-10T12:00:38.772Z,2024-08-10T12:51:53Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,,5138872117,140,63.0,5138872115,56,Left,5138872121,212,7.5,5138872119,141,95.0,5138872123,213,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196525,5,83,1,0,34,bd4qakf7j0wwie8wke9km7uj8,0,25.5,21.0,2024-08-10T12:00:39.521Z,2024-08-10T14:49:18Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5139494385,399,ea2x4o6ufsqoz2zz7tqcnvo16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196569,12,1,1,0,35,b2vft81kyjurzbmekvgrqwr64,0,63.0,95.0,2024-08-10T12:00:41.125Z,2024-08-10T14:49:25Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5138872387,213,5.40,5138872381,140,72.1,5138872385,212,15.1,5138872379,56,Center,5138872383,141,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196555,6,61,1,0,39,bd4qakf7j0wwie8wke9km7uj8,1,27.2,29.4,2024-08-10T12:00:45.180Z,2024-08-10T12:00:45Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5138872339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196575,8,1,1,0,40,bd4qakf7j0wwie8wke9km7uj8,1,33.3,26.7,2024-08-10T12:00:46.297Z,2024-08-10T12:00:47Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5138872423,212,14.0,5138872421,141,24.6,5138872419,140,20.0,5138872425,213,3.24,5138872417,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196581,9,1,1,0,41,bd4qakf7j0wwie8wke9km7uj8,0,20.0,24.6,2024-08-10T12:00:47.184Z,2024-08-10T14:51:41Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5138872447,140,18.9,5138872453,213,4.62,5138872445,56,Back,5138872449,141,5.5,5138872451,212,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196579,13,61,1,0,42,b2vft81kyjurzbmekvgrqwr64,1,72.1,77.9,2024-08-10T12:00:47.763Z,2024-08-10T12:52:07Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5138872443,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196583,14,61,1,0,42,b2vft81kyjurzbmekvgrqwr64,1,72.1,77.9,2024-08-10T12:00:48.052Z,2024-08-10T12:52:08Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,,5138872457,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196605,10,1,1,0,42,bd4qakf7j0wwie8wke9km7uj8,0,18.9,5.5,2024-08-10T12:00:48.161Z,2024-08-10T12:00:50Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5138872579,56,Right,5138872585,212,59.0,5138872589,1,,5138872587,213,6.20,5138872581,140,74.9,5138872577,157,,5138872583,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196607,11,5,1,0,45,bd4qakf7j0wwie8wke9km7uj8,0,68.7,-2.0,2024-08-10T12:00:50.709Z,2024-08-10T14:07:02Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5138872967,233,15,5138872595,347,,5138872593,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196665,15,5,1,0,45,b2vft81kyjurzbmekvgrqwr64,1,31.3,102.0,2024-08-10T12:00:50.709Z,2024-08-10T14:07:02Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5138872921,233,11,5138872885,347,,5138872883,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196733,16,1,1,0,54,b2vft81kyjurzbmekvgrqwr64,1,38.9,100.0,2024-08-10T12:00:59.605Z,2024-08-10T12:01:05Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5138873255,107,,5138873259,140,38.7,5138873265,213,4.70,5138873257,56,Back,5138873261,141,80.3,5138873263,212,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196715,12,83,1,0,59,bd4qakf7j0wwie8wke9km7uj8,0,64.6,10.1,2024-08-10T12:01:04.761Z,2024-08-10T12:01:08Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5138873463,399,b0yv1pcxifawqx6r1cfqq3otm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196759,17,1,1,1,0,b2vft81kyjurzbmekvgrqwr64,0,39.3,82.6,2024-08-10T12:01:05.741Z,2024-08-10T12:01:16Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5138873431,56,Back,5138873437,140,44.9,5138873441,141,99.9,5138873919,233,13,5138873449,213,1.11,5138873917,236,,5138873445,212,13.2,5138873923,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196785,13,74,1,1,0,bd4qakf7j0wwie8wke9km7uj8,1,64.7,8.6,2024-08-10T12:01:05.742Z,2024-08-10T14:25:13Z,1el3mu4rgcx8tebrawgfvynf8,S. Baskaya,,,5138873949,233,17,5138873569,56,Right,5138873571,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196801,14,5,1,1,2,bd4qakf7j0wwie8wke9km7uj8,0,57.8,-1.4,2024-08-10T12:01:07.673Z,2024-08-10T12:01:17Z,1el3mu4rgcx8tebrawgfvynf8,S. Baskaya,,,5138873751,233,18,5138873651,56,Right,5138873653,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196763,18,5,1,1,2,b2vft81kyjurzbmekvgrqwr64,1,42.2,101.4,2024-08-10T12:01:07.673Z,2024-08-10T14:07:03Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5138873487,347,,5138873745,233,14,5138873485,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196917,19,1,1,1,16,b2vft81kyjurzbmekvgrqwr64,1,60.3,100.0,2024-08-10T12:01:21.941Z,2024-08-10T12:01:24Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5138874277,141,83.8,5138874271,107,,5138874281,213,5.11,5138874275,140,65.0,5138874279,212,12.9,5138874273,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196933,20,1,1,1,18,b2vft81kyjurzbmekvgrqwr64,1,65.0,83.8,2024-08-10T12:01:24.212Z,2024-08-10T12:01:26Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5138874373,56,Center,5138874381,213,5.02,5138874377,141,63.9,5138874379,212,14.2,5138874375,140,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196955,21,1,1,1,21,b2vft81kyjurzbmekvgrqwr64,1,69.1,63.9,2024-08-10T12:01:26.676Z,2024-08-10T12:01:30Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,,5138874487,212,11.7,5138874481,56,Center,5138874483,140,65.0,5138874485,141,47.9,5138874489,213,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196961,22,1,1,1,24,b2vft81kyjurzbmekvgrqwr64,1,65.0,47.9,2024-08-10T12:01:29.989Z,2024-08-10T12:01:31Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5138874529,140,75.5,5138874527,56,Center,5138874533,212,11.1,5138874531,141,49.1,5138874535,213,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196971,23,1,1,1,25,b2vft81kyjurzbmekvgrqwr64,1,75.5,49.1,2024-08-10T12:01:31.013Z,2024-08-10T12:01:31Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5138874593,212,6.6,5138874587,56,Center,5138874589,140,75.5,5138874595,213,1.57,5138874591,141,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707232641,388,61,1,1,26,b2vft81kyjurzbmekvgrqwr64,1,75.5,53.4,2024-08-10T12:01:31.326Z,2024-08-10T12:53:29Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5139060629,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196983,24,1,1,1,26,b2vft81kyjurzbmekvgrqwr64,0,75.5,58.8,2024-08-10T12:01:31.613Z,2024-08-10T12:01:32Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5138874653,56,Center,5138874679,236,,5138874657,141,60.2,5138874661,213,0.23,5138874655,140,79.4,5138874683,233,15,5138874659,212,4.2,5138874691,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196977,15,74,1,1,26,bd4qakf7j0wwie8wke9km7uj8,1,21.5,42.7,2024-08-10T12:01:31.614Z,2024-08-10T14:25:14Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5138874697,233,24,5138874625,56,Back,5138874627,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197015,25,1,1,1,27,b2vft81kyjurzbmekvgrqwr64,1,84.6,61.5,2024-08-10T12:01:33.309Z,2024-08-10T12:01:35Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5138874863,141,69.9,5138874865,212,6.8,5138874869,213,0.99,5138874859,56,Center,5138874861,140,88.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197021,26,1,1,1,30,b2vft81kyjurzbmekvgrqwr64,0,91.2,82.2,2024-08-10T12:01:35.445Z,2024-08-10T14:51:46Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5138874907,56,Center,5138874913,212,30.6,5138874909,140,88.2,5138874915,213,4.61,5138874903,2,,5138874911,141,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197029,16,8,1,1,30,bd4qakf7j0wwie8wke9km7uj8,1,8.5,37.3,2024-08-10T12:01:36.216Z,2024-08-10T12:01:36Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5138874953,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197123,17,12,1,1,32,bd4qakf7j0wwie8wke9km7uj8,1,11.2,35.2,2024-08-10T12:01:37.544Z,2024-08-10T12:01:47Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5138875481,56,Back,5138875487,212,33.2,5138875489,213,0.71,5138875485,141,67.0,5138875483,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197109,27,1,1,1,38,b2vft81kyjurzbmekvgrqwr64,0,68.9,20.1,2024-08-10T12:01:44.244Z,2024-08-10T12:01:45Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5138875391,213,0.70,5138875385,140,94.9,5138875383,56,Center,5138875389,212,35.6,5138875393,1,,5138875387,141,53.7,5138875381,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197131,18,11,1,1,42,bd4qakf7j0wwie8wke9km7uj8,1,4.3,48.8,2024-08-10T12:01:47.481Z,2024-08-10T12:01:48Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5138875523,88,,5138875517,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197257,19,1,1,1,51,bd4qakf7j0wwie8wke9km7uj8,1,12.5,54.2,2024-08-10T12:01:56.880Z,2024-08-10T12:02:00Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5138876225,56,Back,5138876229,141,82.4,5138876233,213,1.45,5138876227,140,14.8,5138876231,212,19.3,5138876223,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197273,20,1,1,1,54,bd4qakf7j0wwie8wke9km7uj8,1,14.8,82.4,2024-08-10T12:02:00.194Z,2024-08-10T14:24:37Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5138876319,213,4.43,5138876315,141,52.4,5138876317,212,21.2,5138876311,56,Back,5138876313,140,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197311,21,1,1,1,57,bd4qakf7j0wwie8wke9km7uj8,1,9.2,52.4,2024-08-10T12:02:02.983Z,2024-08-10T12:02:07Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5138876523,56,Back,5138876531,213,1.27,5138876525,140,15.3,5138876529,212,21.3,5138876527,141,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197327,22,1,1,2,2,bd4qakf7j0wwie8wke9km7uj8,0,20.9,89.1,2024-08-10T12:02:07.591Z,2024-08-10T12:02:09Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5138876607,140,56.9,5138876613,213,0.04,5138876609,141,91.2,5138876605,56,Left,5138876615,1,,5138876603,155,,5138876611,212,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197395,28,1,1,2,5,b2vft81kyjurzbmekvgrqwr64,1,39.4,24.7,2024-08-10T12:02:10.765Z,2024-08-10T12:55:05Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5138876953,140,44.0,5138876955,141,22.5,5138876959,213,5.98,5138876951,56,Back,5138876957,212,5.1,5138876949,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707233851,390,61,1,2,6,b2vft81kyjurzbmekvgrqwr64,0,66.2,30.3,2024-08-10T12:02:11.326Z,2024-08-10T12:55:26Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5139067417,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197379,23,61,1,2,8,bd4qakf7j0wwie8wke9km7uj8,0,41.8,91.7,2024-08-10T12:02:14.319Z,2024-08-10T12:02:17Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5138876873,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197387,24,5,1,2,9,bd4qakf7j0wwie8wke9km7uj8,0,51.8,101.6,2024-08-10T12:02:14.842Z,2024-08-10T14:07:03Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5138877295,233,31,5138876911,56,Left,5138876913,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197449,31,5,1,2,9,b2vft81kyjurzbmekvgrqwr64,1,48.2,-1.6,2024-08-10T12:02:14.842Z,2024-08-10T14:07:03Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5138877265,347,,5138877263,56,Back,5138877279,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197479,32,1,1,2,17,b2vft81kyjurzbmekvgrqwr64,1,53.1,0.0,2024-08-10T12:02:22.749Z,2024-08-10T12:56:07Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5138877449,1,,5138877445,212,22.7,5138877439,56,Back,5138877437,107,,5138877447,213,2.49,5138877441,140,35.9,5138877443,141,19.5,5139069889,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197539,33,1,1,2,22,b2vft81kyjurzbmekvgrqwr64,1,31.9,52.8,2024-08-10T12:02:27.517Z,2024-08-10T12:56:18Z,lu9bber07etravimh00k745x,J. Bøge,,,5139070337,189,,5138877795,212,23.9,5138877797,213,1.38,5138877791,140,36.3,5138877793,141,87.3,5138877789,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197551,34,1,1,2,29,b2vft81kyjurzbmekvgrqwr64,1,47.7,69.9,2024-08-10T12:02:35.133Z,2024-08-10T12:02:36Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5138877861,56,Back,5138877865,140,43.3,5138877869,141,49.7,5138877875,213,4.39,5138877873,212,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197613,35,1,1,2,31,b2vft81kyjurzbmekvgrqwr64,1,43.3,49.7,2024-08-10T12:02:36.669Z,2024-08-10T12:02:44Z,lu9bber07etravimh00k745x,J. Bøge,,,5138878267,140,47.4,5138878269,141,20.0,5138878265,56,Back,5138878273,213,4.92,5138878271,212,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197637,36,1,1,2,38,b2vft81kyjurzbmekvgrqwr64,1,56.2,20.6,2024-08-10T12:02:43.981Z,2024-08-10T12:02:46Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5138878393,140,32.8,5138878399,213,2.73,5138878395,141,36.4,5138878397,212,26.8,5138878391,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707197671,37,1,1,2,41,b2vft81kyjurzbmekvgrqwr64,0,30.4,32.4,2024-08-10T12:02:46.533Z,2024-08-10T12:02:49Z,lu9bber07etravimh00k745x,J. Bøge,,,5138878545,157,,5138878551,141,21.5,5138878549,140,69.2,5138878559,1,,5138878547,56,Center,5138878555,213,6.10,5138878553,212,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
