id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value
2717036125,7,1,1,0,12,b2vft81kyjurzbmekvgrqwr64,1,47.8,96.2,2024-09-02T17:00:44.397Z,2024-09-02T18:00:54Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5192964957,140,65.1,5192964961,212,20.4,5192964955,56,Left,5192964963,213,5.81,5192964959,141,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036123,6,45,1,0,13,ajtb177oqwawkdwbqhldmq6mx,0,34.9,20.5,2024-09-02T17:00:45.638Z,2024-09-02T19:05:45Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5192964951,56,Back,5192964953,285,,5192964975,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036127,8,3,1,0,13,b2vft81kyjurzbmekvgrqwr64,1,65.1,79.5,2024-09-02T17:00:45.638Z,2024-09-02T19:05:45Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5192964971,233,6,5192964969,286,,5192964967,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036133,9,1,1,0,15,b2vft81kyjurzbmekvgrqwr64,1,57.7,68.5,2024-09-02T17:00:47.405Z,2024-09-02T17:00:52Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5192965007,140,70.9,5192965005,56,Right,5192965015,1,,5192965009,141,13.7,5192965003,155,,5192965011,212,39.8,5192965013,213,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036135,10,1,1,0,20,b2vft81kyjurzbmekvgrqwr64,0,76.4,13.7,2024-09-02T17:00:52.309Z,2024-09-02T17:00:52Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5192965029,213,0.95,5192965025,141,43.3,5192965027,212,24.8,5192965021,56,Center,5192965023,140,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036145,7,12,1,0,21,ajtb177oqwawkdwbqhldmq6mx,1,13.2,58.8,2024-09-02T17:00:53.462Z,2024-09-02T17:00:56Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5192965087,213,1.54,5192965093,167,,5192965085,212,29.1,5192965083,141,100.0,5192965079,56,Back,5192965081,140,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036147,8,5,1,0,22,ajtb177oqwawkdwbqhldmq6mx,0,15.2,101.8,2024-09-02T17:00:54.900Z,2024-09-02T19:12:58Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5192965091,347,,5192965089,56,Back,5192965131,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036151,11,5,1,0,22,b2vft81kyjurzbmekvgrqwr64,1,84.8,-1.8,2024-09-02T17:00:54.900Z,2024-09-02T19:12:58Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5192965109,56,Right,5192965127,233,8,5192965111,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036157,12,1,1,0,28,b2vft81kyjurzbmekvgrqwr64,1,79.4,0.0,2024-09-02T17:01:00.567Z,2024-09-02T20:42:50Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5192965153,56,Center,5192965151,107,,5192965159,212,23.8,5192965155,140,75.7,5192965161,213,1.73,5192965157,141,32.5,5192965163,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036159,13,1,1,0,30,b2vft81kyjurzbmekvgrqwr64,1,75.7,32.5,2024-09-02T17:01:02.477Z,2024-09-02T17:01:03Z,e0rgqk3gxzs005m9ok9hvp1ck,T. Hansen,,,5192965169,140,73.4,5192965171,141,23.1,5192965173,212,6.8,5192965175,213,4.35,5192965167,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036163,14,1,1,0,31,b2vft81kyjurzbmekvgrqwr64,0,73.4,23.1,2024-09-02T17:01:03.540Z,2024-09-02T17:01:05Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5192965195,56,Center,5192965197,140,76.2,5192965199,141,43.1,5192965203,213,1.36,5192965201,212,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036187,9,1,1,0,34,ajtb177oqwawkdwbqhldmq6mx,1,31.2,56.9,2024-09-02T17:01:06.574Z,2024-09-02T17:01:09Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,,,5192965301,56,Back,5192965303,140,11.7,5192965309,213,2.79,5192965307,212,21.8,5192965305,141,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036193,11,1,1,0,37,ajtb177oqwawkdwbqhldmq6mx,1,11.7,67.9,2024-09-02T17:01:09.334Z,2024-09-02T17:01:11Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5192965333,141,51.2,5192965331,140,4.6,5192965329,56,Back,5192965337,213,4.13,5192965335,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036199,12,1,1,0,39,ajtb177oqwawkdwbqhldmq6mx,0,5.0,51.5,2024-09-02T17:01:11.182Z,2024-09-02T17:01:12Z,b2gkyjq8emj9pywryc3rycogl,M. Falkesgaard,,,5192965375,141,50.4,5192965377,212,29.9,5192965369,157,,5192965373,140,33.5,5192965371,56,Back,5192965383,1,,5192965379,213,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036205,15,1,1,0,40,b2vft81kyjurzbmekvgrqwr64,0,54.9,43.1,2024-09-02T17:01:12.940Z,2024-09-02T17:01:14Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5192965419,212,20.3,5192965411,3,,5192965413,56,Center,5192965417,141,46.4,5192965415,140,74.1,5192965421,213,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036217,13,1,1,0,43,ajtb177oqwawkdwbqhldmq6mx,1,28.3,55.4,2024-09-02T17:01:15.183Z,2024-09-02T17:01:19Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5192965459,56,Back,5192965465,212,11.0,5192965467,213,1.55,5192965463,141,71.5,5192965457,3,,5192965461,140,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036223,14,1,1,0,47,ajtb177oqwawkdwbqhldmq6mx,1,23.3,90.2,2024-09-02T17:01:19.246Z,2024-09-02T17:01:21Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5192965497,140,11.0,5192965499,141,85.1,5192965493,56,Back,5192965501,212,13.4,5192965503,213,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036225,15,1,1,0,49,ajtb177oqwawkdwbqhldmq6mx,1,13.0,85.7,2024-09-02T17:01:21.317Z,2024-09-02T17:01:22Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5192965509,56,Back,5192965517,213,0.67,5192965515,212,7.4,5192965513,141,92.4,5192965511,140,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036241,16,1,1,0,50,ajtb177oqwawkdwbqhldmq6mx,1,18.5,92.4,2024-09-02T17:01:22.590Z,2024-09-02T17:01:26Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5192965573,56,Back,5192965581,213,3.93,5192965579,212,23.2,5192965577,141,68.2,5192965575,140,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036253,17,1,1,0,55,ajtb177oqwawkdwbqhldmq6mx,0,4.7,63.6,2024-09-02T17:01:27.750Z,2024-09-02T17:01:31Z,b2gkyjq8emj9pywryc3rycogl,M. Falkesgaard,,,5192965641,212,33.8,5192965643,213,0.08,5192965633,157,,5192965645,1,,5192965639,141,67.8,5192965635,56,Back,5192965637,140,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036251,16,1,1,0,57,b2vft81kyjurzbmekvgrqwr64,0,45.0,29.1,2024-09-02T17:01:29.853Z,2024-09-02T17:01:30Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5192965631,1,,5192965623,140,86.9,5192965621,56,Center,5192965627,212,47.3,5192965619,157,,5192965625,141,54.6,5192965629,213,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036255,18,1,1,1,1,ajtb177oqwawkdwbqhldmq6mx,0,22.2,65.7,2024-09-02T17:01:33.229Z,2024-09-02T17:02:53Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5192965651,56,Center,5192965653,140,59.6,5192965649,3,,5192965659,213,0.18,5192965661,1,,5192965657,212,39.9,5192965655,141,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036275,18,1,1,1,6,b2vft81kyjurzbmekvgrqwr64,1,31.6,27.4,2024-09-02T17:01:38.181Z,2024-09-02T17:01:40Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5192965755,213,5.80,5192965747,56,Back,5192965749,140,44.4,5192965753,212,15.2,5192965751,141,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036279,19,1,1,1,8,b2vft81kyjurzbmekvgrqwr64,1,44.0,15.6,2024-09-02T17:01:40.548Z,2024-09-02T17:01:44Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5192965789,56,Back,5192965791,140,27.6,5192965793,141,47.3,5192965795,212,27.6,5192965797,213,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036285,20,1,1,1,12,b2vft81kyjurzbmekvgrqwr64,1,28.6,35.1,2024-09-02T17:01:44.028Z,2024-09-02T17:01:47Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5192965829,141,78.1,5192965825,56,Back,5192965827,140,22.6,5192965833,213,1.78,5192965831,212,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036287,21,1,1,1,15,b2vft81kyjurzbmekvgrqwr64,1,22.4,73.5,2024-09-02T17:01:47.556Z,2024-09-02T17:01:49Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5192965849,213,5.39,5192965845,141,51.2,5192965847,212,19.5,5192965841,56,Back,5192965843,140,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036289,22,1,1,1,17,b2vft81kyjurzbmekvgrqwr64,1,34.1,51.2,2024-09-02T17:01:49.268Z,2024-09-02T17:01:50Z,e0rgqk3gxzs005m9ok9hvp1ck,T. Hansen,,,5192965871,213,3.65,5192965869,212,12.6,5192965865,140,23.6,5192965867,141,42.2,5192965881,156,,5192965863,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036311,23,1,1,1,19,b2vft81kyjurzbmekvgrqwr64,1,24.2,42.1,2024-09-02T17:01:51.996Z,2024-09-02T17:01:54Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5192965969,213,5.27,5192965967,212,13.5,5192965965,141,25.3,5192965961,56,Back,5192965963,140,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036327,24,1,1,1,22,b2vft81kyjurzbmekvgrqwr64,1,39.5,21.9,2024-09-02T17:01:54.316Z,2024-09-02T17:02:00Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5192966053,1,,5192966051,213,1.93,5192966043,56,Back,5192966047,141,72.3,5192966045,140,27.3,5192966049,212,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036341,25,1,1,1,28,b2vft81kyjurzbmekvgrqwr64,1,38.6,78.8,2024-09-02T17:02:00.428Z,2024-09-02T17:02:03Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5192966107,213,5.94,5192966105,212,27.4,5192966103,141,65.4,5192966101,140,63.2,5192966099,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036361,26,1,1,1,31,b2vft81kyjurzbmekvgrqwr64,1,64.0,56.1,2024-09-02T17:02:03.148Z,2024-09-02T17:02:22Z,dwuxps3jv2852642q000wep6,V. Rasmussen,1.0,,5192966461,210,13,5192966227,212,21.4,5192966225,141,39.1,5192966223,140,81.2,5192966221,56,Center,5192966229,213,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036367,27,13,1,1,34,b2vft81kyjurzbmekvgrqwr64,1,79.7,29.5,2024-09-02T17:02:06.412Z,2024-09-02T20:21:36Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5192966473,103,2.8,5192966251,22,,5192966463,73,,5192966255,56,Center,5192966467,55,26,5192966477,231,47.3,5192966377,20,,5193260351,215,,5192966471,102,59.8,5192966253,18,5192966465,29,5192966475,230,98.1,,,,,,,,,,,,,,
2717036415,19,5,1,1,35,ajtb177oqwawkdwbqhldmq6mx,1,-0.9,39.6,2024-09-02T17:02:07.694Z,2024-09-02T19:12:58Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5192966551,56,Back,5192966567,233,28,5192966553,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036369,28,5,1,1,35,b2vft81kyjurzbmekvgrqwr64,0,100.9,60.4,2024-09-02T17:02:07.694Z,2024-09-02T19:12:59Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5192966267,346,,5192966265,56,Center,5192966573,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036421,20,1,1,1,57,ajtb177oqwawkdwbqhldmq6mx,1,4.3,60.2,2024-09-02T17:02:29.861Z,2024-09-02T17:02:50Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5192966579,124,,5192966581,56,Back,5192966583,140,3.0,5192966589,213,4.50,5192966887,189,,5192966593,237,,5192966587,212,6.4,5192966585,141,51.0,,,,,,,,,,,,,,,,,,,,,,,,
2717036425,21,1,1,1,59,ajtb177oqwawkdwbqhldmq6mx,0,3.0,51.0,2024-09-02T17:02:31.348Z,2024-09-02T17:02:49Z,b2gkyjq8emj9pywryc3rycogl,M. Falkesgaard,,,5192966619,213,0.01,5192966609,155,,5192966613,140,45.8,5192966611,56,Back,5192966881,189,,5192966617,212,44.9,5192966615,141,51.5,5192966621,1,,,,,,,,,,,,,,,,,,,,,,,,,
2717036433,29,1,1,2,1,b2vft81kyjurzbmekvgrqwr64,0,40.2,48.4,2024-09-02T17:02:33.292Z,2024-09-02T19:50:27Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5192966645,56,Center,5192966647,140,51.9,5192966649,141,42.4,5192966653,213,5.96,5192966651,212,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036445,22,61,1,2,2,ajtb177oqwawkdwbqhldmq6mx,1,36.0,47.0,2024-09-02T17:02:34.928Z,2024-09-02T17:02:56Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,,,5192966701,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036437,31,1,1,2,3,b2vft81kyjurzbmekvgrqwr64,0,51.9,42.4,2024-09-02T17:02:35.371Z,2024-09-02T17:02:36Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5192966665,213,0.75,5192966661,141,57.9,5192966657,56,Center,5192966663,212,15.5,5192966659,140,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036453,32,1,1,2,7,b2vft81kyjurzbmekvgrqwr64,1,75.2,72.6,2024-09-02T17:02:39.140Z,2024-09-02T17:02:41Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5192966747,212,9.1,5192966745,141,61.8,5192966749,213,5.34,5192966743,140,80.3,5192966741,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717039093,140,61,1,2,7,b2vft81kyjurzbmekvgrqwr64,1,60.2,79.4,2024-09-02T17:02:39.279Z,2024-09-02T17:14:59Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5192981815,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036457,33,61,1,2,8,b2vft81kyjurzbmekvgrqwr64,0,80.3,61.8,2024-09-02T17:02:40.988Z,2024-09-02T19:42:08Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5192966753,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036477,24,1,1,2,10,ajtb177oqwawkdwbqhldmq6mx,0,20.9,27.4,2024-09-02T17:02:42.213Z,2024-09-02T17:02:47Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5192966849,1,,5192966837,155,,5192966841,140,68.8,5192966843,141,26.4,5192966847,213,6.27,5192966845,212,50.3,5192966839,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036493,35,1,1,2,15,b2vft81kyjurzbmekvgrqwr64,1,24.7,79.3,2024-09-02T17:02:47.879Z,2024-09-02T17:02:50Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5192966903,141,57.3,5192966901,140,11.4,5192966905,212,20.5,5192966907,213,3.96,5192966899,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036501,36,1,1,2,18,b2vft81kyjurzbmekvgrqwr64,1,10.7,55.5,2024-09-02T17:02:50.723Z,2024-09-02T17:02:53Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5192966951,140,14.6,5192966953,141,63.1,5192966949,56,Back,5192966955,212,6.6,5192966957,213,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036517,37,1,1,2,21,b2vft81kyjurzbmekvgrqwr64,1,14.4,56.6,2024-09-02T17:02:53.124Z,2024-09-02T17:02:58Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5192967047,213,1.11,5192967045,212,28.0,5192967039,56,Back,5192967043,141,93.5,5192967041,140,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036535,38,1,1,2,26,b2vft81kyjurzbmekvgrqwr64,1,27.5,87.7,2024-09-02T17:02:58.124Z,2024-09-02T17:03:03Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5192967149,56,Back,5192967155,212,25.5,5192967157,213,4.66,5192967151,140,26.3,5192967153,141,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036545,39,1,1,2,31,b2vft81kyjurzbmekvgrqwr64,1,30.4,47.5,2024-09-02T17:03:03.683Z,2024-09-02T17:03:07Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5192967209,140,32.3,5192967213,212,21.1,5192967211,141,78.4,5192967215,213,1.48,5192967207,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717036559,40,1,1,2,34,b2vft81kyjurzbmekvgrqwr64,1,34.8,79.6,2024-09-02T17:03:06.987Z,2024-09-02T17:03:14Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5192967361,212,30.8,5192967357,140,63.4,5192967355,56,Left,5192967363,213,0.22,5192967359,141,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
