id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/17/value
2730043491,8,12,1,0,12,7gkglopz9cjsysn2u6sbhuvc5,1,28.5,3.9,2024-10-04T16:59:16.296Z,2024-10-04T17:04:28Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5264277797,140,44.4,5264277795,56,Back,5264277803,213,6.06,5264293471,167,,5264277799,141,0.0,5264277801,212,17.1,5264293469,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043529,5,5,1,0,13,aqtkb4mgrz8c6iqfufj6qjbv9,1,60.5,101.6,2024-10-04T16:59:17.437Z,2024-10-04T17:54:04Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5264278033,347,,5264278053,233,9,5264278031,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043495,9,5,1,0,13,7gkglopz9cjsysn2u6sbhuvc5,0,39.5,-1.6,2024-10-04T16:59:17.437Z,2024-10-04T17:54:05Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5264277831,347,,5264277829,56,Back,5264278071,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043539,6,1,1,0,21,aqtkb4mgrz8c6iqfufj6qjbv9,1,58.1,100.0,2024-10-04T16:59:24.604Z,2024-10-04T19:28:44Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5264278097,212,9.5,5264278091,56,Left,5264278095,141,87.8,5264278089,107,,5264278093,140,57.6,5264278099,213,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043565,7,1,1,0,21,aqtkb4mgrz8c6iqfufj6qjbv9,1,57.6,87.8,2024-10-04T16:59:25.572Z,2024-10-04T16:59:32Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5264278231,141,95.7,5264278235,213,0.97,5264278227,56,Left,5264278229,140,61.1,5264278233,212,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043571,8,50,1,0,23,aqtkb4mgrz8c6iqfufj6qjbv9,1,60.2,94.5,2024-10-04T16:59:27.424Z,2024-10-04T16:59:34Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5264278255,56,Left,5264278257,286,,5264278295,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043549,10,7,1,0,23,7gkglopz9cjsysn2u6sbhuvc5,1,39.8,5.5,2024-10-04T16:59:27.425Z,2024-10-04T16:59:34Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5264278141,56,Back,5264278339,233,8,5264278331,167,,5264278143,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043589,9,5,1,0,25,aqtkb4mgrz8c6iqfufj6qjbv9,1,65.6,101.6,2024-10-04T16:59:28.729Z,2024-10-04T17:54:05Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5264278357,347,,5264278355,56,Left,5264278363,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043557,11,5,1,0,25,7gkglopz9cjsysn2u6sbhuvc5,0,34.4,-1.6,2024-10-04T16:59:28.729Z,2024-10-04T17:54:05Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5264278389,233,9,5264278175,56,Back,5264278177,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043603,10,1,1,0,31,aqtkb4mgrz8c6iqfufj6qjbv9,1,61.2,100.0,2024-10-04T16:59:35.452Z,2024-10-04T16:59:37Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5264278425,107,,5264278433,212,11.9,5264278429,140,57.7,5264278427,56,Left,5264278431,141,85.1,5264278435,213,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043605,11,50,1,0,34,aqtkb4mgrz8c6iqfufj6qjbv9,1,59.6,87.6,2024-10-04T16:59:37.764Z,2024-10-04T16:59:44Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5264278441,286,,5264278563,233,12,5264278439,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043619,12,7,1,0,34,7gkglopz9cjsysn2u6sbhuvc5,0,40.4,12.4,2024-10-04T16:59:37.765Z,2024-10-04T16:59:43Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5264278513,285,,5264278523,233,11,5264278511,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043627,12,1,1,0,36,aqtkb4mgrz8c6iqfufj6qjbv9,0,69.7,93.8,2024-10-04T16:59:39.652Z,2024-10-04T16:59:44Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5264278609,141,94.7,5264278613,213,3.04,5264278605,56,Left,5264278607,140,64.0,5264278611,212,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043637,13,61,1,0,37,7gkglopz9cjsysn2u6sbhuvc5,1,32.3,2.5,2024-10-04T16:59:41.275Z,2024-10-04T17:00:51Z,139g7ilwvcpl519v3scnweg2d,L. Jensen,,,5264281229,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043641,14,61,1,0,37,7gkglopz9cjsysn2u6sbhuvc5,1,30.9,4.9,2024-10-04T16:59:41.424Z,2024-10-04T17:01:12Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5264282473,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044637,35,1,1,0,39,7gkglopz9cjsysn2u6sbhuvc5,1,36.0,6.4,2024-10-04T16:59:42.752Z,2024-10-04T17:05:29Z,139g7ilwvcpl519v3scnweg2d,L. Jensen,,,5264283577,140,32.8,5264283583,213,1.97,5264283579,141,18.0,5264283581,212,8.6,5264283575,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043657,15,43,1,0,40,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-10-04T16:59:43.809Z,2024-10-04T17:06:28Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5264278793,213,1.35,5264278785,56,Back,5264301785,144,12,5264278789,141,25.2,5264278787,140,29.3,5264278791,212,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043673,16,1,1,0,41,7gkglopz9cjsysn2u6sbhuvc5,1,34.6,28.0,2024-10-04T16:59:44.841Z,2024-10-04T17:06:41Z,78iynnu6cnznv6fxpo4br4mlm,V. Mpindi,,,5264278863,213,2.40,5264278855,56,Back,5264278857,140,22.8,5264278861,212,16.9,5264278859,141,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043689,17,1,1,0,43,7gkglopz9cjsysn2u6sbhuvc5,1,23.4,44.2,2024-10-04T16:59:47.281Z,2024-10-04T17:06:58Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5264278935,141,48.9,5264278937,212,20.5,5264278931,56,Back,5264278939,213,2.99,5264278933,140,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043707,18,1,1,0,45,7gkglopz9cjsysn2u6sbhuvc5,1,3.4,47.9,2024-10-04T16:59:48.761Z,2024-10-04T16:59:51Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5264279063,212,19.1,5264279059,140,13.9,5264279057,56,Back,5264279061,141,25.0,5264279065,213,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043751,19,61,1,0,55,7gkglopz9cjsysn2u6sbhuvc5,1,14.3,23.6,2024-10-04T16:59:58.582Z,2024-10-04T16:59:59Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5264279265,56,Back,5264279293,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043859,13,5,1,0,55,aqtkb4mgrz8c6iqfufj6qjbv9,1,67.1,102.0,2024-10-04T16:59:59.164Z,2024-10-04T17:54:06Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5264279795,347,,5264279833,233,20,5264279793,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043767,20,5,1,0,55,7gkglopz9cjsysn2u6sbhuvc5,0,32.9,-2.0,2024-10-04T16:59:59.164Z,2024-10-04T17:54:06Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5264279837,233,13,5264279351,347,,5264279349,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043915,14,43,1,1,15,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-10-04T17:00:18.901Z,2024-10-04T17:00:29Z,,,,,5264280123,41,Injury,5264280125,53,210068,5264280341,144,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730043975,15,43,1,1,23,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-10-04T17:00:27.133Z,2024-10-04T17:00:30Z,,,,,5264280305,55,14,5264280387,144,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730048053,85,1,1,1,26,aqtkb4mgrz8c6iqfufj6qjbv9,0,54.8,100.0,2024-10-04T17:00:29.944Z,2024-10-04T19:29:27Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5264304449,212,12.1,5264304445,140,65.8,5264304441,107,,5264305053,189,,5264304443,56,Left,5264304451,213,5.99,5264304813,238,,5264304447,141,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044019,21,43,1,1,27,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-10-04T17:00:31.224Z,2024-10-04T17:10:54Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5264318217,144,1,5264280543,212,10.8,5264280539,140,41.3,5264280545,213,2.03,5264280541,141,12.2,5264280537,56,Back,5264306271,189,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044039,22,1,1,1,29,7gkglopz9cjsysn2u6sbhuvc5,0,41.3,12.2,2024-10-04T17:00:33.464Z,2024-10-04T17:18:34Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5264280629,212,63.6,5264280633,1,,5264280625,140,100.0,5264280631,213,6.17,5264340419,155,,5264280623,56,Right,5264280627,141,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044059,16,5,1,1,33,aqtkb4mgrz8c6iqfufj6qjbv9,1,-1.3,92.7,2024-10-04T17:00:37.284Z,2024-10-04T17:54:06Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5264280735,233,23,5264280723,346,,5264280721,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044043,23,5,1,1,33,7gkglopz9cjsysn2u6sbhuvc5,0,101.3,7.3,2024-10-04T17:00:37.284Z,2024-10-04T17:54:07Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5264280637,346,,5264280745,233,16,5264280635,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044191,17,1,1,1,44,aqtkb4mgrz8c6iqfufj6qjbv9,1,4.5,50.6,2024-10-04T17:00:48.035Z,2024-10-04T17:00:54Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,,5264281369,124,,5264281373,140,9.0,5264281377,212,14.2,5264281383,237,,5264281379,213,5.05,5264281375,141,30.9,5264281371,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044203,18,1,1,1,50,aqtkb4mgrz8c6iqfufj6qjbv9,1,9.0,30.9,2024-10-04T17:00:53.850Z,2024-10-04T17:00:55Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,,5264281417,141,17.0,5264281421,213,6.02,5264281413,56,Back,5264281415,140,42.0,5264281411,155,,5264281419,212,35.9,5264281423,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044215,19,44,1,1,51,aqtkb4mgrz8c6iqfufj6qjbv9,1,43.5,15.3,2024-10-04T17:00:55.079Z,2024-10-04T17:53:43Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5264281479,285,,5264281539,233,24,5264281477,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044201,24,44,1,1,51,7gkglopz9cjsysn2u6sbhuvc5,0,56.5,84.7,2024-10-04T17:00:55.080Z,2024-10-04T17:53:43Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5264281407,56,Left,5264281565,233,19,5264281409,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044223,20,1,1,1,52,aqtkb4mgrz8c6iqfufj6qjbv9,0,42.0,17.0,2024-10-04T17:00:55.675Z,2024-10-04T19:29:24Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5264281509,3,,5264281513,140,41.5,5264281519,213,1.66,5264281517,212,5.9,5264281511,56,Back,5264281515,141,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044229,25,44,1,1,53,7gkglopz9cjsysn2u6sbhuvc5,1,58.1,74.2,2024-10-04T17:00:56.641Z,2024-10-04T17:53:44Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5264281545,286,,5264281623,233,21,5264281543,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044241,21,44,1,1,53,aqtkb4mgrz8c6iqfufj6qjbv9,0,41.9,25.8,2024-10-04T17:00:56.642Z,2024-10-04T17:53:44Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5264281601,56,Back,5264281647,233,25,5264281603,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044257,26,1,1,1,53,7gkglopz9cjsysn2u6sbhuvc5,1,57.5,73.8,2024-10-04T17:00:56.728Z,2024-10-04T17:21:45Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5264281683,56,Center,5264281691,212,8.4,5264281685,140,61.4,5264354453,168,,5264281681,3,,5264281693,213,5.22,5264281689,141,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044265,27,44,1,1,55,7gkglopz9cjsysn2u6sbhuvc5,1,67.9,62.4,2024-10-04T17:00:59.062Z,2024-10-04T17:53:45Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5264314687,233,86,5264281725,286,,5264281723,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730048061,86,44,1,1,55,aqtkb4mgrz8c6iqfufj6qjbv9,0,32.1,37.6,2024-10-04T17:00:59.063Z,2024-10-04T17:53:45Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5264313515,56,Back,5264313517,285,,5264314711,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044271,28,1,1,1,55,7gkglopz9cjsysn2u6sbhuvc5,0,61.4,63.0,2024-10-04T17:00:59.553Z,2024-10-04T17:22:56Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5264281753,141,84.4,5264281749,56,Left,5264281757,213,0.98,5264281747,3,,5264281751,140,70.6,5264281755,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044277,22,1,1,1,56,aqtkb4mgrz8c6iqfufj6qjbv9,0,37.3,23.6,2024-10-04T17:01:00.428Z,2024-10-04T19:29:43Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,,5264281783,1,,5264281777,212,11.8,5264281769,157,,5264281773,140,47.4,5264281775,141,31.2,5264281771,56,Back,5264281779,213,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044305,29,1,1,1,57,7gkglopz9cjsysn2u6sbhuvc5,0,48.4,67.9,2024-10-04T17:01:01.208Z,2024-10-04T17:24:06Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5264281877,56,Left,5264281883,212,32.2,5264281887,1,,5264281875,157,,5264281885,213,0.77,5264281879,140,70.4,5264281881,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044317,23,5,1,1,58,aqtkb4mgrz8c6iqfufj6qjbv9,1,31.3,-1.2,2024-10-04T17:01:02.099Z,2024-10-04T17:54:07Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,,5264282007,233,30,5264281943,347,,5264281939,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044309,30,5,1,1,58,7gkglopz9cjsysn2u6sbhuvc5,0,68.7,101.2,2024-10-04T17:01:02.099Z,2024-10-04T17:54:08Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5264281905,347,,5264281903,56,Left,5264282029,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044441,24,1,1,2,9,aqtkb4mgrz8c6iqfufj6qjbv9,1,34.1,0.0,2024-10-04T17:01:12.994Z,2024-10-04T17:01:15Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,,5264282577,212,11.7,5264282573,140,33.6,5264282569,107,,5264282571,56,Back,5264282575,141,16.4,5264282579,213,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044447,25,1,1,2,11,aqtkb4mgrz8c6iqfufj6qjbv9,0,33.6,16.4,2024-10-04T17:01:14.980Z,2024-10-04T19:29:36Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5264282615,140,47.4,5264282611,157,,5264282619,212,14.7,5264282623,1,,5264282621,213,0.19,5264282617,141,20.4,5264282613,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
