id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2779113117,6,1,1,0,11,f1h34qp5zbfl489q8vnkhiq9s,1,32.1,79.9,2025-02-22T12:02:11.530Z,2025-02-22T14:23:28Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5531299877,212,8.6,5531299871,56,Back,5531299875,141,92.4,5531299879,213,1.40,5531299873,140,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113125,7,1,1,0,12,f1h34qp5zbfl489q8vnkhiq9s,0,33.5,92.4,2025-02-22T12:02:12.587Z,2025-02-22T12:05:33Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5531299927,56,Back,5531299935,213,6.09,5531299931,141,91.5,5531299929,140,36.5,5531299933,212,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113113,7,61,1,0,14,b8oqgvx1ijeyn6y1cn6929ix4,1,66.3,4.4,2025-02-22T12:02:14.556Z,2025-02-22T12:07:31Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5531299861,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113143,8,5,1,0,16,b8oqgvx1ijeyn6y1cn6929ix4,0,57.1,-1.8,2025-02-22T12:02:16.243Z,2025-02-22T14:16:31Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5531300015,347,,5531300013,56,Right,5531300347,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113185,8,5,1,0,16,f1h34qp5zbfl489q8vnkhiq9s,1,42.9,101.8,2025-02-22T12:02:16.243Z,2025-02-22T14:16:31Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5531300249,347,,5531300247,56,Back,5531300323,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113309,9,1,1,0,28,f1h34qp5zbfl489q8vnkhiq9s,0,39.2,100.0,2025-02-22T12:02:28.314Z,2025-02-22T12:02:31Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5531300817,140,58.9,5531300815,56,Left,5531300823,213,5.69,5531300819,141,81.7,5531300813,107,,5531300825,1,,5531300821,212,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113635,11,61,1,0,30,b8oqgvx1ijeyn6y1cn6929ix4,1,59.4,15.6,2025-02-22T12:02:30.203Z,2025-02-22T12:03:10Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,,5531302473,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113671,12,1,1,0,31,b8oqgvx1ijeyn6y1cn6929ix4,1,58.5,13.8,2025-02-22T12:02:31.919Z,2025-02-22T12:06:51Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5531302641,213,0.27,5531302639,212,2.8,5531302633,56,Right,5531302637,141,14.9,5531302635,140,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113675,13,61,1,0,32,b8oqgvx1ijeyn6y1cn6929ix4,0,61.1,14.9,2025-02-22T12:02:32.160Z,2025-02-22T12:03:15Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5531302655,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113383,10,43,1,0,34,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-02-22T12:02:34.850Z,2025-02-22T13:02:42Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5531301171,285,0,5531537857,144,7,5531301169,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113385,11,43,1,0,38,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-02-22T12:02:38.186Z,2025-02-22T12:09:56Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5531329847,144,50,5531301187,286,0,5531301185,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113401,12,4,1,0,40,f1h34qp5zbfl489q8vnkhiq9s,1,61.2,79.0,2025-02-22T12:02:40.076Z,2025-02-22T14:14:24Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5531301277,152,,5531301415,233,10,5531301279,265,,5531301273,13,,5531301281,286,,5531301275,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779113429,10,4,1,0,40,b8oqgvx1ijeyn6y1cn6929ix4,0,38.8,21.0,2025-02-22T12:02:40.077Z,2025-02-22T22:16:53Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,,5531301405,13,,5531301407,56,Back,5531301413,285,,5531301469,233,12,5531301409,152,,5531301411,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114133,13,1,1,1,48,f1h34qp5zbfl489q8vnkhiq9s,1,65.6,80.2,2025-02-22T12:03:48.409Z,2025-02-22T12:04:03Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,1.0,,5531304963,212,22.7,5531304953,5,,5531305723,154,,5531304959,140,86.1,5531304955,152,,5531305721,210,13,5531304965,213,5.95,5531304961,141,69.4,5531304957,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114139,14,13,1,1,51,f1h34qp5zbfl489q8vnkhiq9s,1,87.8,65.4,2025-02-22T12:03:51.163Z,2025-02-22T14:28:15Z,6hmsrr08cllpl4iumu92zskbt,L. From,,,5531305757,231,54.7,5531304997,64,,5532019701,328,,5531305299,72,,5531304999,56,Center,5531305745,154,,5531305753,103,14.6,5531305741,73,,5531305297,24,,5531305755,230,98.5,5531305743,29,5531305751,102,59.4,5531305747,55,13,,,,,,,,,,,,,,,,
2779114487,14,5,1,1,51,b8oqgvx1ijeyn6y1cn6929ix4,1,-0.9,41.7,2025-02-22T12:03:51.262Z,2025-02-22T14:16:31Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5531306563,56,Back,5531306565,346,,5531306597,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114197,15,5,1,1,51,f1h34qp5zbfl489q8vnkhiq9s,0,100.9,58.3,2025-02-22T12:03:51.262Z,2025-02-22T14:16:32Z,6hmsrr08cllpl4iumu92zskbt,L. From,,,5531305277,56,Center,5531306631,233,14,5531305279,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114571,15,1,1,2,14,b8oqgvx1ijeyn6y1cn6929ix4,1,3.5,59.0,2025-02-22T12:04:14.455Z,2025-02-22T14:23:26Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5531307041,237,,5531307037,213,4.75,5531307027,124,,5531307035,212,5.9,5531307031,140,3.7,5531307029,56,Back,5531307033,141,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114599,16,1,1,2,19,b8oqgvx1ijeyn6y1cn6929ix4,1,3.9,50.3,2025-02-22T12:04:19.117Z,2025-02-22T12:04:21Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5531307183,140,7.7,5531307181,56,Back,5531307185,141,70.3,5531307189,213,1.29,5531307187,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114627,17,1,1,2,21,b8oqgvx1ijeyn6y1cn6929ix4,0,10.2,83.5,2025-02-22T12:04:21.214Z,2025-02-22T12:09:33Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5531307343,157,,5531307355,1,,5531307351,212,47.9,5531307349,141,80.0,5531307345,56,Left,5531307353,213,6.23,5531307347,140,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114667,16,1,1,2,24,f1h34qp5zbfl489q8vnkhiq9s,1,40.6,30.7,2025-02-22T12:04:24.074Z,2025-02-22T12:04:25Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5531307541,213,0.87,5531307539,212,30.5,5531307533,56,Center,5531307537,141,64.9,5531307543,1,,5531307531,157,,5531307535,140,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114677,17,1,1,2,25,f1h34qp5zbfl489q8vnkhiq9s,0,59.4,64.9,2025-02-22T12:04:25.625Z,2025-02-22T12:04:27Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5531307597,140,75.4,5531307599,141,50.1,5531307603,213,5.74,5531307601,212,19.6,5531307595,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114749,18,1,1,2,30,b8oqgvx1ijeyn6y1cn6929ix4,1,24.4,65.2,2025-02-22T12:04:30.661Z,2025-02-22T12:04:32Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5531307937,56,Back,5531307943,212,21.0,5531307939,140,6.7,5531307941,141,50.7,5531307945,213,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114785,19,1,1,2,31,b8oqgvx1ijeyn6y1cn6929ix4,1,6.7,50.7,2025-02-22T12:04:31.885Z,2025-02-22T12:04:33Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5531308115,56,Back,5531308123,213,5.09,5531308117,140,15.5,5531308121,212,25.3,5531308119,141,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114823,20,1,1,2,33,b8oqgvx1ijeyn6y1cn6929ix4,1,15.5,16.1,2025-02-22T12:04:33.597Z,2025-02-22T12:04:37Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5531308335,140,28.8,5531308337,141,5.3,5531308333,56,Back,5531308341,213,5.80,5531308339,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114841,21,1,1,2,37,b8oqgvx1ijeyn6y1cn6929ix4,1,30.0,5.3,2025-02-22T12:04:37.717Z,2025-02-22T12:04:39Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5531308441,141,10.1,5531308445,213,2.92,5531308439,140,16.4,5531308443,212,14.6,5531308437,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114857,22,1,1,2,39,b8oqgvx1ijeyn6y1cn6929ix4,1,16.4,10.1,2025-02-22T12:04:39.557Z,2025-02-22T12:04:41Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5531308523,140,22.9,5531308529,213,0.96,5531308521,56,Back,5531308525,141,24.3,5531308527,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114875,23,1,1,2,41,b8oqgvx1ijeyn6y1cn6929ix4,1,17.6,22.8,2025-02-22T12:04:41.269Z,2025-02-22T12:04:43Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,,5531308641,141,15.5,5531308645,213,3.72,5531308639,140,10.4,5531308643,212,9.0,5531308637,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114929,24,1,1,2,43,b8oqgvx1ijeyn6y1cn6929ix4,0,10.4,13.7,2025-02-22T12:04:43.390Z,2025-02-22T12:04:47Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5531308963,140,36.9,5531308961,56,Back,5531308965,141,8.9,5531308959,155,,5531308969,213,6.17,5531308967,212,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114991,18,1,1,2,47,f1h34qp5zbfl489q8vnkhiq9s,1,59.4,86.8,2025-02-22T12:04:47.201Z,2025-02-22T12:04:53Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5531309303,140,69.2,5531309309,213,0.56,5531309301,56,Left,5531309305,141,96.3,5531309307,212,12.1,5531309299,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779114997,19,61,1,2,53,f1h34qp5zbfl489q8vnkhiq9s,0,69.2,96.3,2025-02-22T12:04:53.137Z,2025-02-22T14:23:25Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5531309347,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115009,20,5,1,2,54,f1h34qp5zbfl489q8vnkhiq9s,0,70.0,101.8,2025-02-22T12:04:54.057Z,2025-02-22T12:10:19Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5531309411,56,Left,5531309413,347,,5531309799,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115075,25,5,1,2,54,b8oqgvx1ijeyn6y1cn6929ix4,1,30.0,-1.8,2025-02-22T12:04:54.057Z,2025-02-22T14:16:32Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5531309779,233,20,5531309763,56,Back,5531309765,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115141,26,1,1,3,2,b8oqgvx1ijeyn6y1cn6929ix4,0,31.6,0.0,2025-02-22T12:05:02.109Z,2025-02-22T12:13:04Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5531310107,56,Right,5531310113,212,31.7,5531310105,107,,5531310115,213,0.30,5531310109,140,60.4,5531310111,141,12.0,5531310117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115137,21,61,1,3,2,f1h34qp5zbfl489q8vnkhiq9s,1,37.1,86.8,2025-02-22T12:05:02.378Z,2025-02-22T12:13:51Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5531310079,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115195,29,61,1,3,3,b8oqgvx1ijeyn6y1cn6929ix4,1,69.8,5.6,2025-02-22T12:05:03.030Z,2025-02-22T12:13:48Z,b6l4m6bmqgil9bjjov4tnuivo,C. Palm,,,5531345185,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115151,27,1,1,3,6,b8oqgvx1ijeyn6y1cn6929ix4,1,59.3,11.3,2025-02-22T12:05:06.461Z,2025-02-22T12:14:17Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5531347141,212,10.4,5531347145,213,6.15,5531347133,3,,5531347137,141,9.2,5531310147,56,Right,5531347135,140,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115183,28,1,1,3,7,b8oqgvx1ijeyn6y1cn6929ix4,1,72.9,17.6,2025-02-22T12:05:07.060Z,2025-02-22T12:16:16Z,e3546n3qj447qgmizao50zx1w,F. Møller,,,5531310313,140,69.5,5531310319,213,3.60,5531310311,56,Right,5531310315,141,15.0,5531310317,212,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115205,30,1,1,3,8,b8oqgvx1ijeyn6y1cn6929ix4,0,62.4,10.5,2025-02-22T12:05:08.173Z,2025-02-22T12:16:20Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5531355679,212,5.0,5531355673,56,Right,5531355677,141,17.4,5531355681,213,1.21,5531355675,140,64.1,5531355671,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115175,22,1,1,3,8,f1h34qp5zbfl489q8vnkhiq9s,0,30.3,81.8,2025-02-22T12:05:08.761Z,2025-02-22T12:16:30Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5531310271,56,Back,5531310275,141,77.2,5531310277,212,3.8,5531310269,3,,5531310273,140,32.4,5531310279,213,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115219,23,83,1,3,9,f1h34qp5zbfl489q8vnkhiq9s,1,30.8,80.3,2025-02-22T12:05:09.326Z,2025-02-22T14:23:23Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5531371733,399,b6l4m6bmqgil9bjjov4tnuivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115207,31,61,1,3,9,b8oqgvx1ijeyn6y1cn6929ix4,0,70.2,19.9,2025-02-22T12:05:09.425Z,2025-02-22T12:20:40Z,b6l4m6bmqgil9bjjov4tnuivo,C. Palm,,,5531357465,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115237,24,1,1,3,10,f1h34qp5zbfl489q8vnkhiq9s,1,22.3,79.9,2025-02-22T12:05:10.945Z,2025-02-22T14:23:21Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5531310565,140,22.4,5531310567,141,90.5,5531310571,213,1.56,5531310563,56,Back,5531310569,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115297,26,1,1,3,12,f1h34qp5zbfl489q8vnkhiq9s,0,21.4,94.8,2025-02-22T12:05:12.353Z,2025-02-22T14:23:19Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5531310863,56,Back,5531310869,212,4.1,5531361925,157,,5531361943,286,,5531361935,1,,5531310867,141,96.3,5531310871,213,0.25,5531361939,233,32,5531361937,236,,5531310865,140,25.2,,,,,,,,,,,,,,,,,,,,,,,,
2779115259,32,74,1,3,12,b8oqgvx1ijeyn6y1cn6929ix4,1,74.5,5.6,2025-02-22T12:05:12.354Z,2025-02-22T14:20:10Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5531310697,285,,5531310695,56,Right,5531361229,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115315,27,5,1,3,14,f1h34qp5zbfl489q8vnkhiq9s,1,22.6,101.6,2025-02-22T12:05:14.676Z,2025-02-22T14:16:33Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5531311029,233,33,5531310923,56,Back,5531310925,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779115289,33,5,1,3,14,b8oqgvx1ijeyn6y1cn6929ix4,0,77.4,-1.6,2025-02-22T12:05:14.676Z,2025-02-22T14:16:33Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5531311057,233,27,5531310835,347,,5531310833,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
