id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value
2723107237,5,5,1,0,10,a9vw7ikerpr4cuweeeka5aneg,0,26.2,-2.0,2024-09-21T11:01:54.399Z,2024-09-21T13:16:03Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5226308631,233,7,5226308537,347,,5226308535,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107251,7,5,1,0,10,ajtb177oqwawkdwbqhldmq6mx,1,73.8,102.0,2024-09-21T11:01:54.399Z,2024-09-21T13:16:02Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5226308607,233,5,5226308569,56,Left,5226308571,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107275,8,1,1,0,12,ajtb177oqwawkdwbqhldmq6mx,1,68.6,100.0,2024-09-21T11:01:56.243Z,2024-09-21T11:01:58Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5226308691,141,78.8,5226308679,107,,5226308683,56,Center,5226308699,213,4.78,5226308695,212,15.8,5226308687,140,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107285,9,1,1,0,13,ajtb177oqwawkdwbqhldmq6mx,1,69.6,78.8,2024-09-21T11:01:57.203Z,2024-09-21T11:01:58Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5226308723,212,11.6,5226308721,141,95.7,5226308717,56,Left,5226308725,213,1.45,5226308719,140,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107293,10,1,1,0,14,ajtb177oqwawkdwbqhldmq6mx,0,71.0,95.9,2024-09-21T11:01:58.403Z,2024-09-21T11:02:00Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5226308831,236,,5226308833,233,6,5226308837,286,,5226308767,212,7.6,5226308765,141,95.4,5226308769,213,6.24,5226308763,140,78.2,5226308761,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107301,6,74,1,0,14,a9vw7ikerpr4cuweeeka5aneg,1,21.6,7.1,2024-09-21T11:01:58.404Z,2024-09-21T13:24:05Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5226308791,56,Back,5226308793,285,,5226308855,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107337,7,61,1,0,16,a9vw7ikerpr4cuweeeka5aneg,1,17.4,7.1,2024-09-21T11:01:59.797Z,2024-09-21T11:12:17Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5226308965,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107377,8,1,1,0,17,a9vw7ikerpr4cuweeeka5aneg,1,22.0,6.1,2024-09-21T11:02:00.694Z,2024-09-21T11:06:59Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5226309173,56,Back,5226309177,141,15.0,5226309181,213,2.44,5226309179,212,9.4,5226309175,140,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107393,9,1,1,0,17,a9vw7ikerpr4cuweeeka5aneg,0,15.2,15.0,2024-09-21T11:02:01.267Z,2024-09-21T11:10:55Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5226309255,213,5.32,5226309291,233,11,5226309251,141,7.0,5226309253,212,6.6,5226309295,286,,5226309249,140,18.8,5226309247,56,Back,5226309289,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107325,11,74,1,0,17,ajtb177oqwawkdwbqhldmq6mx,1,77.9,91.4,2024-09-21T11:02:01.268Z,2024-09-21T11:02:06Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5226308919,285,,5226308917,56,Left,5226309305,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107431,10,5,1,0,19,a9vw7ikerpr4cuweeeka5aneg,1,20.5,-1.6,2024-09-21T11:02:03.075Z,2024-09-21T13:16:03Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5226309477,233,12,5226309461,56,Back,5226309463,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107347,12,5,1,0,19,ajtb177oqwawkdwbqhldmq6mx,0,79.5,101.6,2024-09-21T11:02:03.075Z,2024-09-21T13:16:03Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5226309481,233,10,5226309033,347,,5226309031,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107471,11,1,1,0,26,a9vw7ikerpr4cuweeeka5aneg,1,18.1,0.0,2024-09-21T11:02:09.678Z,2024-09-21T11:02:13Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5226309651,212,13.6,5226309653,213,2.50,5226309643,107,,5226309645,56,Back,5226309649,141,10.7,5226309647,140,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107493,12,1,1,0,29,a9vw7ikerpr4cuweeeka5aneg,0,11.8,11.1,2024-09-21T11:02:13.014Z,2024-09-21T11:02:16Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5226309807,213,0.38,5226309797,157,,5226309799,56,Center,5226309809,1,,5226309805,212,55.9,5226309801,140,61.2,5226309803,141,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107537,13,1,1,0,33,ajtb177oqwawkdwbqhldmq6mx,0,29.8,57.8,2024-09-21T11:02:16.682Z,2024-09-21T11:02:19Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5226310053,213,0.57,5226310051,212,19.9,5226310043,3,,5226310047,140,45.8,5226310045,56,Back,5226310049,141,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107559,13,50,1,0,37,a9vw7ikerpr4cuweeeka5aneg,1,48.2,22.1,2024-09-21T11:02:21.150Z,2024-09-21T13:20:21Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5226310235,233,14,5226310133,56,Back,5226310135,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107571,14,7,1,0,37,ajtb177oqwawkdwbqhldmq6mx,1,51.8,77.9,2024-09-21T11:02:21.151Z,2024-09-21T13:20:20Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,,,5226310173,56,Center,5226310227,233,13,5226310175,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107591,16,1,1,0,39,ajtb177oqwawkdwbqhldmq6mx,1,58.2,79.9,2024-09-21T11:02:22.941Z,2024-09-21T11:02:24Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,,,5226310247,140,58.1,5226310249,141,64.8,5226310245,56,Center,5226310251,212,10.3,5226310253,213,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107603,17,1,1,0,40,ajtb177oqwawkdwbqhldmq6mx,0,58.1,64.8,2024-09-21T11:02:24.506Z,2024-09-21T11:02:25Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5226310309,212,15.4,5226310305,140,72.4,5226310307,141,69.6,5226310303,56,Center,5226310311,213,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107631,14,1,1,0,41,a9vw7ikerpr4cuweeeka5aneg,0,32.0,34.3,2024-09-21T11:02:25.133Z,2024-09-21T11:02:28Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5226310423,56,Center,5226310421,157,,5226310431,213,0.04,5226310433,1,,5226310429,212,32.2,5226310425,140,62.6,5226310427,141,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107651,18,44,1,0,43,ajtb177oqwawkdwbqhldmq6mx,1,35.0,64.6,2024-09-21T11:02:27.054Z,2024-09-21T13:20:51Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5226310547,233,15,5226310509,56,Back,5226310511,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107639,15,44,1,0,43,a9vw7ikerpr4cuweeeka5aneg,0,65.0,35.4,2024-09-21T11:02:27.055Z,2024-09-21T11:02:32Z,cqsc3mj8klukkgutdrpegybdg,K. Karikari,,,5226310473,56,Center,5226310477,286,,5226310577,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107693,19,1,1,0,43,ajtb177oqwawkdwbqhldmq6mx,1,31.5,66.1,2024-09-21T11:02:27.387Z,2024-09-21T13:24:55Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5226310723,1,,5226310721,213,4.79,5226310713,56,Back,5226310711,3,,5226310717,141,16.7,5226310719,212,33.7,5226310715,140,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107695,20,1,1,0,47,ajtb177oqwawkdwbqhldmq6mx,0,33.9,16.7,2024-09-21T11:02:31.202Z,2024-09-21T11:02:33Z,15nwvne76hmc6vgtju60bl7md,J. Okore,,,5226310753,212,42.6,5226310751,141,14.3,5226310755,213,6.24,5226310757,1,,5226310749,140,74.4,5226310745,157,,5226310747,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107757,16,4,1,0,53,a9vw7ikerpr4cuweeeka5aneg,1,20.4,94.4,2024-09-21T11:02:37.481Z,2024-09-21T11:02:43Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5226311135,13,,5226311139,56,Back,5226311137,294,,5226311143,285,,5226311141,152,,5226311157,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107753,21,4,1,0,53,ajtb177oqwawkdwbqhldmq6mx,0,79.6,5.6,2024-09-21T11:02:37.482Z,2024-09-21T13:24:48Z,egnjbmbxkceiygmp2jty4b47o,O. Jakobsen,,,5226311055,152,,5226311059,286,,5226311051,13,,5226311053,56,Right,5226311171,233,16,5227085775,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723107987,17,1,1,1,8,a9vw7ikerpr4cuweeeka5aneg,1,11.7,85.9,2024-09-21T11:02:51.702Z,2024-09-21T11:02:56Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5226311891,213,0.71,5226311885,140,19.6,5226311889,212,10.9,5226311887,141,96.3,5226311883,56,Back,5226311881,152,,5226311879,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108019,18,1,1,1,13,a9vw7ikerpr4cuweeeka5aneg,1,24.4,96.3,2024-09-21T11:02:56.710Z,2024-09-21T11:03:00Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5226312063,213,0.02,5226312061,212,31.0,5226312057,140,53.9,5226312055,56,Left,5226312059,141,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108041,19,1,1,1,16,a9vw7ikerpr4cuweeeka5aneg,0,53.9,97.4,2024-09-21T11:02:59.990Z,2024-09-21T11:03:01Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5226312143,213,6.20,5226312141,212,20.2,5226312139,141,94.8,5226312135,56,Left,5226312137,140,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108083,22,61,1,1,18,ajtb177oqwawkdwbqhldmq6mx,1,16.6,6.4,2024-09-21T11:03:02.282Z,2024-09-21T11:04:34Z,15nwvne76hmc6vgtju60bl7md,J. Okore,,,5226312265,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108091,23,43,1,1,20,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-09-21T11:03:04.242Z,2024-09-21T11:04:36Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5226317685,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108121,24,1,1,1,21,ajtb177oqwawkdwbqhldmq6mx,0,27.5,5.6,2024-09-21T11:03:04.658Z,2024-09-21T11:05:12Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5226312461,212,6.6,5226312453,140,21.3,5226312457,141,4.1,5226312449,56,Back,5226312465,213,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108115,20,3,1,1,22,a9vw7ikerpr4cuweeeka5aneg,0,72.6,96.2,2024-09-21T11:03:05.886Z,2024-09-21T11:03:15Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5226312439,56,Left,5226312441,286,,5226312685,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108163,25,7,1,1,22,ajtb177oqwawkdwbqhldmq6mx,1,27.4,3.8,2024-09-21T11:03:05.887Z,2024-09-21T11:03:13Z,15nwvne76hmc6vgtju60bl7md,J. Okore,,,5226312627,56,Back,5226312649,233,20,5226312625,167,,5226312629,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108181,21,5,1,1,23,a9vw7ikerpr4cuweeeka5aneg,1,71.5,101.8,2024-09-21T11:03:07.318Z,2024-09-21T13:16:04Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5226312705,56,Left,5226312939,233,26,5226312707,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108239,26,5,1,1,23,ajtb177oqwawkdwbqhldmq6mx,0,28.5,-1.8,2024-09-21T11:03:07.318Z,2024-09-21T13:16:04Z,15nwvne76hmc6vgtju60bl7md,J. Okore,,,5226312933,347,,5226312931,56,Back,5226312979,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108209,22,1,1,1,26,a9vw7ikerpr4cuweeeka5aneg,1,67.2,100.0,2024-09-21T11:03:10.517Z,2024-09-21T11:03:12Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5226312841,140,71.9,5226312843,141,94.1,5226312839,56,Left,5226312845,212,7.3,5226312837,107,,5226312847,213,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108223,23,3,1,1,28,a9vw7ikerpr4cuweeeka5aneg,0,78.0,94.4,2024-09-21T11:03:12.593Z,2024-09-21T13:20:21Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5226313281,286,,5226312865,56,Left,5226313313,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108243,27,7,1,1,28,ajtb177oqwawkdwbqhldmq6mx,1,22.0,5.6,2024-09-21T11:03:12.594Z,2024-09-21T13:20:21Z,15nwvne76hmc6vgtju60bl7md,J. Okore,,,5226312945,56,Back,5226312947,285,,5226313289,233,23,5226355451,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108259,29,1,1,1,30,ajtb177oqwawkdwbqhldmq6mx,1,22.6,8.3,2024-09-21T11:03:14.322Z,2024-09-21T11:13:33Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5226313007,212,10.4,5226313009,213,1.72,5226313005,141,23.4,5226313003,140,21.1,5226313001,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108267,30,1,1,1,31,ajtb177oqwawkdwbqhldmq6mx,1,21.1,23.4,2024-09-21T11:03:15.419Z,2024-09-21T11:03:16Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5226313051,213,5.23,5226313043,56,Back,5226313047,141,3.8,5226313049,212,15.3,5226313045,140,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108291,31,1,1,1,33,ajtb177oqwawkdwbqhldmq6mx,1,28.3,3.8,2024-09-21T11:03:16.826Z,2024-09-21T11:03:18Z,egnjbmbxkceiygmp2jty4b47o,O. Jakobsen,,,5226313171,141,23.9,5226313173,212,13.7,5226313175,213,1.66,5226313167,56,Back,5226313169,140,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108373,32,1,1,1,34,ajtb177oqwawkdwbqhldmq6mx,1,27.2,23.9,2024-09-21T11:03:18.578Z,2024-09-21T14:14:55Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,1.0,,5226313605,212,43.8,5226313609,1,,5226313607,213,6.27,5226354719,210,13,5226313601,140,68.9,5226313603,141,23.0,5226313597,155,,5226313599,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108379,33,13,1,1,42,ajtb177oqwawkdwbqhldmq6mx,1,90.6,25.8,2024-09-21T11:03:25.714Z,2024-09-21T14:14:55Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5226313627,63,,5226313629,56,Center,5226354765,146,95.5,5227420041,230,95.8,5227420031,233,24,5226354767,147,47.1,5227420035,23,,5226354753,29,,5226354761,103,16.7,5227420039,153,5227420037,73,5226354759,102,74.5,5226354755,55,32,5227420043,231,46.9,5226354315,20,5226354763,215,,,,,,,,,,
2723108375,24,43,1,1,42,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-21T11:03:25.814Z,2024-09-21T14:14:31Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5226313619,56,Back,5227414967,144,10,5226313617,182,0,5226352065,179,0,5226313613,173,0,5226354353,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108453,26,1,1,1,43,a9vw7ikerpr4cuweeeka5aneg,1,3.7,52.2,2024-09-21T11:03:27.318Z,2024-09-21T11:03:33Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5226313909,213,0.38,5226313905,141,64.8,5226313899,123,,5226313907,212,23.3,5226313903,140,24.3,5226313901,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723108509,27,1,1,1,49,a9vw7ikerpr4cuweeeka5aneg,1,36.9,70.9,2024-09-21T11:03:33.126Z,2024-09-21T11:03:38Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5226314151,213,0.98,5226314143,56,Back,5226314145,140,48.3,5226314149,212,21.5,5226314147,141,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
