id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2742191305,5,50,1,0,14,aqtkb4mgrz8c6iqfufj6qjbv9,1,59.2,78.9,2024-11-01T18:00:18.181Z,2024-11-01T19:57:46Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5330707021,233,7,5330706943,56,Left,5330706945,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191311,7,7,1,0,14,8gxd9ry2580pu1b1dd5ny9ymy,0,40.8,21.1,2024-11-01T18:00:18.182Z,2024-11-01T19:57:45Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5330701489,285,,5330701487,56,Back,5330706973,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191337,6,43,1,0,16,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-11-01T18:00:20.549Z,2024-11-01T18:03:24Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5330701587,212,1.5,5330701583,140,59.0,5330701589,213,2.00,5330701581,56,Left,5330701585,141,80.8,5330708479,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191341,8,1,1,0,17,8gxd9ry2580pu1b1dd5ny9ymy,0,41.5,19.5,2024-11-01T18:00:21.231Z,2024-11-01T19:58:08Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,5330701609,141,19.1,5330701611,212,1.6,5330701613,213,6.11,5330701607,140,43.0,5330701605,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191375,7,5,1,0,21,aqtkb4mgrz8c6iqfufj6qjbv9,1,56.4,101.7,2024-11-01T18:00:25.294Z,2024-11-01T19:58:26Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5330701781,56,Left,5330701805,233,9,5330701783,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191367,9,5,1,0,21,8gxd9ry2580pu1b1dd5ny9ymy,0,43.6,-1.7000000000000002,2024-11-01T18:00:25.294Z,2024-11-01T19:58:27Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,5330701809,233,7,5330701743,347,,5330701741,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191415,8,1,1,0,28,aqtkb4mgrz8c6iqfufj6qjbv9,1,59.2,100.0,2024-11-01T18:00:31.982Z,2024-11-01T18:00:35Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,5330702037,212,14.8,5330702033,140,69.7,5330702039,213,5.55,5330702031,56,Left,5330702035,141,87.1,5330702029,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191425,9,1,1,0,31,aqtkb4mgrz8c6iqfufj6qjbv9,1,69.5,87.1,2024-11-01T18:00:35.701Z,2024-11-01T18:00:36Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5330702093,56,Left,5330702097,141,88.0,5330702101,213,3.07,5330702099,212,8.3,5330702095,140,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191435,10,1,1,0,32,aqtkb4mgrz8c6iqfufj6qjbv9,1,61.6,88.0,2024-11-01T18:00:36.302Z,2024-11-01T18:00:37Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,5330702125,212,12.8,5330702121,140,71.5,5330702123,141,77.0,5330702127,213,5.66,5330702119,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191443,11,1,1,0,33,aqtkb4mgrz8c6iqfufj6qjbv9,1,71.5,77.0,2024-11-01T18:00:37.094Z,2024-11-01T18:00:38Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5330702155,140,64.0,5330702159,212,7.9,5330702171,156,,5330702153,56,Center,5330702157,141,76.9,5330702161,213,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191463,10,83,1,0,35,8gxd9ry2580pu1b1dd5ny9ymy,0,38.1,24.4,2024-11-01T18:00:38.848Z,2024-11-01T18:00:41Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5330702363,399,bpldj4qdzfdm1n739atcadbmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191485,12,1,1,0,36,aqtkb4mgrz8c6iqfufj6qjbv9,1,64.0,77.2,2024-11-01T18:00:39.758Z,2024-11-01T18:00:41Z,bpldj4qdzfdm1n739atcadbmc,B. Kücükylidiz,,5330702329,56,Back,5330702333,141,67.0,5330702337,213,3.56,5330702335,212,17.0,5330702331,140,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191525,13,1,1,0,39,aqtkb4mgrz8c6iqfufj6qjbv9,1,52.2,58.7,2024-11-01T18:00:43.574Z,2024-11-01T18:00:47Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5330702549,1,,5330702535,56,Right,5330702539,141,7.6,5330702541,212,46.5,5330702537,140,81.6,5330702533,155,,5330702545,213,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191533,14,61,1,0,43,aqtkb4mgrz8c6iqfufj6qjbv9,0,81.7,7.6,2024-11-01T18:00:46.982Z,2024-11-01T18:00:47Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,5330702579,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191611,11,5,1,0,45,8gxd9ry2580pu1b1dd5ny9ymy,1,-1.2,83.5,2024-11-01T18:00:49.382Z,2024-11-01T19:58:27Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5330702945,56,Back,5330702947,346,,5330702983,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191545,15,5,1,0,45,aqtkb4mgrz8c6iqfufj6qjbv9,0,101.2,16.5,2024-11-01T18:00:49.382Z,2024-11-01T19:58:27Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,5330702631,346,,5330702629,56,Right,5330702989,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191639,12,1,1,0,54,8gxd9ry2580pu1b1dd5ny9ymy,1,3.4,57.8,2024-11-01T18:00:58.448Z,2024-11-01T18:01:00Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5330703073,140,27.5,5330703077,212,28.7,5330703069,124,,5330703079,213,5.79,5330703075,141,38.0,5330703071,56,Back,5330703083,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191667,13,1,1,0,56,8gxd9ry2580pu1b1dd5ny9ymy,1,27.5,38.0,2024-11-01T18:01:00.712Z,2024-11-01T18:01:03Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,5330703201,56,Back,5330703205,141,6.5,5330703209,213,4.97,5330703207,212,22.2,5330703203,140,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191675,14,1,1,0,59,8gxd9ry2580pu1b1dd5ny9ymy,1,33.2,6.7,2024-11-01T18:01:03.184Z,2024-11-01T18:01:04Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5330703243,212,13.7,5330703241,141,26.7,5330703237,56,Back,5330703245,213,1.46,5330703239,140,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191685,15,1,1,1,0,8gxd9ry2580pu1b1dd5ny9ymy,0,34.7,26.7,2024-11-01T18:01:04.160Z,2024-11-01T18:01:05Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,5330703299,212,12.4,5330703301,213,5.52,5330703293,140,43.3,5330703291,56,Back,5330703295,141,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191697,16,1,1,1,2,aqtkb4mgrz8c6iqfufj6qjbv9,1,59.9,88.6,2024-11-01T18:01:06.654Z,2024-11-01T18:01:07Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,5330703383,212,9.0,5330703375,157,,5330703387,1,,5330703385,213,5.81,5330703377,56,Left,5330703381,141,82.6,5330703379,140,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191729,18,1,1,1,3,aqtkb4mgrz8c6iqfufj6qjbv9,1,67.5,82.6,2024-11-01T18:01:07.640Z,2024-11-01T18:01:12Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5330703555,140,68.2,5330703559,212,9.1,5330703561,213,4.79,5330703557,141,69.3,5330703553,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191735,19,50,1,1,7,aqtkb4mgrz8c6iqfufj6qjbv9,1,66.8,63.4,2024-11-01T18:01:11.686Z,2024-11-01T20:17:20Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,5330703583,286,,5330703581,56,Center,5330703613,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191733,16,7,1,1,7,8gxd9ry2580pu1b1dd5ny9ymy,1,33.2,36.6,2024-11-01T18:01:11.687Z,2024-11-01T19:57:46Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5330703577,56,Back,5330703579,285,,5330703597,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191749,18,1,1,1,9,8gxd9ry2580pu1b1dd5ny9ymy,0,32.7,40.4,2024-11-01T18:01:12.767Z,2024-11-01T18:01:15Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5330703657,140,42.1,5330703663,213,5.04,5330703655,56,Back,5330703661,212,30.4,5330703659,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191751,19,5,1,1,11,8gxd9ry2580pu1b1dd5ny9ymy,0,39.6,-1.8,2024-11-01T18:01:15.119Z,2024-11-01T19:58:28Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5330703677,56,Back,5330703679,347,,5330703811,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191761,20,5,1,1,11,aqtkb4mgrz8c6iqfufj6qjbv9,1,60.4,101.8,2024-11-01T18:01:15.119Z,2024-11-01T19:58:28Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,5330703733,56,Left,5330703785,233,19,5330703735,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191815,21,1,1,1,17,aqtkb4mgrz8c6iqfufj6qjbv9,1,56.3,100.0,2024-11-01T18:01:21.326Z,2024-11-01T18:01:25Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,5330704005,56,Left,5330704003,107,,5330704007,140,54.3,5330704013,213,4.57,5330704011,212,14.7,5330704009,141,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191819,22,1,1,1,21,aqtkb4mgrz8c6iqfufj6qjbv9,1,38.5,70.9,2024-11-01T18:01:24.983Z,2024-11-01T20:17:22Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5330704045,141,52.5,5330704041,56,Back,5330704043,140,30.3,5330704047,212,15.2,5330704049,213,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191835,23,1,1,1,21,aqtkb4mgrz8c6iqfufj6qjbv9,1,30.3,52.5,2024-11-01T18:01:25.463Z,2024-11-01T18:01:28Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5330704133,141,31.0,5330704137,213,4.73,5330704135,212,14.6,5330704131,140,30.5,5330704129,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191851,24,1,1,1,25,aqtkb4mgrz8c6iqfufj6qjbv9,1,32.3,15.8,2024-11-01T18:01:29.335Z,2024-11-01T18:01:31Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5330704231,155,,5330704235,140,69.5,5330704243,1,,5330704239,212,39.1,5330704237,141,12.9,5330704241,213,6.23,5330704233,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191865,25,1,1,1,27,aqtkb4mgrz8c6iqfufj6qjbv9,0,80.4,15.5,2024-11-01T18:01:31.408Z,2024-11-01T18:01:32Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,5330704307,212,12.6,5330704303,140,80.4,5330704301,56,Center,5330704305,141,34.0,5330704309,213,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191875,20,61,1,1,29,8gxd9ry2580pu1b1dd5ny9ymy,1,24.1,68.2,2024-11-01T18:01:33.670Z,2024-11-01T18:01:33Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5330704339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191899,21,61,1,1,35,8gxd9ry2580pu1b1dd5ny9ymy,1,27.6,76.6,2024-11-01T18:01:38.864Z,2024-11-01T19:59:01Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5330705963,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191909,22,43,1,1,35,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-11-01T18:01:38.894Z,2024-11-01T18:20:26Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5330704493,213,4.51,5330704479,56,Back,5330755591,144,1,5330704491,212,5.6,5330704487,141,68.5,5330704483,140,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191917,23,1,1,1,36,8gxd9ry2580pu1b1dd5ny9ymy,1,26.5,68.5,2024-11-01T18:01:40.392Z,2024-11-01T18:01:42Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5330704543,212,31.1,5330704545,213,0.57,5330704533,56,Left,5330704537,140,51.5,5330704541,141,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191925,24,1,1,1,38,8gxd9ry2580pu1b1dd5ny9ymy,0,55.0,89.1,2024-11-01T18:01:42.104Z,2024-11-01T18:01:44Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5330704605,1,,5330704601,212,64.4,5330704603,213,4.99,5330704599,141,0.0,5330704591,155,,5330704595,56,Right,5330704597,140,71.9,5330704593,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191927,25,43,1,1,40,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-11-01T18:01:43.918Z,2024-11-01T18:20:56Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5330756691,144,5,5330704609,347,0,5330704607,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742191993,27,1,1,1,47,aqtkb4mgrz8c6iqfufj6qjbv9,1,58.6,90.9,2024-11-01T18:01:51.055Z,2024-11-01T18:01:53Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,5330704951,140,43.3,5330704955,212,16.7,5330704949,56,Back,5330704957,213,3.42,5330704953,141,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742192019,28,1,1,1,51,aqtkb4mgrz8c6iqfufj6qjbv9,1,39.6,79.4,2024-11-01T18:01:54.943Z,2024-11-01T18:01:59Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,5330705091,212,32.5,5330705095,1,,5330705089,141,63.0,5330705093,213,3.49,5330705085,56,Back,5330705087,140,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742192045,29,1,1,1,55,aqtkb4mgrz8c6iqfufj6qjbv9,0,8.3,57.6,2024-11-01T18:01:59.583Z,2024-11-01T18:02:03Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,5330705219,140,64.8,5330705225,213,5.99,5330705215,157,,5330705221,141,30.9,5330705223,212,62.0,5330705217,56,Center,5330705227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742192065,26,44,1,2,0,8gxd9ry2580pu1b1dd5ny9ymy,1,37.2,66.4,2024-11-01T18:02:04.504Z,2024-11-01T18:02:08Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5330705309,285,,5330705341,233,30,5330705307,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742192061,30,44,1,2,0,aqtkb4mgrz8c6iqfufj6qjbv9,0,62.8,33.6,2024-11-01T18:02:04.505Z,2024-11-01T18:02:08Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,5330705289,56,Center,5330705291,286,,5330705353,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742192087,27,1,1,2,1,8gxd9ry2580pu1b1dd5ny9ymy,0,40.2,62.6,2024-11-01T18:02:04.857Z,2024-11-01T18:23:57Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5330705419,213,5.59,5330705413,140,54.9,5330705417,212,20.1,5330705415,141,43.7,5330705409,3,,5330705411,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742202685,189,61,1,2,1,aqtkb4mgrz8c6iqfufj6qjbv9,1,61.5,23.9,2024-11-01T18:02:05.745Z,2024-11-01T18:23:54Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,5330763643,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742203461,238,1,1,2,2,8gxd9ry2580pu1b1dd5ny9ymy,0,39.5,70.3,2024-11-01T18:02:05.989Z,2024-11-01T18:26:03Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5330768779,212,21.1,5330768773,56,Center,5330768781,213,5.42,5330768777,141,46.8,5330768775,140,52.6,5330768771,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
