id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2714945111,14,1,1,1,51,8gxd9ry2580pu1b1dd5ny9ymy,0,17.2,0.0,2024-08-30T17:32:17.041Z,2024-08-30T17:32:20Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5181632467,107,,5181632471,140,36.5,5181632473,141,15.0,5181632475,212,23.2,5181632469,56,Back,5181632479,1,,5181632477,213,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945113,20,8,1,1,54,a9vw7ikerpr4cuweeeka5aneg,1,55.8,91.1,2024-08-30T17:32:19.886Z,2024-08-30T17:32:20Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5181632481,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945131,21,1,1,1,55,a9vw7ikerpr4cuweeeka5aneg,1,63.1,95.9,2024-08-30T17:32:21.286Z,2024-08-30T17:32:23Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5181632589,213,3.23,5181632583,140,55.4,5181632581,56,Left,5181632587,212,8.1,5181632585,141,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945155,22,1,1,1,58,a9vw7ikerpr4cuweeeka5aneg,0,55.7,94.1,2024-08-30T17:32:23.374Z,2024-08-30T17:32:25Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5181632759,212,36.2,5181632753,56,Center,5181632751,157,,5181632757,141,75.6,5181632763,1,,5181632755,140,88.0,5181632761,213,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945163,16,1,1,2,2,8gxd9ry2580pu1b1dd5ny9ymy,1,10.0,31.0,2024-08-30T17:32:27.464Z,2024-08-30T17:32:31Z,d9hh01mit4geyadol3gmzco9,F. Đukić,,,5181632809,213,1.17,5181632799,123,,5181632801,56,Back,5181632803,140,22.5,5181632907,1,,5181632807,212,33.9,5181632827,287,,5181632805,141,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945223,17,1,1,2,5,8gxd9ry2580pu1b1dd5ny9ymy,1,22.5,77.0,2024-08-30T17:32:31.104Z,2024-08-30T17:32:38Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,,5181633227,140,31.3,5181633225,56,Back,5181633229,141,86.6,5181633231,212,11.3,5181633233,213,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945243,18,1,1,2,12,8gxd9ry2580pu1b1dd5ny9ymy,1,25.4,91.4,2024-08-30T17:32:37.841Z,2024-08-30T17:32:40Z,2cup1vjw8n43kbzzxfflnmplg,J. Singh,,,5181633329,56,Back,5181633327,155,,5181633337,213,3.57,5181633333,141,81.2,5181633335,212,16.5,5181633331,140,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945253,19,1,1,2,15,8gxd9ry2580pu1b1dd5ny9ymy,1,11.0,80.3,2024-08-30T17:32:40.609Z,2024-08-30T17:32:41Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5181633399,213,5.77,5181633397,212,8.1,5181633391,56,Back,5181633393,140,17.7,5181633395,141,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945271,20,1,1,2,16,8gxd9ry2580pu1b1dd5ny9ymy,1,17.7,74.5,2024-08-30T17:32:41.544Z,2024-08-30T20:05:31Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5181633491,213,2.01,5181633487,141,85.0,5181633489,212,7.9,5181633483,56,Back,5181633485,140,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945281,21,1,1,2,18,8gxd9ry2580pu1b1dd5ny9ymy,1,14.5,85.0,2024-08-30T17:32:44.304Z,2024-08-30T17:32:46Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5181633527,56,Back,5181633529,140,24.7,5181633533,212,12.7,5181633535,213,5.72,5181633531,141,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714955427,216,1,1,2,19,8gxd9ry2580pu1b1dd5ny9ymy,1,26.4,79.9,2024-08-30T17:32:44.875Z,2024-08-30T17:52:07Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5181690779,140,36.8,5181690777,56,Back,5181690789,213,5.46,5181690785,212,16.1,5181690781,141,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945287,22,4,1,2,20,8gxd9ry2580pu1b1dd5ny9ymy,1,27.6,75.2,2024-08-30T17:32:46.125Z,2024-08-30T17:32:51Z,2cup1vjw8n43kbzzxfflnmplg,J. Singh,,,5181633577,265,,5181633575,152,,5181633583,233,23,5181633579,285,,5181633571,13,,5181633573,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945277,23,4,1,2,20,a9vw7ikerpr4cuweeeka5aneg,0,72.4,24.8,2024-08-30T17:32:46.126Z,2024-08-30T17:32:50Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5181633559,56,Center,5181633565,286,,5181633557,13,,5181633589,233,22,5181633563,265,,5181633561,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945319,23,1,1,2,29,8gxd9ry2580pu1b1dd5ny9ymy,1,24.1,74.2,2024-08-30T17:32:54.625Z,2024-08-30T20:05:35Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5181633761,56,Back,5181633755,5,,5181633763,140,49.1,5181633757,196,,5181633769,213,5.26,5181633765,141,11.1,5181633767,212,50.3,5181633771,1,,5181633759,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945325,24,1,1,2,30,8gxd9ry2580pu1b1dd5ny9ymy,1,49.1,11.1,2024-08-30T17:32:56.032Z,2024-08-30T17:32:57Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5181633789,140,61.9,5181633795,213,6.04,5181633793,212,13.8,5181633787,56,Right,5181633791,141,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945333,25,1,1,2,32,8gxd9ry2580pu1b1dd5ny9ymy,0,61.9,6.2,2024-08-30T17:32:57.505Z,2024-08-30T17:32:58Z,dncrhma6gwcn6pxiu7hfc6qz8,A. Smed,,,5181633819,141,6.2,5181633817,140,65.4,5181633815,56,Right,5181633823,213,0.00,5181633821,212,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945337,24,61,1,2,33,a9vw7ikerpr4cuweeeka5aneg,1,30.0,96.0,2024-08-30T17:32:58.679Z,2024-08-30T17:32:58Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5181633843,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945341,25,5,1,2,34,a9vw7ikerpr4cuweeeka5aneg,0,33.5,101.8,2024-08-30T17:32:59.543Z,2024-08-30T20:00:38Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5181633859,347,,5181633857,56,Back,5181634111,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945373,26,5,1,2,34,8gxd9ry2580pu1b1dd5ny9ymy,1,66.5,-1.8,2024-08-30T17:32:59.543Z,2024-08-30T20:00:38Z,dncrhma6gwcn6pxiu7hfc6qz8,A. Smed,,,5181634107,233,25,5181634075,347,,5181634073,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945403,27,1,1,2,42,8gxd9ry2580pu1b1dd5ny9ymy,1,62.9,0.0,2024-08-30T17:33:07.537Z,2024-08-30T17:33:08Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5181634213,141,10.0,5181634215,212,9.9,5181634207,107,,5181634211,140,68.2,5181634209,56,Right,5181634217,213,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945417,28,1,1,2,43,8gxd9ry2580pu1b1dd5ny9ymy,1,68.2,10.0,2024-08-30T17:33:08.769Z,2024-08-30T17:33:10Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5181634289,140,72.3,5181634295,213,5.52,5181634293,212,5.9,5181634287,56,Right,5181634291,141,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945423,29,1,1,2,45,8gxd9ry2580pu1b1dd5ny9ymy,1,72.3,4.0,2024-08-30T17:33:10.689Z,2024-08-30T20:05:45Z,dncrhma6gwcn6pxiu7hfc6qz8,A. Smed,,,5181634327,141,0.0,5181634325,140,77.1,5181634329,212,6.0,5181634331,213,5.72,5181634323,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945427,30,43,1,2,45,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-30T17:33:11.045Z,2024-08-30T17:33:44Z,dncrhma6gwcn6pxiu7hfc6qz8,A. Smed,,,5181634347,347,0,5181635863,144,5,5181634345,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945439,31,1,1,2,47,8gxd9ry2580pu1b1dd5ny9ymy,0,82.2,3.1,2024-08-30T17:33:12.562Z,2024-08-30T20:05:41Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5181634413,141,36.6,5181634411,140,88.9,5181634409,56,Center,5181634405,2,,5181634417,213,1.27,5181634415,212,23.8,5181634407,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714945457,26,12,1,2,48,a9vw7ikerpr4cuweeeka5aneg,1,9.0,56.0,2024-08-30T17:33:13.935Z,2024-08-30T17:33:15Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5181634507,140,26.3,5181634511,212,18.2,5181634513,213,6.20,5181634509,141,53.7,5181634505,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
