id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/14/value,qualifier/13/value
2802157017,7,1,1,0,10,ajtb177oqwawkdwbqhldmq6mx,0,73.8,29.8,2025-04-17T13:00:25.593Z,2025-04-17T13:20:11Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,5657718659,141,16.1,5657718663,213,4.60,5657718657,140,72.8,5657718655,56,Right,5657718661,212,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802160459,168,1,1,0,11,ajtb177oqwawkdwbqhldmq6mx,1,71.9,12.1,2025-04-17T13:00:26.768Z,2025-04-17T13:19:45Z,e3n8xatusmgu7ttqpfdjanp3p,V. Hammershøy-Mistrati,,5657739221,3,,5657739227,141,21.9,5657739225,140,64.8,5657739223,56,Center,5657739229,212,10.0,5657739231,213,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802160463,169,1,1,0,12,ajtb177oqwawkdwbqhldmq6mx,0,61.0,18.2,2025-04-17T13:00:27.910Z,2025-04-17T13:20:08Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5657739681,141,36.6,5657739685,213,1.84,5657739679,140,57.7,5657739683,212,13.0,5657739677,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157023,5,8,1,0,13,aqtkb4mgrz8c6iqfufj6qjbv9,1,35.0,64.6,2025-04-17T13:00:28.877Z,2025-04-18T12:23:47Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5658877513,383,,5657718685,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802357525,837,1,1,0,14,aqtkb4mgrz8c6iqfufj6qjbv9,1,36.3,65.1,2025-04-17T13:00:29.701Z,2025-04-18T12:25:24Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5658879383,140,30.9,5658879381,56,Back,5658879387,212,8.9,5658879385,141,75.2,5658879389,213,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157027,8,45,1,0,16,ajtb177oqwawkdwbqhldmq6mx,0,65.8,33.7,2025-04-17T13:00:31.349Z,2025-04-18T13:47:48Z,e3n8xatusmgu7ttqpfdjanp3p,V. Hammershøy-Mistrati,,5658879395,285,,5658879393,56,Center,5658987985,233,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802357567,838,3,1,0,16,aqtkb4mgrz8c6iqfufj6qjbv9,1,34.2,66.3,2025-04-17T13:00:31.349Z,2025-04-18T13:47:48Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,5658987979,286,,5658879633,464,,5658879629,56,Back,5658987973,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157031,7,1,1,0,16,aqtkb4mgrz8c6iqfufj6qjbv9,1,39.1,81.4,2025-04-17T13:00:31.516Z,2025-04-17T13:00:34Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,5657718739,213,2.30,5657718733,140,31.4,5657718731,56,Back,5657718737,212,12.1,5657718735,141,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157033,8,1,1,0,19,aqtkb4mgrz8c6iqfufj6qjbv9,1,36.0,93.6,2025-04-17T13:00:34.763Z,2025-04-17T13:00:37Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,5657718753,212,14.6,5657718749,140,25.1,5657718755,213,3.81,5657718751,141,80.2,5657718747,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157035,9,1,1,0,21,aqtkb4mgrz8c6iqfufj6qjbv9,1,25.1,80.2,2025-04-17T13:00:37.075Z,2025-04-17T13:00:41Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5657718769,212,12.1,5657718771,213,4.96,5657718763,56,Back,5657718767,141,62.9,5657718765,140,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157039,10,1,1,0,25,aqtkb4mgrz8c6iqfufj6qjbv9,1,27.9,62.9,2025-04-17T13:00:40.900Z,2025-04-17T13:00:45Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5657718807,212,22.4,5657718801,56,Back,5657718805,141,55.8,5657718803,140,7.1,5657718809,213,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157043,11,1,1,0,30,aqtkb4mgrz8c6iqfufj6qjbv9,1,6.8,49.9,2025-04-17T13:00:45.715Z,2025-04-17T13:00:49Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,5657718829,212,7.7,5657718831,213,1.22,5657718825,140,9.3,5657718827,141,60.6,5657718823,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157047,12,1,1,0,33,aqtkb4mgrz8c6iqfufj6qjbv9,1,21.9,64.6,2025-04-17T13:00:49.019Z,2025-04-17T13:00:53Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5657718867,140,22.3,5657718865,56,Back,5657718873,213,1.55,5657718871,212,18.9,5657718869,141,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157049,13,1,1,0,38,aqtkb4mgrz8c6iqfufj6qjbv9,0,33.3,94.4,2025-04-17T13:00:53.459Z,2025-04-17T13:00:56Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5657718889,212,71.1,5657718885,140,100.0,5657718887,141,94.4,5657718893,1,,5657718883,56,Left,5657718891,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157061,9,5,1,0,40,ajtb177oqwawkdwbqhldmq6mx,1,-1.0,12.4,2025-04-17T13:00:56.241Z,2025-04-17T15:14:50Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5657719115,233,14,5657718965,56,Back,5657718967,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157085,14,5,1,0,40,aqtkb4mgrz8c6iqfufj6qjbv9,0,101.0,87.6,2025-04-17T13:00:56.241Z,2025-04-17T15:14:50Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5657719111,346,,5657719127,233,9,5657719109,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157069,10,1,1,0,57,ajtb177oqwawkdwbqhldmq6mx,1,4.3,39.7,2025-04-17T13:01:13.233Z,2025-04-17T13:21:40Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,5657718991,141,54.3,5657718995,213,1.32,5657718987,56,Back,5657718985,124,,5657718993,212,10.2,5657718999,237,,5657718989,140,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157077,11,1,1,1,3,ajtb177oqwawkdwbqhldmq6mx,1,7.1,57.0,2025-04-17T13:01:18.657Z,2025-04-17T13:01:22Z,9y3vs6l0mjj38z0kw062jlh3p,A. Vaporakis,,5657719043,141,70.2,5657719041,140,48.5,5657719045,212,44.4,5657719047,213,0.20,5657719039,56,Back,5657719037,157,,5657719049,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157079,12,1,1,1,6,ajtb177oqwawkdwbqhldmq6mx,1,46.1,69.7,2025-04-17T13:01:22.241Z,2025-04-17T13:01:26Z,x3ad9hfxts6jpfugy3kvq9d5,C. Björk,,5657719063,155,,5657719065,56,Back,5657719067,140,31.6,5657719069,141,87.4,5657719071,212,19.4,5657719073,213,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157083,13,1,1,1,11,ajtb177oqwawkdwbqhldmq6mx,0,27.0,91.2,2025-04-17T13:01:26.425Z,2025-04-17T13:01:28Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,5657719099,140,66.5,5657719101,141,78.7,5657719107,1,,5657719105,213,6.08,5657719095,157,,5657719103,212,42.3,5657719097,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157091,15,1,1,1,14,aqtkb4mgrz8c6iqfufj6qjbv9,0,37.1,45.7,2025-04-17T13:01:29.916Z,2025-04-17T13:01:32Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5657719135,157,,5657719137,56,Center,5657719139,140,65.2,5657719143,212,32.4,5657719147,1,,5657719145,213,5.86,5657719141,141,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157101,14,1,1,1,17,ajtb177oqwawkdwbqhldmq6mx,1,39.2,65.1,2025-04-17T13:01:33.137Z,2025-04-17T13:24:30Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,5657719189,3,,5657719199,213,0.21,5657719193,140,46.8,5657719195,141,67.6,5657719197,212,8.2,5657719191,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157105,15,44,1,1,18,ajtb177oqwawkdwbqhldmq6mx,1,39.8,74.4,2025-04-17T13:01:34.010Z,2025-04-17T15:14:07Z,dja68kdmhtsm9x5zqzgtpqas4,T. Blidegn,,5657719245,233,16,5657719217,56,Back,5657719219,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157099,16,44,1,1,18,aqtkb4mgrz8c6iqfufj6qjbv9,0,60.2,25.6,2025-04-17T13:01:34.011Z,2025-04-17T15:14:07Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5657719181,286,,5657719179,56,Center,5657719227,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802161605,207,61,1,1,18,ajtb177oqwawkdwbqhldmq6mx,1,45.0,73.0,2025-04-17T13:01:34.160Z,2025-04-17T13:25:30Z,dja68kdmhtsm9x5zqzgtpqas4,T. Blidegn,,5657746293,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802161487,218,61,1,1,20,aqtkb4mgrz8c6iqfufj6qjbv9,1,59.3,20.3,2025-04-17T13:01:35.597Z,2025-04-17T13:25:26Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5657746383,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157117,18,3,1,1,21,aqtkb4mgrz8c6iqfufj6qjbv9,1,68.8,15.2,2025-04-17T13:01:37.284Z,2025-04-18T13:47:48Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,5658882029,465,,5657719271,56,Right,5657719273,286,,5657748089,233,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802161607,208,45,1,1,21,ajtb177oqwawkdwbqhldmq6mx,0,31.2,84.8,2025-04-17T13:01:37.284Z,2025-04-18T13:47:49Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,5657748067,56,Back,5657748093,233,18,5657748069,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157137,19,1,1,1,30,aqtkb4mgrz8c6iqfufj6qjbv9,0,94.3,13.2,2025-04-17T13:01:45.363Z,2025-04-17T13:27:09Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,5657719381,140,92.0,5657719387,213,1.80,5657719385,212,10.5,5657719379,56,Center,5657719383,141,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157147,16,12,1,1,32,ajtb177oqwawkdwbqhldmq6mx,1,9.7,74.2,2025-04-17T13:01:47.881Z,2025-04-17T13:01:51Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,5657719433,56,Back,5657719441,213,6.12,5657719435,140,35.8,5657719437,141,67.5,5657719439,212,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157149,17,61,1,1,35,ajtb177oqwawkdwbqhldmq6mx,0,35.8,67.5,2025-04-17T13:01:51.017Z,2025-04-17T13:01:51Z,x3ad9hfxts6jpfugy3kvq9d5,C. Björk,,5657719443,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157153,20,1,1,1,35,aqtkb4mgrz8c6iqfufj6qjbv9,1,59.3,25.8,2025-04-17T13:01:51.163Z,2025-04-17T13:01:53Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5657719469,213,1.53,5657719463,140,60.3,5657719461,56,Center,5657719465,141,62.7,5657719467,212,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157161,21,1,1,1,38,aqtkb4mgrz8c6iqfufj6qjbv9,1,60.4,62.7,2025-04-17T13:01:53.331Z,2025-04-17T13:01:54Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5657719489,56,Left,5657719493,141,80.5,5657719497,213,0.85,5657719491,140,70.6,5657719495,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157171,22,1,1,1,39,aqtkb4mgrz8c6iqfufj6qjbv9,1,70.6,80.5,2025-04-17T13:01:54.603Z,2025-04-17T13:01:59Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,5657719559,141,88.4,5657719563,213,0.33,5657719557,140,85.4,5657719555,56,Left,5657719561,212,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157181,23,1,1,1,43,aqtkb4mgrz8c6iqfufj6qjbv9,0,86.2,83.6,2025-04-17T13:01:58.868Z,2025-04-18T12:28:24Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5657719623,56,Center,5657719627,141,34.0,5657719625,140,100.0,5657719621,155,,5657719619,2,,5658882813,20,,5657719633,1,,5657719629,212,37.1,5658882811,223,5657719631,213,5.14,,,,,,,,,,,,,,,,,,,,,
2802157251,18,5,1,1,46,ajtb177oqwawkdwbqhldmq6mx,1,-1.1,65.4,2025-04-17T13:02:01.795Z,2025-04-17T15:14:51Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5657720017,56,Back,5657720019,346,,5657720021,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157199,24,5,1,1,46,aqtkb4mgrz8c6iqfufj6qjbv9,0,101.1,34.6,2025-04-17T13:02:01.795Z,2025-04-17T15:14:51Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5657720025,233,18,5657719743,346,,5657719741,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157253,19,1,1,2,16,ajtb177oqwawkdwbqhldmq6mx,1,4.9,39.4,2025-04-17T13:02:31.969Z,2025-04-17T13:28:43Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,5657720039,213,1.81,5657720033,140,3.3,5657720043,237,,5657720037,212,7.1,5657720035,141,49.6,5657720031,56,Back,5657720029,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157261,20,1,1,2,17,ajtb177oqwawkdwbqhldmq6mx,1,3.6,47.9,2025-04-17T13:02:33.105Z,2025-04-17T13:28:52Z,9y3vs6l0mjj38z0kw062jlh3p,A. Vaporakis,,5657720091,212,20.4,5657720085,56,Back,5657720087,140,22.2,5657720093,213,5.99,5657720089,141,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157263,21,1,1,2,18,ajtb177oqwawkdwbqhldmq6mx,0,26.1,49.9,2025-04-17T13:02:33.488Z,2025-04-17T13:31:24Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5657720105,213,3.50,5657720101,141,34.3,5657720103,212,30.0,5657720097,56,Back,5657720121,156,,5657720099,140,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157267,22,6,1,2,21,ajtb177oqwawkdwbqhldmq6mx,0,0.9,24.8,2025-04-17T13:02:37.187Z,2025-04-18T12:28:58Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5657720125,56,Back,5657720127,73,,5657727323,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157277,25,6,1,2,21,aqtkb4mgrz8c6iqfufj6qjbv9,1,99.1,75.2,2025-04-17T13:02:37.187Z,2025-04-17T15:02:07Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5657727319,233,22,5657720195,56,Center,5657720197,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157365,26,1,1,3,7,aqtkb4mgrz8c6iqfufj6qjbv9,0,99.5,99.5,2025-04-17T13:03:23.107Z,2025-04-18T12:29:04Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,5657720687,155,,5657720685,6,,5657720693,140,90.2,5657720683,2,,5657720695,141,59.7,5657720697,212,28.8,5657720691,56,Center,5658883471,20,,5657720689,223,5657720699,213,4.37,,,,,,,,,,,,,,,,,,,,,
2802162795,255,44,1,3,8,ajtb177oqwawkdwbqhldmq6mx,1,4.7,35.0,2025-04-17T13:03:23.408Z,2025-04-17T15:14:07Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5657752945,285,,5657752969,233,113,5657752943,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802159335,113,44,1,3,8,aqtkb4mgrz8c6iqfufj6qjbv9,0,95.3,65.0,2025-04-17T13:03:23.409Z,2025-04-18T12:30:04Z,559w0q3q2smb3aeotyi724s9g,W. Glindtvad,,5657732237,56,Center,5657732239,286,,5657752977,233,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157361,23,12,1,3,8,ajtb177oqwawkdwbqhldmq6mx,1,5.7,40.1,2025-04-17T13:03:23.674Z,2025-04-17T15:05:03Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5657720669,213,0.39,5657720663,140,20.5,5657720667,212,16.8,5657720665,141,49.4,5657720661,56,Back,5657720703,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157373,27,15,1,3,13,aqtkb4mgrz8c6iqfufj6qjbv9,1,76.9,54.4,2025-04-17T13:03:28.923Z,2025-04-18T12:29:42Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,5657755151,102,51.1,5657755155,458,,5657755161,230,98.5,5657755165,233,273,5657755159,147,54.2,5657720723,18,,5657755011,72,,5657755015,82,,5657755163,231,5657755157,146,78.6,51.3,5657755149,78,5657755153,103,19,5657720725,56,Center,5658884091,108,5657755009,25,,,,,,,,
2802163071,273,10,1,3,13,ajtb177oqwawkdwbqhldmq6mx,1,22.1,44.0,2025-04-17T13:03:29.023Z,2025-04-17T13:32:47Z,e3n8xatusmgu7ttqpfdjanp3p,V. Hammershøy-Mistrati,,5657754865,56,Back,5657754863,94,,5657755169,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802157379,24,1,1,3,15,ajtb177oqwawkdwbqhldmq6mx,0,20.0,29.1,2025-04-17T13:03:31.088Z,2025-04-17T13:03:31Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,5657720769,140,37.5,5657720771,141,38.8,5657720775,213,0.34,5657720773,212,19.5,5657720767,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
