id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2743572919,7,13,1,0,21,f1h34qp5zbfl489q8vnkhiq9s,1,78.4,54.4,2024-11-03T13:02:16.759Z,2024-11-03T15:41:50Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5339147301,75,,5339147307,328,,5338059905,102,40.7,5338059911,230,97.6,5338059359,72,,5339052005,458,,5338059909,215,,5338058747,18,,5338058745,22,5338059913,231,49.6,5338059907,103,19.4,5338058749,56,Center,,,,,,,,,,,,,,,,,,,
2743572979,5,5,1,0,22,b2vft81kyjurzbmekvgrqwr64,1,-1.4,57.3,2024-11-03T13:02:17.999Z,2024-11-03T13:02:21Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5338059103,233,8,5338059031,56,Back,5338059033,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572963,8,5,1,0,22,f1h34qp5zbfl489q8vnkhiq9s,0,101.4,42.7,2024-11-03T13:02:17.999Z,2024-11-03T15:33:05Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5338059187,233,5,5338058955,346,,5338058951,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573445,6,1,1,0,24,b2vft81kyjurzbmekvgrqwr64,0,3.3,49.6,2024-11-03T13:02:19.609Z,2024-11-03T13:10:53Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5338061567,140,78.0,5338061573,213,6.13,5338061571,212,79.4,5338061569,141,31.5,5338061563,124,,5338061577,74,,5338061565,56,Center,5338061575,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573497,10,1,1,0,25,f1h34qp5zbfl489q8vnkhiq9s,0,30.1,46.2,2024-11-03T13:02:20.998Z,2024-11-03T13:11:23Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,,5338061853,213,0.36,5338061839,56,Back,5338061841,140,48.5,5338061837,3,,5338061849,212,20.6,5338061845,141,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575823,18,44,1,0,35,b2vft81kyjurzbmekvgrqwr64,1,49.2,46.9,2024-11-03T13:02:30.397Z,2024-11-03T14:03:27Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5338073925,56,Back,5338073927,285,,5338116633,233,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743578715,60,44,1,0,35,f1h34qp5zbfl489q8vnkhiq9s,0,50.8,53.1,2024-11-03T13:02:30.398Z,2024-11-03T15:39:25Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5338090651,286,,5338116665,233,18,5338090649,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573551,7,61,1,0,35,b2vft81kyjurzbmekvgrqwr64,0,64.2,31.9,2024-11-03T13:02:30.855Z,2024-11-03T15:28:38Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5338062107,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573579,12,1,1,0,54,f1h34qp5zbfl489q8vnkhiq9s,1,47.3,58.9,2024-11-03T13:02:49.945Z,2024-11-03T13:02:51Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5338062249,141,72.4,5338062245,56,Back,5338062247,140,31.9,5338062253,213,2.63,5338062251,212,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573619,13,1,1,0,56,f1h34qp5zbfl489q8vnkhiq9s,1,31.9,72.4,2024-11-03T13:02:51.479Z,2024-11-03T13:28:48Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5338062421,212,14.3,5338062423,213,4.23,5338062417,140,25.6,5338062415,56,Back,5338062419,141,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573661,14,1,1,0,57,f1h34qp5zbfl489q8vnkhiq9s,1,25.6,53.8,2024-11-03T13:02:53.070Z,2024-11-03T13:02:54Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5338062605,213,4.90,5338062601,141,29.0,5338062603,212,17.2,5338062599,140,28.7,5338062597,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573723,15,1,1,0,59,f1h34qp5zbfl489q8vnkhiq9s,1,29.1,25.4,2024-11-03T13:02:54.767Z,2024-11-03T13:02:58Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,,5338062875,141,8.8,5338062879,213,5.24,5338062877,212,13.0,5338062873,140,35.3,5338062871,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573769,16,1,1,1,3,f1h34qp5zbfl489q8vnkhiq9s,1,32.8,18.1,2024-11-03T13:02:58.359Z,2024-11-03T13:03:00Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,,5338063131,1,,5338063119,56,Back,5338063125,141,57.2,5338063123,140,12.8,5338063129,213,2.24,5338063127,212,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573819,17,1,1,1,5,f1h34qp5zbfl489q8vnkhiq9s,1,12.7,56.9,2024-11-03T13:03:00.839Z,2024-11-03T13:03:04Z,7fkc01xxyl1trj3uav134ehyi,D. Gadegaard,,,5338063373,56,Back,5338063377,141,74.6,5338063379,212,15.0,5338063375,140,21.2,5338063381,213,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573835,18,1,1,1,8,f1h34qp5zbfl489q8vnkhiq9s,1,22.6,71.5,2024-11-03T13:03:03.854Z,2024-11-03T13:03:05Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5338063507,212,19.4,5338063509,213,0.86,5338063501,56,Back,5338063503,140,34.7,5338063505,141,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573883,19,43,1,1,9,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-11-03T13:03:05.254Z,2024-11-03T13:03:55Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5338063779,56,Back,5338063781,140,39.7,5338063789,212,7.6,5338068571,144,1,5338063785,141,85.0,5338063793,213,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573943,20,1,1,1,12,f1h34qp5zbfl489q8vnkhiq9s,0,33.9,91.2,2024-11-03T13:03:08.149Z,2024-11-03T13:19:27Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5338174681,236,,5338174189,213,5.69,5338174683,233,8,5338174187,212,6.5,5338174183,140,39.0,5338064099,56,Back,5338174185,141,85.9,5338174691,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573905,8,74,1,1,12,b2vft81kyjurzbmekvgrqwr64,1,65.3,20.8,2024-11-03T13:03:08.150Z,2024-11-03T13:28:45Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5338174719,233,20,5338063889,56,Right,5338064241,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573957,21,3,1,1,15,f1h34qp5zbfl489q8vnkhiq9s,0,42.1,76.2,2024-11-03T13:03:11.063Z,2024-11-03T15:06:38Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5338064153,56,Back,5338064155,286,,5338904527,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743573977,9,7,1,1,15,b2vft81kyjurzbmekvgrqwr64,1,57.9,23.8,2024-11-03T13:03:11.064Z,2024-11-03T15:06:38Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,,5338064275,285,,5338064269,56,Center,5338064343,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743574081,11,1,1,1,17,b2vft81kyjurzbmekvgrqwr64,1,46.0,26.1,2024-11-03T13:03:12.882Z,2024-11-03T13:03:18Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5338064807,212,19.2,5338064803,140,33.0,5338064801,56,Back,5338064805,141,46.0,5338064811,213,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743574089,12,1,1,1,18,b2vft81kyjurzbmekvgrqwr64,0,33.0,46.0,2024-11-03T13:03:13.983Z,2024-11-03T13:29:04Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5338064863,140,91.4,5338064861,56,Right,5338064869,213,5.88,5338064871,1,,5338064867,212,66.7,5338064865,141,7.3,5338064859,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743574197,23,1,1,1,24,f1h34qp5zbfl489q8vnkhiq9s,1,21.7,88.5,2024-11-03T13:03:19.778Z,2024-11-03T13:03:24Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5338065471,140,6.5,5338065467,56,Back,5338065473,141,63.2,5338065475,212,23.5,5338065481,213,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743574231,24,1,1,1,28,f1h34qp5zbfl489q8vnkhiq9s,0,6.4,74.5,2024-11-03T13:03:23.886Z,2024-11-03T13:03:25Z,7fkc01xxyl1trj3uav134ehyi,D. Gadegaard,,,5338065635,212,42.2,5338065629,56,Back,5338065627,157,,5338065631,140,45.8,5338065633,141,86.4,5338065637,213,0.19,5338065639,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743574279,13,1,1,1,30,b2vft81kyjurzbmekvgrqwr64,0,54.6,21.9,2024-11-03T13:03:25.720Z,2024-11-03T13:03:27Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5338065903,213,0.54,5338065871,3,,5338065901,212,21.6,5338065873,56,Center,5338065897,140,72.3,5338065899,141,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743574313,25,1,1,1,32,f1h34qp5zbfl489q8vnkhiq9s,1,33.0,67.0,2024-11-03T13:03:27.814Z,2024-11-03T13:03:29Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5338066085,212,14.3,5338066079,56,Back,5338066087,213,5.47,5338066083,141,51.7,5338066081,140,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743574533,26,1,1,1,33,f1h34qp5zbfl489q8vnkhiq9s,1,42.3,51.7,2024-11-03T13:03:29.078Z,2024-11-03T13:03:43Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5338067321,1,,5338067317,212,32.1,5338067315,141,73.4,5338067319,213,0.48,5338067311,56,Center,5338067313,140,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743574569,27,1,1,1,47,f1h34qp5zbfl489q8vnkhiq9s,0,88.7,75.7,2024-11-03T13:03:42.847Z,2024-11-03T13:03:45Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5338067545,286,,5338067539,236,,5338067493,56,Center,5338067497,141,73.3,5338067499,212,2.3,5338067501,213,5.48,5338067541,233,14,5338067489,2,,5338067495,140,,,,,,,,,,90.2,,,,,,,,,,,,,,,,,,
2743574545,14,12,1,1,47,b2vft81kyjurzbmekvgrqwr64,1,11.9,32.4,2024-11-03T13:03:42.947Z,2024-11-03T13:03:45Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5338067379,185,,5338067611,233,27,5338067381,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743574563,15,6,1,1,48,b2vft81kyjurzbmekvgrqwr64,0,11.0,30.2,2024-11-03T13:03:43.664Z,2024-11-03T13:03:50Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5338067591,56,Back,5338067593,73,,5338067817,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743574601,28,6,1,1,48,f1h34qp5zbfl489q8vnkhiq9s,1,89.0,69.8,2024-11-03T13:03:43.664Z,2024-11-03T15:32:56Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5338067801,233,15,5338067761,56,Center,5338067763,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575031,29,1,1,2,10,f1h34qp5zbfl489q8vnkhiq9s,1,99.5,99.5,2024-11-03T13:04:05.638Z,2024-11-03T13:04:13Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5338069963,212,25.1,5338069961,141,86.2,5338069955,56,Left,5338069965,213,3.51,5338069951,6,,5338069959,140,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575051,30,1,1,2,12,f1h34qp5zbfl489q8vnkhiq9s,1,76.3,85.9,2024-11-03T13:04:08.254Z,2024-11-03T15:40:12Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5338070065,141,92.1,5338070057,56,Left,5338070069,213,0.42,5338070067,212,10.3,5338070061,140,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575125,31,1,1,2,16,f1h34qp5zbfl489q8vnkhiq9s,0,85.2,92.1,2024-11-03T13:04:11.287Z,2024-11-03T13:04:13Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5338070423,140,92.4,5338070421,56,Center,5338070429,213,5.03,5338070427,212,24.5,5338070411,2,,5338070425,141,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575203,16,12,1,2,17,b2vft81kyjurzbmekvgrqwr64,1,12.8,42.7,2024-11-03T13:04:12.976Z,2024-11-03T13:04:16Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5338070983,167,,5338070845,213,5.82,5338070841,141,0.0,5338070837,56,Right,5338070843,212,67.5,5338070839,140,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575219,17,5,1,2,19,b2vft81kyjurzbmekvgrqwr64,0,66.8,-1.3,2024-11-03T13:04:15.224Z,2024-11-03T15:33:06Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5338070907,56,Right,5338070909,347,,5338071585,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575329,32,5,1,2,19,f1h34qp5zbfl489q8vnkhiq9s,1,33.2,101.3,2024-11-03T13:04:15.224Z,2024-11-03T15:33:06Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5338071483,347,,5338071481,56,Back,5338071549,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575429,33,1,1,2,25,f1h34qp5zbfl489q8vnkhiq9s,1,39.1,100.0,2024-11-03T13:04:20.470Z,2024-11-03T13:04:24Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5338071995,141,84.1,5338071989,107,,5338072001,1,,5338071997,212,27.3,5338071999,213,3.57,5338071991,56,Back,5338071993,140,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575555,34,1,1,2,29,f1h34qp5zbfl489q8vnkhiq9s,1,15.6,82.2,2024-11-03T13:04:24.742Z,2024-11-03T13:04:29Z,7fkc01xxyl1trj3uav134ehyi,D. Gadegaard,,,5338072581,213,0.45,5338072577,212,14.5,5338072571,140,28.0,5338072573,141,91.5,5338072567,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575715,35,1,1,2,33,f1h34qp5zbfl489q8vnkhiq9s,1,38.7,78.6,2024-11-03T13:04:29.134Z,2024-11-03T13:04:36Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5338073409,141,58.6,5338073407,140,30.2,5338073405,56,Back,5338073413,213,4.13,5338073411,212,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575799,36,1,1,2,40,f1h34qp5zbfl489q8vnkhiq9s,1,37.7,39.5,2024-11-03T13:04:36.126Z,2024-11-03T13:04:40Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5338073797,212,18.9,5338073795,141,66.8,5338073799,213,1.77,5338073791,56,Back,5338073793,140,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575849,37,1,1,2,44,f1h34qp5zbfl489q8vnkhiq9s,1,36.0,63.2,2024-11-03T13:04:40.054Z,2024-11-03T13:04:43Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5338074063,213,4.52,5338074053,56,Back,5338074059,212,11.0,5338074055,140,34.0,5338074057,141,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575895,38,1,1,2,47,f1h34qp5zbfl489q8vnkhiq9s,1,34.0,45.5,2024-11-03T13:04:43.174Z,2024-11-03T13:04:45Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5338074285,141,41.3,5338074287,212,26.8,5338074289,213,6.18,5338074281,56,Center,5338074283,140,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575937,39,1,1,2,50,f1h34qp5zbfl489q8vnkhiq9s,1,59.4,41.3,2024-11-03T13:04:45.750Z,2024-11-03T13:04:47Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5338074521,213,1.06,5338074513,141,61.0,5338074505,56,Center,5338074509,140,66.5,5338074517,212,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575947,40,1,1,2,52,f1h34qp5zbfl489q8vnkhiq9s,0,66.4,61.0,2024-11-03T13:04:47.710Z,2024-11-03T13:04:48Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5338074595,141,76.0,5338074599,213,0.91,5338074597,212,12.9,5338074593,140,73.9,5338074591,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743575965,19,8,1,2,53,b2vft81kyjurzbmekvgrqwr64,1,34.5,37.0,2024-11-03T13:04:49.191Z,2024-11-03T13:04:49Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5338074703,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
