id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2702471923,3,5,1,0,20,aqtkb4mgrz8c6iqfufj6qjbv9,1,47.2,101.1,2024-07-21T14:03:17.474Z,2024-07-21T14:03:31Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5112653391,347,,5112653389,56,Back,5112653401,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471837,9,5,1,0,20,b2vft81kyjurzbmekvgrqwr64,0,52.8,-1.1,2024-07-21T14:03:17.474Z,2024-07-21T14:07:08Z,dxv40hh07gxq4hn0i6dwb2l4a,A. Søndergaard,,,5112652923,56,Right,5112653417,233,3,5112652925,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471939,4,1,1,0,34,aqtkb4mgrz8c6iqfufj6qjbv9,1,50.2,100.0,2024-07-21T14:03:30.611Z,2024-07-21T14:03:34Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5112653489,212,24.9,5112653485,140,73.5,5112653491,213,6.09,5112653493,1,,5112653487,141,95.0,5112653481,107,,5112653483,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471955,5,1,1,0,37,aqtkb4mgrz8c6iqfufj6qjbv9,1,73.5,95.0,2024-07-21T14:03:33.985Z,2024-07-21T14:53:59Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5112653589,140,78.4,5112653593,212,7.0,5112653591,141,88.1,5112653585,168,,5112653583,3,,5112653595,213,5.54,5112653587,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471959,6,3,1,0,38,aqtkb4mgrz8c6iqfufj6qjbv9,0,76.8,80.2,2024-07-21T14:03:34.819Z,2024-07-23T12:39:00Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5112654849,233,10,5112653605,56,Left,5112653609,286,,5115318853,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471963,10,7,1,0,38,b2vft81kyjurzbmekvgrqwr64,1,23.2,19.8,2024-07-21T14:03:34.820Z,2024-07-23T12:39:05Z,lu9bber07etravimh00k745x,J. Bøge,,,5112653623,56,Back,5112653661,233,6,5115318865,385,,5112653625,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702492057,507,61,1,0,39,aqtkb4mgrz8c6iqfufj6qjbv9,0,71.2,72.6,2024-07-21T14:03:35.609Z,2024-07-21T14:54:12Z,8gqvlydur0v4cpmz1ozqkejh0,M. Bruhn,,,5112771115,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471973,12,1,1,0,39,b2vft81kyjurzbmekvgrqwr64,1,29.0,42.3,2024-07-21T14:03:36.580Z,2024-07-21T14:03:38Z,1xcf8y3egy8j0g2c6xkcx6o6h,F. Mortensen,,,5112653687,56,Back,5112653695,213,5.96,5112653691,141,40.2,5112653693,212,4.5,5112653689,140,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472017,13,1,1,0,41,b2vft81kyjurzbmekvgrqwr64,1,33.9,26.0,2024-07-21T14:03:38.180Z,2024-07-23T12:41:39Z,1f510mbuc4i1mmshqlgim5u6s,O. Overgaard,,,5112653975,213,5.68,5112653967,56,Back,5112653973,212,17.9,5112653971,141,11.1,5112653969,140,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472019,14,4,1,0,46,b2vft81kyjurzbmekvgrqwr64,1,54.2,16.6,2024-07-21T14:03:42.788Z,2024-07-21T14:03:46Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5112654015,286,,5112654007,13,,5112654011,152,,5112654127,233,7,5112654009,56,Right,5112654013,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472039,7,4,1,0,46,aqtkb4mgrz8c6iqfufj6qjbv9,0,45.8,83.4,2024-07-21T14:03:42.789Z,2024-07-21T14:03:47Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5112654113,13,,5112654117,152,,5112654161,233,14,5112654115,56,Back,5112654119,265,,5112654121,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472129,15,1,1,0,58,b2vft81kyjurzbmekvgrqwr64,1,55.1,5.2,2024-07-21T14:03:54.963Z,2024-07-23T12:44:21Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5112654549,141,10.9,5112654551,212,11.7,5112654553,213,2.80,5112654545,56,Back,5112654547,140,44.6,5112654541,5,,5112654543,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472165,16,1,1,1,0,b2vft81kyjurzbmekvgrqwr64,1,41.1,28.3,2024-07-21T14:03:57.556Z,2024-07-21T14:04:03Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5112654775,212,14.9,5112654771,140,30.3,5112654777,213,2.43,5112654773,141,42.6,5112654769,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472189,17,1,1,1,6,b2vft81kyjurzbmekvgrqwr64,1,26.2,42.3,2024-07-21T14:04:03.556Z,2024-07-21T14:04:10Z,lu9bber07etravimh00k745x,J. Bøge,,,5112654937,56,Back,5112654945,213,2.66,5112654941,141,53.7,5112654943,212,16.6,5112654939,140,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472207,18,1,1,1,14,b2vft81kyjurzbmekvgrqwr64,0,16.3,56.3,2024-07-21T14:04:10.644Z,2024-07-21T14:04:13Z,dxv40hh07gxq4hn0i6dwb2l4a,A. Søndergaard,,,5112655045,1,,5112655037,140,68.3,5112655033,157,,5112655041,212,55.7,5112655039,141,72.2,5112655035,56,Center,5112655043,213,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472215,8,1,1,1,17,aqtkb4mgrz8c6iqfufj6qjbv9,1,22.1,30.3,2024-07-21T14:04:14.150Z,2024-07-21T14:04:17Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,,5112655109,213,6.23,5112655103,140,41.4,5112655107,212,20.3,5112655101,56,Back,5112655099,3,,5112655105,141,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472217,9,1,1,1,20,aqtkb4mgrz8c6iqfufj6qjbv9,1,41.6,24.6,2024-07-21T14:04:16.884Z,2024-07-21T14:54:28Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5112655123,212,20.0,5112655119,141,5.0,5112655125,213,3.87,5112655113,56,Back,5112655117,140,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472231,11,1,1,1,22,aqtkb4mgrz8c6iqfufj6qjbv9,0,29.3,5.0,2024-07-21T14:04:19.040Z,2024-07-21T14:04:20Z,9lsylzgf7e3i5zb0fshnxo6xg,S. Sharif,,,5112655243,213,0.44,5112655241,212,47.8,5112655235,56,Center,5112655239,141,35.1,5112655233,155,,5112655245,1,,5112655237,140,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472245,19,1,1,1,24,b2vft81kyjurzbmekvgrqwr64,1,34.5,66.4,2024-07-21T14:04:20.900Z,2024-07-21T14:04:23Z,lu9bber07etravimh00k745x,J. Bøge,,,5112655301,3,,5112655307,141,87.1,5112655303,56,Back,5112655305,140,35.2,5112655311,213,1.52,5112655309,212,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472267,21,1,1,1,26,b2vft81kyjurzbmekvgrqwr64,1,35.1,88.6,2024-07-21T14:04:23.060Z,2024-07-21T14:04:25Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5112655409,56,Back,5112655415,212,7.7,5112655413,141,77.6,5112655411,140,36.8,5112655417,213,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472281,22,1,1,1,29,b2vft81kyjurzbmekvgrqwr64,1,37.3,79.0,2024-07-21T14:04:25.811Z,2024-07-21T14:04:27Z,1xcf8y3egy8j0g2c6xkcx6o6h,F. Mortensen,,,5112655471,56,Back,5112655477,212,12.6,5112655473,140,25.9,5112655479,213,3.46,5112655475,141,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472293,23,1,1,1,31,b2vft81kyjurzbmekvgrqwr64,1,25.9,73.1,2024-07-21T14:04:27.811Z,2024-07-21T14:04:30Z,lu9bber07etravimh00k745x,J. Bøge,,,5112655559,213,1.65,5112655555,141,86.3,5112655557,212,9.0,5112655551,56,Back,5112655553,140,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472313,24,1,1,1,33,b2vft81kyjurzbmekvgrqwr64,1,30.0,84.6,2024-07-21T14:04:30.228Z,2024-07-21T14:04:34Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5112655691,56,Back,5112655697,212,7.8,5112655693,140,31.5,5112655699,213,1.37,5112655695,141,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472321,25,1,1,1,38,b2vft81kyjurzbmekvgrqwr64,0,46.8,91.6,2024-07-21T14:04:34.771Z,2024-07-21T14:04:35Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5112655737,56,Center,5112655743,212,17.2,5112655739,140,53.1,5112655741,141,68.3,5112655747,213,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472345,12,1,1,1,40,aqtkb4mgrz8c6iqfufj6qjbv9,1,49.3,33.9,2024-07-21T14:04:36.802Z,2024-07-21T14:54:43Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5112655841,213,4.86,5112655839,212,10.4,5112655835,140,50.8,5112655833,56,Right,5112655837,141,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472379,14,61,1,1,42,aqtkb4mgrz8c6iqfufj6qjbv9,1,47.1,21.9,2024-07-21T14:04:39.130Z,2024-07-21T14:54:52Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5112656001,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472385,15,1,1,1,44,aqtkb4mgrz8c6iqfufj6qjbv9,0,45.3,22.1,2024-07-21T14:04:40.931Z,2024-07-21T14:04:42Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5112656039,213,5.01,5112656035,141,20.1,5112656065,286,,5112656031,56,Back,5112656061,233,26,5112656037,212,1.4,5112656059,236,,5112656033,140,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472373,26,74,1,1,44,b2vft81kyjurzbmekvgrqwr64,1,54.7,72.3,2024-07-21T14:04:40.932Z,2024-07-21T14:04:42Z,1xcf8y3egy8j0g2c6xkcx6o6h,F. Mortensen,,,5112655961,56,Center,5112656091,233,15,5112655963,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472401,28,1,1,1,45,b2vft81kyjurzbmekvgrqwr64,1,58.7,76.7,2024-07-21T14:04:42.516Z,2024-07-21T14:04:44Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,,5112656151,56,Left,5112656157,212,6.7,5112656153,140,52.7,5112656159,213,2.79,5112656155,141,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472419,29,1,1,1,48,b2vft81kyjurzbmekvgrqwr64,1,54.7,80.1,2024-07-21T14:04:44.772Z,2024-07-21T14:04:48Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5112656273,140,59.2,5112656271,56,Center,5112656277,212,6.8,5112656279,213,5.48,5112656275,141,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472421,30,1,1,1,50,b2vft81kyjurzbmekvgrqwr64,0,59.2,72.9,2024-07-21T14:04:47.483Z,2024-07-23T12:47:47Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5112656283,56,Center,5112656287,141,72.0,5112656291,213,6.21,5112656289,212,8.1,5112656285,140,66.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472433,16,1,1,1,51,aqtkb4mgrz8c6iqfufj6qjbv9,1,22.1,22.1,2024-07-21T14:04:48.519Z,2024-07-21T14:04:51Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,,5112656357,56,Center,5112656355,157,,5112656365,213,0.16,5112656363,212,37.1,5112656359,140,57.0,5112656361,141,30.9,5112656367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472437,17,1,1,1,54,aqtkb4mgrz8c6iqfufj6qjbv9,0,57.0,31.0,2024-07-21T14:04:50.971Z,2024-07-21T14:55:15Z,8gqvlydur0v4cpmz1ozqkejh0,M. Bruhn,,,5112656389,56,Back,5112772619,156,,5112656393,141,10.4,5112656397,213,4.01,5112656391,140,45.6,5112656395,212,18.4,5112656387,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472463,31,43,1,1,57,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-07-21T14:04:54.380Z,2024-07-21T14:57:26Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5112775847,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472469,32,1,1,1,57,b2vft81kyjurzbmekvgrqwr64,1,54.7,85.6,2024-07-21T14:04:54.443Z,2024-07-21T14:05:02Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5112656569,212,10.4,5112656565,140,45.0,5112656571,213,3.35,5112656567,141,82.5,5112656563,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472475,33,1,1,1,58,b2vft81kyjurzbmekvgrqwr64,1,45.0,82.5,2024-07-21T14:04:55.003Z,2024-07-21T14:04:59Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5112656587,56,Back,5112656595,213,5.49,5112656593,212,5.4,5112656591,141,76.9,5112656589,140,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472479,34,61,1,1,59,b2vft81kyjurzbmekvgrqwr64,0,48.6,76.9,2024-07-21T14:04:55.844Z,2024-07-21T14:05:06Z,1xcf8y3egy8j0g2c6xkcx6o6h,F. Mortensen,,,5112656601,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472485,18,1,1,2,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,56.3,23.9,2024-07-21T14:04:56.783Z,2024-07-21T14:04:59Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,,5112656647,140,65.9,5112656645,56,Center,5112656653,213,0.09,5112656651,212,10.1,5112656649,141,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472495,20,1,1,2,2,aqtkb4mgrz8c6iqfufj6qjbv9,1,66.0,25.2,2024-07-21T14:04:59.110Z,2024-07-21T14:05:01Z,8gqvlydur0v4cpmz1ozqkejh0,M. Bruhn,,,5112656685,140,58.4,5112656691,213,3.01,5112656689,212,8.0,5112656683,56,Center,5112656687,141,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472521,21,1,1,2,9,aqtkb4mgrz8c6iqfufj6qjbv9,1,63.1,34.2,2024-07-21T14:05:05.655Z,2024-07-23T12:50:42Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,,5112656865,212,6.8,5112656859,56,Center,5112656867,213,3.02,5112656861,140,56.7,5112656863,141,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472527,22,1,1,2,11,aqtkb4mgrz8c6iqfufj6qjbv9,1,49.8,42.8,2024-07-21T14:05:08.311Z,2024-07-21T14:05:10Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5112656899,140,42.5,5112656905,213,1.88,5112656897,56,Back,5112656901,141,78.2,5112656903,212,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472537,23,1,1,2,13,aqtkb4mgrz8c6iqfufj6qjbv9,1,42.5,76.9,2024-07-21T14:05:10.201Z,2024-07-21T14:55:47Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5112656951,212,10.4,5112656953,213,4.85,5112656949,141,61.7,5112656947,140,43.9,5112656945,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472565,24,1,1,2,15,aqtkb4mgrz8c6iqfufj6qjbv9,1,44.3,60.5,2024-07-21T14:05:12.341Z,2024-07-21T14:05:17Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5112657081,56,Back,5112657087,141,13.5,5112657089,212,32.0,5112657091,213,4.67,5112657085,140,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702472607,25,1,1,2,20,aqtkb4mgrz8c6iqfufj6qjbv9,1,44.1,7.6,2024-07-21T14:05:16.996Z,2024-07-21T14:05:23Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,,5112657325,56,Back,5112657327,140,49.6,5112657329,141,5.6,5112657333,213,6.05,5112657331,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
