id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2711517935,8,1,1,0,24,6wwwud48qahpwrfxs20334qk5,1,42.6,83.5,2024-08-21T16:32:00.785Z,2024-08-21T16:32:05Z,6wfu6s6xo5zjeke21fgbouql0,J. Jessen,,,5162759385,212,12.5,5162759381,140,51.4,5162759383,141,71.1,5162759379,56,Center,5162759387,213,5.54,5162759377,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517939,10,1,1,0,29,6wwwud48qahpwrfxs20334qk5,1,53.2,66.7,2024-08-21T16:32:05.641Z,2024-08-21T16:35:56Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5162759399,213,5.90,5162759397,212,14.7,5162759395,141,58.7,5162759391,56,Center,5162759393,140,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517941,11,1,1,0,30,6wwwud48qahpwrfxs20334qk5,1,69.7,68.7,2024-08-21T16:32:06.365Z,2024-08-21T16:36:50Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5162762553,56,Center,5162762561,213,0.14,5162762555,140,82.1,5162762557,141,71.4,5162762559,212,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517949,12,1,1,0,31,6wwwud48qahpwrfxs20334qk5,0,96.4,73.0,2024-08-21T16:32:07.841Z,2024-08-21T17:28:23Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5162759433,141,57.5,5162794933,195,,5162759437,213,4.47,5162759429,56,Center,5162759431,140,93.9,5162759435,212,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517951,11,3,1,0,32,dbl7ir1qugqz8nvp1vzn8im50,0,13.0,41.9,2024-08-21T16:32:08.313Z,2024-08-21T17:31:37Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5162764579,285,,5162764577,56,Back,5162764635,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518001,14,7,1,0,32,6wwwud48qahpwrfxs20334qk5,1,87.0,58.1,2024-08-21T16:32:08.314Z,2024-08-21T17:28:39Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5162764299,56,Center,5162764301,286,,5162764631,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517957,13,12,1,0,33,dbl7ir1qugqz8nvp1vzn8im50,1,12.2,39.7,2024-08-21T16:32:09.079Z,2024-08-21T17:32:21Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5162764987,212,2.5,5162764981,56,Back,5162764985,141,37.6,5162765135,233,16,5162764989,213,5.66,5162765133,397,,5162764983,140,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518005,16,74,1,0,33,6wwwud48qahpwrfxs20334qk5,1,89.9,60.5,2024-08-21T16:32:09.080Z,2024-08-21T17:28:38Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5162764429,397,,5162764427,285,,5162764425,56,Center,5162765139,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517953,13,15,1,0,35,6wwwud48qahpwrfxs20334qk5,1,95.1,56.7,2024-08-21T16:32:11.706Z,2024-08-21T19:28:21Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5162759441,22,,5162759651,146,99.0,5162759445,56,Center,5162759645,102,53.6,5162794503,458,,5162759649,214,,5162765483,72,,5162759653,147,51.6,5162759851,233,14,5162759627,76,5162759529,61,5162759647,103,4.4,,,,,,,,,,,,,,,,,,,,,,
2711517961,14,10,1,0,35,dbl7ir1qugqz8nvp1vzn8im50,1,4.6,43.6,2024-08-21T16:32:11.806Z,2024-08-21T16:32:53Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5162759471,178,,5162759475,56,Back,5162759855,233,13,5162759473,182,,5162759469,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518023,17,61,1,0,36,dbl7ir1qugqz8nvp1vzn8im50,1,4.3,37.8,2024-08-21T16:32:12.449Z,2024-08-21T17:32:35Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5162765641,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711517971,16,1,1,0,41,dbl7ir1qugqz8nvp1vzn8im50,1,4.6,43.6,2024-08-21T16:32:17.168Z,2024-08-21T16:32:41Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5162759515,141,88.7,5162759519,213,1.01,5162759509,56,Back,5162759769,1,,5162759505,123,,5162759513,140,22.8,5162759517,212,36.1,5162759523,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711519165,122,3,1,1,0,dbl7ir1qugqz8nvp1vzn8im50,0,54.7,96.5,2024-08-21T16:32:36.348Z,2024-08-21T16:46:33Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5162767515,211,,5162767517,286,,5162767967,189,,5162767513,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518019,18,5,1,1,0,6wwwud48qahpwrfxs20334qk5,1,27.3,-1.6,2024-08-21T16:32:36.757Z,2024-08-21T17:26:20Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5162759763,347,,5162767625,233,123,5162768013,189,,5162759761,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711519207,123,5,1,1,0,dbl7ir1qugqz8nvp1vzn8im50,0,72.7,101.6,2024-08-21T16:32:36.757Z,2024-08-21T17:26:21Z,,,,,5162767629,233,18,5162767969,189,,5162767601,347,,5162767599,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518017,17,43,1,1,2,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-21T16:32:38.937Z,2024-08-21T16:44:41Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5162759755,213,0.00,5162759751,141,0.0,5162759747,56,Back,5162759753,212,0,5162767551,144,1,5162759743,3,0,5162759745,168,0,5162759749,140,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518025,19,1,1,1,3,6wwwud48qahpwrfxs20334qk5,1,22.9,0.0,2024-08-21T16:32:39.961Z,2024-08-21T16:44:58Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5162759787,212,7.6,5162759779,107,,5162767679,189,,5162759783,140,18.3,5162759785,141,7.6,5162759781,56,Back,5162759789,213,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518027,20,1,1,1,6,6wwwud48qahpwrfxs20334qk5,1,18.9,11.1,2024-08-21T16:32:42.425Z,2024-08-21T16:32:43Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5162759807,1,,5162759797,56,Back,5162759805,213,1.50,5162759801,141,65.4,5162759799,140,21.5,5162759803,212,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518029,21,1,1,1,7,6wwwud48qahpwrfxs20334qk5,1,21.6,66.0,2024-08-21T16:32:43.448Z,2024-08-21T16:32:45Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5162759821,213,1.25,5162759813,56,Back,5162759817,141,89.9,5162759819,212,17.1,5162759815,140,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518031,22,1,1,1,9,6wwwud48qahpwrfxs20334qk5,1,27.9,92.9,2024-08-21T16:32:45.321Z,2024-08-21T16:32:47Z,6wfu6s6xo5zjeke21fgbouql0,J. Jessen,,,5162759827,140,23.0,5162759831,212,8.2,5162759833,213,4.03,5162759829,141,83.5,5162759825,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518033,23,1,1,1,11,6wwwud48qahpwrfxs20334qk5,1,20.9,77.6,2024-08-21T16:32:47.561Z,2024-08-21T16:32:49Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5162759839,140,8.2,5162759845,213,4.03,5162759841,141,53.3,5162759837,56,Back,5162759843,212,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518035,24,1,1,1,13,6wwwud48qahpwrfxs20334qk5,1,6.7,52.4,2024-08-21T16:32:49.441Z,2024-08-21T16:32:53Z,eiy7fhqxdx3ypg4dq4454hpbe,V. Birksø,,,5162759863,140,5.4,5162759865,141,27.0,5162759861,56,Back,5162759869,213,4.63,5162759867,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518039,25,1,1,1,16,6wwwud48qahpwrfxs20334qk5,0,6.4,15.0,2024-08-21T16:32:52.638Z,2024-08-21T16:45:58Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5162759893,140,68.0,5162759901,1,,5162768403,157,,5162759899,213,6.11,5162759897,212,65.6,5162759891,56,Right,5162759895,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518067,18,5,1,1,20,dbl7ir1qugqz8nvp1vzn8im50,1,30.2,101.4,2024-08-21T16:32:56.698Z,2024-08-21T17:26:21Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5162760055,233,26,5162760051,56,Back,5162760053,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518041,26,5,1,1,20,6wwwud48qahpwrfxs20334qk5,0,69.8,-1.4,2024-08-21T16:32:56.698Z,2024-08-21T17:26:21Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5162759903,56,Right,5162759905,347,,5162760059,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518077,19,1,1,1,35,dbl7ir1qugqz8nvp1vzn8im50,1,26.8,100.0,2024-08-21T16:33:11.288Z,2024-08-21T17:32:37Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5162760117,140,60.0,5162760123,213,5.98,5162760121,212,36.5,5162760125,1,,5162760115,56,Left,5162760119,141,86.2,5162760113,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518079,20,44,1,1,38,dbl7ir1qugqz8nvp1vzn8im50,1,69.0,90.0,2024-08-21T16:33:14.399Z,2024-08-21T17:32:39Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5162760137,233,27,5162760129,56,Left,5162760131,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518075,27,44,1,1,38,6wwwud48qahpwrfxs20334qk5,0,31.0,10.0,2024-08-21T16:33:14.400Z,2024-08-21T16:33:21Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5162760099,285,,5162760097,56,Back,5162760143,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518081,21,1,1,1,39,dbl7ir1qugqz8nvp1vzn8im50,0,63.8,84.8,2024-08-21T16:33:15.175Z,2024-08-21T17:32:40Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5162769233,140,65.4,5162769239,213,5.90,5162769235,141,83.8,5162769231,3,,5162760133,56,Left,5162769237,212,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711519181,124,61,1,1,40,6wwwud48qahpwrfxs20334qk5,1,29.8,16.8,2024-08-21T16:33:16.764Z,2024-08-21T16:47:44Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5162769327,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518087,22,61,1,1,42,dbl7ir1qugqz8nvp1vzn8im50,1,60.2,80.8,2024-08-21T16:33:18.495Z,2024-08-21T17:32:41Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5162760175,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518089,23,61,1,1,43,dbl7ir1qugqz8nvp1vzn8im50,0,67.9,68.2,2024-08-21T16:33:19.631Z,2024-08-21T17:32:50Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5162760187,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518085,28,1,1,1,43,6wwwud48qahpwrfxs20334qk5,1,13.3,30.0,2024-08-21T16:33:19.832Z,2024-08-21T17:29:36Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5162760163,140,5.3,5162760167,212,12.5,5162760169,213,2.31,5162760161,56,Back,5162760165,141,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518091,29,1,1,1,46,6wwwud48qahpwrfxs20334qk5,0,5.3,44.3,2024-08-21T16:33:22.240Z,2024-08-21T16:33:24Z,eiy7fhqxdx3ypg4dq4454hpbe,V. Birksø,,,5162760203,1,,5162760197,141,64.5,5162760201,213,0.33,5162760193,56,Back,5162760199,212,41.8,5162760195,140,42.9,5162760191,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518099,24,1,1,1,52,dbl7ir1qugqz8nvp1vzn8im50,1,54.4,31.9,2024-08-21T16:33:28.095Z,2024-08-21T17:32:46Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5162760259,141,30.6,5162760255,56,Back,5162760253,3,,5162760257,140,36.8,5162760261,212,18.5,5162760263,213,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518101,25,43,1,1,52,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-21T16:33:29.039Z,2024-08-21T16:33:34Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5162760269,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518109,26,1,1,1,53,dbl7ir1qugqz8nvp1vzn8im50,1,36.8,30.6,2024-08-21T16:33:29.127Z,2024-08-21T17:32:51Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5162760275,140,14.6,5162760279,212,24.2,5162760281,213,2.86,5162760273,56,Back,5162760277,141,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518111,27,1,1,1,59,dbl7ir1qugqz8nvp1vzn8im50,1,14.2,43.1,2024-08-21T16:33:35.575Z,2024-08-21T17:32:53Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5162760293,212,11.3,5162760295,213,5.51,5162760289,140,21.9,5162760291,141,31.5,5162760287,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518113,28,1,1,2,0,dbl7ir1qugqz8nvp1vzn8im50,1,21.9,31.5,2024-08-21T16:33:36.311Z,2024-08-21T17:32:55Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5162760301,56,Back,5162760305,141,11.3,5162760309,213,5.36,5162760307,212,17.2,5162760303,140,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711518123,29,1,1,2,3,dbl7ir1qugqz8nvp1vzn8im50,1,34.7,12.3,2024-08-21T16:33:40.023Z,2024-08-21T16:33:54Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,1.0,,5162760375,212,41.0,5162760371,140,73.7,5162760379,1,,5162760373,141,10.6,5162760471,210,15,5162760377,213,6.25,5162760369,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
