id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/10/value,qualifier/13/value,qualifier/15/value
2730044369,8,1,1,0,10,dbl7ir1qugqz8nvp1vzn8im50,1,64.2,79.7,2024-10-04T17:01:04.466Z,2024-10-04T17:01:07Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5264282203,140,60.1,5264282201,56,Center,5264282199,3,,5264282209,213,4.31,5264282207,212,10.9,5264282205,141,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044381,9,1,1,0,13,dbl7ir1qugqz8nvp1vzn8im50,1,60.1,64.9,2024-10-04T17:01:07.554Z,2024-10-04T17:01:08Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5264282289,213,3.65,5264282285,141,53.3,5264282281,56,Back,5264282287,212,16.1,5264282283,140,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044413,10,1,1,0,14,dbl7ir1qugqz8nvp1vzn8im50,1,47.0,53.3,2024-10-04T17:01:08.571Z,2024-10-04T17:01:11Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5264282445,141,25.6,5264282441,56,Center,5264282447,212,20.6,5264282443,140,54.9,5264282449,213,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044445,11,1,1,0,18,dbl7ir1qugqz8nvp1vzn8im50,1,54.0,27.1,2024-10-04T17:01:11.594Z,2024-10-04T17:01:15Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5264282593,140,41.6,5264282591,56,Back,5264282599,213,2.71,5264282597,212,14.4,5264282595,141,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044479,12,1,1,0,21,dbl7ir1qugqz8nvp1vzn8im50,0,42.3,31.5,2024-10-04T17:01:15.139Z,2024-10-04T17:01:18Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5264282743,141,20.6,5264282741,140,73.9,5264282737,155,,5264282751,1,,5264282747,213,6.06,5264282745,212,34.0,5264282739,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044519,6,1,1,0,24,8cfkisxf1fkxdqtt6tx1tup48,1,24.5,73.0,2024-10-04T17:01:18.354Z,2024-10-04T17:01:21Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5264282951,212,15.9,5264282947,141,67.0,5264282945,140,9.9,5264282955,213,3.40,5264282943,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044537,7,1,1,0,27,8cfkisxf1fkxdqtt6tx1tup48,0,10.7,66.1,2024-10-04T17:01:21.401Z,2024-10-04T17:01:23Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5264283027,213,0.37,5264283025,212,40.8,5264283019,56,Back,5264283021,140,47.0,5264283023,141,87.7,5264283029,1,,5264283017,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044549,13,1,1,0,30,dbl7ir1qugqz8nvp1vzn8im50,1,46.2,10.4,2024-10-04T17:01:23.706Z,2024-10-04T17:01:24Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5264283119,56,Right,5264283127,213,0.40,5264283125,212,10.0,5264283117,3,,5264283121,140,55.0,5264283123,141,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044567,14,1,1,0,31,dbl7ir1qugqz8nvp1vzn8im50,0,55.0,16.2,2024-10-04T17:01:24.650Z,2024-10-04T17:01:26Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5264283247,213,5.70,5264283245,212,10.1,5264283239,56,Right,5264283241,140,63.0,5264283243,141,8.0,5264283237,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044613,8,1,1,0,34,8cfkisxf1fkxdqtt6tx1tup48,0,21.7,83.8,2024-10-04T17:01:28.256Z,2024-10-04T19:18:12Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5264283457,56,Back,5264333099,233,15,5264333109,286,,5264283463,212,11.8,5264283461,141,87.4,5264283459,140,32.7,5264283465,213,0.21,5264333097,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044589,15,74,1,0,34,dbl7ir1qugqz8nvp1vzn8im50,1,63.0,8.0,2024-10-04T17:01:28.257Z,2024-10-04T17:01:30Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5264283343,56,Right,5264283499,233,8,5264283345,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044645,9,1,1,0,37,8cfkisxf1fkxdqtt6tx1tup48,0,26.9,74.2,2024-10-04T17:01:31.225Z,2024-10-04T19:19:27Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5264283629,212,41.9,5264283621,155,,5264283623,56,Left,5264283625,140,63.0,5264283627,141,100.0,5264283631,213,0.44,5264283633,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044655,10,5,1,0,38,8cfkisxf1fkxdqtt6tx1tup48,0,62.2,101.0,2024-10-04T17:01:31.961Z,2024-10-04T19:04:53Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5264283663,56,Left,5264283665,347,,5264283961,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044713,16,5,1,0,38,dbl7ir1qugqz8nvp1vzn8im50,1,37.8,-1.0,2024-10-04T17:01:31.961Z,2024-10-04T19:04:53Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5264283937,347,,5264283935,56,Back,5264283957,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044761,17,1,1,0,45,dbl7ir1qugqz8nvp1vzn8im50,1,33.5,0.0,2024-10-04T17:01:39.426Z,2024-10-04T17:01:43Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5264284163,213,2.57,5264284159,212,16.4,5264284145,107,,5264284153,140,20.3,5264284155,141,11.0,5264284149,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044865,18,1,1,0,49,dbl7ir1qugqz8nvp1vzn8im50,1,15.6,11.4,2024-10-04T17:01:43.377Z,2024-10-04T17:01:52Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5264284715,213,2.12,5264284709,140,3.5,5264284711,141,41.8,5264284713,212,24.3,5264284707,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044897,19,1,1,0,58,dbl7ir1qugqz8nvp1vzn8im50,1,9.9,41.8,2024-10-04T17:01:52.034Z,2024-10-04T17:15:45Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5264284843,56,Back,5264284849,212,38.0,5264337489,155,,5264284845,140,23.9,5264284847,141,93.3,5264284853,1,,5264284851,213,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044919,20,1,1,1,0,dbl7ir1qugqz8nvp1vzn8im50,1,24.1,93.3,2024-10-04T17:01:53.665Z,2024-10-04T17:01:54Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5264284939,212,8.1,5264284933,56,Back,5264284935,140,31.8,5264284937,141,93.3,5264284941,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044933,21,1,1,1,1,dbl7ir1qugqz8nvp1vzn8im50,1,31.8,93.3,2024-10-04T17:01:54.793Z,2024-10-04T17:01:56Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5264285047,213,5.02,5264285045,212,14.3,5264285039,56,Back,5264285041,140,35.9,5264285043,141,73.3,5264285037,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044939,22,1,1,1,3,dbl7ir1qugqz8nvp1vzn8im50,0,35.9,73.3,2024-10-04T17:01:56.800Z,2024-10-04T17:18:37Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5264285075,213,5.06,5264285067,56,Back,5264346575,233,126,5264285073,212,2.2,5264285071,141,70.3,5264285069,140,36.6,5264346573,236,,5264346579,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730056119,126,74,1,1,3,8cfkisxf1fkxdqtt6tx1tup48,1,57.1,18.6,2024-10-04T17:01:56.801Z,2024-10-04T19:06:44Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5264346551,285,,5264346549,56,Right,5264346589,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044975,12,1,1,1,6,8cfkisxf1fkxdqtt6tx1tup48,0,58.2,23.0,2024-10-04T17:01:59.836Z,2024-10-04T17:02:03Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5264285263,212,2.9,5264285255,140,56.0,5264285415,233,23,5264285265,213,2.51,5264285419,286,,5264285253,56,Center,5264285413,236,,5264285259,141,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045003,23,74,1,1,6,dbl7ir1qugqz8nvp1vzn8im50,1,43.3,79.1,2024-10-04T17:01:59.837Z,2024-10-04T19:19:18Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5264285389,56,Back,5264285425,233,12,5264285391,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730057105,172,61,1,1,10,dbl7ir1qugqz8nvp1vzn8im50,0,39.9,79.1,2024-10-04T17:02:04.284Z,2024-10-04T17:20:32Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5264351029,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045049,13,43,1,1,12,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-04T17:02:06.178Z,2024-10-04T17:20:35Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5264351195,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730057511,137,1,1,1,12,8cfkisxf1fkxdqtt6tx1tup48,1,52.8,20.5,2024-10-04T17:02:06.303Z,2024-10-04T17:21:31Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5264353811,140,32.6,5264353817,213,3.36,5264353813,141,13.5,5264353815,212,21.7,5264353809,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045077,14,1,1,1,12,8cfkisxf1fkxdqtt6tx1tup48,1,29.6,20.4,2024-10-04T17:02:06.467Z,2024-10-04T19:19:27Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5264285817,212,26.7,5264285811,56,Back,5264285813,140,9.7,5264285815,141,44.9,5264285819,213,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045099,15,1,1,1,18,8cfkisxf1fkxdqtt6tx1tup48,0,12.2,53.6,2024-10-04T17:02:11.611Z,2024-10-04T17:02:13Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5264286035,213,6.06,5264286037,1,,5264286021,155,,5264286033,212,59.5,5264286031,141,34.2,5264286027,140,67.5,5264286025,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045113,24,1,1,1,21,dbl7ir1qugqz8nvp1vzn8im50,0,36.4,69.7,2024-10-04T17:02:14.608Z,2024-10-04T17:02:16Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5264286141,213,2.46,5264286139,212,21.8,5264286137,141,89.9,5264286131,3,,5264286133,56,Back,5264286135,140,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045141,16,50,1,1,27,8cfkisxf1fkxdqtt6tx1tup48,1,72.7,25.3,2024-10-04T17:02:21.479Z,2024-10-04T19:05:51Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5264286351,286,,5264286513,233,25,5264286349,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045167,25,7,1,1,27,dbl7ir1qugqz8nvp1vzn8im50,1,27.3,74.7,2024-10-04T17:02:21.480Z,2024-10-04T19:05:51Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5264286491,285,,5264286509,233,16,5264286489,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045205,27,1,1,1,30,dbl7ir1qugqz8nvp1vzn8im50,1,27.8,53.1,2024-10-04T17:02:24.288Z,2024-10-04T17:02:29Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5264286693,141,71.4,5264286697,213,0.75,5264286695,212,18.3,5264286689,140,40.6,5264286687,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045215,28,50,1,1,34,dbl7ir1qugqz8nvp1vzn8im50,1,40.4,74.7,2024-10-04T17:02:27.602Z,2024-10-04T19:19:17Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5264286711,56,Back,5264286713,286,,5264286773,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045201,17,7,1,1,34,8cfkisxf1fkxdqtt6tx1tup48,1,59.6,25.3,2024-10-04T17:02:27.603Z,2024-10-04T19:05:52Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5264286663,285,,5264286755,233,28,5264286659,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045221,19,1,1,1,35,8cfkisxf1fkxdqtt6tx1tup48,1,65.6,19.1,2024-10-04T17:02:29.250Z,2024-10-04T17:02:31Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5264286749,213,3.17,5264286743,140,48.9,5264286747,212,17.5,5264286741,56,Back,5264286745,141,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045259,20,1,1,1,36,8cfkisxf1fkxdqtt6tx1tup48,1,48.9,18.3,2024-10-04T17:02:30.210Z,2024-10-04T19:19:14Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5264286949,141,47.0,5264286945,56,Back,5264286947,140,29.2,5264286953,213,2.39,5264286951,212,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045373,21,1,1,1,47,8cfkisxf1fkxdqtt6tx1tup48,1,25.4,47.6,2024-10-04T17:02:40.818Z,2024-10-04T17:02:45Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5264287595,141,93.3,5264287597,212,32.6,5264287593,140,34.8,5264287591,56,Back,5264287599,213,1.26,5264287601,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045411,22,1,1,1,51,8cfkisxf1fkxdqtt6tx1tup48,0,34.4,94.7,2024-10-04T17:02:44.954Z,2024-10-04T19:19:14Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5264287835,1,,5264287823,155,,5264287829,141,85.6,5264287831,212,46.3,5264287833,213,6.15,5264287827,140,78.1,5264287825,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045425,29,1,1,1,57,dbl7ir1qugqz8nvp1vzn8im50,0,22.5,8.9,2024-10-04T17:02:50.672Z,2024-10-04T17:02:52Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5264287915,212,11.6,5264287917,213,2.06,5264287911,140,17.3,5264287913,141,23.9,5264287909,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045457,30,51,1,1,59,dbl7ir1qugqz8nvp1vzn8im50,1,17.3,23.9,2024-10-04T17:02:53.519Z,2024-10-04T17:23:28Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5264288429,170,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045667,23,1,1,2,0,8cfkisxf1fkxdqtt6tx1tup48,1,84.1,68.5,2024-10-04T17:02:54.394Z,2024-10-04T17:03:26Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,1.0,,5264290097,210,16,5264289243,213,5.09,5264289237,141,46.9,5264289235,140,89.7,5264290101,22,,5264290099,154,,5264289239,212,15.8,5264289233,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730045673,24,16,1,2,1,8cfkisxf1fkxdqtt6tx1tup48,1,91.2,46.8,2024-10-04T17:02:55.539Z,2024-10-04T19:38:55Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5264289513,374,2024-10-04 18:02:54.969,5264290175,154,,5264290197,231,48.6,5264289265,56,Center,5264290173,29,,5264290179,55,23,5264290191,328,,5264290187,214,,5264289261,17,5264290183,102,47.5,5264290171,80,5264290185,103,3.8,5264290193,230,95.1,5264289509,72,5264289517,375,02:01.383,5264289259,22,5264358977,468,30,,,,
2730046061,31,1,1,2,47,dbl7ir1qugqz8nvp1vzn8im50,1,49.7,49.9,2024-10-04T17:03:40.856Z,2024-10-04T17:03:46Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5264291367,141,49.0,5264291365,140,35.4,5264291369,212,15.0,5264291363,56,Back,5264291371,213,3.18,5264291373,279,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730046069,32,1,1,2,52,dbl7ir1qugqz8nvp1vzn8im50,1,34.3,58.8,2024-10-04T17:03:46.310Z,2024-10-04T19:19:24Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5264291429,212,17.5,5264291423,56,Back,5264291427,141,84.5,5264291425,140,35.6,5264291431,213,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730046123,33,1,1,2,56,dbl7ir1qugqz8nvp1vzn8im50,1,35.9,82.6,2024-10-04T17:03:49.806Z,2024-10-04T17:03:51Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5264291707,212,14.0,5264291705,141,66.9,5264291709,213,4.01,5264291701,56,Back,5264291703,140,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730046153,34,1,1,2,57,dbl7ir1qugqz8nvp1vzn8im50,1,27.3,66.9,2024-10-04T17:03:51.110Z,2024-10-04T17:03:52Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5264291839,140,39.5,5264291845,213,5.33,5264291837,56,Back,5264291843,212,22.1,5264291841,141,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730046203,35,1,1,2,59,dbl7ir1qugqz8nvp1vzn8im50,1,41.1,36.4,2024-10-04T17:03:52.622Z,2024-10-04T17:03:56Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5264292169,213,5.03,5264292161,56,Back,5264292163,140,46.7,5264292167,212,19.0,5264292165,141,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
