id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/12/value
2751250043,5,44,1,0,20,a9vw7ikerpr4cuweeeka5aneg,1,34.6,10.8,2024-11-24T14:01:33.848Z,2024-11-24T15:00:06Z,a48bpdpt0siemxqtr3rubwbu,M. Hyseni,,5379987689,233,7,5379987577,56,Back,5379987579,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250027,7,44,1,0,20,8cfkisxf1fkxdqtt6tx1tup48,0,65.4,89.2,2024-11-24T14:01:33.849Z,2024-11-24T15:00:07Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,5379987735,233,5,5379987487,286,,5379987485,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751255045,68,43,1,0,20,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-11-24T14:01:33.849Z,2024-11-24T14:06:02Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,5380014981,144,44,5380013587,286,0,5380013585,56,Left,5380014023,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250059,6,61,1,0,20,a9vw7ikerpr4cuweeeka5aneg,0,39.3,9.1,2024-11-24T14:01:34.771Z,2024-11-24T16:10:30Z,a48bpdpt0siemxqtr3rubwbu,M. Hyseni,,5379987647,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250269,7,3,1,0,22,a9vw7ikerpr4cuweeeka5aneg,1,36.2,19.0,2024-11-24T14:01:36.731Z,2024-11-24T16:10:18Z,a48bpdpt0siemxqtr3rubwbu,M. Hyseni,,5380010509,286,,5380017283,233,8,5379988725,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250129,8,45,1,0,22,8cfkisxf1fkxdqtt6tx1tup48,0,63.8,81.0,2024-11-24T14:01:36.731Z,2024-11-24T16:10:21Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,5379988011,56,Left,5380017309,233,7,5380017227,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250231,9,1,1,0,28,8cfkisxf1fkxdqtt6tx1tup48,0,48.6,93.3,2024-11-24T14:01:41.935Z,2024-11-24T14:01:45Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,5379988557,140,85.0,5379988561,212,41.1,5379988559,141,71.2,5379988565,1,,5379988555,56,Center,5379988563,213,5.91,5379988553,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250477,10,1,1,0,42,a9vw7ikerpr4cuweeeka5aneg,1,8.6,36.6,2024-11-24T14:01:56.050Z,2024-11-24T14:01:57Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,5379989939,56,Back,5379989943,141,22.8,5379989945,212,9.4,5379989947,213,4.66,5379989941,140,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250579,11,1,1,0,43,a9vw7ikerpr4cuweeeka5aneg,1,8.1,21.9,2024-11-24T14:01:57.682Z,2024-11-24T14:02:03Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,5379990473,141,24.6,5379990469,140,40.2,5379990465,56,Back,5379990477,212,33.8,5379990479,213,0.05,5379990481,1,,5379990461,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250535,10,83,1,0,46,8cfkisxf1fkxdqtt6tx1tup48,0,59.3,72.9,2024-11-24T14:02:00.664Z,2024-11-24T14:02:04Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,5379990609,399,a48bpdpt0siemxqtr3rubwbu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250591,12,1,1,0,49,a9vw7ikerpr4cuweeeka5aneg,1,43.3,31.2,2024-11-24T14:02:03.618Z,2024-11-24T14:02:03Z,a48bpdpt0siemxqtr3rubwbu,M. Hyseni,,5379990533,141,12.5,5379990529,56,Back,5379990535,212,12.7,5379990531,140,43.3,5379990537,213,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250617,13,1,1,0,50,a9vw7ikerpr4cuweeeka5aneg,0,43.3,12.5,2024-11-24T14:02:04.513Z,2024-11-24T14:02:07Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,5379990687,141,22.1,5379990689,212,14.0,5379990685,140,55.1,5379990993,236,,5379990683,56,Center,5379990691,213,0.48,5379990999,286,,5379990995,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250673,12,74,1,0,50,8cfkisxf1fkxdqtt6tx1tup48,1,46.5,75.7,2024-11-24T14:02:04.514Z,2024-11-24T16:07:46Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,5379991035,233,13,5379990945,285,,5379990943,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250641,11,8,1,0,51,8cfkisxf1fkxdqtt6tx1tup48,1,53.7,78.5,2024-11-24T14:02:05.384Z,2024-11-24T14:02:05Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,5379990797,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250665,14,1,1,0,53,a9vw7ikerpr4cuweeeka5aneg,0,55.7,19.5,2024-11-24T14:02:07.002Z,2024-11-24T14:02:07Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,5379990927,141,17.4,5379990923,56,Right,5379990929,212,1.5,5379990925,140,56.1,5379990931,213,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250739,13,4,1,0,57,8cfkisxf1fkxdqtt6tx1tup48,1,56.8,86.1,2024-11-24T14:02:11.200Z,2024-11-24T15:01:56Z,e2aqcawslcbpp88nia8eko2y1,J. Rothmann,,5379991357,152,,5379991763,286,,5379991355,56,Left,5379991789,233,15,5380362267,295,,5379991353,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250769,15,4,1,0,57,a9vw7ikerpr4cuweeeka5aneg,0,43.2,13.9,2024-11-24T14:02:11.201Z,2024-11-24T14:59:44Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,5379991805,233,13,5379991625,285,,5379991613,13,,5379991623,152,,5379991619,56,Back,5379991615,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251205,14,1,1,1,20,8cfkisxf1fkxdqtt6tx1tup48,1,54.2,80.6,2024-11-24T14:02:34.113Z,2024-11-24T14:02:37Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,5379993533,140,39.6,5379993527,5,,5379993529,152,,5379993535,141,72.6,5379993539,213,3.48,5379993531,56,Back,5379993537,212,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251271,15,1,1,1,23,8cfkisxf1fkxdqtt6tx1tup48,1,27.0,72.6,2024-11-24T14:02:37.201Z,2024-11-24T14:02:41Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,5379993845,140,27.0,5379993849,212,31.8,5379993847,141,25.8,5379993851,213,4.71,5379993843,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251345,16,1,1,1,27,8cfkisxf1fkxdqtt6tx1tup48,1,30.4,19.7,2024-11-24T14:02:41.104Z,2024-11-24T14:02:44Z,am3509ake84cde1xhb9264i22,M. Gudmann,,5379994197,141,39.4,5379994195,140,26.4,5379994193,56,Back,5379994201,213,1.87,5379994199,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251411,17,1,1,1,30,8cfkisxf1fkxdqtt6tx1tup48,1,25.9,44.0,2024-11-24T14:02:44.592Z,2024-11-24T14:02:48Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,5379994591,212,18.0,5379994585,56,Back,5379994589,141,21.2,5379994587,140,34.7,5379994593,213,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251483,18,1,1,1,34,8cfkisxf1fkxdqtt6tx1tup48,0,36.9,20.1,2024-11-24T14:02:48.568Z,2024-11-24T14:02:51Z,am3509ake84cde1xhb9264i22,M. Gudmann,,5379994951,212,51.8,5379994947,140,75.9,5379994955,1,,5379994945,56,Center,5379994949,141,66.7,5379994943,155,,5379994953,213,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251519,16,1,1,1,38,a9vw7ikerpr4cuweeeka5aneg,1,21.7,34.3,2024-11-24T14:02:52.066Z,2024-11-24T14:02:54Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,5379995183,141,37.7,5379995179,56,Back,5379995181,140,31.5,5379995187,213,0.22,5379995177,3,,5379995185,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251527,17,1,1,1,40,a9vw7ikerpr4cuweeeka5aneg,1,31.5,37.7,2024-11-24T14:02:54.218Z,2024-11-24T14:54:07Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,5379995269,212,12.8,5379995263,56,Back,5379995271,213,5.53,5379995265,140,40.4,5379995267,141,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251559,19,61,1,1,44,a9vw7ikerpr4cuweeeka5aneg,0,59.9,25.9,2024-11-24T14:02:57.898Z,2024-11-24T14:02:57Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,5379995471,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251605,20,1,1,1,44,8cfkisxf1fkxdqtt6tx1tup48,1,43.9,83.0,2024-11-24T14:02:58.824Z,2024-11-24T14:03:01Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,5379995711,213,5.30,5379995705,140,46.6,5379995709,212,5.1,5379995701,56,Back,5379995707,141,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251613,21,1,1,1,46,8cfkisxf1fkxdqtt6tx1tup48,0,46.6,76.7,2024-11-24T14:03:00.824Z,2024-11-24T14:03:01Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,5379995785,141,91.4,5379995791,213,1.77,5379995783,140,44.7,5379995789,212,10.2,5379995779,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251651,20,8,1,1,50,a9vw7ikerpr4cuweeeka5aneg,1,58.2,12.5,2024-11-24T14:03:04.170Z,2024-11-24T14:03:03Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,5379995979,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251689,22,1,1,1,51,8cfkisxf1fkxdqtt6tx1tup48,0,44.6,93.3,2024-11-24T14:03:05.176Z,2024-11-24T14:03:05Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,5379996157,140,60.9,5379996161,212,21.5,5379996155,56,Center,5379996163,213,5.63,5379996159,141,74.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251775,22,1,1,1,53,a9vw7ikerpr4cuweeeka5aneg,1,27.1,20.4,2024-11-24T14:03:07.602Z,2024-11-24T14:03:09Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,5379996553,212,10.0,5379996547,56,Back,5379996551,141,20.4,5379996549,140,36.6,5379996555,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751314473,472,61,1,1,54,a9vw7ikerpr4cuweeeka5aneg,0,37.6,21.5,2024-11-24T14:03:07.831Z,2024-11-24T14:54:41Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,5380329945,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251779,23,43,1,1,56,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-11-24T14:03:10.042Z,2024-11-24T14:54:49Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,5379996571,285,0,5380330555,144,45,5379996569,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251807,23,43,1,1,56,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-11-24T14:03:10.256Z,2024-11-24T14:57:34Z,e2aqcawslcbpp88nia8eko2y1,J. Rothmann,,5379996701,56,Center,5379996703,285,0,5380342693,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251821,24,1,1,1,57,8cfkisxf1fkxdqtt6tx1tup48,1,56.5,68.5,2024-11-24T14:03:11.072Z,2024-11-24T14:03:12Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,5379996763,141,75.6,5379996759,56,Center,5379996765,212,5.0,5379996761,140,55.2,5379996767,213,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251827,25,61,1,1,58,8cfkisxf1fkxdqtt6tx1tup48,1,55.2,75.6,2024-11-24T14:03:12.053Z,2024-11-24T14:03:12Z,e2aqcawslcbpp88nia8eko2y1,J. Rothmann,,5379996801,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251849,26,1,1,1,58,8cfkisxf1fkxdqtt6tx1tup48,1,55.8,76.7,2024-11-24T14:03:12.808Z,2024-11-24T14:03:13Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,5379996907,140,55.2,5379996909,141,82.4,5379996905,56,Left,5379996911,212,3.9,5379996913,213,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251863,27,1,1,1,59,8cfkisxf1fkxdqtt6tx1tup48,1,55.2,82.4,2024-11-24T14:03:13.344Z,2024-11-24T14:03:14Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,5379996969,140,51.8,5379996971,141,71.8,5379996967,56,Center,5379996975,213,4.25,5379996973,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251889,28,1,1,2,0,8cfkisxf1fkxdqtt6tx1tup48,1,51.8,71.8,2024-11-24T14:03:14Z,2024-11-24T14:03:16Z,e2aqcawslcbpp88nia8eko2y1,J. Rothmann,,5379997107,141,63.9,5379997101,140,32.7,5379997109,212,20.8,5379997111,213,3.40,5379997099,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751251945,29,1,1,2,2,8cfkisxf1fkxdqtt6tx1tup48,1,32.7,63.9,2024-11-24T14:03:16.208Z,2024-11-24T14:57:43Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,5379997433,141,75.7,5379997437,213,1.96,5379997431,140,29.6,5379997435,212,8.7,5379997425,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252089,30,1,1,2,5,8cfkisxf1fkxdqtt6tx1tup48,1,29.6,75.7,2024-11-24T14:03:19.273Z,2024-11-24T14:03:26Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,5379998101,56,Back,5379998107,212,23.8,5379998109,213,4.05,5379998103,140,15.6,5379998105,141,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252137,31,1,1,2,12,8cfkisxf1fkxdqtt6tx1tup48,1,19.8,52.2,2024-11-24T14:03:26.753Z,2024-11-24T14:03:28Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,5379998353,141,36.6,5379998357,213,4.40,5379998351,140,16.5,5379998349,56,Back,5379998355,212,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252187,32,1,1,2,14,8cfkisxf1fkxdqtt6tx1tup48,1,16.5,36.6,2024-11-24T14:03:28.440Z,2024-11-24T14:03:31Z,am3509ake84cde1xhb9264i22,M. Gudmann,,5379998567,56,Back,5379998575,213,5.57,5379998571,141,8.5,5379998569,140,37.4,5379998573,212,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252199,33,61,1,2,17,8cfkisxf1fkxdqtt6tx1tup48,0,37.4,8.5,2024-11-24T14:03:31.472Z,2024-11-24T14:03:32Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,5379998635,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252235,24,1,1,2,18,a9vw7ikerpr4cuweeeka5aneg,0,69.2,94.8,2024-11-24T14:03:32.599Z,2024-11-24T14:03:35Z,cqsc3mj8klukkgutdrpegybdg,K. Karikari,,5379998817,56,Left,5379998819,140,73.1,5379998823,212,4.1,5379998851,236,,5379998857,286,,5379998853,233,34,5379998821,141,95.4,5379998827,213,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252209,34,74,1,2,18,8cfkisxf1fkxdqtt6tx1tup48,1,38.6,11.1,2024-11-24T14:03:32.600Z,2024-11-24T14:03:35Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,5379998685,285,,5379998683,56,Back,5379998867,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252293,35,1,1,2,22,8cfkisxf1fkxdqtt6tx1tup48,0,33.3,35.4,2024-11-24T14:03:36.208Z,2024-11-24T14:03:38Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,5379999175,56,Right,5379999179,140,57.1,5379999187,212,27.0,5379999171,157,,5379999195,1,,5379999183,141,20.4,5379999191,213,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252323,25,1,1,2,24,a9vw7ikerpr4cuweeeka5aneg,1,49.4,85.4,2024-11-24T14:03:38.402Z,2024-11-24T14:03:39Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,5379999411,212,2.9,5379999413,213,0.86,5379999407,140,51.2,5379999405,56,Left,5379999409,141,88.6,5379999403,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252365,26,1,1,2,26,a9vw7ikerpr4cuweeeka5aneg,0,51.2,88.6,2024-11-24T14:03:39.922Z,2024-11-24T14:03:41Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,5379999605,213,0.08,5379999607,1,,5379999601,141,90.6,5379999595,157,,5379999599,140,68.4,5379999597,56,Left,5379999603,212,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252383,36,8,1,2,28,8cfkisxf1fkxdqtt6tx1tup48,1,40.8,23.0,2024-11-24T14:03:42.024Z,2024-11-24T14:58:07Z,am3509ake84cde1xhb9264i22,M. Gudmann,,5379999673,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751252441,27,45,1,2,30,a9vw7ikerpr4cuweeeka5aneg,0,62.6,86.4,2024-11-24T14:03:43.960Z,2024-11-24T15:00:02Z,cqsc3mj8klukkgutdrpegybdg,K. Karikari,,5380000161,233,37,5380000165,285,,5379999993,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
