id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2785142107,6,1,1,1,8,a9vw7ikerpr4cuweeeka5aneg,0,40.4,80.3,2025-03-08T12:02:24.881Z,2025-03-08T12:02:26Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5564325763,213,5.59,5564325765,1,,5564325761,212,46.1,5564325803,189,,5564325753,157,,5564325759,141,36.9,5564325757,140,74.1,5564325755,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142157,7,13,1,1,14,a9vw7ikerpr4cuweeeka5aneg,1,79.4,34.8,2025-03-08T12:02:30.353Z,2025-03-08T12:02:40Z,cqsc3mj8klukkgutdrpegybdg,K. Karikari,,,5564326347,102,42.2,5564325989,18,,5564326355,231,46.9,5564326351,458,,5564326221,20,,5564326349,103,29.2,5564326353,230,96.2,5564325987,22,,5564326345,84,5564325991,56,Center,,,,,,,,,,,,,,,,,,,,,,
2785142287,7,5,1,1,14,b2vft81kyjurzbmekvgrqwr64,1,-1.2,59.6,2025-03-08T12:02:30.714Z,2025-03-08T12:02:52Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,,5564326715,233,8,5564326711,346,,5564326709,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142171,8,5,1,1,14,a9vw7ikerpr4cuweeeka5aneg,0,101.2,40.4,2025-03-08T12:02:30.714Z,2025-03-08T12:52:09Z,cqsc3mj8klukkgutdrpegybdg,K. Karikari,,,5564326113,56,Center,5564326733,233,7,5564326115,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142297,8,1,1,1,34,b2vft81kyjurzbmekvgrqwr64,1,4.6,50.3,2025-03-08T12:02:50.714Z,2025-03-08T12:52:37Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5564326781,141,59.9,5564326775,124,,5564326779,140,8.0,5564326777,56,Back,5564326789,237,,5564495481,189,,5564326783,212,7.4,5564326785,213,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142303,9,1,1,1,35,b2vft81kyjurzbmekvgrqwr64,1,8.0,59.9,2025-03-08T12:02:51.250Z,2025-03-08T12:52:39Z,3sog1gsk11bwwrf7l7wm2j7dg,M. Kristensen,,,5564326821,212,8.2,5564326811,56,Back,5564495575,189,,5564326825,213,4.78,5564326813,140,8.5,5564326817,141,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142323,10,1,1,1,36,b2vft81kyjurzbmekvgrqwr64,0,8.5,47.9,2025-03-08T12:02:52.770Z,2025-03-08T12:02:55Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5564326913,157,,5564326919,141,51.6,5564326917,140,58.8,5564326923,213,0.05,5564326915,56,Center,5564326925,1,,5564326921,212,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142317,9,44,1,1,37,a9vw7ikerpr4cuweeeka5aneg,1,42.8,50.8,2025-03-08T12:02:53.456Z,2025-03-08T12:17:44Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5564326893,56,Back,5564326973,233,11,5564326895,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142327,11,44,1,1,37,b2vft81kyjurzbmekvgrqwr64,0,57.2,49.2,2025-03-08T12:02:53.457Z,2025-03-08T12:17:44Z,4qyfoq5fjiochtj89w426lm21,S. Andreasen,,,5564327009,233,9,5564326945,56,Center,5564326947,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142325,10,1,1,1,37,a9vw7ikerpr4cuweeeka5aneg,0,45.7,54.9,2025-03-08T12:02:54Z,2025-03-08T12:02:55Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5564326941,212,15.6,5564326937,140,37.0,5564326939,141,36.3,5564326933,3,,5564326943,213,4.09,5564326935,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142345,11,83,1,1,41,a9vw7ikerpr4cuweeeka5aneg,0,35.7,41.2,2025-03-08T12:02:57.289Z,2025-03-08T12:03:00Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5564327147,399,efubck8twu1elbhlomltnjjtg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142349,12,61,1,1,42,b2vft81kyjurzbmekvgrqwr64,0,62.0,54.2,2025-03-08T12:02:58.971Z,2025-03-08T12:02:59Z,efubck8twu1elbhlomltnjjtg,R. Gyamfi,,,5564327047,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142377,13,1,1,1,44,b2vft81kyjurzbmekvgrqwr64,0,57.7,52.5,2025-03-08T12:03:01.090Z,2025-03-08T12:52:58Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5564327341,233,13,5564327197,213,6.21,5564327189,56,Center,5564327339,236,,5564327193,141,52.2,5564327345,286,,5564327191,140,60.4,5564327187,157,,5564327199,1,5564327195,212,2.8,,,,,,,,,,,,,,,,,,,,,,
2785142393,13,74,1,1,44,a9vw7ikerpr4cuweeeka5aneg,1,37.4,41.6,2025-03-08T12:03:01.091Z,2025-03-08T12:17:46Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5564327355,233,13,5564327301,56,Back,5564327303,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142383,12,1,1,1,44,a9vw7ikerpr4cuweeeka5aneg,0,33.7,36.7,2025-03-08T12:03:01.120Z,2025-03-08T12:04:43Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5564327245,213,0.78,5564327243,212,3.6,5564327237,56,Back,5564327241,141,40.4,5564327239,140,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143559,31,1,1,1,48,a9vw7ikerpr4cuweeeka5aneg,1,51.9,49.6,2025-03-08T12:03:04.951Z,2025-03-08T12:06:50Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5564332741,141,66.3,5564332749,213,1.78,5564332739,140,49.6,5564332737,56,Back,5564332735,3,,5564332745,212,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142485,14,1,1,1,54,a9vw7ikerpr4cuweeeka5aneg,1,32.4,85.3,2025-03-08T12:03:10.377Z,2025-03-08T12:03:12Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5564327753,141,83.0,5564327757,213,6.06,5564327749,56,Back,5564327755,212,7.0,5564327751,140,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142495,15,1,1,1,55,a9vw7ikerpr4cuweeeka5aneg,0,39.7,79.7,2025-03-08T12:03:12.080Z,2025-03-08T12:03:13Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5564327795,213,4.36,5564327787,56,Back,5564327791,141,63.1,5564327789,140,35.8,5564327793,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142561,15,1,1,1,58,b2vft81kyjurzbmekvgrqwr64,1,66.2,36.0,2025-03-08T12:03:14.979Z,2025-03-08T12:53:32Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,,5564328081,56,Right,5564328087,212,15.3,5564328089,213,5.51,5564328083,140,76.7,5564328085,141,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142589,16,1,1,2,4,b2vft81kyjurzbmekvgrqwr64,0,72.3,27.0,2025-03-08T12:03:20.587Z,2025-03-08T12:54:25Z,efubck8twu1elbhlomltnjjtg,R. Gyamfi,,,5564500663,4,,5564328201,56,Center,5564328205,141,34.2,5564328203,140,93.4,5564328209,213,0.22,5564328207,212,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142733,18,1,1,2,24,a9vw7ikerpr4cuweeeka5aneg,0,20.9,43.4,2025-03-08T12:03:40.248Z,2025-03-08T12:03:43Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5564328807,212,52.2,5564328809,213,0.15,5564328803,140,70.1,5564328805,141,54.8,5564328811,1,,5564328801,56,Center,5564328799,198,,5564328797,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142743,17,1,1,2,26,b2vft81kyjurzbmekvgrqwr64,0,31.2,35.5,2025-03-08T12:03:43.018Z,2025-03-08T12:54:40Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5564328851,141,17.4,5564328853,212,18.8,5564328849,140,44.7,5564328847,56,Back,5564328845,3,,5564328855,213,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142797,19,1,1,2,32,a9vw7ikerpr4cuweeeka5aneg,1,62.7,86.3,2025-03-08T12:03:48.406Z,2025-03-08T12:03:51Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5564329117,56,Center,5564329123,212,6.5,5564329119,140,59.2,5564329121,141,78.4,5564329125,213,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142811,20,1,1,2,34,a9vw7ikerpr4cuweeeka5aneg,1,59.9,79.9,2025-03-08T12:03:50.951Z,2025-03-08T12:03:53Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5564329185,141,93.5,5564329187,212,14.1,5564329189,213,0.72,5564329183,140,70.0,5564329181,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142835,21,1,1,2,36,a9vw7ikerpr4cuweeeka5aneg,1,67.2,93.0,2025-03-08T12:03:53.007Z,2025-03-08T12:03:55Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5564329295,212,26.1,5564329293,141,87.5,5564329289,56,Back,5564329297,213,3.29,5564329291,140,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142865,22,1,1,2,39,a9vw7ikerpr4cuweeeka5aneg,1,41.7,85.4,2025-03-08T12:03:55.495Z,2025-03-08T12:04:00Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5564329471,1,,5564329467,213,4.68,5564329451,56,Back,5564329463,212,32.9,5564329459,141,37.0,5564329455,140,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142893,23,1,1,2,43,a9vw7ikerpr4cuweeeka5aneg,0,43.7,33.7,2025-03-08T12:03:59.864Z,2025-03-08T12:04:03Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5564329621,213,0.82,5564329611,155,,5564329615,140,70.4,5564329613,56,Center,5564329623,1,,5564329617,141,77.6,5564329619,212,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142895,18,1,1,2,46,b2vft81kyjurzbmekvgrqwr64,0,24.5,12.9,2025-03-08T12:04:02.866Z,2025-03-08T12:04:03Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5564329633,212,19.6,5564329625,3,,5564329631,141,9.8,5564329635,213,6.18,5564329629,140,43.1,5564329627,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142935,24,1,1,2,48,a9vw7ikerpr4cuweeeka5aneg,1,67.6,84.2,2025-03-08T12:04:04.831Z,2025-03-08T12:04:07Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5564329791,213,4.11,5564329785,140,62.9,5564329783,56,Center,5564329789,212,8.7,5564329787,141,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142939,25,1,1,2,51,a9vw7ikerpr4cuweeeka5aneg,0,63.8,72.6,2025-03-08T12:04:07.574Z,2025-03-08T12:04:09Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5564329823,141,32.2,5564329819,56,Center,5564329821,140,69.5,5564329827,213,4.93,5564329825,212,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785142979,19,1,1,2,54,b2vft81kyjurzbmekvgrqwr64,1,39.4,63.0,2025-03-08T12:04:11.129Z,2025-03-08T12:55:09Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5564330021,212,17.3,5564330019,141,72.6,5564330017,140,54.7,5564330023,213,0.39,5564330015,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143019,21,1,1,2,58,b2vft81kyjurzbmekvgrqwr64,0,44.4,71.8,2025-03-08T12:04:14.554Z,2025-03-08T12:04:17Z,efubck8twu1elbhlomltnjjtg,R. Gyamfi,,,5564330211,212,38.4,5564330207,140,79.1,5564330209,141,89.4,5564330213,213,0.32,5564330215,1,,5564330205,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143045,26,12,1,3,0,a9vw7ikerpr4cuweeeka5aneg,1,21.8,11.3,2025-03-08T12:04:16.375Z,2025-03-08T14:15:44Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5564330337,141,0.0,5564330339,212,14.0,5564330341,213,5.58,5564330371,167,,5564330333,56,Back,5564330335,140,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143079,22,5,1,3,3,b2vft81kyjurzbmekvgrqwr64,1,70.1,101.7,2025-03-08T12:04:19.257Z,2025-03-08T12:52:09Z,efubck8twu1elbhlomltnjjtg,R. Gyamfi,,,5564330455,56,Left,5564330457,347,,5564330515,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143051,27,5,1,3,3,a9vw7ikerpr4cuweeeka5aneg,0,29.9,-1.7,2025-03-08T12:04:19.257Z,2025-03-08T12:52:10Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5564330355,56,Back,5564330357,347,,5564330549,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143115,23,1,1,3,9,b2vft81kyjurzbmekvgrqwr64,1,73.6,100.0,2025-03-08T12:04:25.273Z,2025-03-08T12:04:29Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5564330651,213,4.25,5564330641,107,,5564330647,141,86.3,5564330649,212,11.4,5564330643,56,Left,5564330645,140,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143141,24,1,1,3,12,b2vft81kyjurzbmekvgrqwr64,1,70.3,86.9,2025-03-08T12:04:29.241Z,2025-03-08T12:04:32Z,3sog1gsk11bwwrf7l7wm2j7dg,M. Kristensen,,,5564330783,213,3.65,5564330775,141,69.4,5564330767,56,Back,5564330779,212,24.6,5564330771,140,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143209,25,1,1,3,16,b2vft81kyjurzbmekvgrqwr64,1,45.4,65.7,2025-03-08T12:04:32.345Z,2025-03-08T12:04:39Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5564331115,212,24.2,5564331113,141,31.6,5564331117,213,5.00,5564331109,56,Center,5564331111,140,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785177785,387,45,1,3,21,a9vw7ikerpr4cuweeeka5aneg,0,44.6,79.6,2025-03-08T12:04:37.242Z,2025-03-08T12:56:57Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5564506843,56,Back,5564507299,233,422,5564506845,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785177853,422,3,1,3,21,b2vft81kyjurzbmekvgrqwr64,1,55.4,20.4,2025-03-08T12:04:37.242Z,2025-03-08T12:56:56Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5564507279,56,Right,5564507287,233,387,5564507281,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143253,26,1,1,3,22,b2vft81kyjurzbmekvgrqwr64,1,52.5,25.8,2025-03-08T12:04:39.192Z,2025-03-08T12:04:42Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5564331315,140,39.5,5564331317,141,56.1,5564331319,212,24.7,5564331313,56,Back,5564331321,213,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143273,27,1,1,3,26,b2vft81kyjurzbmekvgrqwr64,1,43.1,52.1,2025-03-08T12:04:42.825Z,2025-03-08T12:04:45Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5564331441,140,60.0,5564331445,212,17.8,5564331439,56,Center,5564331447,213,6.20,5564331443,141,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143335,28,1,1,3,29,b2vft81kyjurzbmekvgrqwr64,1,59.6,50.1,2025-03-08T12:04:45.609Z,2025-03-08T12:04:51Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5564331727,56,Left,5564331729,140,71.7,5564331735,213,1.03,5564331731,141,80.9,5564331733,212,24.5,5564331725,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143347,29,1,1,3,35,b2vft81kyjurzbmekvgrqwr64,1,78.1,85.6,2025-03-08T12:04:51.441Z,2025-03-08T12:04:52Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5564331757,56,Left,5564331759,140,66.2,5564331763,212,13.2,5564331761,141,79.4,5564331765,213,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143365,30,1,1,3,36,b2vft81kyjurzbmekvgrqwr64,1,65.0,78.7,2025-03-08T12:04:52.665Z,2025-03-08T12:04:54Z,3sog1gsk11bwwrf7l7wm2j7dg,M. Kristensen,,,5564331831,140,64.9,5564331837,213,4.70,5564331833,141,66.1,5564331829,56,Center,5564331835,212,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143393,31,1,1,3,38,b2vft81kyjurzbmekvgrqwr64,1,62.2,66.6,2025-03-08T12:04:54.248Z,2025-03-08T12:04:57Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5564331941,212,16.9,5564331935,56,Back,5564331943,213,3.67,5564331937,140,48.3,5564331939,141,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785143415,32,1,1,3,41,b2vft81kyjurzbmekvgrqwr64,1,47.5,54.9,2025-03-08T12:04:57.448Z,2025-03-08T12:05:00Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5564332071,140,51.3,5564332069,56,Center,5564332077,213,1.31,5564332073,141,76.7,5564332075,212,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
