id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/13/value
2795594509,5,44,1,0,19,bd4qakf7j0wwie8wke9km7uj8,1,37.6,78.4,2025-04-04T17:00:20.863Z,2025-04-04T19:46:01Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5621656775,233,7,5621656759,285,,5621656757,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594495,7,44,1,0,19,ajtb177oqwawkdwbqhldmq6mx,0,62.4,21.6,2025-04-04T17:00:20.864Z,2025-04-04T19:46:01Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5621656785,233,5,5621656717,56,Center,5621656719,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594533,6,1,1,0,20,bd4qakf7j0wwie8wke9km7uj8,1,30.1,76.4,2025-04-04T17:00:21.089Z,2025-04-04T17:19:08Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5621656897,3,,5621656899,56,Back,5621656903,141,66.7,5621656905,212,9.0,5621656907,213,5.46,5621656901,140,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594545,7,1,1,0,26,bd4qakf7j0wwie8wke9km7uj8,1,33.8,66.7,2025-04-04T17:00:27.144Z,2025-04-04T17:00:28Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5621656963,141,55.5,5621656967,212,9.0,5621656961,140,29.2,5621656959,56,Back,5621656969,213,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594569,9,1,1,0,27,bd4qakf7j0wwie8wke9km7uj8,1,29.2,55.5,2025-04-04T17:00:28.081Z,2025-04-04T17:00:32Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5621657081,212,20.9,5621657083,213,5.63,5621657079,141,36.9,5621657077,140,45.0,5621657075,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594581,10,1,1,0,31,bd4qakf7j0wwie8wke9km7uj8,1,48.5,22.8,2025-04-04T17:00:32.569Z,2025-04-04T20:33:35Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5621657131,213,2.52,5621657129,212,15.1,5621657125,140,36.8,5621657123,56,Back,5621657127,141,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594623,11,1,1,0,35,bd4qakf7j0wwie8wke9km7uj8,1,28.6,32.8,2025-04-04T17:00:36.761Z,2025-04-04T17:00:39Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5621657325,141,29.4,5621657323,140,50.5,5621657327,212,23.1,5621657321,56,Center,5621657329,213,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594641,12,1,1,0,38,bd4qakf7j0wwie8wke9km7uj8,1,50.5,29.4,2025-04-04T17:00:39.313Z,2025-04-04T17:00:41Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5621657419,56,Center,5621657425,212,24.9,5621657423,141,24.9,5621657421,140,74.0,5621657427,213,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594647,13,1,1,0,40,bd4qakf7j0wwie8wke9km7uj8,1,74.1,24.9,2025-04-04T17:00:40.937Z,2025-04-04T17:00:41Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5621657447,56,Center,5621657449,140,77.4,5621657453,212,10.6,5621657455,213,1.24,5621657451,141,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594653,14,1,1,0,40,bd4qakf7j0wwie8wke9km7uj8,0,77.4,39.7,2025-04-04T17:00:41.673Z,2025-04-04T17:00:42Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5621657489,141,38.5,5621657487,140,80.7,5621657485,56,Center,5621657491,212,3.6,5621657493,213,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594665,8,8,1,0,44,ajtb177oqwawkdwbqhldmq6mx,1,44.9,68.5,2025-04-04T17:00:45.225Z,2025-04-04T17:02:37Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5621657539,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594677,9,12,1,0,44,ajtb177oqwawkdwbqhldmq6mx,1,44.9,68.5,2025-04-04T17:00:45.681Z,2025-04-04T17:02:37Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5621657603,212,14.0,5621657605,213,0.04,5621657601,141,69.3,5621657597,56,Center,5621657599,140,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594681,15,1,1,0,45,bd4qakf7j0wwie8wke9km7uj8,1,58.0,33.6,2025-04-04T17:00:46.473Z,2025-04-04T17:21:25Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5621657623,212,12.5,5621657625,213,5.01,5621657621,141,16.0,5621657619,140,61.5,5621657617,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594693,16,1,1,0,46,bd4qakf7j0wwie8wke9km7uj8,1,74.8,32.1,2025-04-04T17:00:47.561Z,2025-04-04T17:00:49Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5621657697,140,82.4,5621657695,56,Center,5621657701,212,8.0,5621657699,141,31.0,5621657703,213,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594763,19,3,1,0,53,bd4qakf7j0wwie8wke9km7uj8,0,93.7,15.1,2025-04-04T17:00:54.824Z,2025-04-04T17:00:59Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5621658059,286,,5621658095,233,10,5621658057,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594733,10,7,1,0,53,ajtb177oqwawkdwbqhldmq6mx,1,7.4,84.4,2025-04-04T17:00:54.825Z,2025-04-04T17:02:01Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5621657921,167,,5621657925,285,,5621657923,56,Back,5621658087,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594739,11,6,1,0,54,ajtb177oqwawkdwbqhldmq6mx,0,5.8,85.2,2025-04-04T17:00:55.697Z,2025-04-04T17:02:03Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5621657967,73,,5621657965,56,Back,5621658191,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594773,20,6,1,0,54,bd4qakf7j0wwie8wke9km7uj8,1,94.2,14.8,2025-04-04T17:00:55.697Z,2025-04-04T19:13:11Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5621658165,75,,5621658163,56,Right,5621658167,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594907,21,1,1,1,12,bd4qakf7j0wwie8wke9km7uj8,1,99.5,0.5,2025-04-04T17:01:13.529Z,2025-04-04T17:01:16Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5621658783,213,2.55,5621658781,212,17.0,5621658775,56,Right,5621658773,6,,5621658777,140,86.1,5621658779,141,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594915,22,1,1,1,13,bd4qakf7j0wwie8wke9km7uj8,1,86.1,14.4,2025-04-04T17:01:14.217Z,2025-04-04T17:22:22Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5621740793,156,,5621658829,141,9.7,5621658833,213,5.46,5621658831,212,4.3,5621658827,140,88.9,5621658825,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594925,23,1,1,1,14,bd4qakf7j0wwie8wke9km7uj8,1,88.9,9.7,2025-04-04T17:01:15.034Z,2025-04-04T17:01:38Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5621658869,140,91.7,5621658867,56,Center,5621658865,155,,5621658863,2,,5621658875,213,1.47,5621658873,212,30.4,5621658871,141,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595009,12,4,1,1,24,ajtb177oqwawkdwbqhldmq6mx,1,3.8,42.6,2025-04-04T17:01:25.409Z,2025-04-04T20:13:21Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5621659489,13,,5621659931,294,,5621660403,233,24,5621659497,285,,5621659491,56,Back,5621659493,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595117,24,4,1,1,24,bd4qakf7j0wwie8wke9km7uj8,0,96.2,57.4,2025-04-04T17:01:25.410Z,2025-04-04T17:01:47Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5621660345,233,12,5621660089,286,,5621660085,56,Center,5621660083,294,,5621660087,152,,5621660081,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595439,13,1,1,2,8,ajtb177oqwawkdwbqhldmq6mx,1,4.3,45.1,2025-04-04T17:02:09.251Z,2025-04-04T17:02:11Z,9y3vs6l0mjj38z0kw062jlh3p,A. Vaporakis,,,5621661691,157,,5621661697,140,37.8,5621661693,152,,5621661695,56,Back,5621661699,141,34.6,5621661701,212,35.9,5621661703,213,6.08,5621661705,1,,5621661689,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595481,14,1,1,2,10,ajtb177oqwawkdwbqhldmq6mx,1,37.8,34.6,2025-04-04T17:02:11.114Z,2025-04-04T17:02:14Z,e3n8xatusmgu7ttqpfdjanp3p,V. Hammershøy-Mistrati,,,5621661911,212,9.4,5621661913,213,6.02,5621661909,141,31.0,5621661905,56,Back,5621661903,168,,5621661907,140,46.4,5621661901,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595495,15,1,1,2,12,ajtb177oqwawkdwbqhldmq6mx,1,47.5,29.4,2025-04-04T17:02:12.956Z,2025-04-04T20:33:28Z,8viazilbghyogmhd7w3lg2six,S. Koch,,,5621661943,141,28.3,5621661945,212,7.3,5621661939,56,Back,5621661947,213,3.24,5621661941,140,40.6,5621661985,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595521,16,1,1,2,13,ajtb177oqwawkdwbqhldmq6mx,0,40.4,27.9,2025-04-04T17:02:13.924Z,2025-04-04T20:32:55Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5621662053,140,69.0,5621662055,141,42.5,5621662061,1,,5621662057,212,31.6,5621662051,56,Center,5621662059,213,0.32,5621662049,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595509,25,1,1,2,14,bd4qakf7j0wwie8wke9km7uj8,0,40.9,70.5,2025-04-04T17:02:14.915Z,2025-04-04T17:02:15Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5621662009,213,0.00,5621662001,56,Back,5621662007,212,7.6,5621662003,140,48.1,5621662005,141,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595533,26,12,1,2,15,bd4qakf7j0wwie8wke9km7uj8,1,38.1,50.6,2025-04-04T17:02:16.562Z,2025-04-04T17:02:20Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5621662121,213,5.87,5621662109,56,Back,5621662137,15,,5621662119,212,8.7,5621662115,141,45.4,5621662111,140,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595541,17,1,1,2,16,ajtb177oqwawkdwbqhldmq6mx,0,64.4,44.2,2025-04-04T17:02:17.171Z,2025-04-04T20:33:25Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5621662153,212,2.5,5621662155,213,1.14,5621662151,141,47.6,5621662145,3,,5621662147,56,Center,5621662149,140,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595585,27,43,1,2,18,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-04T17:02:19.378Z,2025-04-04T17:02:28Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5621662807,144,50,5621662393,56,Back,5621662395,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595599,18,43,1,2,18,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-04T17:02:19.379Z,2025-04-04T17:02:24Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5621662599,144,7,5621662499,233,27,5621662465,56,Center,5621662467,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595617,28,4,1,2,20,bd4qakf7j0wwie8wke9km7uj8,1,48.0,45.2,2025-04-04T17:02:21.706Z,2025-04-04T17:02:27Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5621662591,286,,5621662601,233,19,5621662587,152,,5621662583,13,,5621662585,56,Back,5621662589,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595603,19,4,1,2,20,ajtb177oqwawkdwbqhldmq6mx,0,52.0,54.8,2025-04-04T17:02:21.707Z,2025-04-04T17:02:26Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5621662559,285,,5621662553,56,Center,5621662555,152,,5621662557,265,,5621662551,13,,5621662631,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595759,29,1,1,2,32,bd4qakf7j0wwie8wke9km7uj8,1,42.1,52.4,2025-04-04T17:02:33.803Z,2025-04-04T17:02:36Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5621663277,5,,5621663279,152,,5621663289,213,2.04,5621663281,56,Back,5621663287,212,10.7,5621663285,141,66.4,5621663283,140,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595807,30,1,1,2,35,bd4qakf7j0wwie8wke9km7uj8,0,34.8,69.9,2025-04-04T17:02:36.675Z,2025-04-04T17:02:40Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5621663499,56,Right,5621663509,1,,5621663497,155,,5621663507,213,5.52,5621663501,140,72.5,5621663503,141,14.1,5621663505,212,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595833,20,44,1,2,38,ajtb177oqwawkdwbqhldmq6mx,1,24.0,82.4,2025-04-04T17:02:39.802Z,2025-04-04T19:46:02Z,ab3nxxoj7bxlnhot9htoex1xw,G. Højbjerg,,,5621663725,233,31,5621663625,285,,5621663623,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595811,31,44,1,2,38,bd4qakf7j0wwie8wke9km7uj8,0,76.0,17.6,2025-04-04T17:02:39.803Z,2025-04-04T19:46:02Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5621663535,286,,5621663765,233,20,5621663533,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595843,21,12,1,2,39,ajtb177oqwawkdwbqhldmq6mx,1,18.1,76.4,2025-04-04T17:02:39.907Z,2025-04-04T19:19:00Z,ab3nxxoj7bxlnhot9htoex1xw,G. Højbjerg,,,5621663679,15,,5621663649,141,55.4,5621663645,56,Back,5621663647,140,29.3,5621663653,213,5.40,5621663651,212,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595873,22,1,1,2,42,ajtb177oqwawkdwbqhldmq6mx,0,29.3,55.4,2025-04-04T17:02:42.915Z,2025-04-04T17:26:02Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5621663815,56,Back,5621663819,140,33.3,5621663831,213,0.67,5621663823,141,60.3,5621663827,212,5.4,5621754029,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596035,34,8,1,2,42,bd4qakf7j0wwie8wke9km7uj8,1,60.1,35.2,2025-04-04T17:02:43.507Z,2025-04-04T17:27:31Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5621755155,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595917,23,1,1,2,43,ajtb177oqwawkdwbqhldmq6mx,1,28.9,66.1,2025-04-04T17:02:44.098Z,2025-04-04T17:02:47Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5621664079,140,36.3,5621664077,56,Back,5621664081,141,71.2,5621664085,213,0.42,5621664083,212,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595925,24,3,1,2,46,ajtb177oqwawkdwbqhldmq6mx,0,35.0,77.7,2025-04-04T17:02:47.474Z,2025-04-04T17:02:52Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5621664133,286,,5621664131,56,Back,5621664497,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595961,32,7,1,2,46,bd4qakf7j0wwie8wke9km7uj8,1,64.4,25.6,2025-04-04T17:02:47.475Z,2025-04-04T17:02:52Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5621664441,233,24,5621664303,285,,5621664301,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595973,33,1,1,2,47,bd4qakf7j0wwie8wke9km7uj8,0,66.2,15.8,2025-04-04T17:02:48.721Z,2025-04-04T20:32:45Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5621664365,233,25,5621664363,236,,5621664369,286,,5621664341,141,17.6,5621664339,140,63.5,5621664345,213,2.73,5621664343,212,3.1,5621664337,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595935,25,74,1,2,47,ajtb177oqwawkdwbqhldmq6mx,1,37.1,69.1,2025-04-04T17:02:48.722Z,2025-04-04T20:32:50Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5621664203,285,,5621664201,56,Back,5621664391,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596167,36,1,1,2,50,bd4qakf7j0wwie8wke9km7uj8,1,62.7,31.1,2025-04-04T17:02:51.113Z,2025-04-04T20:31:56Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5621773995,141,37.0,5621773993,140,41.3,5621773999,212,22.8,5621665295,56,Back,5621774001,213,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795596045,35,1,1,2,52,bd4qakf7j0wwie8wke9km7uj8,1,40.3,46.8,2025-04-04T17:02:53.691Z,2025-04-04T17:32:24Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5621777171,141,31.7,5621777173,212,10.4,5621777175,213,4.58,5621777169,140,39.0,5621777167,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
