id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/16/value,qualifier/15/value
2709610071,5,61,1,0,15,7gkglopz9cjsysn2u6sbhuvc5,0,33.6,85.6,2024-08-17T13:01:04.202Z,2024-08-17T15:16:21Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5152177339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610147,10,61,1,0,16,f1h34qp5zbfl489q8vnkhiq9s,0,75.8,9.4,2024-08-17T13:01:05.002Z,2024-08-17T13:06:37Z,15yli690oxmbr4dl1ksti2p9m,M. Maden,,,5152177767,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610089,7,43,1,0,16,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-08-17T13:01:05.962Z,2024-08-17T13:06:34Z,7fkc01xxyl1trj3uav134ehyi,D. Gadegaard,,,5152201297,144,56,5152177457,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610101,9,43,1,0,18,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-08-17T13:01:07.050Z,2024-08-17T13:06:23Z,15yli690oxmbr4dl1ksti2p9m,M. Maden,,,5152200609,144,61,5152200033,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610133,6,5,1,0,18,7gkglopz9cjsysn2u6sbhuvc5,1,30.6,101.1,2024-08-17T13:01:07.628Z,2024-08-17T15:06:39Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5152177687,347,,5152177981,233,11,5152177685,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610175,11,5,1,0,18,f1h34qp5zbfl489q8vnkhiq9s,0,69.4,-1.1,2024-08-17T13:01:07.628Z,2024-08-17T15:06:39Z,7fkc01xxyl1trj3uav134ehyi,D. Gadegaard,,,5152177933,347,,5152177931,56,Right,5152178025,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610275,7,1,1,0,25,7gkglopz9cjsysn2u6sbhuvc5,1,43.5,100.0,2024-08-17T13:01:14.786Z,2024-08-17T13:01:21Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5152178489,213,3.72,5152178487,212,15.2,5152178481,56,Back,5152178485,141,89.4,5152178483,140,31.4,5152178479,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610357,8,1,1,0,32,7gkglopz9cjsysn2u6sbhuvc5,1,35.9,62.7,2024-08-17T13:01:21.508Z,2024-08-17T13:01:27Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5152178979,56,Back,5152178981,140,37.5,5152178985,212,19.8,5152178983,141,33.7,5152178987,213,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610437,9,1,1,0,37,7gkglopz9cjsysn2u6sbhuvc5,1,42.0,30.7,2024-08-17T13:01:26.899Z,2024-08-17T13:01:31Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5152179329,1,,5152179327,213,0.97,5152179321,140,67.4,5152179323,141,87.7,5152179325,212,47.0,5152179317,155,,5152179319,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610475,10,1,1,0,42,7gkglopz9cjsysn2u6sbhuvc5,1,67.4,87.2,2024-08-17T13:01:31.362Z,2024-08-17T13:01:35Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5152179541,140,60.0,5152179543,141,72.4,5152179545,212,12.7,5152179547,213,4.05,5152179539,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610517,11,1,1,0,45,7gkglopz9cjsysn2u6sbhuvc5,1,57.2,71.8,2024-08-17T13:01:34.954Z,2024-08-17T13:01:39Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5152179777,56,Back,5152179779,140,47.9,5152179783,212,24.6,5152179785,213,4.30,5152179781,141,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610549,12,1,1,0,50,7gkglopz9cjsysn2u6sbhuvc5,1,62.3,36.9,2024-08-17T13:01:39.483Z,2024-08-17T13:01:42Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5152179965,56,Right,5152179973,213,5.21,5152179971,212,23.1,5152179967,140,72.9,5152179969,141,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610565,13,1,1,0,53,7gkglopz9cjsysn2u6sbhuvc5,1,73.4,7.1,2024-08-17T13:01:42.499Z,2024-08-17T13:01:44Z,6gi9kejni27hjp7b43djczz6d,P. Rejnhold,,,5152180079,213,1.79,5152180069,56,Right,5152180075,212,5.7,5152180073,141,15.3,5152180071,140,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610571,14,1,1,0,54,7gkglopz9cjsysn2u6sbhuvc5,1,72.2,15.3,2024-08-17T13:01:43.818Z,2024-08-17T13:01:44Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5152180119,141,7.7,5152180117,140,73.5,5152180115,56,Right,5152180123,213,4.97,5152180121,212,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610599,15,1,1,0,55,7gkglopz9cjsysn2u6sbhuvc5,1,73.5,7.7,2024-08-17T13:01:44.524Z,2024-08-17T13:01:46Z,6gi9kejni27hjp7b43djczz6d,P. Rejnhold,,,5152180241,141,15.5,5152180243,212,9.3,5152180245,213,2.54,5152180239,140,66.2,5152180237,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610621,16,1,1,0,57,7gkglopz9cjsysn2u6sbhuvc5,1,66.2,15.5,2024-08-17T13:01:46.810Z,2024-08-17T13:01:48Z,78iynnu6cnznv6fxpo4br4mlm,V. Mpindi,,,5152180383,56,Right,5152180385,140,67.8,5152180389,212,6.8,5152180387,141,5.8,5152180391,213,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610627,17,1,1,0,59,7gkglopz9cjsysn2u6sbhuvc5,0,67.8,5.8,2024-08-17T13:01:48.266Z,2024-08-17T13:02:13Z,6gi9kejni27hjp7b43djczz6d,P. Rejnhold,,,5152180425,213,2.57,5152180423,212,12.2,5152180419,140,58.0,5152180417,56,Right,5152180421,141,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610721,13,1,1,1,5,f1h34qp5zbfl489q8vnkhiq9s,1,78.0,70.5,2024-08-17T13:01:54.673Z,2024-08-17T13:02:08Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5152181011,56,Center,5152181013,140,92.0,5152181015,141,70.4,5152181017,212,14.7,5152181019,213,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610751,14,61,1,1,6,f1h34qp5zbfl489q8vnkhiq9s,0,91.9,70.4,2024-08-17T13:01:55.401Z,2024-08-17T13:02:10Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5152181233,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610771,18,12,1,1,14,7gkglopz9cjsysn2u6sbhuvc5,1,8.4,39.8,2024-08-17T13:02:03.083Z,2024-08-17T13:02:14Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5152181333,167,,5152181285,56,Back,5152181299,213,5.34,5152181289,141,0.0,5152181287,140,28.0,5152181293,212,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610825,15,5,1,1,14,f1h34qp5zbfl489q8vnkhiq9s,1,72.0,101.7,2024-08-17T13:02:03.884Z,2024-08-17T15:06:39Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5152181665,233,19,5152181607,56,Left,5152181609,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709610779,19,5,1,1,14,7gkglopz9cjsysn2u6sbhuvc5,0,28.0,-1.7000000000000002,2024-08-17T13:02:03.884Z,2024-08-17T15:06:40Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5152181671,233,15,5152181317,347,,5152181315,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611147,16,1,1,1,44,f1h34qp5zbfl489q8vnkhiq9s,0,83.8,100.0,2024-08-17T13:02:33.619Z,2024-08-17T13:11:45Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5152183523,107,,5152183525,56,Center,5152183531,212,26.0,5152183527,140,89.7,5152183529,141,64.6,5152183533,213,4.95,5152183535,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709617495,115,12,1,1,45,7gkglopz9cjsysn2u6sbhuvc5,1,6.0,42.3,2024-08-17T13:02:34.049Z,2024-08-17T13:11:20Z,78iynnu6cnznv6fxpo4br4mlm,V. Mpindi,,,5152224037,15,,5152223809,56,Back,5152223817,213,0.13,5152223811,140,28.1,5152224297,189,,5152223813,141,46.8,5152223815,212,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709617489,81,1,1,1,45,f1h34qp5zbfl489q8vnkhiq9s,1,65.2,29.9,2024-08-17T13:02:34.817Z,2024-08-17T13:11:41Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5152226111,189,,5152225707,141,47.9,5152225709,212,17.4,5152225701,56,Center,5152225711,213,2.36,5152225705,140,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611211,17,1,1,1,48,f1h34qp5zbfl489q8vnkhiq9s,1,52.1,53.1,2024-08-17T13:02:37.729Z,2024-08-17T13:02:42Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5152183851,213,0.49,5152183853,1,,5152183841,157,,5152183843,56,Center,5152183845,140,79.6,5152183847,141,75.8,5152183849,212,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611219,18,44,1,1,50,f1h34qp5zbfl489q8vnkhiq9s,1,72.6,75.3,2024-08-17T13:02:39.745Z,2024-08-17T15:07:42Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,,5152183913,233,20,5152183885,286,,5152183883,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611177,20,44,1,1,50,7gkglopz9cjsysn2u6sbhuvc5,0,27.4,24.7,2024-08-17T13:02:39.746Z,2024-08-17T15:07:42Z,6gi9kejni27hjp7b43djczz6d,P. Rejnhold,,,5152183739,56,Back,5152183963,233,18,5152183741,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611251,19,1,1,1,51,f1h34qp5zbfl489q8vnkhiq9s,1,79.6,75.8,2024-08-17T13:02:40.257Z,2024-08-17T15:12:17Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,,5152184091,56,Left,5152184093,140,88.4,5152184095,141,94.1,5152184087,3,,5152184099,213,0.93,5152184097,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611267,20,1,1,1,54,f1h34qp5zbfl489q8vnkhiq9s,0,88.1,89.4,2024-08-17T13:02:43.640Z,2024-08-17T13:12:25Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5152184167,141,40.6,5152184169,212,33.3,5152184165,140,90.1,5152184163,56,Center,5152184159,2,,5152184173,1,,5152184171,213,4.78,5152184161,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611273,21,12,1,1,55,7gkglopz9cjsysn2u6sbhuvc5,1,10.5,42.7,2024-08-17T13:02:44.450Z,2024-08-17T13:02:46Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5152184185,141,64.0,5152184183,140,27.1,5152184187,212,22.7,5152184189,213,0.69,5152184193,15,,5152184179,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611329,22,12,1,1,58,7gkglopz9cjsysn2u6sbhuvc5,1,27.1,64.0,2024-08-17T13:02:47.531Z,2024-08-17T13:02:49Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5152184403,213,5.23,5152184397,140,34.8,5152184399,141,43.3,5152184401,212,16.2,5152184395,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611351,24,1,1,2,0,7gkglopz9cjsysn2u6sbhuvc5,1,34.8,43.3,2024-08-17T13:02:49.578Z,2024-08-17T13:02:51Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5152184535,213,4.96,5152184533,212,7.8,5152184529,140,36.6,5152184531,141,32.2,5152184527,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611359,25,3,1,2,2,7gkglopz9cjsysn2u6sbhuvc5,0,33.4,33.6,2024-08-17T13:02:51.226Z,2024-08-17T15:16:22Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5152184735,233,21,5152184547,56,Back,5152185059,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611377,21,7,1,2,2,f1h34qp5zbfl489q8vnkhiq9s,0,66.6,66.4,2024-08-17T13:02:51.227Z,2024-08-17T13:02:56Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5152185027,285,,5152184667,56,Center,5152184695,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611411,26,1,1,2,3,7gkglopz9cjsysn2u6sbhuvc5,1,35.0,31.2,2024-08-17T13:02:52.436Z,2024-08-17T13:15:52Z,78iynnu6cnznv6fxpo4br4mlm,V. Mpindi,,,5152184981,56,Back,5152184983,140,27.5,5152184985,141,24.1,5152184989,213,3.69,5152184987,212,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709621611,143,1,1,2,4,7gkglopz9cjsysn2u6sbhuvc5,0,18.9,29.3,2024-08-17T13:02:53.478Z,2024-08-17T13:15:50Z,6gi9kejni27hjp7b43djczz6d,P. Rejnhold,,,5152247649,213,0.21,5152247647,212,10.0,5152247645,141,32.3,5152247643,140,28.2,5152247641,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611501,23,1,1,2,9,f1h34qp5zbfl489q8vnkhiq9s,1,85.2,66.3,2024-08-17T13:02:58.033Z,2024-08-17T13:04:45Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,1.0,,5152185531,56,Center,5152185535,140,88.2,5152185539,141,72.0,5152185543,212,5.0,5152185547,213,0.89,5152192907,210,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611505,24,13,1,2,9,f1h34qp5zbfl489q8vnkhiq9s,1,88.2,72.0,2024-08-17T13:02:58.424Z,2024-08-17T13:14:57Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5152192921,102,47.4,5152185563,64,,5152185565,56,Center,5152242861,328,,5152192927,230,97.2,5152192917,55,23,5152192687,72,,5152192925,215,,5152192923,103,75,5152192929,231,56.0,5152185561,22,5152192913,74,5152192915,29,,,,,,,,,,,,,,,,,,
2709611533,25,5,1,2,10,f1h34qp5zbfl489q8vnkhiq9s,0,101.2,58.6,2024-08-17T13:02:59.692Z,2024-08-17T15:06:40Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5152185713,56,Center,5152186609,233,27,5152185715,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611685,27,5,1,2,10,7gkglopz9cjsysn2u6sbhuvc5,1,-1.2,41.4,2024-08-17T13:02:59.692Z,2024-08-17T15:06:40Z,78iynnu6cnznv6fxpo4br4mlm,V. Mpindi,,,5152186587,346,,5152186591,233,25,5152186585,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611693,28,1,1,2,27,7gkglopz9cjsysn2u6sbhuvc5,1,4.5,44.9,2024-08-17T13:03:16.186Z,2024-08-17T13:03:17Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5152186641,237,,5152186631,140,4.5,5152186629,56,Back,5152186627,124,,5152186633,141,51.3,5152186635,212,4.4,5152186637,213,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611705,29,1,1,2,28,7gkglopz9cjsysn2u6sbhuvc5,1,4.5,51.3,2024-08-17T13:03:17.387Z,2024-08-17T13:03:19Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5152186703,140,11.1,5152186705,141,71.4,5152186707,212,15.3,5152186709,213,1.10,5152186699,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611727,30,1,1,2,30,7gkglopz9cjsysn2u6sbhuvc5,1,23.6,73.9,2024-08-17T13:03:19.610Z,2024-08-17T13:03:21Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5152186841,141,91.2,5152186845,213,1.04,5152186843,212,13.7,5152186837,56,Back,5152186839,140,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611741,31,1,1,2,32,7gkglopz9cjsysn2u6sbhuvc5,0,30.2,91.2,2024-08-17T13:03:21.138Z,2024-08-17T13:03:22Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5152186913,141,82.4,5152186915,212,11.5,5152186911,140,39.5,5152186917,213,5.73,5152186909,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611791,27,61,1,2,36,f1h34qp5zbfl489q8vnkhiq9s,0,65.2,16.3,2024-08-17T13:03:25.377Z,2024-08-17T13:03:25Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5152187209,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709611861,32,1,1,2,37,7gkglopz9cjsysn2u6sbhuvc5,1,35.8,83.0,2024-08-17T13:03:26.139Z,2024-08-17T15:16:19Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5152187513,56,Back,5152187515,140,45.4,5152187521,213,5.58,5152187519,212,13.2,5152187517,141,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
