id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value
2706906245,52,1,1,0,13,ajtb177oqwawkdwbqhldmq6mx,0,68.2,61.1,2024-08-09T17:00:24.052Z,2024-08-09T17:05:43Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5137294209,141,74.4,5137294203,3,,5137294207,140,69.8,5137294211,212,9.2,5137294215,213,1.39,5137294205,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706907677,75,1,1,0,14,8gxd9ry2580pu1b1dd5ny9ymy,0,23.5,17.0,2024-08-09T17:00:25.040Z,2024-08-09T17:08:31Z,1cumsropo1r0msfzxxteml1w,J. Adjei-Broni,,,5137301975,56,Back,5137301983,213,0.03,5137301977,140,37.2,5137301979,141,17.6,5137301981,212,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904799,7,43,1,0,15,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-09T17:00:25.888Z,2024-08-09T17:08:55Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5137303349,144,61,5137283941,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904819,8,1,1,0,16,ajtb177oqwawkdwbqhldmq6mx,1,57.7,76.3,2024-08-09T17:00:26.744Z,2024-08-09T17:00:28Z,38shfw53eg5qtvem3d3ou04r8,R. Minerba,,,5137284031,212,13.5,5137284025,56,Center,5137284029,141,78.8,5137284027,140,70.5,5137284033,213,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904825,9,1,1,0,17,ajtb177oqwawkdwbqhldmq6mx,1,71.1,78.8,2024-08-09T17:00:28.160Z,2024-08-09T17:00:29Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5137284063,212,9.9,5137284059,140,73.6,5137284057,56,Center,5137284061,141,64.8,5137284065,213,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904833,10,1,1,0,18,ajtb177oqwawkdwbqhldmq6mx,1,73.6,64.8,2024-08-09T17:00:29.024Z,2024-08-09T17:00:30Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5137284099,140,70.7,5137284105,213,2.07,5137284101,141,73.0,5137284097,56,Center,5137284103,212,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904839,11,61,1,0,19,ajtb177oqwawkdwbqhldmq6mx,0,70.7,73.0,2024-08-09T17:00:29.416Z,2024-08-09T17:09:56Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5137284115,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904837,5,5,1,0,19,8gxd9ry2580pu1b1dd5ny9ymy,1,35.9,-1.7000000000000002,2024-08-09T17:00:29.884Z,2024-08-09T19:31:54Z,1cumsropo1r0msfzxxteml1w,J. Adjei-Broni,,,5137284111,56,Back,5137286005,233,12,5137284113,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904875,12,5,1,0,19,ajtb177oqwawkdwbqhldmq6mx,0,64.1,101.7,2024-08-09T17:00:29.884Z,2024-08-09T19:31:54Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5137284279,347,,5137284277,56,Left,5137286041,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904887,6,1,1,0,26,8gxd9ry2580pu1b1dd5ny9ymy,1,33.6,0.0,2024-08-09T17:00:36.516Z,2024-08-09T17:00:39Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5137284321,140,35.4,5137284325,212,10.4,5137284323,141,13.5,5137284319,56,Back,5137284317,107,,5137284327,213,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904891,7,50,1,0,28,8gxd9ry2580pu1b1dd5ny9ymy,1,33.5,15.0,2024-08-09T17:00:39.188Z,2024-08-09T19:28:03Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5137812455,286,,5137284419,233,13,5137284337,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904905,13,7,1,0,28,ajtb177oqwawkdwbqhldmq6mx,1,66.5,85.0,2024-08-09T17:00:39.189Z,2024-08-09T19:28:02Z,kqj7nh6pqmqbt0abyyu0fcpg,O. Addo,,,5137284449,285,,5137284383,56,Left,5137284411,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904903,8,61,1,0,29,8gxd9ry2580pu1b1dd5ny9ymy,1,31.7,12.5,2024-08-09T17:00:39.413Z,2024-08-09T17:12:03Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5137284381,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706907681,76,45,1,0,30,8gxd9ry2580pu1b1dd5ny9ymy,0,33.8,10.7,2024-08-09T17:00:40.670Z,2024-08-09T17:12:45Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5137313467,56,Back,5137314623,233,128,5137313469,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706910491,128,3,1,0,30,ajtb177oqwawkdwbqhldmq6mx,1,66.2,89.3,2024-08-09T17:00:40.670Z,2024-08-09T17:12:48Z,kqj7nh6pqmqbt0abyyu0fcpg,O. Addo,,,5137314599,233,76,5137314589,286,,5137314587,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904927,9,45,1,0,36,8gxd9ry2580pu1b1dd5ny9ymy,0,15.8,7.6,2024-08-09T17:00:46.785Z,2024-08-09T19:26:25Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5137284619,233,15,5137284527,56,Back,5137284529,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904937,15,3,1,0,36,ajtb177oqwawkdwbqhldmq6mx,1,84.2,92.4,2024-08-09T17:00:46.785Z,2024-08-09T19:26:25Z,kqj7nh6pqmqbt0abyyu0fcpg,O. Addo,,,5137284573,56,Left,5137284575,286,,5137284603,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904949,16,1,1,0,37,ajtb177oqwawkdwbqhldmq6mx,1,82.1,90.0,2024-08-09T17:00:48.207Z,2024-08-09T17:00:50Z,kqj7nh6pqmqbt0abyyu0fcpg,O. Addo,,,5137284631,140,86.8,5137284635,212,25.0,5137284637,213,4.91,5137284629,56,Center,5137284633,141,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904971,17,1,1,0,39,ajtb177oqwawkdwbqhldmq6mx,1,86.8,54.0,2024-08-09T17:00:49.352Z,2024-08-09T17:12:59Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,1.0,,5137315179,168,,5137284773,212,9.7,5137288445,154,,5137284767,56,Center,5137284775,213,2.75,5137284771,141,59.4,5137284769,140,78.3,5137288443,210,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904977,18,13,1,0,40,ajtb177oqwawkdwbqhldmq6mx,1,81.2,52.1,2024-08-09T17:00:50.920Z,2024-08-09T19:37:28Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5137284783,22,,5137284787,56,Center,5137857967,328,,5137288463,215,,5137288457,154,,5137288459,55,17,5137288453,73,,5137284989,20,,5137288455,29,5137285081,102,61.5,5137285083,103,6.9,5137285089,231,49.3,5137284785,18,5137285087,230,100,,,,,,,,,,,,,,
2706905075,10,5,1,0,43,8gxd9ry2580pu1b1dd5ny9ymy,1,-0.8,41.8,2024-08-09T17:00:53.656Z,2024-08-09T19:31:55Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5137285243,56,Back,5137285275,233,19,5137285247,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904983,19,5,1,0,43,ajtb177oqwawkdwbqhldmq6mx,0,100.8,58.2,2024-08-09T17:00:53.656Z,2024-08-09T19:31:55Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5137284809,56,Center,5137285295,233,10,5137284811,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905093,11,1,1,1,0,8gxd9ry2580pu1b1dd5ny9ymy,1,5.0,60.8,2024-08-09T17:01:10.884Z,2024-08-09T17:01:15Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5137285343,140,35.9,5137285349,213,5.53,5137285347,212,44.4,5137285337,124,,5137285345,141,16.2,5137285341,56,Back,5137285339,155,,5137285355,74,,5137285351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905095,12,61,1,1,4,8gxd9ry2580pu1b1dd5ny9ymy,1,37.0,14.0,2024-08-09T17:01:15.131Z,2024-08-09T17:01:15Z,1cumsropo1r0msfzxxteml1w,J. Adjei-Broni,,,5137285363,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905121,13,1,1,1,5,8gxd9ry2580pu1b1dd5ny9ymy,1,31.0,18.2,2024-08-09T17:01:16.053Z,2024-08-09T17:01:20Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5137285545,213,0.54,5137285541,212,14.8,5137285533,56,Back,5137285537,141,29.4,5137285535,140,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706912443,141,1,1,1,6,8gxd9ry2580pu1b1dd5ny9ymy,1,47.7,34.8,2024-08-09T17:01:16.332Z,2024-08-09T17:17:37Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5137327697,212,9.3,5137327693,140,39.9,5137327699,213,3.63,5137327695,141,28.4,5137327691,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905125,14,50,1,1,7,8gxd9ry2580pu1b1dd5ny9ymy,1,46.3,34.6,2024-08-09T17:01:18.095Z,2024-08-09T20:15:46Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5137285553,56,Back,5137285631,233,20,5137285555,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905141,20,7,1,1,7,ajtb177oqwawkdwbqhldmq6mx,1,53.7,65.4,2024-08-09T17:01:18.096Z,2024-08-09T17:08:08Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5137285619,56,Center,5137285621,285,,5137285625,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905137,15,1,1,1,10,8gxd9ry2580pu1b1dd5ny9ymy,0,43.6,36.0,2024-08-09T17:01:21.139Z,2024-08-09T20:15:48Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5137323583,286,,5137323347,141,36.2,5137323579,233,21,5137323577,236,,5137323349,212,3.8,5137323345,140,47.2,5137285611,56,Back,5137323351,213,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905173,21,74,1,1,10,ajtb177oqwawkdwbqhldmq6mx,1,57.4,65.8,2024-08-09T17:01:21.140Z,2024-08-09T20:15:50Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5137323593,233,15,5137285757,56,Center,5137303067,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706912435,172,1,1,1,11,ajtb177oqwawkdwbqhldmq6mx,0,56.6,73.2,2024-08-09T17:01:22.185Z,2024-08-09T17:19:18Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5137329403,141,61.5,5137329407,213,4.69,5137329399,56,Center,5137329405,212,8.0,5137329401,140,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706912431,140,61,1,1,12,8gxd9ry2580pu1b1dd5ny9ymy,1,44.7,37.2,2024-08-09T17:01:23.148Z,2024-08-09T17:19:20Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5137332285,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905201,16,1,1,1,15,8gxd9ry2580pu1b1dd5ny9ymy,1,55.4,27.1,2024-08-09T17:01:25.347Z,2024-08-09T17:01:30Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5137285891,213,0.60,5137285885,140,62.7,5137285883,56,Center,5137285889,212,9.3,5137285887,141,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905207,17,1,1,1,19,8gxd9ry2580pu1b1dd5ny9ymy,1,68.3,29.2,2024-08-09T17:01:29.924Z,2024-08-09T17:01:30Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5137285927,141,15.2,5137285923,56,Right,5137285929,212,9.5,5137285925,140,69.0,5137285931,213,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905223,18,1,1,1,20,8gxd9ry2580pu1b1dd5ny9ymy,1,69.5,15.3,2024-08-09T17:01:30.691Z,2024-08-09T17:01:32Z,1cumsropo1r0msfzxxteml1w,J. Adjei-Broni,,,5137285967,56,Center,5137285969,140,69.9,5137285971,141,28.8,5137285975,213,1.53,5137285973,212,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905237,19,1,1,1,22,8gxd9ry2580pu1b1dd5ny9ymy,0,69.4,30.0,2024-08-09T17:01:32.771Z,2024-08-09T20:58:30Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5137286077,140,84.2,5137286079,141,30.0,5137286075,56,Center,5137286083,212,15.5,5137286087,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706914769,173,50,1,1,23,8gxd9ry2580pu1b1dd5ny9ymy,1,82.8,31.1,2024-08-09T17:01:33.961Z,2024-08-09T19:28:03Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5137338915,233,22,5137338851,56,Center,5137338853,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905239,22,7,1,1,23,ajtb177oqwawkdwbqhldmq6mx,1,17.2,68.9,2024-08-09T17:01:33.962Z,2024-08-09T17:22:09Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5137286093,56,Back,5137338883,233,173,5137286095,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905247,23,1,1,1,24,ajtb177oqwawkdwbqhldmq6mx,1,24.2,41.9,2024-08-09T17:01:34.978Z,2024-08-09T17:22:38Z,8xfqengyrwgxhhi86ok88vf2s,M. Bøttker,,,5137286133,212,14.8,5137286127,56,Back,5137286129,140,30.3,5137286135,213,1.12,5137286131,141,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905253,25,1,1,1,27,ajtb177oqwawkdwbqhldmq6mx,1,32.6,52.8,2024-08-09T17:01:37.312Z,2024-08-09T17:01:38Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5137286163,141,72.1,5137286167,213,1.16,5137286159,56,Back,5137286165,212,14.3,5137286161,140,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905265,26,1,1,1,28,ajtb177oqwawkdwbqhldmq6mx,1,38.0,72.1,2024-08-09T17:01:38.361Z,2024-08-09T17:01:40Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5137286215,140,36.7,5137286221,213,1.66,5137286219,212,14.7,5137286213,56,Back,5137286217,141,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905279,27,1,1,1,30,ajtb177oqwawkdwbqhldmq6mx,0,40.5,87.4,2024-08-09T17:01:40.577Z,2024-08-09T17:22:59Z,kqj7nh6pqmqbt0abyyu0fcpg,O. Addo,,,5137286291,56,Left,5137286295,141,86.6,5137286293,140,68.2,5137286299,213,6.26,5137286297,212,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905283,28,43,1,1,32,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-09T17:01:42.776Z,2024-08-09T17:23:01Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5137286343,56,Left,5137340879,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905333,20,5,1,1,33,8gxd9ry2580pu1b1dd5ny9ymy,1,30.1,-1.8,2024-08-09T17:01:43.696Z,2024-08-09T19:31:56Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5137286553,56,Back,5137286563,233,29,5137286555,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905291,29,5,1,1,33,ajtb177oqwawkdwbqhldmq6mx,0,69.9,101.8,2024-08-09T17:01:43.696Z,2024-08-09T19:31:56Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5137286375,347,,5137286593,233,20,5137286373,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905347,21,1,1,1,40,8gxd9ry2580pu1b1dd5ny9ymy,1,27.1,0.0,2024-08-09T17:01:51.259Z,2024-08-09T17:01:53Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5137286609,213,0.92,5137286599,107,,5137286603,140,35.4,5137286607,212,14.4,5137286605,141,15.3,5137286601,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905361,22,1,1,1,41,8gxd9ry2580pu1b1dd5ny9ymy,1,35.4,15.3,2024-08-09T17:01:52.099Z,2024-08-09T20:58:32Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,,5137286673,141,8.8,5137286677,213,3.65,5137342047,189,,5137286669,56,Back,5137286671,140,27.9,5137286675,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706905371,23,1,1,1,44,8gxd9ry2580pu1b1dd5ny9ymy,1,27.8,8.8,2024-08-09T17:01:54.547Z,2024-08-09T17:01:56Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5137286751,155,,5137286755,140,57.4,5137286763,1,,5137286761,213,0.41,5137286757,141,28.5,5137286753,56,Center,5137286759,212,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
