id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2711323247,7,61,1,0,13,8gxd9ry2580pu1b1dd5ny9ymy,1,64.9,75.6,2024-08-20T17:01:02.619Z,2024-08-20T17:04:04Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,5161659545,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323265,5,50,1,0,18,aqtkb4mgrz8c6iqfufj6qjbv9,1,38.7,30.3,2024-08-20T17:01:08.144Z,2024-08-20T17:04:02Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,5161661285,286,,5161659647,56,Back,5161661323,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323269,8,7,1,0,18,8gxd9ry2580pu1b1dd5ny9ymy,1,61.3,69.7,2024-08-20T17:01:08.145Z,2024-08-20T17:04:01Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,5161659669,56,Center,5161661313,285,,5161661319,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323661,49,1,1,0,19,8gxd9ry2580pu1b1dd5ny9ymy,0,62.5,85.4,2024-08-20T17:01:08.460Z,2024-08-20T17:05:40Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,5161663149,212,14.1,5161663143,56,Left,5161663151,213,2.32,5161663153,1,,5161663141,157,,5161663147,141,100.0,5161663145,140,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323275,6,5,1,0,20,aqtkb4mgrz8c6iqfufj6qjbv9,1,53.6,-1.4,2024-08-20T17:01:09.631Z,2024-08-20T17:56:10Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,5161659691,233,9,5161659685,56,Right,5161659687,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323273,9,5,1,0,20,8gxd9ry2580pu1b1dd5ny9ymy,0,46.4,101.4,2024-08-20T17:01:09.631Z,2024-08-20T17:56:10Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,5161659699,233,6,5161659681,56,Back,5161659683,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323297,7,1,1,0,29,aqtkb4mgrz8c6iqfufj6qjbv9,1,57.5,0.0,2024-08-20T17:01:18.823Z,2024-08-20T17:01:21Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,5161659843,107,,5161659851,212,11.9,5161659849,141,12.0,5161659853,213,2.27,5161659845,56,Right,5161659847,140,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323303,8,1,1,0,32,aqtkb4mgrz8c6iqfufj6qjbv9,0,50.2,12.0,2024-08-20T17:01:21.744Z,2024-08-20T17:01:23Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5161659879,212,38.1,5161659881,213,0.06,5161659873,56,Right,5161659877,141,15.2,5161659875,140,86.4,5161659871,157,,5161659883,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323319,10,1,1,0,37,8gxd9ry2580pu1b1dd5ny9ymy,0,8.6,89.9,2024-08-20T17:01:26.454Z,2024-08-20T17:01:29Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5161659965,141,64.6,5161659967,212,18.7,5161659971,1,,5161659961,56,Back,5161659963,140,15.7,5161659959,157,,5161659969,213,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323321,9,61,1,0,40,aqtkb4mgrz8c6iqfufj6qjbv9,1,82.3,37.7,2024-08-20T17:01:29.801Z,2024-08-20T17:01:29Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5161659973,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711324031,70,61,1,0,41,aqtkb4mgrz8c6iqfufj6qjbv9,1,84.0,38.9,2024-08-20T17:01:30.317Z,2024-08-20T17:07:44Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5161664537,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323325,11,12,1,0,42,8gxd9ry2580pu1b1dd5ny9ymy,1,15.4,65.2,2024-08-20T17:01:31.824Z,2024-08-20T17:01:33Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5161659997,213,0.39,5161659989,56,Back,5161659995,212,13.7,5161659991,140,27.5,5161659993,141,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323331,12,1,1,0,43,8gxd9ry2580pu1b1dd5ny9ymy,0,27.4,72.9,2024-08-20T17:01:32.446Z,2024-08-20T20:24:54Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5161660019,141,61.5,5161660015,56,Back,5161660023,213,5.67,5161660021,212,13.4,5161660017,140,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323337,10,1,1,0,43,aqtkb4mgrz8c6iqfufj6qjbv9,1,74.7,40.7,2024-08-20T17:01:32.778Z,2024-08-20T17:01:36Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5161660083,140,78.9,5161660089,213,5.32,5161660079,3,,5161660081,56,Center,5161660085,141,31.3,5161660087,212,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711324207,83,83,1,0,45,8gxd9ry2580pu1b1dd5ny9ymy,0,25.6,70.1,2024-08-20T17:01:35.168Z,2024-08-20T17:09:07Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,5161665499,399,1n4eldqa7h9jvcx1693zqu06i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323339,11,1,1,0,46,aqtkb4mgrz8c6iqfufj6qjbv9,1,76.9,31.2,2024-08-20T17:01:35.879Z,2024-08-20T17:01:37Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,5161660119,141,34.8,5161660121,212,3.7,5161660117,140,79.6,5161660115,56,Center,5161660123,213,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323341,12,1,1,0,47,aqtkb4mgrz8c6iqfufj6qjbv9,1,79.6,34.8,2024-08-20T17:01:37.191Z,2024-08-20T17:01:37Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,5161660131,140,74.8,5161660133,141,34.5,5161660137,213,3.18,5161660135,212,5.0,5161660129,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323345,13,1,1,0,48,aqtkb4mgrz8c6iqfufj6qjbv9,1,74.8,34.5,2024-08-20T17:01:37.783Z,2024-08-20T17:01:40Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5161660157,140,78.5,5161660155,56,Right,5161660161,212,17.1,5161660159,141,10.0,5161660163,213,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323347,14,1,1,0,51,aqtkb4mgrz8c6iqfufj6qjbv9,0,76.1,3.2,2024-08-20T17:01:40.463Z,2024-08-20T17:01:41Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,5161660199,233,13,5161660169,140,79.7,5161660173,212,4.2,5161660167,56,Right,5161660175,213,0.44,5161660171,141,5.8,5161660197,236,,5161660203,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323349,13,74,1,0,51,8gxd9ry2580pu1b1dd5ny9ymy,1,22.1,95.4,2024-08-20T17:01:40.464Z,2024-08-20T17:56:38Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5161660179,285,,5161660177,56,Back,5161660205,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323353,14,5,1,0,52,8gxd9ry2580pu1b1dd5ny9ymy,0,21.2,101.2,2024-08-20T17:01:41.329Z,2024-08-20T17:56:11Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5161660211,347,,5161660299,233,15,5161660209,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323365,15,5,1,0,52,aqtkb4mgrz8c6iqfufj6qjbv9,1,78.8,-1.2,2024-08-20T17:01:41.329Z,2024-08-20T17:56:11Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,5161660279,56,Right,5161660295,233,14,5161660281,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323371,16,1,1,1,1,aqtkb4mgrz8c6iqfufj6qjbv9,0,74.8,0.0,2024-08-20T17:01:50.623Z,2024-08-20T17:01:55Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,5161660311,140,82.1,5161660313,141,9.7,5161660307,107,,5161660317,213,0.80,5161660309,56,Right,5161660315,212,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323385,15,12,1,1,3,8gxd9ry2580pu1b1dd5ny9ymy,1,13.6,75.7,2024-08-20T17:01:52.478Z,2024-08-20T17:01:55Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5161660401,141,92.6,5161660399,140,36.6,5161660403,212,26.7,5161660397,56,Back,5161660405,213,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323387,16,44,1,1,6,8gxd9ry2580pu1b1dd5ny9ymy,1,38.3,89.9,2024-08-20T17:01:55.477Z,2024-08-20T17:56:43Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,5161661191,233,18,5161660415,56,Back,5161660417,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323393,18,44,1,1,6,aqtkb4mgrz8c6iqfufj6qjbv9,0,61.7,10.1,2024-08-20T17:01:55.478Z,2024-08-20T17:56:43Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5161660473,286,,5161660471,56,Right,5161661211,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323389,17,1,1,1,6,8gxd9ry2580pu1b1dd5ny9ymy,0,36.7,92.4,2024-08-20T17:01:55.838Z,2024-08-20T17:01:56Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,5161660437,213,4.69,5161660435,212,12.0,5161660429,56,Back,5161660431,140,36.4,5161660433,141,74.7,5161660427,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323399,19,43,1,1,8,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-20T17:01:57.895Z,2024-08-20T17:03:17Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5161660503,56,Right,5161661379,144,1,5161660509,212,4.1,5161660511,213,1.44,5161660501,3,0,5161660505,140,61.2,5161660507,141,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323401,20,50,1,1,10,aqtkb4mgrz8c6iqfufj6qjbv9,1,62.0,21.6,2024-08-20T17:01:59.908Z,2024-08-20T17:56:35Z,bpldj4qdzfdm1n739atcadbmc,B. Kücükylidiz,,5161660527,56,Center,5161663097,286,,5161663119,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323395,18,7,1,1,10,8gxd9ry2580pu1b1dd5ny9ymy,0,38.0,78.4,2024-08-20T17:01:59.909Z,2024-08-20T17:56:35Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,5161663115,233,20,5161660477,285,,5161660475,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323409,21,1,1,1,14,aqtkb4mgrz8c6iqfufj6qjbv9,1,58.4,20.0,2024-08-20T17:02:04.040Z,2024-08-20T17:02:05Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5161660559,140,71.5,5161660563,212,18.0,5161660557,56,Center,5161660555,155,,5161660565,213,0.70,5161660561,141,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323413,22,1,1,1,14,aqtkb4mgrz8c6iqfufj6qjbv9,0,71.5,37.0,2024-08-20T17:02:04.168Z,2024-08-20T17:10:39Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5161660585,212,9.7,5161660577,168,,5161660587,213,0.44,5161660583,141,43.1,5161660579,56,Center,5161660573,3,,5161660581,140,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323403,19,61,1,1,15,8gxd9ry2580pu1b1dd5ny9ymy,1,19.4,61.1,2024-08-20T17:02:04.316Z,2024-08-20T17:02:04Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,5161660531,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323437,20,1,1,1,16,8gxd9ry2580pu1b1dd5ny9ymy,0,20.7,67.0,2024-08-20T17:02:05.591Z,2024-08-20T17:56:22Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5161660739,141,47.3,5161666759,157,,5161660741,212,37.2,5161666761,1,,5161660737,140,53.8,5161660743,213,5.92,5161660735,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323423,23,1,1,1,19,aqtkb4mgrz8c6iqfufj6qjbv9,1,44.3,46.0,2024-08-20T17:02:08.424Z,2024-08-20T17:02:15Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,5161660667,141,61.7,5161660665,140,41.8,5161660661,3,,5161660671,213,1.81,5161660669,212,11.0,5161660663,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323431,24,1,1,1,25,aqtkb4mgrz8c6iqfufj6qjbv9,1,39.2,83.8,2024-08-20T17:02:15.152Z,2024-08-20T17:02:19Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,5161660711,56,Left,5161660717,212,36.3,5161660709,157,,5161660715,141,96.3,5161660719,213,0.24,5161660713,140,72.8,5161660721,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323433,25,61,1,1,29,aqtkb4mgrz8c6iqfufj6qjbv9,0,72.8,96.3,2024-08-20T17:02:19.168Z,2024-08-20T17:02:19Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5161660725,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323455,21,5,1,1,31,8gxd9ry2580pu1b1dd5ny9ymy,1,23.0,-1.8,2024-08-20T17:02:20.313Z,2024-08-20T17:56:12Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,5161660813,347,,5161660811,56,Back,5161660815,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323435,26,5,1,1,31,aqtkb4mgrz8c6iqfufj6qjbv9,0,77.0,101.8,2024-08-20T17:02:20.313Z,2024-08-20T17:56:12Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5161660731,347,,5161660729,56,Left,5161660823,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323459,22,1,1,1,42,8gxd9ry2580pu1b1dd5ny9ymy,1,18.9,0.0,2024-08-20T17:02:31.821Z,2024-08-20T17:02:33Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5161660851,1,,5161660843,140,8.8,5161660849,213,2.06,5161660855,189,,5161660841,56,Back,5161660845,141,27.1,5161660847,212,22.5,5161660839,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323467,23,1,1,1,46,8gxd9ry2580pu1b1dd5ny9ymy,1,9.8,34.3,2024-08-20T17:02:35.405Z,2024-08-20T17:02:38Z,d9hh01mit4geyadol3gmzco9,F. Đukić,,5161660889,141,46.6,5161660893,213,0.78,5161660887,140,17.8,5161660891,212,11.9,5161660885,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323473,24,1,1,1,48,8gxd9ry2580pu1b1dd5ny9ymy,1,21.3,40.7,2024-08-20T17:02:37.869Z,2024-08-20T17:02:40Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5161660923,56,Back,5161660929,212,16.9,5161660931,213,6.01,5161660925,140,36.8,5161660927,141,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323477,25,1,1,1,50,8gxd9ry2580pu1b1dd5ny9ymy,1,31.3,36.9,2024-08-20T17:02:39.981Z,2024-08-20T17:02:42Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5161660965,213,1.95,5161660957,56,Back,5161660961,141,60.0,5161660963,212,16.9,5161660959,140,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323483,26,1,1,1,53,8gxd9ry2580pu1b1dd5ny9ymy,1,25.3,64.0,2024-08-20T17:02:42.279Z,2024-08-20T17:02:44Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5161660999,141,81.5,5161661003,213,1.10,5161660995,56,Back,5161660997,140,31.1,5161661001,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323495,27,1,1,1,54,8gxd9ry2580pu1b1dd5ny9ymy,1,30.3,82.6,2024-08-20T17:02:43.823Z,2024-08-20T17:02:50Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5161661051,56,Back,5161661055,141,82.3,5161661057,212,15.0,5161661053,140,44.6,5161661059,213,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323491,27,83,1,1,58,aqtkb4mgrz8c6iqfufj6qjbv9,0,50.1,14.4,2024-08-20T17:02:47.847Z,2024-08-20T17:02:50Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,5161661079,399,9tt9eo9bsff7dp7aqjal1obo4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323497,28,50,1,2,0,8gxd9ry2580pu1b1dd5ny9ymy,1,38.2,94.4,2024-08-20T17:02:49.869Z,2024-08-20T17:02:56Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5161661065,286,,5161661063,56,Back,5161661133,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323507,28,7,1,2,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,61.8,5.6,2024-08-20T17:02:49.870Z,2024-08-20T17:02:56Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,5161661127,233,28,5161661101,56,Right,5161661099,167,,5161661103,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711323501,29,3,1,2,2,8gxd9ry2580pu1b1dd5ny9ymy,0,36.3,95.8,2024-08-20T17:02:52.141Z,2024-08-20T17:56:36Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5161668341,233,121,5161661081,56,Back,5161661083,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
