id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value
2705192763,13,1,1,0,15,6wwwud48qahpwrfxs20334qk5,0,30.1,51.2,2024-08-02T17:00:25.203Z,2024-08-02T17:00:28Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5127825875,56,Center,5127825877,140,56.3,5127825883,213,0.05,5127825879,141,53.1,5127825881,212,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192765,3,8,1,0,18,b8oqgvx1ijeyn6y1cn6929ix4,1,38.5,51.8,2024-08-02T17:00:28.256Z,2024-08-05T11:24:13Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5127825887,56,Back,5134190869,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192895,10,43,1,0,19,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-02T17:00:29.999Z,2024-08-05T11:24:25Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5134190891,144,61,5127827671,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192793,14,1,1,0,20,6wwwud48qahpwrfxs20334qk5,1,52.1,46.4,2024-08-02T17:00:30.844Z,2024-08-02T17:00:34Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5127826035,212,14.8,5127826031,140,64.6,5127826029,56,Center,5127826037,213,0.49,5127826033,141,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192779,4,83,1,0,20,b8oqgvx1ijeyn6y1cn6929ix4,0,28.6,49.0,2024-08-02T17:00:30.854Z,2024-08-02T17:02:54Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5127829617,399,9jqox80arzpytv1b136jobhpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192797,15,1,1,0,21,6wwwud48qahpwrfxs20334qk5,1,65.5,54.9,2024-08-02T17:00:31.540Z,2024-08-02T19:41:08Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5127826059,212,3.4,5127826061,213,2.26,5127826053,56,Center,5127826057,141,58.8,5127826055,140,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193765,61,1,1,0,22,6wwwud48qahpwrfxs20334qk5,0,61.5,62.0,2024-08-02T17:00:32.143Z,2024-08-02T20:00:18Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5127832737,56,Center,5127832743,212,10.5,5127832749,213,5.99,5127832739,140,71.1,5127832741,141,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192787,5,8,1,0,23,b8oqgvx1ijeyn6y1cn6929ix4,1,31.1,31.5,2024-08-02T17:00:33.542Z,2024-08-05T11:24:44Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5134190925,384,,5127833885,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192811,6,1,1,0,25,b8oqgvx1ijeyn6y1cn6929ix4,0,25.8,29.7,2024-08-02T17:00:35.078Z,2024-08-02T19:41:10Z,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,,,5127826159,213,0.37,5127826151,56,Center,5127826153,140,72.8,5127834345,157,,5127826155,141,57.9,5127826157,212,52.9,5127834347,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705194587,101,1,1,0,28,6wwwud48qahpwrfxs20334qk5,1,28.2,44.0,2024-08-02T17:00:38.875Z,2024-08-02T20:00:20Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5127836517,141,36.8,5127836515,140,8.5,5127836513,56,Back,5127836519,212,21.3,5127836521,213,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192825,16,43,1,0,34,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-02T17:00:44.036Z,2024-08-02T17:05:52Z,cu2l7ju3t72stqhwaurrnqbqh,M. Lamhauge,,,5127834903,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192837,17,1,1,0,34,6wwwud48qahpwrfxs20334qk5,1,10.0,42.5,2024-08-02T17:00:44.124Z,2024-08-05T11:25:04Z,cu2l7ju3t72stqhwaurrnqbqh,M. Lamhauge,,,5127826301,212,24.7,5127826295,56,Back,5127826297,140,25.6,5128262641,189,,5127826299,141,15.4,5127826303,213,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192843,18,43,1,0,36,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-02T17:00:46.412Z,2024-08-05T11:25:08Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5127826341,140,47.2,5128262711,189,0,5134190965,144,1,5127826343,141,8.0,5127826339,56,Back,5127826345,212,18.6,5127826347,213,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192851,19,1,1,0,37,6wwwud48qahpwrfxs20334qk5,1,47.2,8.0,2024-08-02T17:00:48.012Z,2024-08-02T17:00:50Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5127826381,141,20.9,5127826385,213,2.19,5127826379,140,41.2,5127826383,212,10.8,5127826377,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192871,20,1,1,0,39,6wwwud48qahpwrfxs20334qk5,1,46.3,8.5,2024-08-02T17:00:49.988Z,2024-08-02T17:00:55Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5127826483,141,3.5,5127826487,213,6.13,5127826481,140,66.7,5127826485,212,21.7,5127826479,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192873,21,1,1,0,43,6wwwud48qahpwrfxs20334qk5,0,66.7,3.5,2024-08-02T17:00:53.605Z,2024-08-02T17:00:57Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5127826559,286,,5127826501,140,61.3,5127826499,56,Right,5127826553,236,,5127826503,141,6.1,5127826505,212,5.9,5127826555,233,8,5127826507,213,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192861,8,74,1,0,43,b8oqgvx1ijeyn6y1cn6929ix4,1,38.3,88.0,2024-08-02T17:00:53.606Z,2024-08-02T19:41:13Z,f1ba9g771s0zeel0titcj3omi,A. Njai,,,5127826441,56,Back,5127826523,233,21,5127826443,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192869,9,5,1,0,44,b8oqgvx1ijeyn6y1cn6929ix4,0,43.6,101.4,2024-08-02T17:00:54.974Z,2024-08-02T17:01:01Z,f1ba9g771s0zeel0titcj3omi,A. Njai,,,5127826647,233,22,5127826477,347,,5127826475,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192889,22,5,1,0,44,6wwwud48qahpwrfxs20334qk5,1,56.4,-1.4,2024-08-02T17:00:54.974Z,2024-08-02T19:11:40Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5127826611,56,Right,5127826633,233,9,5127826613,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192907,23,1,1,0,50,6wwwud48qahpwrfxs20334qk5,1,46.5,0.0,2024-08-02T17:01:00.180Z,2024-08-05T11:29:41Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5127826665,141,15.2,5127826667,212,15.7,5127826663,140,36.5,5127826661,56,Back,5127826659,107,,5127826669,213,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192911,24,1,1,0,52,6wwwud48qahpwrfxs20334qk5,1,37.1,19.3,2024-08-02T17:01:02.236Z,2024-08-02T17:01:04Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5127826687,140,34.4,5127826685,56,Back,5127826693,213,1.71,5127826691,212,20.7,5127826689,141,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192925,25,1,1,0,53,6wwwud48qahpwrfxs20334qk5,1,37.3,57.0,2024-08-02T17:01:04.028Z,2024-08-02T17:01:06Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5127826775,56,Back,5127826777,140,38.7,5127826783,213,1.49,5127826779,141,83.3,5127826781,212,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192951,26,1,1,0,56,6wwwud48qahpwrfxs20334qk5,1,35.9,77.4,2024-08-02T17:01:06.468Z,2024-08-02T17:01:11Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5127826935,56,Back,5127826937,140,15.0,5127826943,213,3.85,5127826941,212,28.8,5127826939,141,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192959,27,1,1,1,0,6wwwud48qahpwrfxs20334qk5,1,21.6,39.4,2024-08-02T17:01:11.028Z,2024-08-02T20:05:52Z,cu2l7ju3t72stqhwaurrnqbqh,M. Lamhauge,,,5127826977,213,5.04,5127826975,212,14.6,5127826971,140,26.0,5127826969,56,Back,5127826973,141,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192977,28,1,1,1,2,6wwwud48qahpwrfxs20334qk5,1,27.0,17.6,2024-08-02T17:01:12.996Z,2024-08-02T17:01:18Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5127827093,56,Back,5127827101,213,2.40,5127827099,212,22.6,5127827097,141,40.1,5127827095,140,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192989,29,1,1,1,7,6wwwud48qahpwrfxs20334qk5,1,13.5,44.0,2024-08-02T17:01:17.908Z,2024-08-02T17:01:21Z,cu2l7ju3t72stqhwaurrnqbqh,M. Lamhauge,,,5127827183,141,17.3,5127827187,213,5.13,5127827185,212,19.9,5127827179,56,Back,5127827181,140,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192995,30,1,1,1,11,6wwwud48qahpwrfxs20334qk5,1,25.6,12.1,2024-08-02T17:01:21.732Z,2024-08-02T17:01:23Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5127827219,141,4.4,5127827221,212,10.3,5127827215,56,Back,5127827217,140,34.1,5127827223,213,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193009,31,1,1,1,13,6wwwud48qahpwrfxs20334qk5,1,32.5,8.6,2024-08-02T17:01:23.223Z,2024-08-02T17:01:27Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5127827295,212,15.4,5127827291,140,44.9,5127827289,56,Back,5127827297,213,0.57,5127827293,141,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193021,32,1,1,1,17,6wwwud48qahpwrfxs20334qk5,1,39.7,22.6,2024-08-02T17:01:27.084Z,2024-08-02T20:06:16Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5127827327,56,Back,5127827333,212,13.8,5127827335,213,2.60,5127827331,141,33.1,5127827329,140,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193017,11,43,1,1,18,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-02T17:01:28.071Z,2024-08-05T11:30:21Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5134191415,144,83,5127828519,399,7ztdirfvd9d0x2yw1v051xzbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193025,33,1,1,1,19,6wwwud48qahpwrfxs20334qk5,1,30.8,33.2,2024-08-02T17:01:29.780Z,2024-08-02T17:01:31Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5127827371,56,Back,5127827375,141,60.2,5127827377,212,19.8,5127827379,213,1.95,5127827373,140,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193037,34,1,1,1,21,6wwwud48qahpwrfxs20334qk5,1,24.2,64.1,2024-08-02T17:01:31.221Z,2024-08-02T17:01:35Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5127827449,213,1.21,5127827443,140,29.7,5127827441,56,Back,5127827445,141,86.9,5127827447,212,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193047,35,1,1,1,25,6wwwud48qahpwrfxs20334qk5,1,42.6,78.8,2024-08-02T17:01:35.549Z,2024-08-02T17:01:39Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5127827493,141,63.8,5127827497,213,3.95,5127827489,56,Back,5127827491,140,33.4,5127827495,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193055,36,1,1,1,28,6wwwud48qahpwrfxs20334qk5,1,33.7,62.6,2024-08-02T17:01:38.900Z,2024-08-02T17:01:41Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5127827547,141,82.7,5127827551,213,0.79,5127827545,140,46.6,5127827543,56,Back,5127827549,212,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193067,37,1,1,1,30,6wwwud48qahpwrfxs20334qk5,1,46.6,82.7,2024-08-02T17:01:40.876Z,2024-08-02T17:01:45Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5127827621,56,Back,5127827629,213,3.80,5127827627,212,18.1,5127827625,141,66.3,5127827623,140,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193083,38,1,1,1,35,6wwwud48qahpwrfxs20334qk5,1,36.2,45.1,2024-08-02T17:01:45.213Z,2024-08-02T17:01:47Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5127827709,213,4.73,5127827703,140,36.5,5127827705,141,23.2,5127827701,56,Back,5127827707,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193131,39,1,1,1,37,6wwwud48qahpwrfxs20334qk5,1,37.4,20.9,2024-08-02T17:01:47.244Z,2024-08-02T17:01:54Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5127827957,141,5.5,5127827955,140,46.6,5127827953,56,Back,5127827961,213,5.46,5127827959,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193137,40,1,1,1,44,6wwwud48qahpwrfxs20334qk5,1,54.2,9.7,2024-08-02T17:01:54.533Z,2024-08-02T17:01:55Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5127827969,56,Right,5127827973,141,6.1,5127827977,213,5.87,5127827975,212,6.1,5127827971,140,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193161,41,1,1,1,45,6wwwud48qahpwrfxs20334qk5,1,59.5,6.2,2024-08-02T17:01:55.420Z,2024-08-02T17:01:59Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5127828059,56,Back,5127828061,140,43.3,5127828063,141,14.8,5127828065,212,18.0,5127828067,213,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193217,42,1,1,1,49,6wwwud48qahpwrfxs20334qk5,1,44.5,18.1,2024-08-02T17:01:59.836Z,2024-08-02T17:02:08Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5127828355,56,Right,5127828357,140,61.9,5127828363,213,0.00,5127828361,212,18.3,5127828359,141,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193173,12,43,1,1,51,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-02T17:02:01.808Z,2024-08-05T11:31:13Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5127829611,399,6wfu6s6xo5zjeke21fgbouql0,5134191853,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193221,43,50,1,1,57,6wwwud48qahpwrfxs20334qk5,1,74.0,42.1,2024-08-02T17:02:07.127Z,2024-08-02T17:09:49Z,6wfu6s6xo5zjeke21fgbouql0,J. Jessen,,,5127828369,56,Center,5127842493,286,,5127842515,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193209,13,7,1,1,57,b8oqgvx1ijeyn6y1cn6929ix4,0,26.0,57.9,2024-08-02T17:02:07.128Z,2024-08-05T11:31:10Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5127842495,233,43,5127842341,56,Back,5134191807,385,,5127842343,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706364469,958,61,1,1,58,6wwwud48qahpwrfxs20334qk5,1,75.7,50.7,2024-08-02T17:02:08.127Z,2024-08-05T11:31:33Z,6wfu6s6xo5zjeke21fgbouql0,J. Jessen,,,5134191941,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193227,14,43,1,1,58,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-02T17:02:08.280Z,2024-08-02T17:09:19Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5127828433,233,43,5127841737,144,7,5127828381,285,0,5127828379,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193261,16,1,1,2,1,b8oqgvx1ijeyn6y1cn6929ix4,1,33.8,32.7,2024-08-02T17:02:11.890Z,2024-08-02T17:02:14Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5127828561,140,40.5,5127828559,56,Back,5127828567,213,5.20,5127828565,212,14.9,5127828563,141,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193275,17,1,1,2,4,b8oqgvx1ijeyn6y1cn6929ix4,0,52.0,11.4,2024-08-02T17:02:14.328Z,2024-08-02T17:02:17Z,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,,,5127828625,56,Right,5127828627,140,70.2,5127828633,213,6.27,5127828629,141,11.0,5127828631,212,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193319,45,1,1,2,8,6wwwud48qahpwrfxs20334qk5,1,17.0,90.6,2024-08-02T17:02:18.349Z,2024-08-02T17:02:25Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5127828849,56,Back,5127828853,141,70.5,5127828857,213,4.08,5127828855,212,17.0,5127828851,140,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
