id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2812422477,7,1,1,0,9,7gkglopz9cjsysn2u6sbhuvc5,1,46.9,50.3,2025-05-10T12:00:42.910Z,2025-05-10T12:00:44Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5714376535,213,6.21,5714376525,3,,5714376531,141,49.3,5714376533,212,9.2,5714376527,56,Center,5714376529,140,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422481,8,1,1,0,11,7gkglopz9cjsysn2u6sbhuvc5,0,55.6,49.3,2025-05-10T12:00:44.270Z,2025-05-10T12:00:44Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5714376557,56,Center,5714376559,140,59.8,5714376563,212,5.0,5714376565,213,0.48,5714376561,141,52.7,5714376555,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422513,5,1,1,0,12,8cfkisxf1fkxdqtt6tx1tup48,0,31.7,44.2,2025-05-10T12:00:45.841Z,2025-05-10T12:00:47Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5714376719,140,45.8,5714376717,56,Back,5714376723,212,14.8,5714376715,3,,5714376725,213,6.21,5714376721,141,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422551,9,1,1,0,15,7gkglopz9cjsysn2u6sbhuvc5,1,48.0,56.4,2025-05-10T12:00:48.598Z,2025-05-10T12:00:50Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5714376907,213,0.91,5714376909,1,,5714376899,56,Center,5714376905,212,10.9,5714376901,140,54.4,5714376903,141,69.1,5714376893,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422571,10,1,1,0,17,7gkglopz9cjsysn2u6sbhuvc5,1,54.2,73.0,2025-05-10T12:00:50.591Z,2025-05-10T12:00:53Z,6t6k24gn6zwxz1g6c3n4ph0q,M. Haarup,,,5714377063,56,Back,5714377069,212,21.2,5714377067,141,90.8,5714377065,140,37.6,5714377071,213,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422577,11,1,1,0,19,7gkglopz9cjsysn2u6sbhuvc5,0,37.6,90.8,2025-05-10T12:00:52.863Z,2025-05-10T12:00:53Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5714377129,140,40.1,5714377137,1,,5714377127,56,Back,5714377133,212,2.7,5714377125,157,,5714377131,141,91.7,5714377135,213,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422581,6,61,1,0,20,8cfkisxf1fkxdqtt6tx1tup48,1,41.7,28.9,2025-05-10T12:00:53.673Z,2025-05-10T12:00:53Z,k43cten7yb6p59yo0firhb84,M. Rasmussen,,,5714377151,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423373,21,83,1,0,24,7gkglopz9cjsysn2u6sbhuvc5,0,40.9,84.2,2025-05-10T12:00:57.536Z,2025-05-10T12:02:08Z,bh06w40pwo6dy3cjrw3r2i0ru,I. Nikolov,,,5714381911,399,abhfq12njxxutqjtb9zvcusyc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422639,7,50,1,0,25,8cfkisxf1fkxdqtt6tx1tup48,1,58.0,24.0,2025-05-10T12:00:58.616Z,2025-05-10T12:06:45Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5714377495,286,,5714403427,233,12,5714377493,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422645,12,7,1,0,25,7gkglopz9cjsysn2u6sbhuvc5,0,42.0,76.0,2025-05-10T12:00:58.617Z,2025-05-10T12:06:45Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5714403463,233,7,5714377515,285,,5714377513,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422689,8,5,1,0,27,8cfkisxf1fkxdqtt6tx1tup48,1,45.1,-1.1,2025-05-10T12:01:00.759Z,2025-05-10T14:17:21Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5714377743,56,Back,5714377745,347,,5714377981,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422729,13,5,1,0,27,7gkglopz9cjsysn2u6sbhuvc5,0,54.9,101.1,2025-05-10T12:01:00.759Z,2025-05-10T14:17:22Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5714378011,233,8,5714377955,347,,5714377953,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422709,9,1,1,0,29,8cfkisxf1fkxdqtt6tx1tup48,1,38.6,0.0,2025-05-10T12:01:03.144Z,2025-05-10T12:04:06Z,k43cten7yb6p59yo0firhb84,M. Rasmussen,,,5714377829,141,19.5,5714377827,140,60.3,5714377833,213,0.56,5714377823,107,,5714377835,1,,5714377831,212,26.9,5714377825,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422733,10,1,1,0,30,8cfkisxf1fkxdqtt6tx1tup48,1,60.3,19.5,2025-05-10T12:01:03.897Z,2025-05-10T12:01:05Z,444n8m1tirk6lp739iigw42c5,M. Rochester,,,5714377973,141,9.0,5714377975,212,13.0,5714377971,140,49.9,5714377969,56,Back,5714377977,213,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422751,11,1,1,0,31,8cfkisxf1fkxdqtt6tx1tup48,1,49.9,9.0,2025-05-10T12:01:05.057Z,2025-05-10T12:01:06Z,k43cten7yb6p59yo0firhb84,M. Rasmussen,,,5714378081,141,11.2,5714378085,212,12.6,5714378077,56,Back,5714378089,213,3.02,5714378079,140,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422797,12,1,1,0,33,8cfkisxf1fkxdqtt6tx1tup48,1,38.0,10.9,2025-05-10T12:01:06.257Z,2025-05-10T12:01:11Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5714378375,213,2.39,5714378371,141,41.2,5714378373,212,30.2,5714378369,140,17.0,5714378367,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422835,13,1,1,0,38,8cfkisxf1fkxdqtt6tx1tup48,1,14.4,48.1,2025-05-10T12:01:11.696Z,2025-05-10T12:01:15Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5714378597,213,5.18,5714378589,56,Back,5714378593,141,13.3,5714378591,140,25.8,5714378595,212,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422863,14,1,1,0,41,8cfkisxf1fkxdqtt6tx1tup48,0,26.2,11.2,2025-05-10T12:01:14.872Z,2025-05-10T12:01:17Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5714378755,155,,5714378767,141,17.5,5714378769,212,48.1,5714378759,140,71.8,5714378773,1,,5714378757,56,Right,5714378771,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422881,14,12,1,0,44,7gkglopz9cjsysn2u6sbhuvc5,1,29.6,88.4,2025-05-10T12:01:17.679Z,2025-05-10T12:01:21Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5714378863,213,0.44,5714378877,15,,5714378851,140,31.4,5714378855,141,89.7,5714378847,56,Back,5714378859,212,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422923,15,83,1,0,48,7gkglopz9cjsysn2u6sbhuvc5,0,30.5,88.7,2025-05-10T12:01:21.208Z,2025-05-10T12:01:24Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5714379271,399,444n8m1tirk6lp739iigw42c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422927,15,1,1,0,48,8cfkisxf1fkxdqtt6tx1tup48,0,66.8,14.4,2025-05-10T12:01:21.353Z,2025-05-10T12:01:22Z,444n8m1tirk6lp739iigw42c5,M. Rochester,,,5714379113,212,7.5,5714379111,141,13.3,5714379115,213,3.24,5714379107,56,Right,5714379109,140,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812422969,16,8,1,0,51,7gkglopz9cjsysn2u6sbhuvc5,1,32.5,87.5,2025-05-10T12:01:24.407Z,2025-05-10T12:07:02Z,6t6k24gn6zwxz1g6c3n4ph0q,M. Haarup,,,5714379295,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423029,18,1,1,0,54,7gkglopz9cjsysn2u6sbhuvc5,1,32.5,87.5,2025-05-10T12:01:27.240Z,2025-05-10T12:01:28Z,6t6k24gn6zwxz1g6c3n4ph0q,M. Haarup,,,5714379583,212,12.4,5714379579,140,34.6,5714379585,213,4.89,5714379581,141,69.6,5714379577,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423075,19,1,1,0,54,7gkglopz9cjsysn2u6sbhuvc5,1,34.6,69.6,2025-05-10T12:01:27.967Z,2025-05-10T12:01:31Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5714379827,212,16.1,5714379829,213,0.37,5714379821,56,Back,5714379825,141,78.1,5714379823,140,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423035,16,83,1,0,55,8cfkisxf1fkxdqtt6tx1tup48,0,49.6,21.9,2025-05-10T12:01:28.433Z,2025-05-10T12:01:35Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5714380067,399,11cna826ls27ahux2w0ckapqt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423107,20,1,1,0,59,7gkglopz9cjsysn2u6sbhuvc5,0,70.2,88.0,2025-05-10T12:01:32.968Z,2025-05-10T12:01:34Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5714379999,1,,5714379979,56,Center,5714379983,140,90.9,5714379977,155,,5714379991,212,36.5,5714379995,213,5.35,5714379975,2,,5714379987,141,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423315,19,1,1,1,18,8cfkisxf1fkxdqtt6tx1tup48,1,9.6,54.7,2025-05-10T12:01:51.328Z,2025-05-10T12:01:58Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5714381209,1,,5714381197,198,,5714381207,213,5.85,5714381199,56,Right,5714381203,141,14.7,5714381195,157,,5714381201,140,65.3,5714381205,212,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423335,20,1,1,1,24,8cfkisxf1fkxdqtt6tx1tup48,1,64.1,8.5,2025-05-10T12:01:58Z,2025-05-10T12:02:00Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5714381317,140,47.3,5714381319,141,13.6,5714381315,56,Back,5714381321,212,18.0,5714381323,213,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423361,21,1,1,1,26,8cfkisxf1fkxdqtt6tx1tup48,1,47.2,13.6,2025-05-10T12:01:59.960Z,2025-05-10T12:02:03Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5714381519,212,12.8,5714381517,141,30.0,5714381513,56,Back,5714381521,213,2.08,5714381515,140,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423423,22,1,1,1,29,8cfkisxf1fkxdqtt6tx1tup48,1,37.2,26.2,2025-05-10T12:02:02.880Z,2025-05-10T12:02:07Z,7al9w77ailhli8g487tkl32tw,M. Westergren,,,5714381855,56,Back,5714381863,213,2.01,5714381861,212,13.2,5714381857,140,31.9,5714381859,141,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423465,23,1,1,1,36,8cfkisxf1fkxdqtt6tx1tup48,0,30.6,45.7,2025-05-10T12:02:09.625Z,2025-05-10T12:02:10Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5714382111,213,6.13,5714382107,141,38.7,5714382101,155,,5714382105,140,60.4,5714382109,212,31.6,5714382103,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423565,22,1,1,1,39,7gkglopz9cjsysn2u6sbhuvc5,1,36.0,70.2,2025-05-10T12:02:13.010Z,2025-05-10T12:02:17Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5714382659,213,0.33,5714382653,140,49.5,5714382651,56,Back,5714382657,212,15.0,5714382655,141,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423577,24,1,1,1,45,7gkglopz9cjsysn2u6sbhuvc5,0,57.1,77.6,2025-05-10T12:02:18.311Z,2025-05-10T12:03:50Z,6t6k24gn6zwxz1g6c3n4ph0q,M. Haarup,,,5714382711,213,0.14,5714382709,212,1.5,5714382703,56,Center,5714382707,141,77.9,5714382705,140,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423563,24,61,1,1,46,8cfkisxf1fkxdqtt6tx1tup48,1,28.1,40.0,2025-05-10T12:02:19.312Z,2025-05-10T12:09:32Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5714382641,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423619,26,1,1,1,47,8cfkisxf1fkxdqtt6tx1tup48,0,28.9,13.8,2025-05-10T12:02:21.112Z,2025-05-10T12:02:21Z,k43cten7yb6p59yo0firhb84,M. Rasmussen,,,5714382943,157,,5714382945,56,Back,5714382955,1,,5714382951,212,20.5,5714382953,213,0.94,5714382949,141,38.1,5714382947,140,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423633,25,8,1,1,49,7gkglopz9cjsysn2u6sbhuvc5,1,60.6,90.8,2025-05-10T12:02:22.551Z,2025-05-10T12:07:41Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5714383001,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423733,27,1,1,1,51,7gkglopz9cjsysn2u6sbhuvc5,1,56.2,74.2,2025-05-10T12:02:24.664Z,2025-05-10T12:02:28Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5714383525,212,16.3,5714383521,140,42.1,5714383523,141,84.4,5714383527,213,2.70,5714383519,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423803,28,1,1,1,55,7gkglopz9cjsysn2u6sbhuvc5,1,40.6,76.0,2025-05-10T12:02:28.304Z,2025-05-10T12:02:33Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5714383899,213,3.76,5714383893,140,29.5,5714383895,141,63.9,5714383897,212,14.3,5714383891,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423825,29,1,1,1,59,7gkglopz9cjsysn2u6sbhuvc5,1,30.4,58.1,2025-05-10T12:02:33.128Z,2025-05-10T12:02:34Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5714383999,56,Back,5714384003,141,74.8,5714384005,212,11.4,5714384001,140,29.4,5714384007,213,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423847,30,1,1,2,1,7gkglopz9cjsysn2u6sbhuvc5,1,30.3,77.3,2025-05-10T12:02:34.768Z,2025-05-10T12:02:36Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5714384109,141,95.0,5714384107,140,39.4,5714384111,212,15.4,5714384113,213,0.90,5714384105,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423861,31,1,1,2,3,7gkglopz9cjsysn2u6sbhuvc5,0,39.4,95.0,2025-05-10T12:02:36.392Z,2025-05-10T12:02:37Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5714384173,140,53.3,5714384179,213,5.45,5714384177,212,21.8,5714384171,56,Center,5714384175,141,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423881,27,8,1,2,6,8cfkisxf1fkxdqtt6tx1tup48,1,43.0,46.8,2025-05-10T12:02:39.208Z,2025-05-10T12:02:39Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5714384299,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423893,28,1,1,2,7,8cfkisxf1fkxdqtt6tx1tup48,0,48.1,44.7,2025-05-10T12:02:40.184Z,2025-05-10T12:02:40Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5714384393,213,4.30,5714384385,140,45.2,5714384387,141,34.6,5714384383,56,Back,5714384389,212,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423935,32,1,1,2,8,7gkglopz9cjsysn2u6sbhuvc5,1,54.0,85.6,2025-05-10T12:02:41.872Z,2025-05-10T12:02:43Z,6t6k24gn6zwxz1g6c3n4ph0q,M. Haarup,,,5714384581,213,3.42,5714384577,141,83.6,5714384575,140,49.4,5714384579,212,5.0,5714384573,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423941,33,1,1,2,9,7gkglopz9cjsysn2u6sbhuvc5,1,46.6,82.4,2025-05-10T12:02:43.072Z,2025-05-10T12:02:43Z,bh06w40pwo6dy3cjrw3r2i0ru,I. Nikolov,,,5714384619,56,Back,5714384627,213,5.27,5714384623,141,76.0,5714384625,212,5.1,5714384621,140,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812423985,34,1,1,2,10,7gkglopz9cjsysn2u6sbhuvc5,1,49.2,76.0,2025-05-10T12:02:43.736Z,2025-05-10T12:02:46Z,6t6k24gn6zwxz1g6c3n4ph0q,M. Haarup,,,5714384831,141,94.8,5714384835,213,0.92,5714384833,212,16.0,5714384827,56,Left,5714384829,140,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812424029,35,1,1,2,13,7gkglopz9cjsysn2u6sbhuvc5,1,58.9,95.0,2025-05-10T12:02:46.488Z,2025-05-10T12:02:49Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5714385097,213,3.28,5714385089,56,Back,5714385093,141,91.1,5714385091,140,41.4,5714385095,212,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
