id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/15/value
2734790005,3,1,1,0,15,b2vft81kyjurzbmekvgrqwr64,0,37.4,67.6,2024-10-18T17:01:58.113Z,2024-10-18T17:01:59Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5290224199,141,63.6,5290224201,212,8.7,5290224195,56,Back,5290224193,3,,5290224197,140,45.3,5290224203,213,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790031,9,1,1,0,16,8cfkisxf1fkxdqtt6tx1tup48,1,70.6,31.0,2024-10-18T17:01:59.780Z,2024-10-18T17:02:02Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5290224359,213,1.48,5290224351,141,63.3,5290224345,56,Center,5290224355,212,22.1,5290224347,140,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790063,10,1,1,0,18,8cfkisxf1fkxdqtt6tx1tup48,1,72.6,63.3,2024-10-18T17:02:01.926Z,2024-10-18T17:02:04Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5290224475,56,Left,5290224487,212,12.2,5290224489,213,1.55,5290224483,141,81.2,5290224479,140,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790193,11,1,1,0,21,8cfkisxf1fkxdqtt6tx1tup48,1,72.8,80.5,2024-10-18T17:02:04.404Z,2024-10-18T17:02:15Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5290225069,140,79.1,5290225067,56,Left,5290225075,213,0.95,5290225073,212,11.4,5290225071,141,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790199,12,4,1,0,29,8cfkisxf1fkxdqtt6tx1tup48,1,87.4,68.6,2024-10-18T17:02:12.824Z,2024-10-18T17:03:28Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5290225843,286,,5290225873,233,4,5290225833,9,,5290225835,13,,5290225841,265,,5290229655,348,3mcj3wypzq3lno1ehc0vif1sl,5290225839,152,,5290225837,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790177,4,4,1,0,29,b2vft81kyjurzbmekvgrqwr64,0,12.6,31.4,2024-10-18T17:02:12.825Z,2024-10-18T17:02:31Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5290225149,265,,5290225893,233,12,5290225147,152,,5290225141,9,,5290225151,285,,5290225143,13,,5290225145,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790759,5,58,1,1,14,b2vft81kyjurzbmekvgrqwr64,0,0.0,0.0,2024-10-18T17:02:57.227Z,2024-10-18T19:04:19Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5290227945,9,,5290227953,56,Back,5290227951,75,,5290227947,186,,5290228283,233,13,5290227949,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790747,13,16,1,1,14,8cfkisxf1fkxdqtt6tx1tup48,1,88.5,50.0,2024-10-18T17:02:57.227Z,2024-10-18T19:17:25Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5290228893,390,449741,5290228891,103,6.3,5290228895,458,,5290228897,230,99.5,5290231709,78,,5290229009,353,5,5290228899,231,50,5290228887,102,51.4,5290228167,374,2024-10-18 18:02:56.502,5290228909,472,12,5290227885,17,5290227889,214,5290227887,56,Center,5290228905,282,4042,5290227883,9,5290228163,20,5290228171,375,01:13.501,5290228901,280,PENALTY_WON,5290228903,281,4ti8pdx03j8dh4mdb626ltmvo,,,,
2734791157,6,1,1,1,50,b2vft81kyjurzbmekvgrqwr64,1,50.1,50.7,2024-10-18T17:03:33.238Z,2024-10-18T17:06:03Z,4qyfoq5fjiochtj89w426lm21,S. Andreasen,,,5290230075,140,35.0,5290230073,56,Back,5290240993,189,,5290230077,141,45.8,5290230083,279,G,5290230079,212,16.2,5290230081,213,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791171,7,1,1,1,51,b2vft81kyjurzbmekvgrqwr64,1,35.0,45.8,2024-10-18T17:03:34.671Z,2024-10-18T19:47:56Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5290230183,140,53.0,5290230185,141,19.2,5290230181,56,Right,5290230187,212,26.2,5290241199,189,,5290230189,213,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791181,8,1,1,1,52,b2vft81kyjurzbmekvgrqwr64,1,53.0,19.2,2024-10-18T17:03:35.655Z,2024-10-18T17:03:36Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5290230241,141,31.9,5290230243,212,14.5,5290230245,213,2.50,5290230237,56,Back,5290230239,140,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791207,9,1,1,1,53,b2vft81kyjurzbmekvgrqwr64,1,41.9,31.9,2024-10-18T17:03:36.350Z,2024-10-18T17:03:39Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5290230381,141,13.4,5290230379,140,54.1,5290230383,212,18.0,5290230385,213,5.51,5290230377,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791245,10,1,1,1,55,b2vft81kyjurzbmekvgrqwr64,1,52.7,12.6,2024-10-18T17:03:38.870Z,2024-10-18T17:03:41Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5290230565,155,,5290230571,141,44.2,5290230573,212,23.4,5290230567,56,Center,5290230569,140,61.5,5290230577,213,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791257,11,44,1,1,56,b2vft81kyjurzbmekvgrqwr64,1,61.5,40.8,2024-10-18T17:03:39.594Z,2024-10-18T19:03:50Z,8gqvlydur0v4cpmz1ozqkejh0,M. Bruhn,,,5290230649,286,,5290230647,56,Center,5290230721,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791219,14,44,1,1,56,8cfkisxf1fkxdqtt6tx1tup48,0,38.5,59.2,2024-10-18T17:03:39.595Z,2024-10-18T19:03:50Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5290230743,233,11,5290230445,56,Back,5290230447,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791263,12,1,1,1,57,b2vft81kyjurzbmekvgrqwr64,0,61.5,44.2,2024-10-18T17:03:40.079Z,2024-10-18T17:06:38Z,8gqvlydur0v4cpmz1ozqkejh0,M. Bruhn,,,5290230685,141,44.5,5290230683,140,69.1,5290230687,212,8.0,5290230689,213,0.03,5290230679,3,,5290230681,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791431,16,1,1,2,8,8cfkisxf1fkxdqtt6tx1tup48,1,22.7,62.3,2024-10-18T17:03:51.083Z,2024-10-18T17:03:55Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5290231495,56,Center,5290231493,157,,5290231505,1,,5290231503,213,0.24,5290231497,140,64.4,5290231499,141,78.2,5290231501,212,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791439,17,44,1,2,12,8cfkisxf1fkxdqtt6tx1tup48,1,64.4,80.2,2024-10-18T17:03:55.125Z,2024-10-18T17:04:00Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5290231551,233,13,5290231541,286,,5290231539,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791427,13,44,1,2,12,b2vft81kyjurzbmekvgrqwr64,0,35.6,19.8,2024-10-18T17:03:55.126Z,2024-10-18T17:04:00Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5290231485,56,Back,5290231579,233,17,5290231487,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791497,18,1,1,2,12,8cfkisxf1fkxdqtt6tx1tup48,0,64.4,78.2,2024-10-18T17:03:55.811Z,2024-10-18T17:04:01Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5290231803,56,Left,5290231805,140,81.0,5290231807,141,91.7,5290231809,212,19.7,5290231799,3,,5290231811,213,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791651,14,5,1,2,16,b2vft81kyjurzbmekvgrqwr64,1,17.0,-1.8,2024-10-18T17:03:59.532Z,2024-10-18T19:04:20Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5290232637,233,19,5290232571,56,Back,5290232573,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791503,19,5,1,2,16,8cfkisxf1fkxdqtt6tx1tup48,0,83.0,101.8,2024-10-18T17:03:59.532Z,2024-10-18T19:04:20Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5290231831,347,,5290231829,56,Left,5290232677,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791685,15,1,1,2,27,b2vft81kyjurzbmekvgrqwr64,1,18.1,0.0,2024-10-18T17:04:10.016Z,2024-10-18T17:04:12Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5290232739,141,12.8,5290232743,213,1.07,5290232741,212,11.3,5290232735,56,Back,5290232733,107,,5290232737,140,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791709,16,1,1,2,28,b2vft81kyjurzbmekvgrqwr64,1,23.3,12.8,2024-10-18T17:04:11.598Z,2024-10-18T17:04:14Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5290232897,56,Back,5290232901,141,14.6,5290232903,212,14.8,5290232899,140,9.3,5290232905,213,3.06,5290232895,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791725,17,1,1,2,31,b2vft81kyjurzbmekvgrqwr64,1,9.3,14.6,2024-10-18T17:04:14.406Z,2024-10-18T17:04:16Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5290232975,140,25.1,5290232973,56,Back,5290232971,157,,5290232977,141,6.4,5290232983,1,,5290232981,213,5.96,5290232979,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791729,18,1,1,2,32,b2vft81kyjurzbmekvgrqwr64,0,25.1,6.4,2024-10-18T17:04:15.959Z,2024-10-18T19:48:36Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5290233003,3,,5290233005,56,Back,5290233007,140,39.8,5290233013,213,0.64,5290233011,212,19.3,5290233009,141,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791747,20,1,1,2,34,8cfkisxf1fkxdqtt6tx1tup48,0,70.9,85.7,2024-10-18T17:04:17.235Z,2024-10-18T17:04:18Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5290233085,3,,5290233095,213,0.00,5290233093,212,9.2,5290233087,56,Left,5290233089,140,79.7,5290233091,141,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791739,19,43,1,2,34,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-10-18T17:04:17.461Z,2024-10-18T17:04:45Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5290233053,56,Back,5290234895,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791765,20,1,1,2,36,b2vft81kyjurzbmekvgrqwr64,0,31.9,23.6,2024-10-18T17:04:19.589Z,2024-10-18T19:48:38Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5290233181,212,9.3,5290233179,141,26.2,5290233177,140,40.6,5290233183,213,0.19,5290233175,56,Back,5290233173,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791777,21,43,1,2,37,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-10-18T17:04:20.861Z,2024-10-18T17:04:44Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5290234805,144,56,5290233231,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791785,21,1,1,2,38,8cfkisxf1fkxdqtt6tx1tup48,0,63.1,86.5,2024-10-18T17:04:21.068Z,2024-10-18T17:04:22Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5290233279,141,88.3,5290233281,212,12.1,5290233275,56,Left,5290233273,3,,5290233277,140,74.6,5290233283,213,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791805,22,1,1,2,40,b2vft81kyjurzbmekvgrqwr64,0,31.8,17.4,2024-10-18T17:04:23.102Z,2024-10-18T19:48:31Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5290233373,212,18.8,5290233375,213,0.26,5290233369,140,49.1,5290233367,56,Back,5290233365,3,,5290233371,141,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791825,22,1,1,2,41,8cfkisxf1fkxdqtt6tx1tup48,0,68.9,81.1,2024-10-18T17:04:24.651Z,2024-10-18T19:48:39Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5290233501,213,6.20,5290233499,212,9.4,5290233489,3,,5290233497,141,80.0,5290233493,56,Left,5290233495,140,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791879,23,1,1,2,43,b2vft81kyjurzbmekvgrqwr64,1,44.9,30.1,2024-10-18T17:04:26.669Z,2024-10-18T19:48:40Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5290233829,213,4.04,5290233819,3,,5290233821,56,Back,5290233825,141,18.3,5290233823,140,38.8,5290233827,212,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791911,24,1,1,2,45,b2vft81kyjurzbmekvgrqwr64,0,30.5,14.7,2024-10-18T17:04:28.982Z,2024-10-18T17:04:31Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5290234003,141,21.9,5290233997,157,,5290234005,212,32.1,5290234007,213,0.15,5290234009,1,,5290234001,140,60.7,5290233999,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791933,23,1,1,2,48,8cfkisxf1fkxdqtt6tx1tup48,0,42.2,78.8,2024-10-18T17:04:31.362Z,2024-10-18T17:04:32Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5290234107,56,Left,5290234113,212,27.8,5290234115,213,0.07,5290234111,141,81.7,5290234109,140,68.6,5290234117,1,,5290234105,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791963,25,1,1,2,50,b2vft81kyjurzbmekvgrqwr64,0,46.2,30.1,2024-10-18T17:04:33.709Z,2024-10-18T17:04:34Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5290234247,56,Back,5290234259,213,1.52,5290234249,140,47.2,5290234253,141,60.3,5290234245,3,,5290234255,212,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734791999,24,61,1,2,54,8cfkisxf1fkxdqtt6tx1tup48,0,65.6,50.9,2024-10-18T17:04:37.538Z,2024-10-18T17:04:37Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5290234433,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734792031,27,1,1,2,55,b2vft81kyjurzbmekvgrqwr64,0,38.1,45.1,2024-10-18T17:04:38.421Z,2024-10-18T17:04:40Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5290234587,141,22.5,5290234585,140,52.8,5290234583,56,Center,5290234591,213,5.50,5290234589,212,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734792091,26,1,1,3,1,8cfkisxf1fkxdqtt6tx1tup48,1,69.7,78.5,2024-10-18T17:04:44.358Z,2024-10-18T17:04:45Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5290234891,213,2.82,5290234889,212,28.1,5290234887,141,91.4,5290234883,56,Back,5290234885,140,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734792119,27,1,1,3,2,8cfkisxf1fkxdqtt6tx1tup48,1,44.3,91.4,2024-10-18T17:04:45.386Z,2024-10-18T17:04:48Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5290235015,56,Back,5290235017,140,31.5,5290235023,213,3.81,5290235021,212,17.2,5290235019,141,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734792171,28,1,1,3,4,8cfkisxf1fkxdqtt6tx1tup48,1,31.5,75.9,2024-10-18T17:04:47.922Z,2024-10-18T17:04:50Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5290235275,212,29.4,5290235273,141,34.0,5290235277,213,4.46,5290235269,56,Back,5290235271,140,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734792227,29,1,1,3,7,8cfkisxf1fkxdqtt6tx1tup48,1,24.5,34.0,2024-10-18T17:04:50.555Z,2024-10-18T17:04:54Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5290235601,141,56.4,5290235597,56,Back,5290235603,212,16.5,5290235605,213,1.17,5290235599,140,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734792269,30,1,1,3,11,8cfkisxf1fkxdqtt6tx1tup48,1,30.8,56.6,2024-10-18T17:04:54.267Z,2024-10-18T17:04:58Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5290235821,1,,5290235877,4,,5290235819,213,5.94,5290235817,212,55.0,5290235811,56,Center,5290235809,155,,5290235815,141,29.4,5290235813,140,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
