id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2713227641,9,1,1,0,13,dbl7ir1qugqz8nvp1vzn8im50,0,63.1,74.8,2024-08-25T12:03:08.622Z,2024-08-25T12:03:10Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5172071133,213,0.79,5172071129,141,100.0,5172071127,140,80.1,5172071125,56,Left,5172071123,3,,5172071131,212,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227627,5,1,1,0,13,b2vft81kyjurzbmekvgrqwr64,0,23.2,22.7,2024-08-25T12:03:08.881Z,2024-08-25T12:03:09Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5172071057,140,34.9,5172071059,141,21.5,5172071055,56,Back,5172071063,213,6.22,5172071065,1,,5172071053,157,,5172071061,212,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227645,10,5,1,0,14,dbl7ir1qugqz8nvp1vzn8im50,0,78.0,101.5,2024-08-25T12:03:10.291Z,2024-08-25T12:03:20Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5172071153,56,Left,5172071155,347,,5172071833,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227759,6,5,1,0,15,b2vft81kyjurzbmekvgrqwr64,1,21.0,-1.4,2024-08-25T12:03:10.610Z,2024-08-25T12:03:20Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5172071807,233,10,5172071785,56,Back,5172071787,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227795,7,1,1,0,24,b2vft81kyjurzbmekvgrqwr64,1,25.5,0.0,2024-08-25T12:03:19.537Z,2024-08-25T12:03:22Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5172071973,107,,5172071981,212,20.0,5172071979,141,27.1,5172071977,140,29.3,5172071975,56,Back,5172071983,213,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227847,8,1,1,0,26,b2vft81kyjurzbmekvgrqwr64,1,29.3,27.4,2024-08-25T12:03:21.946Z,2024-08-25T12:03:26Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5172072223,140,61.7,5172072217,157,,5172072227,212,34.1,5172072225,141,23.7,5172072221,56,Center,5172072229,213,6.21,5172072233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227857,9,61,1,0,31,b2vft81kyjurzbmekvgrqwr64,1,61.7,23.7,2024-08-25T12:03:26.478Z,2024-08-25T12:03:27Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,,5172072267,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227885,10,1,1,0,32,b2vft81kyjurzbmekvgrqwr64,1,61.3,23.4,2024-08-25T12:03:27.707Z,2024-08-25T12:03:28Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5172072405,140,40.8,5172072407,141,16.2,5172072403,56,Back,5172072411,213,3.37,5172072409,212,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713227977,11,1,1,0,33,b2vft81kyjurzbmekvgrqwr64,1,40.8,16.2,2024-08-25T12:03:28.698Z,2024-08-25T12:03:33Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5172072851,213,0.64,5172072845,140,49.2,5172072847,141,25.9,5172072849,212,11.0,5172072843,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228007,12,1,1,0,38,b2vft81kyjurzbmekvgrqwr64,1,59.4,23.1,2024-08-25T12:03:33.705Z,2024-08-25T12:03:36Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,,5172073011,212,20.8,5172073013,213,6.04,5172073009,141,15.6,5172073007,140,78.6,5172073005,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228019,13,1,1,0,41,b2vft81kyjurzbmekvgrqwr64,1,78.6,15.6,2024-08-25T12:03:36.521Z,2024-08-25T12:03:38Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5172073089,212,9.1,5172073085,140,70.1,5172073087,141,13.2,5172073091,213,3.32,5172073083,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228045,14,1,1,0,42,b2vft81kyjurzbmekvgrqwr64,1,64.6,9.2,2024-08-25T12:03:38.209Z,2024-08-25T12:03:41Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5172073169,140,66.0,5172073173,212,6.4,5172073167,56,Right,5172073171,141,18.3,5172073175,213,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228085,15,1,1,0,46,b2vft81kyjurzbmekvgrqwr64,1,67.1,19.1,2024-08-25T12:03:41.577Z,2024-08-25T12:03:46Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5172073391,56,Back,5172073395,141,21.6,5172073399,213,3.09,5172073397,212,34.4,5172073401,1,,5172073393,140,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228095,16,1,1,0,47,b2vft81kyjurzbmekvgrqwr64,1,34.4,21.6,2024-08-25T12:03:42.945Z,2024-08-25T14:07:36Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5172073431,212,27.2,5172073425,56,Right,5172073429,141,11.9,5172073433,213,6.04,5172073427,140,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228135,17,1,1,0,48,b2vft81kyjurzbmekvgrqwr64,1,59.5,11.9,2024-08-25T12:03:43.728Z,2024-08-25T14:07:38Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5172073643,213,1.57,5172073641,212,10.5,5172073635,56,Center,5172073639,141,27.3,5172073637,140,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228147,18,1,1,0,49,b2vft81kyjurzbmekvgrqwr64,0,58.1,21.3,2024-08-25T12:03:45.104Z,2024-08-25T14:07:41Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5172300065,212,2.8,5172300067,213,0.10,5172073683,56,Center,5172300093,233,11,5172300061,140,60.8,5172300097,286,,5172300091,236,,5172300063,141,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228181,11,74,1,0,49,dbl7ir1qugqz8nvp1vzn8im50,1,41.4,77.3,2024-08-25T12:03:45.105Z,2024-08-25T14:08:55Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5172073935,233,18,5172073869,285,,5172073867,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228251,19,50,1,0,50,b2vft81kyjurzbmekvgrqwr64,1,48.8,24.6,2024-08-25T12:03:46.345Z,2024-08-25T15:40:44Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5172074153,56,Back,5172599065,233,464,5172300263,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713271179,464,7,1,0,51,dbl7ir1qugqz8nvp1vzn8im50,1,51.2,75.4,2024-08-25T12:03:46.346Z,2024-08-25T14:08:32Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5172599111,233,19,5172299901,56,Center,5172299903,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228243,13,50,1,1,3,dbl7ir1qugqz8nvp1vzn8im50,1,74.6,69.0,2024-08-25T12:03:58.839Z,2024-08-25T14:08:44Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5172603271,233,20,5172074129,286,,5172074127,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228461,20,7,1,1,3,b2vft81kyjurzbmekvgrqwr64,0,25.4,31.0,2024-08-25T12:03:58.840Z,2024-08-25T14:08:44Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5172075205,285,,5172075203,56,Back,5172603219,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228357,14,1,1,1,5,dbl7ir1qugqz8nvp1vzn8im50,1,68.6,67.3,2024-08-25T12:04:00.983Z,2024-08-25T12:04:07Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5172074711,56,Center,5172074715,141,73.5,5172074719,213,0.16,5172074717,212,25.8,5172074713,140,92.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228463,15,1,1,1,11,dbl7ir1qugqz8nvp1vzn8im50,0,94.1,84.8,2024-08-25T12:04:07.325Z,2024-08-25T14:09:46Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5172075211,141,69.4,5172075215,213,4.63,5172075207,56,Center,5172075213,212,10.5,5172075209,140,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713272373,434,43,1,1,12,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-08-25T12:04:07.346Z,2024-08-25T14:09:42Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5172607163,144,61,5172305765,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713274145,435,50,1,1,16,b2vft81kyjurzbmekvgrqwr64,1,4.8,33.8,2024-08-25T12:04:11.346Z,2024-08-25T14:08:45Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5172314143,285,,5172314139,56,Back,5172314191,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228543,17,7,1,1,16,dbl7ir1qugqz8nvp1vzn8im50,1,95.2,66.2,2024-08-25T12:04:11.347Z,2024-08-25T14:08:45Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5172075583,56,Center,5172075585,286,,5172075581,167,,5172603285,233,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228473,16,61,1,1,17,dbl7ir1qugqz8nvp1vzn8im50,0,94.0,69.4,2024-08-25T12:04:13.101Z,2024-08-25T12:04:13Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5172075261,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228559,18,5,1,1,23,dbl7ir1qugqz8nvp1vzn8im50,0,101.4,49.8,2024-08-25T12:04:18.349Z,2024-08-25T12:04:29Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5172076335,233,21,5172075627,346,,5172075625,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228671,21,5,1,1,23,b2vft81kyjurzbmekvgrqwr64,1,-1.4,45.8,2024-08-25T12:04:18.424Z,2024-08-25T12:04:29Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5172076293,233,18,5172076215,56,Back,5172076217,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228907,22,1,1,1,49,b2vft81kyjurzbmekvgrqwr64,0,3.3,49.1,2024-08-25T12:04:44.800Z,2024-08-25T12:04:53Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5172077497,74,,5172077495,1,,5172078029,189,,5172077489,141,41.2,5172077493,213,6.19,5172077483,124,,5172077491,212,60.3,5172077487,140,60.5,5172077485,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228945,19,1,1,1,53,dbl7ir1qugqz8nvp1vzn8im50,0,32.7,60.5,2024-08-25T12:04:48.373Z,2024-08-25T12:04:49Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5172077665,1,,5172077653,157,,5172077657,140,58.7,5172077655,56,Center,5172077663,213,0.14,5172077661,212,27.6,5172077659,141,66.3,5172077683,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713228963,23,1,1,1,54,b2vft81kyjurzbmekvgrqwr64,0,37.6,24.0,2024-08-25T12:04:49.432Z,2024-08-25T12:05:12Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5172077753,157,,5172077761,212,42.6,5172077765,1,,5172077945,189,,5172077763,213,0.82,5172077757,140,65.2,5172077759,141,70.0,5172077755,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229095,21,1,1,2,3,dbl7ir1qugqz8nvp1vzn8im50,1,40.2,14.3,2024-08-25T12:04:58.590Z,2024-08-25T12:05:04Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5172078487,140,34.3,5172078493,213,2.05,5172078489,141,31.9,5172078485,56,Back,5172078491,212,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229123,22,1,1,2,8,dbl7ir1qugqz8nvp1vzn8im50,1,38.1,34.5,2024-08-25T12:05:03.830Z,2024-08-25T12:05:05Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5172078593,56,Back,5172078601,213,1.85,5172078597,141,66.3,5172078595,140,32.2,5172078599,212,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229175,23,1,1,2,10,dbl7ir1qugqz8nvp1vzn8im50,1,32.2,66.3,2024-08-25T12:05:05.711Z,2024-08-25T12:05:09Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5172078903,212,18.6,5172078899,140,35.9,5172078897,56,Back,5172078901,141,93.0,5172078905,213,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229203,24,1,1,2,13,dbl7ir1qugqz8nvp1vzn8im50,1,35.7,85.7,2024-08-25T12:05:09.293Z,2024-08-25T12:05:10Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5172079033,56,Back,5172079041,213,4.49,5172079035,140,30.5,5172079037,141,50.1,5172079039,212,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229233,25,1,1,2,15,dbl7ir1qugqz8nvp1vzn8im50,1,30.5,50.1,2024-08-25T12:05:10.765Z,2024-08-25T12:05:14Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5172079163,140,21.8,5172079161,56,Back,5172079167,212,16.1,5172079169,213,2.17,5172079165,141,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229335,26,1,1,2,18,dbl7ir1qugqz8nvp1vzn8im50,1,23.0,61.5,2024-08-25T12:05:13.878Z,2024-08-25T12:05:21Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5172079713,140,33.6,5172079717,212,30.3,5172079719,213,5.09,5172079715,141,20.0,5172079711,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229455,27,1,1,2,26,dbl7ir1qugqz8nvp1vzn8im50,1,40.0,16.2,2024-08-25T12:05:21.733Z,2024-08-25T12:05:31Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5172080401,140,92.2,5172080409,1,,5172080399,56,Right,5172080405,212,54.8,5172080407,213,6.28,5172080403,141,15.9,5172080397,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229473,28,3,1,2,35,dbl7ir1qugqz8nvp1vzn8im50,0,93.6,17.2,2024-08-25T12:05:31.158Z,2024-08-25T12:05:38Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5172080749,233,24,5172080489,56,Right,5172080493,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229513,24,7,1,2,35,b2vft81kyjurzbmekvgrqwr64,0,6.4,82.8,2024-08-25T12:05:31.159Z,2024-08-25T12:05:37Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5172080695,285,,5172080691,56,Back,5172080723,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229569,25,6,1,2,36,b2vft81kyjurzbmekvgrqwr64,0,5.9,82.1,2024-08-25T12:05:32.133Z,2024-08-25T14:05:33Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5172081097,233,29,5172081049,56,Back,5172081051,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713229483,29,6,1,2,36,dbl7ir1qugqz8nvp1vzn8im50,1,94.1,17.9,2024-08-25T12:05:32.133Z,2024-08-25T14:05:32Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5172081069,233,25,5172080617,56,Right,5172080619,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
