id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2740020339,5,1,1,0,10,b2vft81kyjurzbmekvgrqwr64,1,38.2,29.8,2024-10-27T14:01:54.390Z,2024-10-27T14:50:28Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5318674599,56,Center,5318674609,1,,5318674601,140,63.3,5318674603,141,51.9,5318674597,157,,5318674607,213,0.52,5318674605,212,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020373,6,1,1,0,13,b2vft81kyjurzbmekvgrqwr64,0,63.3,51.9,2024-10-27T14:01:57.022Z,2024-10-27T14:51:11Z,ayhdul772mr22qoly04psb3f8,O. Dorph,,,5318674771,56,Center,5318674775,141,33.7,5318674779,213,4.96,5318674773,140,66.3,5318674777,212,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020387,7,43,1,0,15,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-10-27T14:01:58.589Z,2024-10-27T14:51:14Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5318674849,140,84.7,5318674847,56,Center,5318674853,212,19.6,5318674855,213,0.18,5318674851,141,38.8,5319009323,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020439,8,1,1,0,17,6wwwud48qahpwrfxs20334qk5,0,11.7,51.5,2024-10-27T14:02:00.794Z,2024-10-27T14:02:02Z,eiy7fhqxdx3ypg4dq4454hpbe,V. Birksø,,,5318675113,155,,5318675117,140,48.4,5318675121,212,38.6,5318675115,56,Back,5318675119,141,48.4,5318675123,213,6.23,5318675125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020511,8,1,1,0,20,b2vft81kyjurzbmekvgrqwr64,1,60.4,47.6,2024-10-27T14:02:03.837Z,2024-10-27T14:02:05Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5318675491,141,28.2,5318675489,140,64.1,5318675495,213,5.00,5318675493,212,13.8,5318675487,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020533,10,1,1,0,22,b2vft81kyjurzbmekvgrqwr64,0,64.1,28.2,2024-10-27T14:02:05.613Z,2024-10-27T14:02:06Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5318675605,56,Center,5318675613,213,0.89,5318675611,212,11.0,5318675607,140,70.7,5318675609,141,40.7,5318675603,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020539,9,61,1,0,23,6wwwud48qahpwrfxs20334qk5,0,26.6,52.1,2024-10-27T14:02:06.747Z,2024-10-27T14:02:06Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5318675645,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020581,11,1,1,0,25,b2vft81kyjurzbmekvgrqwr64,1,66.2,45.1,2024-10-27T14:02:08.573Z,2024-10-27T14:02:09Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5318675885,140,70.0,5318675891,213,0.60,5318675887,141,49.1,5318675883,56,Center,5318675889,212,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020639,12,1,1,0,25,b2vft81kyjurzbmekvgrqwr64,1,70.0,49.1,2024-10-27T14:02:09.269Z,2024-10-27T14:51:55Z,ayhdul772mr22qoly04psb3f8,O. Dorph,,,5318676181,141,73.0,5318676191,213,1.92,5318676175,56,Center,5318676187,212,17.3,5318676177,140,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020663,13,1,1,0,28,b2vft81kyjurzbmekvgrqwr64,0,64.4,73.0,2024-10-27T14:02:12.389Z,2024-10-27T14:52:56Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5318676339,212,30.7,5318676329,56,Center,5318676341,213,5.67,5318676325,2,,5318676337,141,46.9,5318676327,155,,5318676333,140,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020671,10,12,1,0,29,6wwwud48qahpwrfxs20334qk5,1,10.8,48.8,2024-10-27T14:02:13.203Z,2024-10-27T14:02:42Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5318676419,15,,5318676375,212,14.8,5318676371,141,52.5,5318676367,140,24.7,5318676377,213,0.17,5318676365,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020773,14,61,1,0,33,b2vft81kyjurzbmekvgrqwr64,0,72.5,57.9,2024-10-27T14:02:17.166Z,2024-10-27T14:53:23Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5318676799,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020825,11,1,1,0,34,6wwwud48qahpwrfxs20334qk5,1,21.7,48.8,2024-10-27T14:02:17.762Z,2024-10-27T14:02:20Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5318677015,157,,5318677021,141,59.0,5318677017,56,Back,5318677025,213,0.38,5318677023,212,18.9,5318677019,140,38.4,5318677027,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020877,13,1,1,0,36,6wwwud48qahpwrfxs20334qk5,1,42.1,60.6,2024-10-27T14:02:20.018Z,2024-10-27T22:07:37Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5318677265,140,41.9,5318677267,141,75.7,5318677271,213,1.59,5318677263,56,Back,5318677269,212,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020977,14,1,1,0,40,6wwwud48qahpwrfxs20334qk5,1,81.1,63.7,2024-10-27T14:02:24.474Z,2024-10-27T14:02:28Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5318677739,212,12.4,5318677741,213,0.42,5318677735,140,91.9,5318677733,56,Center,5318677737,141,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740020991,15,1,1,0,44,6wwwud48qahpwrfxs20334qk5,0,92.8,70.6,2024-10-27T14:02:28.115Z,2024-10-27T14:02:28Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5318677805,56,Center,5318677813,213,4.18,5318677807,140,88.3,5318677811,212,9.3,5318677809,141,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740021033,15,61,1,0,47,b2vft81kyjurzbmekvgrqwr64,1,11.5,30.4,2024-10-27T14:02:31.435Z,2024-10-27T14:53:34Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5318678035,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740021363,18,1,1,0,58,b2vft81kyjurzbmekvgrqwr64,1,13.0,31.2,2024-10-27T14:02:42.157Z,2024-10-27T14:02:47Z,9yxhg70gpwi3e9s84c8qwg0yx,J. Dakir,,,5318679795,141,54.3,5318679797,212,59.8,5318679787,157,,5318679793,140,68.0,5318679791,56,Center,5318679801,1,,5318679789,198,,5318679799,213,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740021369,19,44,1,1,2,b2vft81kyjurzbmekvgrqwr64,1,64.0,59.3,2024-10-27T14:02:46.221Z,2024-10-27T16:24:09Z,ayhdul772mr22qoly04psb3f8,O. Dorph,,,5318679837,56,Center,5318679841,286,,5318679883,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740021351,16,44,1,1,2,6wwwud48qahpwrfxs20334qk5,0,36.0,40.7,2024-10-27T14:02:46.222Z,2024-10-27T16:24:10Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5318679729,285,,5318679727,56,Back,5318679925,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740021445,20,1,1,1,3,b2vft81kyjurzbmekvgrqwr64,1,68.0,54.3,2024-10-27T14:02:47.006Z,2024-10-27T14:53:54Z,ayhdul772mr22qoly04psb3f8,O. Dorph,1.0,,5318680183,212,15.7,5318680177,56,Center,5318680173,3,,5318680175,168,,5318680185,213,0.43,5318680179,140,81.6,5318681225,210,13,5318680181,141,63.9,5318681227,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740021455,21,13,1,1,6,b2vft81kyjurzbmekvgrqwr64,1,86.4,66.2,2024-10-27T14:02:50.349Z,2024-10-27T16:55:06Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5318680789,72,,5318681267,231,52.5,5318681239,75,,5318681257,102,36.6,5318680223,64,,5318681247,154,,5318680225,56,Center,5318681259,103,19.4,5318681251,55,20,5318681265,230,98.2,5318681243,29,5318680219,22,,,,,,,,,,,,,,,,,,,,
2740021813,17,5,1,1,7,6wwwud48qahpwrfxs20334qk5,1,-1.2,61.4,2024-10-27T14:02:50.611Z,2024-10-27T16:24:20Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5318682339,233,22,5318682287,346,,5318682283,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740021493,22,5,1,1,7,b2vft81kyjurzbmekvgrqwr64,0,101.2,38.6,2024-10-27T14:02:50.611Z,2024-10-27T16:24:20Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5318680479,346,,5318682363,233,17,5318680475,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740021895,18,1,1,1,26,6wwwud48qahpwrfxs20334qk5,1,5.2,40.3,2024-10-27T14:03:10.443Z,2024-10-27T14:03:14Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5318682701,56,Back,5318682705,141,50.7,5318682699,124,,5318682713,237,,5318682707,212,7.1,5318682703,140,4.3,5318682709,213,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740021973,19,1,1,1,31,6wwwud48qahpwrfxs20334qk5,1,9.9,57.3,2024-10-27T14:03:14.762Z,2024-10-27T14:03:18Z,eiy7fhqxdx3ypg4dq4454hpbe,V. Birksø,,,5318683167,1,,5318683159,212,35.3,5318683163,213,0.39,5318683149,140,41.0,5318683141,157,,5318683153,141,77.0,5318683145,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022013,20,1,1,1,34,6wwwud48qahpwrfxs20334qk5,0,39.3,75.1,2024-10-27T14:03:18.066Z,2024-10-27T14:03:21Z,6wfu6s6xo5zjeke21fgbouql0,J. Jessen,,,5318683369,56,Back,5318683375,212,6.2,5318683371,140,40.2,5318683367,3,,5318683373,141,66.1,5318683377,213,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022027,23,44,1,1,36,b2vft81kyjurzbmekvgrqwr64,1,56.8,30.7,2024-10-27T14:03:19.912Z,2024-10-27T16:24:10Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5318683447,56,Center,5318683505,233,21,5318683451,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022023,21,44,1,1,36,6wwwud48qahpwrfxs20334qk5,0,43.2,69.3,2024-10-27T14:03:19.913Z,2024-10-27T16:24:10Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5318683553,233,23,5318683429,285,,5318683427,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022061,24,1,1,1,37,b2vft81kyjurzbmekvgrqwr64,1,55.2,23.7,2024-10-27T14:03:20.669Z,2024-10-27T14:03:22Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5318683713,56,Right,5318683717,141,13.4,5318683721,213,5.68,5318683715,140,64.9,5318683719,212,12.4,5318683711,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022103,26,1,1,1,38,b2vft81kyjurzbmekvgrqwr64,1,64.9,13.4,2024-10-27T14:03:22.216Z,2024-10-27T14:03:25Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5318683975,141,6.7,5318683971,56,Right,5318683977,212,8.5,5318683979,213,5.72,5318683973,140,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022159,27,1,1,1,41,b2vft81kyjurzbmekvgrqwr64,0,71.9,6.5,2024-10-27T14:03:24.853Z,2024-10-27T14:03:27Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5318684277,141,7.7,5318684273,56,Right,5318684279,212,20.7,5318684275,140,91.6,5318684281,213,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022199,22,1,1,1,45,6wwwud48qahpwrfxs20334qk5,0,13.4,89.7,2024-10-27T14:03:29.409Z,2024-10-27T14:03:30Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5318684533,286,,5318684505,212,3.9,5318684527,236,,5318684499,56,Back,5318684507,213,0.09,5318684503,141,90.2,5318684529,233,28,5318684501,140,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022197,28,74,1,1,45,b2vft81kyjurzbmekvgrqwr64,1,86.0,6.5,2024-10-27T14:03:29.410Z,2024-10-27T14:03:31Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5318684485,56,Right,5318684557,233,22,5318684487,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022239,23,5,1,1,47,6wwwud48qahpwrfxs20334qk5,1,16.1,101.4,2024-10-27T14:03:31.105Z,2024-10-27T16:24:20Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5318684743,347,,5318684777,233,29,5318684741,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022227,29,5,1,1,47,b2vft81kyjurzbmekvgrqwr64,0,83.9,-1.4,2024-10-27T14:03:31.105Z,2024-10-27T16:24:21Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5318684667,56,Right,5318684669,347,,5318684809,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022321,24,1,1,1,49,6wwwud48qahpwrfxs20334qk5,1,17.6,100.0,2024-10-27T14:03:32.601Z,2024-10-27T14:03:36Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5318685269,140,27.3,5318685273,212,11.8,5318685277,213,5.75,5318685271,141,93.2,5318685267,56,Back,5318685265,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022289,30,83,1,1,51,b2vft81kyjurzbmekvgrqwr64,0,68.8,9.1,2024-10-27T14:03:34.957Z,2024-10-27T14:03:38Z,e19g5bz7s9wqcvj8mttztxi0a,O. Klitten,,,5318685547,399,ayxi2m0g0pm6rl1ba5pto66z9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022335,25,61,1,1,52,6wwwud48qahpwrfxs20334qk5,0,25.3,89.3,2024-10-27T14:03:36.289Z,2024-10-27T14:03:36Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5318685341,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022479,31,1,1,1,53,b2vft81kyjurzbmekvgrqwr64,0,73.1,17.4,2024-10-27T14:03:37.205Z,2024-10-27T16:42:03Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5318686077,157,,5318686083,141,5.5,5318686089,1,,5318686087,213,6.02,5318686079,56,Right,5318686081,140,100.0,5318686085,212,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022707,26,5,1,1,56,6wwwud48qahpwrfxs20334qk5,1,-1.1,91.1,2024-10-27T14:03:39.889Z,2024-10-27T16:24:21Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5318687245,56,Back,5318687301,233,32,5318687247,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022489,32,5,1,1,56,b2vft81kyjurzbmekvgrqwr64,0,101.1,8.9,2024-10-27T14:03:39.889Z,2024-10-27T16:24:21Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5318686117,346,,5318687359,233,26,5318686111,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022753,27,1,1,2,11,6wwwud48qahpwrfxs20334qk5,1,4.8,40.6,2024-10-27T14:03:54.722Z,2024-10-27T14:03:56Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5318687453,56,Back,5318687457,141,50.7,5318687461,213,1.66,5318687455,140,4.2,5318687459,212,6.9,5318687465,237,,5318687451,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022785,28,1,1,2,12,6wwwud48qahpwrfxs20334qk5,1,4.2,50.7,2024-10-27T14:03:56.129Z,2024-10-27T14:03:57Z,eiy7fhqxdx3ypg4dq4454hpbe,V. Birksø,,,5318687633,141,55.5,5318687637,213,0.26,5318687635,212,12.7,5318687629,56,Back,5318687631,140,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022861,29,1,1,2,14,6wwwud48qahpwrfxs20334qk5,1,15.9,55.5,2024-10-27T14:03:57.761Z,2024-10-27T14:04:01Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5318688081,56,Back,5318688085,141,24.4,5318688089,213,4.93,5318688083,140,20.4,5318688087,212,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022907,30,1,1,2,17,6wwwud48qahpwrfxs20334qk5,0,28.8,24.3,2024-10-27T14:04:01.009Z,2024-10-27T14:04:04Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5318688361,1,,5318688351,140,68.4,5318688355,141,21.2,5318688347,56,Center,5318688359,213,6.23,5318688357,212,41.6,5318688343,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740086805,458,1,1,2,22,b2vft81kyjurzbmekvgrqwr64,1,17.6,86.3,2024-10-27T14:04:05.476Z,2024-10-27T16:42:43Z,6bv0j0ezhh9u5u5hqz64p790q,M. Jacobsen,,,5319037287,140,7.0,5319037293,213,4.05,5319037285,56,Back,5319037289,141,65.2,5319037291,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
