id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2815028111,7,1,1,0,25,f1h34qp5zbfl489q8vnkhiq9s,1,15.8,35.5,2025-05-15T17:01:53.455Z,2025-05-15T17:01:57Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5728748257,140,12.3,5728748263,213,1.84,5728748255,56,Back,5728748261,212,13.7,5728748259,141,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028125,8,1,1,0,29,f1h34qp5zbfl489q8vnkhiq9s,0,12.2,54.9,2025-05-15T17:01:57.056Z,2025-05-15T17:01:58Z,45bcgucg627rhrdgt8tn9hd9m,K. Kristensen,,,5728748333,212,42.6,5728748335,213,0.55,5728748325,155,,5728748329,140,46.9,5728748331,141,87.4,5728748327,56,Back,5728748337,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028145,7,50,1,0,33,8gxd9ry2580pu1b1dd5ny9ymy,1,61.6,10.0,2025-05-15T17:02:01.708Z,2025-05-15T17:24:38Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5728748535,233,9,5728748407,286,,5728748405,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028167,9,7,1,0,33,f1h34qp5zbfl489q8vnkhiq9s,0,38.4,90.0,2025-05-15T17:02:01.709Z,2025-05-15T18:57:45Z,5sha6xhovfmuzd7rolx1om39w,J. Lucena,,,5728748507,56,Back,5728748515,233,7,5728748509,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815036839,209,61,1,0,34,8gxd9ry2580pu1b1dd5ny9ymy,1,55.6,17.4,2025-05-15T17:02:02.593Z,2025-05-15T17:24:35Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5728801377,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815036831,193,61,1,0,35,f1h34qp5zbfl489q8vnkhiq9s,1,37.6,81.0,2025-05-15T17:02:03.207Z,2025-05-15T17:24:02Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5728800383,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028157,8,61,1,0,36,8gxd9ry2580pu1b1dd5ny9ymy,1,63.5,18.6,2025-05-15T17:02:04.220Z,2025-05-15T17:02:04Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,,5728748457,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815036841,194,61,1,0,38,f1h34qp5zbfl489q8vnkhiq9s,0,45.2,83.6,2025-05-15T17:02:06.397Z,2025-05-15T17:26:03Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5728804365,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028185,9,1,1,0,40,8gxd9ry2580pu1b1dd5ny9ymy,0,58.6,11.1,2025-05-15T17:02:08.788Z,2025-05-15T17:02:10Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,,5728748665,212,40.9,5728748663,141,70.8,5728748661,140,63.5,5728748659,56,Center,5728748669,1,,5728748667,213,1.44,5728748657,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028257,11,1,1,0,49,f1h34qp5zbfl489q8vnkhiq9s,1,59.0,23.0,2025-05-15T17:02:16.983Z,2025-05-15T17:02:41Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5728749041,213,0.45,5728749029,56,Center,5728749031,140,77.8,5728749033,141,37.1,5728749027,155,,5728749037,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028269,12,50,1,0,53,f1h34qp5zbfl489q8vnkhiq9s,1,89.6,44.6,2025-05-15T17:02:21.307Z,2025-05-15T17:02:29Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5728749185,233,10,5728749077,56,Center,5728749081,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028273,10,7,1,0,53,8gxd9ry2580pu1b1dd5ny9ymy,1,10.4,55.4,2025-05-15T17:02:21.308Z,2025-05-15T17:02:26Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5728749097,285,,5728749151,233,12,5728749093,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028311,12,1,1,0,55,8gxd9ry2580pu1b1dd5ny9ymy,1,4.4,70.0,2025-05-15T17:02:22.957Z,2025-05-15T17:02:27Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5728749299,213,1.17,5728749291,56,Back,5728749297,212,13.0,5728749293,140,9.2,5728749295,141,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028313,13,1,1,0,57,8gxd9ry2580pu1b1dd5ny9ymy,0,5.0,90.9,2025-05-15T17:02:25.883Z,2025-05-15T17:02:28Z,db671oj1jx2uknf12t8b3s7x0,M. Coşkun,,,5728749325,213,6.12,5728749341,286,,5728749329,1,,5728749321,212,9.8,5728749337,233,13,5728749319,141,88.6,5728749315,56,Back,5728749313,157,,5728749335,236,5728749317,140,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028305,13,74,1,0,57,f1h34qp5zbfl489q8vnkhiq9s,1,96.9,5.9,2025-05-15T17:02:25.884Z,2025-05-15T17:02:30Z,6hmsrr08cllpl4iumu92zskbt,L. From,,,5728749267,56,Right,5728749269,285,,5728749351,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028331,14,12,1,1,0,8gxd9ry2580pu1b1dd5ny9ymy,1,8.6,77.9,2025-05-15T17:02:28.500Z,2025-05-15T17:02:31Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5728749417,140,18.3,5728749439,167,,5728749421,212,19.1,5728749433,15,,5728749423,213,1.01,5728749415,56,Back,5728749419,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028375,14,5,1,1,2,f1h34qp5zbfl489q8vnkhiq9s,1,85.6,-1.6,2025-05-15T17:02:29.980Z,2025-05-15T18:52:13Z,6hmsrr08cllpl4iumu92zskbt,L. From,,,5728749661,56,Right,5728749663,347,,5728749695,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028337,15,5,1,1,2,8gxd9ry2580pu1b1dd5ny9ymy,0,14.4,101.6,2025-05-15T17:02:29.980Z,2025-05-15T18:52:13Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5728749703,233,14,5728749435,56,Back,5728749437,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028499,15,1,1,1,25,f1h34qp5zbfl489q8vnkhiq9s,0,92.1,0.0,2025-05-15T17:02:53.826Z,2025-05-15T17:02:58Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5728750321,107,,5728750331,213,1.60,5728750329,212,33.9,5728750323,56,Center,5728750325,140,91.2,5728750333,1,,5728750327,141,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028493,16,44,1,1,28,8gxd9ry2580pu1b1dd5ny9ymy,1,8.5,57.2,2025-05-15T17:02:56.332Z,2025-05-15T19:03:36Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,,5728750307,56,Back,5728750429,233,16,5728750309,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028505,16,44,1,1,28,f1h34qp5zbfl489q8vnkhiq9s,0,91.5,42.8,2025-05-15T17:02:56.333Z,2025-05-15T19:03:36Z,5sha6xhovfmuzd7rolx1om39w,J. Lucena,,,5728750457,233,16,5728750363,56,Center,5728750365,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028501,17,12,1,1,28,8gxd9ry2580pu1b1dd5ny9ymy,1,7.9,66.1,2025-05-15T17:02:56.676Z,2025-05-15T17:02:59Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,,5728750337,56,Back,5728750375,15,,5728750347,213,0.31,5728750343,212,7.3,5728750341,141,69.4,5728750339,140,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028517,18,61,1,1,30,8gxd9ry2580pu1b1dd5ny9ymy,0,14.5,69.4,2025-05-15T17:02:58.836Z,2025-05-15T17:02:59Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5728750419,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028533,19,83,1,1,32,8gxd9ry2580pu1b1dd5ny9ymy,0,14.6,60.6,2025-05-15T17:03:00.499Z,2025-05-15T17:03:05Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5728750661,399,6hmsrr08cllpl4iumu92zskbt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028557,17,1,1,1,32,f1h34qp5zbfl489q8vnkhiq9s,1,82.6,57.9,2025-05-15T17:03:00.504Z,2025-05-15T19:23:50Z,6hmsrr08cllpl4iumu92zskbt,L. From,1.0,,5728750627,140,84.4,5728750631,212,6.5,5729023275,154,,5729023273,210,13,5728750629,141,48.8,5728750625,56,Center,5728750633,213,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028567,18,13,1,1,36,f1h34qp5zbfl489q8vnkhiq9s,1,86.9,34.2,2025-05-15T17:03:04.096Z,2025-05-15T19:31:01Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5728751367,230,99.0,5729023299,55,17,5728750745,20,,5729023295,29,,5729034291,160,,5728751359,73,,5728750683,56,Center,5728751363,103,36.1,5729023297,154,5728751369,231,47.8,5728750681,63,5728751361,102,63.7,,,,,,,,,,,,,,,,,,,,,
2815028579,19,5,1,1,36,f1h34qp5zbfl489q8vnkhiq9s,0,101.1,64.9,2025-05-15T17:03:04.331Z,2025-05-15T18:52:14Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5728750743,346,,5728750741,56,Center,5728751129,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028639,20,5,1,1,36,8gxd9ry2580pu1b1dd5ny9ymy,1,-1.1,35.1,2025-05-15T17:03:04.331Z,2025-05-15T18:52:14Z,db671oj1jx2uknf12t8b3s7x0,M. Coşkun,,,5728751117,233,19,5728751051,346,,5728751049,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028679,21,1,1,1,55,8gxd9ry2580pu1b1dd5ny9ymy,1,4.2,51.3,2025-05-15T17:03:23.819Z,2025-05-15T17:03:25Z,bl9em2c9quspd4afzwqn81xxw,T. Sander,,,5728751343,124,,5728751345,56,Back,5728751349,141,64.6,5728751357,237,,5728751351,212,12.9,5728751347,140,12.9,5728751353,213,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028689,22,1,1,1,56,8gxd9ry2580pu1b1dd5ny9ymy,1,12.9,64.6,2025-05-15T17:03:24.828Z,2025-05-15T17:03:26Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5728751405,140,6.6,5728751403,56,Back,5728751409,212,25.2,5728751407,141,28.8,5728751411,213,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028699,23,1,1,1,58,8gxd9ry2580pu1b1dd5ny9ymy,1,6.6,28.8,2025-05-15T17:03:26.643Z,2025-05-15T17:03:28Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,,5728751467,141,1.0,5728751469,212,19.4,5728751471,213,4.95,5728751465,140,10.9,5728751463,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028705,24,1,1,2,0,8gxd9ry2580pu1b1dd5ny9ymy,0,10.7,0.2,2025-05-15T17:03:27.995Z,2025-05-15T17:03:29Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5728751477,56,Back,5728751481,141,0.0,5728751485,213,6.24,5728751483,212,5.3,5728751549,286,,5728751543,236,,5728751545,233,20,5728751479,140,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028711,20,74,1,2,0,f1h34qp5zbfl489q8vnkhiq9s,1,81.3,91.8,2025-05-15T17:03:27.996Z,2025-05-15T19:03:33Z,5sha6xhovfmuzd7rolx1om39w,J. Lucena,,,5728751509,56,Left,5728751511,285,,5728751551,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028707,25,43,1,2,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-05-15T17:03:28.225Z,2025-05-15T17:03:41Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5728751489,347,0,5728751953,144,5,5728751487,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028729,22,50,1,2,2,f1h34qp5zbfl489q8vnkhiq9s,1,87.0,94.2,2025-05-15T17:03:30.698Z,2025-05-15T17:03:38Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5728751863,233,26,5728751593,56,Left,5728751595,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028761,26,7,1,2,2,8gxd9ry2580pu1b1dd5ny9ymy,1,14.1,9.0,2025-05-15T17:03:30.699Z,2025-05-15T17:03:38Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5728751749,56,Back,5728751751,285,,5728751835,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028765,27,1,1,2,5,8gxd9ry2580pu1b1dd5ny9ymy,0,8.3,12.5,2025-05-15T17:03:33.046Z,2025-05-15T17:03:37Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,,5728751779,56,Back,5728751797,236,,5728751803,286,,5728751781,140,12.0,5728751789,1,,5728751783,141,10.6,5728751785,212,4.1,5728751787,213,5.96,5728751799,233,5728751777,157,,,,,,,23,,,,,,,,,,,,,,,,,,,,
2815028741,23,74,1,2,5,f1h34qp5zbfl489q8vnkhiq9s,1,85.6,85.7,2025-05-15T17:03:33.047Z,2025-05-15T17:03:37Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5728751655,56,Left,5728751809,233,27,5728751657,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028769,24,5,1,2,6,f1h34qp5zbfl489q8vnkhiq9s,0,83.7,101.1,2025-05-15T17:03:34.679Z,2025-05-15T18:52:15Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5728751813,347,,5728751811,56,Left,5728752111,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028821,28,5,1,2,6,8gxd9ry2580pu1b1dd5ny9ymy,1,16.3,-1.1,2025-05-15T17:03:34.679Z,2025-05-15T18:52:15Z,3pk6hii2s8tbv2zux8mvbapec,N. Jungvig,,,5728752103,56,Back,5728752105,347,,5728752107,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028825,29,1,1,2,16,8gxd9ry2580pu1b1dd5ny9ymy,1,18.0,0.0,2025-05-15T17:03:44.491Z,2025-05-15T17:03:47Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5728752137,56,Back,5728752141,141,18.0,5728752139,140,20.5,5728752135,107,,5728752145,213,1.37,5728752143,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028827,30,1,1,2,19,8gxd9ry2580pu1b1dd5ny9ymy,1,20.5,18.0,2025-05-15T17:03:46.970Z,2025-05-15T19:29:34Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,,5728752189,140,56.5,5728752191,141,30.6,5728752185,157,,5728752195,213,0.22,5728752193,212,38.8,5728752197,1,,5728752187,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028829,31,44,1,2,20,8gxd9ry2580pu1b1dd5ny9ymy,1,55.3,34.8,2025-05-15T17:03:47.922Z,2025-05-15T19:03:37Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,,5728752201,56,Center,5728752269,233,25,5728752203,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028839,25,44,1,2,20,f1h34qp5zbfl489q8vnkhiq9s,0,44.7,65.2,2025-05-15T17:03:47.923Z,2025-05-15T19:03:37Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5728752273,233,31,5728752259,285,,5728752257,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028833,32,1,1,2,20,8gxd9ry2580pu1b1dd5ny9ymy,0,56.8,30.6,2025-05-15T17:03:48.091Z,2025-05-15T17:03:49Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,,5728752225,141,28.3,5728752223,140,71.7,5728752227,212,15.7,5728752219,168,,5728752217,3,,5728752221,56,Center,5728752229,213,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028871,26,1,1,2,28,f1h34qp5zbfl489q8vnkhiq9s,1,28.5,58.5,2025-05-15T17:03:56.559Z,2025-05-15T17:32:12Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5728817087,140,9.8,5728817085,56,Back,5728817093,213,3.37,5728817089,141,51.9,5728817091,212,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815028885,27,1,1,2,28,f1h34qp5zbfl489q8vnkhiq9s,1,7.6,50.6,2025-05-15T17:03:56.879Z,2025-05-15T17:03:59Z,45bcgucg627rhrdgt8tn9hd9m,K. Kristensen,,,5728752519,155,,5728752527,212,39.4,5728752521,56,Back,5728752529,213,0.58,5728752531,1,,5728752525,141,82.6,5728752523,140,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
