id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/17/value
2754671043,5,7,1,0,16,aqtkb4mgrz8c6iqfufj6qjbv9,0,4.0,15.8,2024-12-02T17:31:07.611Z,2024-12-02T20:15:07Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,,5398586735,285,,5398586819,233,6,5398586733,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671061,7,61,1,0,18,8cfkisxf1fkxdqtt6tx1tup48,1,96.5,83.8,2024-12-02T17:31:09.162Z,2024-12-02T17:31:09Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5398586835,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671067,6,5,1,0,19,aqtkb4mgrz8c6iqfufj6qjbv9,1,-0.4,23.2,2024-12-02T17:31:09.739Z,2024-12-02T17:32:37Z,81gka3mi69fh8gyehyy8xo9as,C. Allen,,,5398586873,56,Back,5398586875,346,,5398587431,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671157,8,5,1,0,19,8cfkisxf1fkxdqtt6tx1tup48,0,100.4,76.8,2024-12-02T17:31:09.739Z,2024-12-02T18:30:27Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5398587427,56,Center,5398587429,346,,5398587469,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671139,7,1,1,0,28,aqtkb4mgrz8c6iqfufj6qjbv9,1,3.7,45.2,2024-12-02T17:31:19.114Z,2024-12-02T17:31:25Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,,5398587343,56,Back,5398587345,140,14.0,5398587351,213,5.26,5398587349,212,20.9,5398587355,237,,5398587341,124,,5398587347,141,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671145,8,1,1,0,34,aqtkb4mgrz8c6iqfufj6qjbv9,0,18.5,14.9,2024-12-02T17:31:25.354Z,2024-12-02T20:15:24Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5398587391,213,0.24,5398587383,56,Center,5398587387,141,32.5,5398587393,1,,5398587381,155,,5398587389,212,49.6,5398587385,140,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671181,9,1,1,0,36,8cfkisxf1fkxdqtt6tx1tup48,1,37.7,75.3,2024-12-02T17:31:26.968Z,2024-12-02T17:31:29Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5398587533,140,39.3,5398587529,3,,5398587531,56,Back,5398587537,212,7.6,5398587535,141,86.2,5398587539,213,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671197,11,1,1,0,39,8cfkisxf1fkxdqtt6tx1tup48,1,39.3,86.2,2024-12-02T17:31:29.857Z,2024-12-02T17:31:31Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5398587599,140,58.8,5398587605,213,6.18,5398587597,56,Left,5398587603,212,20.6,5398587601,141,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671241,12,1,1,0,41,8cfkisxf1fkxdqtt6tx1tup48,1,58.5,83.2,2024-12-02T17:31:31.792Z,2024-12-02T17:31:36Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5398587815,212,42.5,5398587809,56,Center,5398587819,1,,5398587811,140,84.8,5398587813,141,35.7,5398587807,155,,5398587817,213,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671253,13,1,1,0,45,8cfkisxf1fkxdqtt6tx1tup48,1,88.1,32.5,2024-12-02T17:31:36.616Z,2024-12-02T17:31:39Z,e2aqcawslcbpp88nia8eko2y1,J. Rothmann,,,5398587925,141,22.2,5398587929,213,3.58,5398587921,56,Center,5398587927,212,16.5,5398587923,140,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671273,14,1,1,0,48,8cfkisxf1fkxdqtt6tx1tup48,1,73.7,22.4,2024-12-02T17:31:39.016Z,2024-12-02T17:31:50Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,1.0,,5398588039,213,0.82,5398588027,2,,5398588035,141,51.6,5398588037,212,27.2,5398588029,155,,5398588031,56,Center,5398588311,154,,5398588309,210,13,5398588033,140,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671281,15,13,1,0,50,8cfkisxf1fkxdqtt6tx1tup48,1,91.4,51.6,2024-12-02T17:31:41.512Z,2024-12-02T17:31:50Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5398588059,22,,5398588063,56,Center,5398588329,230,98.4,5398588331,231,51.1,5398588315,29,,5398588325,103,11.1,5398588319,55,14,5398588313,83,,5398588217,72,,5398588323,102,56.8,5398588327,328,5398588317,154,5398588061,17,,,,,,,,,,,,,,,,,,,,,
2754671331,9,5,1,0,52,aqtkb4mgrz8c6iqfufj6qjbv9,1,-0.6000000000000001,38.5,2024-12-02T17:31:42.720Z,2024-12-02T18:30:27Z,85a9bmnu6fqvhlff28qm0e0a1,D. Johansen,,,5398588337,56,Back,5398588339,346,,5398588385,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671307,16,5,1,0,52,8cfkisxf1fkxdqtt6tx1tup48,0,100.6,61.5,2024-12-02T17:31:42.720Z,2024-12-02T18:30:28Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5398588403,233,9,5398588213,56,Center,5398588215,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671413,10,1,1,1,10,aqtkb4mgrz8c6iqfufj6qjbv9,1,3.8,48.5,2024-12-02T17:32:01.194Z,2024-12-02T17:32:04Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,,5398588923,56,Back,5398588925,140,17.0,5398588929,212,22.4,5398588931,213,5.38,5398588921,124,,5398588927,141,22.7,5398588935,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671423,11,1,1,1,12,aqtkb4mgrz8c6iqfufj6qjbv9,1,20.2,16.2,2024-12-02T17:32:02.891Z,2024-12-02T17:34:23Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5398588997,141,11.6,5398589001,213,5.39,5398588999,212,4.0,5398588995,140,22.6,5398588993,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671425,12,1,1,1,13,aqtkb4mgrz8c6iqfufj6qjbv9,1,22.6,11.6,2024-12-02T17:32:04.074Z,2024-12-02T17:34:24Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,,5398589011,56,Back,5398589013,140,30.1,5398589017,212,9.2,5398589015,141,18.5,5398589009,155,,5398589019,213,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671429,13,44,1,1,15,aqtkb4mgrz8c6iqfufj6qjbv9,1,33.0,23.6,2024-12-02T17:32:06.678Z,2024-12-02T18:30:18Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5398589043,285,,5398589041,56,Back,5398589059,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671421,17,44,1,1,15,8cfkisxf1fkxdqtt6tx1tup48,0,67.0,76.4,2024-12-02T17:32:06.679Z,2024-12-02T18:30:18Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5398589071,233,13,5398588989,56,Center,5398588991,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671441,14,1,1,1,16,aqtkb4mgrz8c6iqfufj6qjbv9,1,30.1,18.5,2024-12-02T17:32:07.610Z,2024-12-02T18:29:13Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5398589125,140,31.5,5398589129,212,4.5,5398589131,213,5.05,5398589121,3,,5398589127,141,12.3,5398589123,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671451,15,43,1,1,18,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-12-02T17:32:09.619Z,2024-12-02T17:32:18Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5398589181,285,0,5398589177,56,Back,5398589581,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671471,18,4,1,1,22,8cfkisxf1fkxdqtt6tx1tup48,1,66.3,84.2,2024-12-02T17:32:13.344Z,2024-12-02T17:32:19Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5398589375,56,Left,5398589377,152,,5398589383,286,,5398589593,294,,5398589611,233,16,5398589373,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671475,16,4,1,1,22,aqtkb4mgrz8c6iqfufj6qjbv9,0,33.7,15.8,2024-12-02T17:32:13.345Z,2024-12-02T17:32:19Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5398589509,56,Back,5398589505,13,,5398589513,285,,5398589507,294,,5398589511,152,,5398589523,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671745,19,1,1,2,5,8cfkisxf1fkxdqtt6tx1tup48,0,65.6,82.4,2024-12-02T17:32:56.480Z,2024-12-02T17:32:58Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5398591115,152,,5398591109,2,,5398591125,213,5.45,5398591119,140,84.8,5398591111,5,,5398591117,56,Center,5398591121,141,49.9,5398591113,155,,5398591123,212,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671757,17,12,1,2,9,aqtkb4mgrz8c6iqfufj6qjbv9,1,19.0,39.7,2024-12-02T17:33:00.297Z,2024-12-02T17:33:02Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5398591253,167,,5398591233,56,Back,5398591235,140,27.7,5398591239,212,29.3,5398591241,213,5.03,5398591237,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671759,18,5,1,2,10,aqtkb4mgrz8c6iqfufj6qjbv9,0,24.2,-1.5,2024-12-02T17:33:01.419Z,2024-12-02T18:30:29Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5398591247,56,Back,5398591817,233,20,5398591249,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671843,20,5,1,2,10,8cfkisxf1fkxdqtt6tx1tup48,1,75.8,101.5,2024-12-02T17:33:01.419Z,2024-12-02T18:30:28Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5398591787,233,18,5398591771,56,Left,5398591773,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671865,21,1,1,2,21,8cfkisxf1fkxdqtt6tx1tup48,1,82.0,100.0,2024-12-02T17:33:12.616Z,2024-12-02T17:33:14Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5398591877,140,85.8,5398591879,141,92.9,5398591875,56,Left,5398591881,212,7.2,5398591873,107,,5398591883,213,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671871,22,1,1,2,22,8cfkisxf1fkxdqtt6tx1tup48,1,85.8,92.9,2024-12-02T17:33:13.464Z,2024-12-02T17:33:14Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5398591905,212,4.9,5398591899,56,Left,5398591903,141,95.9,5398591901,140,81.6,5398591907,213,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671889,23,1,1,2,23,8cfkisxf1fkxdqtt6tx1tup48,1,81.6,95.9,2024-12-02T17:33:14.103Z,2024-12-02T17:33:16Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5398591987,56,Left,5398591991,141,92.1,5398591993,212,4.3,5398591989,140,84.9,5398591995,213,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671897,24,1,1,2,25,8cfkisxf1fkxdqtt6tx1tup48,0,84.9,92.1,2024-12-02T17:33:16.487Z,2024-12-02T17:33:17Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5398592053,56,Center,5398592061,213,3.62,5398592057,141,73.6,5398592055,140,61.9,5398592059,212,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671905,19,8,1,2,27,aqtkb4mgrz8c6iqfufj6qjbv9,1,39.7,23.9,2024-12-02T17:33:18.280Z,2024-12-02T17:33:18Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5398592089,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671921,25,1,1,2,28,8cfkisxf1fkxdqtt6tx1tup48,1,72.0,66.6,2024-12-02T17:33:19.312Z,2024-12-02T17:33:21Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5398592201,140,48.9,5398592203,141,80.2,5398592199,56,Back,5398592207,213,2.78,5398592205,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671933,26,1,1,2,31,8cfkisxf1fkxdqtt6tx1tup48,1,48.9,80.2,2024-12-02T17:33:21.696Z,2024-12-02T18:27:40Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5398592289,141,92.3,5398592285,56,Left,5398592287,140,68.9,5398592293,213,0.37,5398592291,212,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754671951,27,1,1,2,35,8cfkisxf1fkxdqtt6tx1tup48,0,68.9,92.3,2024-12-02T17:33:25.767Z,2024-12-02T17:33:28Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5398592421,141,57.9,5398592417,56,Center,5398592427,1,,5398592419,140,98.1,5398592425,213,5.63,5398592415,155,,5398592423,212,38.6,5398592413,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754672025,21,1,1,2,47,aqtkb4mgrz8c6iqfufj6qjbv9,1,7.3,44.2,2024-12-02T17:33:38.241Z,2024-12-02T17:33:40Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,,5398592865,213,5.26,5398592861,141,14.9,5398592855,123,,5398592859,140,19.0,5398592863,212,23.4,5398592857,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754672041,22,1,1,2,49,aqtkb4mgrz8c6iqfufj6qjbv9,1,19.6,13.8,2024-12-02T17:33:40.176Z,2024-12-02T17:33:42Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5398592965,140,12.7,5398592969,212,12.8,5398592971,213,2.17,5398592967,141,29.4,5398592963,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754672053,23,1,1,2,51,aqtkb4mgrz8c6iqfufj6qjbv9,1,12.0,30.0,2024-12-02T17:33:42.584Z,2024-12-02T17:33:44Z,8mswl5vzza12hylodrrsq3zvu,A. Kappenberger,,,5398593047,213,0.26,5398593043,141,33.1,5398593041,140,19.7,5398593039,56,Back,5398593045,212,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754672081,24,1,1,2,53,aqtkb4mgrz8c6iqfufj6qjbv9,1,23.5,31.0,2024-12-02T17:33:44.568Z,2024-12-02T17:33:48Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5398593209,141,5.5,5398593215,213,4.72,5398593205,56,Back,5398593213,212,17.3,5398593207,140,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754672145,25,1,1,2,57,aqtkb4mgrz8c6iqfufj6qjbv9,1,29.0,8.3,2024-12-02T17:33:48.392Z,2024-12-02T17:33:56Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5398593635,141,26.7,5398593627,56,Back,5398593639,213,0.79,5398593631,140,40.8,5398593637,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754672155,26,1,1,3,3,aqtkb4mgrz8c6iqfufj6qjbv9,1,68.2,39.2,2024-12-02T17:33:54.064Z,2024-12-02T20:14:07Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5398593681,140,76.4,5398593683,141,52.7,5398593679,56,Center,5398593687,213,0.82,5398593685,212,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754672157,27,61,1,3,4,aqtkb4mgrz8c6iqfufj6qjbv9,0,76.4,52.7,2024-12-02T17:33:54.968Z,2024-12-02T20:14:20Z,uiyol728wan4mxco2foplknp,A. Justinussen,,,5398593693,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754687147,296,61,1,3,5,8cfkisxf1fkxdqtt6tx1tup48,1,25.7,78.4,2024-12-02T17:33:55.959Z,2024-12-02T20:14:23Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5398680213,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754672185,28,12,1,3,8,8cfkisxf1fkxdqtt6tx1tup48,1,14.7,45.2,2024-12-02T17:33:59.215Z,2024-12-02T18:27:37Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5398593847,141,29.7,5398593843,56,Back,5398593849,212,30.0,5398593845,140,41.5,5398593851,213,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754672207,28,1,1,3,10,aqtkb4mgrz8c6iqfufj6qjbv9,1,60.5,72.6,2024-12-02T17:34:01.017Z,2024-12-02T17:34:03Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5398594011,140,71.9,5398594013,141,63.7,5398594017,213,5.82,5398594009,56,Center,5398594015,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754672215,29,1,1,3,13,aqtkb4mgrz8c6iqfufj6qjbv9,1,71.9,63.7,2024-12-02T17:34:03.760Z,2024-12-02T17:34:04Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5398594039,140,64.4,5398594045,213,2.79,5398594037,56,Center,5398594041,141,67.9,5398594043,212,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
