id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2722767525,7,1,1,0,28,8cfkisxf1fkxdqtt6tx1tup48,1,37.5,38.3,2024-09-20T17:01:25.470Z,2024-09-20T17:01:29Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5224453025,140,35.4,5224453027,141,75.4,5224453031,213,1.66,5224453023,56,Back,5224453029,212,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767553,8,1,1,0,32,8cfkisxf1fkxdqtt6tx1tup48,1,35.2,74.2,2024-09-20T17:01:29.157Z,2024-09-20T17:01:32Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5224453185,212,21.4,5224453187,213,4.58,5224453183,141,43.0,5224453179,56,Back,5224453181,140,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767617,9,1,1,0,35,8cfkisxf1fkxdqtt6tx1tup48,1,34.5,40.1,2024-09-20T17:01:32.454Z,2024-09-20T17:01:38Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5224453487,213,0.76,5224453477,155,,5224453485,212,45.7,5224453481,140,66.0,5224453489,1,,5224453479,56,Left,5224453483,141,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767645,10,1,1,0,41,8cfkisxf1fkxdqtt6tx1tup48,1,68.7,79.3,2024-09-20T17:01:38.349Z,2024-09-20T21:29:04Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5224453619,140,66.8,5224453625,213,4.60,5224453617,56,Center,5224453623,212,17.5,5224453621,141,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767681,11,1,1,0,44,8cfkisxf1fkxdqtt6tx1tup48,1,65.8,51.6,2024-09-20T17:01:41.053Z,2024-09-20T17:01:44Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5224453801,56,Right,5224453809,213,5.46,5224453811,1,,5224453803,140,86.6,5224453807,212,32.3,5224453805,141,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767691,12,1,1,0,47,8cfkisxf1fkxdqtt6tx1tup48,0,89.4,16.5,2024-09-20T17:01:43.989Z,2024-09-20T17:01:45Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5224453853,2,,5224453863,212,4.0,5224453865,213,1.62,5224453917,233,5,5224453855,155,,5224453861,141,22.4,5224453859,140,89.2,5224453915,236,,5224453921,286,5224453857,56,Center,,,,,,,,,,,,,,,,,,,,,,,,
2722767699,5,12,1,0,47,7gkglopz9cjsysn2u6sbhuvc5,1,14.5,83.2,2024-09-20T17:01:44.089Z,2024-09-20T17:01:46Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5224453939,233,12,5224453899,185,,5224453901,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767741,6,5,1,0,51,7gkglopz9cjsysn2u6sbhuvc5,0,10.6,101.1,2024-09-20T17:01:48.269Z,2024-09-20T19:40:02Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5224454093,347,,5224454091,56,Back,5224454261,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767767,13,5,1,0,51,8cfkisxf1fkxdqtt6tx1tup48,1,89.4,-1.1,2024-09-20T17:01:48.269Z,2024-09-20T19:40:01Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5224454193,56,Right,5224454241,233,6,5224454195,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767803,14,1,1,0,55,8cfkisxf1fkxdqtt6tx1tup48,1,93.7,0.0,2024-09-20T17:01:52.341Z,2024-09-20T17:01:55Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5224454375,213,1.64,5224454369,140,92.9,5224454373,212,12.5,5224454365,107,,5224454371,141,16.5,5224454367,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767809,15,1,1,0,59,8cfkisxf1fkxdqtt6tx1tup48,1,92.9,16.5,2024-09-20T17:01:55.661Z,2024-09-20T17:01:57Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5224454419,141,2.5,5224454433,156,,5224454415,56,Right,5224454421,212,9.8,5224454423,213,4.47,5224454417,140,90.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767843,16,3,1,1,3,8cfkisxf1fkxdqtt6tx1tup48,0,93.0,14.7,2024-09-20T17:02:00.157Z,2024-09-20T19:30:20Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5224455537,233,7,5224454607,56,Right,5224454609,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767985,7,7,1,1,3,7gkglopz9cjsysn2u6sbhuvc5,1,7.0,85.3,2024-09-20T17:02:00.158Z,2024-09-20T19:30:20Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5224455199,56,Back,5224455531,233,16,5224455197,167,,5224455203,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767991,8,6,1,1,4,7gkglopz9cjsysn2u6sbhuvc5,0,3.4,79.4,2024-09-20T17:02:01.335Z,2024-09-20T19:39:12Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5224455255,73,,5224455251,56,Back,5224455585,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767861,17,6,1,1,4,8cfkisxf1fkxdqtt6tx1tup48,1,96.6,20.6,2024-09-20T17:02:01.335Z,2024-09-20T19:39:11Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5224455145,75,,5224454671,56,Right,5224455567,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768087,18,1,1,1,23,8cfkisxf1fkxdqtt6tx1tup48,1,99.7,0.4,2024-09-20T17:02:19.981Z,2024-09-20T17:02:32Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,1.0,,5224455703,141,56.6,5224455693,6,,5224455695,155,,5224455705,212,38.9,5224456055,154,,5224455701,140,93.0,5224455699,56,Center,5224455691,2,,5224455709,1,5224456053,210,13,5224455697,223,5224455707,213,1.75,,,,,,,,,,,,,,,,,,,
2722768097,19,44,1,1,27,8cfkisxf1fkxdqtt6tx1tup48,1,93.0,57.8,2024-09-20T17:02:24.556Z,2024-09-20T19:34:51Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5224455753,286,,5224455807,233,9,5224455751,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768105,9,44,1,1,27,7gkglopz9cjsysn2u6sbhuvc5,0,7.0,42.2,2024-09-20T17:02:24.557Z,2024-09-20T19:34:51Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5224455795,56,Back,5224455829,233,19,5224455797,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768101,20,13,1,1,28,8cfkisxf1fkxdqtt6tx1tup48,1,93.0,56.6,2024-09-20T17:02:24.837Z,2024-09-20T21:30:01Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5224456075,231,51.1,5224456061,29,,5224456069,102,58.2,5224456059,83,,5224456073,230,98.4,5224455771,56,Center,5224455955,25,,5224455961,328,,5224456063,154,5224455769,17,,5224455957,15,5224456065,55,18,5224456071,103,9.7,,,,,,,,,,,,,,,,
2722768159,10,5,1,1,30,7gkglopz9cjsysn2u6sbhuvc5,1,-1.2,42.4,2024-09-20T17:02:26.658Z,2024-09-20T19:40:02Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5224456047,346,,5224456045,56,Back,5225171837,233,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722900703,934,5,1,1,30,8cfkisxf1fkxdqtt6tx1tup48,0,101.2,57.6,2024-09-20T17:02:26.658Z,2024-09-20T19:40:02Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5225171879,233,10,5225171787,56,Center,5225171789,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768183,11,1,1,1,35,7gkglopz9cjsysn2u6sbhuvc5,1,4.7,42.8,2024-09-20T17:02:31.711Z,2024-09-20T17:02:34Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5224456159,1,,5224456151,140,64.8,5224456163,74,,5224456153,141,37.3,5224456147,124,,5224456157,213,6.22,5224456155,212,63.2,5224456149,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768187,12,44,1,1,37,7gkglopz9cjsysn2u6sbhuvc5,1,60.8,26.3,2024-09-20T17:02:34.079Z,2024-09-20T19:34:51Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5224456191,56,Center,5224456303,233,21,5224456193,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768197,21,44,1,1,37,8cfkisxf1fkxdqtt6tx1tup48,0,39.2,73.7,2024-09-20T17:02:34.080Z,2024-09-20T19:34:52Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5224456313,233,12,5224456253,56,Back,5224456255,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768193,13,1,1,1,37,7gkglopz9cjsysn2u6sbhuvc5,0,64.8,37.3,2024-09-20T17:02:34.359Z,2024-09-20T17:02:35Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5224456233,212,3.1,5224456225,3,,5224456235,213,2.28,5224456229,140,62.9,5224456227,56,Center,5224456231,141,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768207,22,61,1,1,39,8cfkisxf1fkxdqtt6tx1tup48,1,41.5,80.3,2024-09-20T17:02:36.075Z,2024-09-20T17:02:36Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5224456309,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768237,14,1,1,1,41,7gkglopz9cjsysn2u6sbhuvc5,1,66.4,19.5,2024-09-20T17:02:38.407Z,2024-09-20T17:06:05Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5224456459,213,0.22,5224456451,140,76.5,5224456445,3,,5224456447,56,Center,5224456457,212,10.9,5224456455,141,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768243,15,1,1,1,42,7gkglopz9cjsysn2u6sbhuvc5,1,76.5,23.0,2024-09-20T17:02:39.470Z,2024-09-20T17:06:08Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5224456505,56,Center,5224456507,140,79.4,5224456511,212,5.9,5224456509,141,30.4,5224456513,213,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768253,16,1,1,1,43,7gkglopz9cjsysn2u6sbhuvc5,1,79.4,30.4,2024-09-20T17:02:40.167Z,2024-09-20T17:06:09Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5224456559,140,73.6,5224456567,212,8.8,5224456571,213,3.95,5224456555,56,Right,5224456563,141,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768271,17,2,1,1,44,7gkglopz9cjsysn2u6sbhuvc5,1,70.7,14.3,2024-09-20T17:02:40.944Z,2024-09-20T17:07:48Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5224456687,141,14.1,5224456679,56,Right,5224470587,7,duahzgqspyuy2gu31u3s8ky96,5224456683,140,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768357,18,43,1,1,46,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-09-20T17:02:43.439Z,2024-09-20T17:07:39Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5224458193,7,84500,5224457117,141,13.1,5224457115,140,85.8,5224457113,56,Right,5224470327,144,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768369,19,43,1,1,54,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-09-20T17:02:51.155Z,2024-09-20T17:03:02Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5224457179,56,Center,5224457679,144,5,5224457181,346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768653,24,1,1,2,15,8cfkisxf1fkxdqtt6tx1tup48,0,14.1,82.4,2024-09-20T17:03:12.220Z,2024-09-20T17:03:16Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5224458445,212,60.7,5224458429,5,,5224458437,241,,5224458447,213,6.00,5224458439,56,Center,5224458431,157,,5224458443,141,57.5,5224458449,1,,5224458441,140,,,,,,,,,,,,69.6,,,,,,,,,,,,,,,
2722768693,20,1,1,2,20,7gkglopz9cjsysn2u6sbhuvc5,0,34.6,60.0,2024-09-20T17:03:16.854Z,2024-09-20T17:03:18Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5224458603,212,13.6,5224458595,3,,5224458605,213,6.17,5224458599,140,47.5,5224458597,56,Back,5224458601,141,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768719,25,1,1,2,22,8cfkisxf1fkxdqtt6tx1tup48,1,56.1,53.6,2024-09-20T17:03:18.843Z,2024-09-20T17:03:21Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5224458729,141,67.9,5224458723,155,,5224458727,140,70.5,5224458731,212,18.0,5224458733,213,0.57,5224458725,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768725,26,61,1,2,24,8cfkisxf1fkxdqtt6tx1tup48,0,70.5,67.9,2024-09-20T17:03:21.484Z,2024-09-20T17:03:22Z,e0u730to91qqtvvx16uhajz10,S. Jalaei,,,5224458741,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768751,22,1,1,2,25,7gkglopz9cjsysn2u6sbhuvc5,1,40.4,33.9,2024-09-20T17:03:22.104Z,2024-09-20T17:03:24Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5224458889,141,21.2,5224458887,140,40.5,5224458893,213,4.72,5224458891,212,8.6,5224458885,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768763,23,1,1,2,27,7gkglopz9cjsysn2u6sbhuvc5,1,40.5,21.2,2024-09-20T17:03:23.926Z,2024-09-20T17:03:25Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5224458945,141,23.9,5224458943,140,43.8,5224458941,56,Back,5224458949,213,0.49,5224458947,212,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768787,24,1,1,2,28,7gkglopz9cjsysn2u6sbhuvc5,1,43.8,23.9,2024-09-20T17:03:24.943Z,2024-09-20T17:56:39Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5224459045,213,4.50,5224459037,56,Back,5224459041,141,6.7,5224509549,156,,5224459039,140,41.4,5224459043,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768795,25,1,1,2,30,7gkglopz9cjsysn2u6sbhuvc5,1,41.4,6.7,2024-09-20T17:03:26.839Z,2024-09-20T17:03:28Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5224459097,140,36.3,5224459101,212,5.4,5224459099,141,7.9,5224459095,56,Back,5224459103,213,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768817,26,1,1,2,31,7gkglopz9cjsysn2u6sbhuvc5,0,36.3,7.9,2024-09-20T17:03:28.334Z,2024-09-20T17:56:48Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5224459233,212,30.1,5224459217,155,,5224459237,213,6.19,5224459221,56,Right,5224459229,141,3.8,5224459227,140,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768893,29,61,1,2,32,8cfkisxf1fkxdqtt6tx1tup48,1,61.0,76.1,2024-09-20T17:03:28.707Z,2024-09-20T21:29:31Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5224522707,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768847,27,1,1,2,35,8cfkisxf1fkxdqtt6tx1tup48,1,25.3,91.4,2024-09-20T17:03:32.340Z,2024-09-20T17:23:03Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5224459395,140,40.1,5224459397,141,94.1,5224459393,56,Back,5224459403,213,0.12,5224459391,3,,5224459399,212,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768857,28,1,1,2,39,8cfkisxf1fkxdqtt6tx1tup48,0,40.1,94.1,2024-09-20T17:03:36.123Z,2024-09-20T21:29:37Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5224459427,141,76.1,5224459431,213,5.77,5224516187,157,,5224459425,140,61.0,5224516189,1,,5224459429,212,25.1,5224459423,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768887,27,1,1,2,40,7gkglopz9cjsysn2u6sbhuvc5,1,34.2,22.7,2024-09-20T17:03:36.966Z,2024-09-20T17:03:40Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5224459593,213,2.87,5224459587,140,11.1,5224459589,141,32.5,5224459583,56,Back,5224459591,212,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768931,28,1,1,2,44,7gkglopz9cjsysn2u6sbhuvc5,1,11.1,33.4,2024-09-20T17:03:40.830Z,2024-09-20T17:03:44Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5224459789,141,41.3,5224459787,140,19.7,5224459793,213,0.54,5224459785,56,Back,5224459791,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768989,29,1,1,2,48,7gkglopz9cjsysn2u6sbhuvc5,1,24.5,37.1,2024-09-20T17:03:44.775Z,2024-09-20T17:03:51Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5224460055,212,17.9,5224460049,56,Back,5224460057,213,4.37,5224460053,141,12.3,5224460051,140,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
